--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	05.04.2010
Test Start Time	16:15:14
Test Stop Date	05.04.2010
Test Stop Time	19:06:14
Test Length	2:51:00
Final Sample Time Offset	2:51:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 50C(30min); MPa: 11(30min); fresh water
Information	WellID	G-1
Information	Customer	BKE Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.35%FLNa+0.7%RPM
Information	Density	1960
Information	BHCT	50
Information	BHST	50
Information	FluidLoss	
Information	JobType	PLUG
Calculated Value	30Bc - TT	0:59:00
Calculated Value	70Bc - TT	2:51:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	31 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	11,9 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	81 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	31	0,7	15
0:01:00	31	2,3	15
0:02:00	31	3,2	14
0:03:00	31	3,7	14
0:04:00	31	4,1	13
0:05:00	31	4,4	12
0:06:00	31	4,6	12
0:07:00	31	4,9	13
0:08:00	31	5,1	23
0:09:00	31	5,4	27
0:10:00	32	5,9	24
0:11:00	34	6,1	18
0:12:00	35	6,5	21
0:13:00	37	6,5	25
0:14:00	39	6,9	23
0:15:00	41	6,9	25
0:16:00	44	6,7	20
0:17:00	46	7,0	18
0:18:00	49	7,4	20
0:19:00	51	7,6	23
0:20:00	53	8,0	25
0:21:00	54	8,2	24
0:22:00	56	8,8	21
0:23:00	56	8,7	20
0:24:00	56	9,1	17
0:25:00	55	9,4	16
0:26:00	55	9,7	15
0:27:00	54	10,0	15
0:28:00	53	10,3	19
0:29:00	53	10,6	20
0:30:00	52	11,0	27
0:31:00	51	11,4	30
0:32:00	51	11,9	24
0:33:00	50	11,9	22
0:34:00	50	11,5	11
0:35:00	50	11,9	11
0:36:00	50	12,1	11
0:37:00	50	11,3	14
0:38:00	50	11,2	13
0:39:00	51	11,1	12
0:40:00	51	11,1	13
0:41:00	51	11,4	14
0:42:00	51	11,1	13
0:43:00	51	11,1	13
0:44:00	50	11,2	12
0:45:00	50	11,5	12
0:46:00	50	11,7	14
0:47:00	50	11,9	11
0:48:00	50	12,0	12
0:49:00	50	11,9	12
0:50:00	50	11,8	13
0:51:00	50	11,8	13
0:52:00	50	11,8	12
0:53:00	50	11,8	13
0:54:00	50	11,8	13
0:55:00	50	11,8	13
0:56:00	50	11,8	16
0:57:00	50	11,8	17
0:58:00	50	11,8	35
0:59:00	50	11,8	34
1:00:00	50	11,8	44
1:01:00	50	11,8	20
1:02:00	50	11,8	18
1:03:00	50	11,9	15
1:04:00	50	11,9	18
1:05:00	50	11,9	16
1:06:00	50	11,9	17
1:07:00	50	11,9	21
