--Test Summary--
Full Path and File Name	
Instrument Name	4262L
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111L
Test Start Date	24.02.2010
Test Start Time	11:26:01
Test Stop Date	26.02.2010
Test Stop Time	11:40:59
Test Length	48:14:58
Final Sample Time Offset	48:14:50
Controller Schedule Name	
Sampling Period	60 seconds
Comments	
Information	WellID	
Information	Customer	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	25:56:50
Calculated Value	CS_500	25:56:50
Calculated Value	CS_Time8h	0,00 MPa
Calculated Value	CS_Time16h	0,31 MPa
Calculated Value	CS_Time24h	0,31 MPa
Calculated Value	CS_Time48h	10,57 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	22 °C
Final Temperature (°C)	59 °C
Initial Transit Time (microsec/in)	14,47 microsec/in
Final Transit Time (microsec/in)	9,96 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	10,57 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	22	14,47	0,00
0:01:00	22	14,50	0,00
0:02:00	22	14,54	0,00
0:03:00	23	14,58	0,00
0:04:00	22	14,54	0,00
0:05:00	23	14,54	0,00
0:06:00	24	14,52	0,00
0:07:00	25	14,53	0,00
0:08:00	26	14,53	0,00
0:09:00	28	14,52	0,00
0:10:00	29	14,55	0,00
0:11:00	30	14,55	0,00
0:12:00	32	14,53	0,00
0:13:00	33	14,52	0,00
0:14:00	34	14,51	0,00
0:15:00	35	14,50	0,00
0:16:00	37	14,49	0,00
0:17:00	38	14,48	0,00
0:18:00	39	14,47	0,00
0:19:00	41	14,46	0,01
0:20:00	42	14,45	0,02
0:21:00	43	14,44	0,02
0:22:00	45	14,43	0,03
0:23:00	46	14,43	0,03
0:24:00	47	14,41	0,04
0:25:00	49	14,40	0,05
0:26:00	50	14,40	0,05
0:27:00	52	14,40	0,06
0:28:00	53	14,39	0,06
0:29:00	54	14,39	0,06
0:30:00	56	14,38	0,07
0:31:00	57	14,38	0,07
0:32:00	58	14,38	0,07
0:33:00	59	14,38	0,07
0:34:00	60	14,43	0,03
0:35:00	60	14,43	0,03
0:36:00	61	14,44	0,02
0:37:00	61	14,44	0,02
0:38:00	62	14,43	0,03
0:39:00	62	14,43	0,03
0:40:00	62	14,43	0,03
0:41:00	62	14,43	0,03
0:42:00	62	14,43	0,03
0:43:00	62	14,43	0,03
0:44:00	62	14,43	0,03
0:45:00	62	14,43	0,03
0:46:00	62	14,43	0,03
0:47:00	62	14,43	0,03
0:48:00	62	14,51	0,00
0:49:00	62	14,52	0,00
0:50:00	62	14,52	0,00
0:51:00	61	14,52	0,00
0:52:00	61	14,52	0,00
0:53:00	61	14,53	0,00
0:54:00	61	14,53	0,00
0:55:00	61	14,53	0,00
0:56:00	60	14,40	0,06
0:57:00	61	16,46	0,00
0:58:00	60	16,48	0,00
0:59:00	60	16,49	0,00
1:00:00	60	16,50	0,00
1:01:00	60	16,51	0,00
1:02:00	60	16,52	0,00
1:03:00	60	16,53	0,00
1:04:00	60	16,48	0,00
1:05:00	60	16,47	0,00
1:06:00	60	16,48	0,00
1:07:00	60	16,50	0,00
1:08:00	60	16,51	0,00
1:09:00	60	16,51	0,00
1:10:00	60	16,53	0,00
1:11:00	60	16,54	0,00
1:12:00	60	16,54	0,00
1:13:00	60	16,54	0,00
1:14:00	60	16,55	0,00
1:15:00	60	16,56	0,00
1:16:00	60	16,57	0,00
1:17:00	60	16,50	0,00
1:18:00	59	16,50	0,00
1:19:00	59	16,50	0,00
1:20:00	59	16,50	0,00
1:21:00	59	16,51	0,00
1:22:00	59	16,51	0,00
1:23:00	59	16,52	0,00
1:24:00	60	16,52	0,00
1:25:00	59	16,52	0,00
1:26:00	59	16,52	0,00
1:27:00	59	16,53	0,00
1:28:00	59	16,54	0,00
1:29:00	59	16,54	0,00
1:30:00	59	16,54	0,00
1:31:00	59	16,55	0,00
1:32:00	59	16,56	0,00
1:33:00	59	16,57	0,00
1:34:00	59	16,57	0,00
1:35:00	59	16,57	0,00
1:36:00	59	16,58	0,00
1:37:00	59	16,52	0,00
1:38:00	59	16,51	0,00
1:39:00	59	16,51	0,00
1:40:00	59	16,51	0,00
1:41:00	59	16,52	0,00
1:42:00	59	16,51	0,00
1:43:00	59	16,51	0,00
1:44:00	59	16,52	0,00
1:45:00	59	16,52	0,00
1:46:00	59	16,52	0,00
1:47:00	59	16,53	0,00
1:48:00	59	16,54	0,00
1:49:00	59	16,54	0,00
1:50:00	59	16,55	0,00
1:51:00	59	16,55	0,00
1:52:00	59	16,56	0,00
1:53:00	59	16,57	0,00
1:54:00	59	16,57	0,00
1:55:00	59	16,57	0,00
1:56:00	59	16,57	0,00
1:57:00	59	16,58	0,00
1:58:00	59	16,59	0,00
1:59:00	59	16,60	0,00
2:00:00	59	16,60	0,00
2:01:00	59	16,55	0,00
2:02:00	59	16,53	0,00
2:03:00	59	16,52	0,00
2:04:00	59	16,53	0,00
2:05:00	59	16,53	0,00
2:06:00	59	16,53	0,00
2:07:00	59	16,53	0,00
2:08:00	59	16,54	0,00
2:09:00	59	16,54	0,00
2:10:00	59	16,54	0,00
2:11:00	59	16,54	0,00
2:12:00	59	16,54	0,00
2:13:00	59	16,54	0,00
2:14:00	59	16,55	0,00
2:15:00	59	16,56	0,00
2:16:00	59	16,56	0,00
2:17:00	59	16,57	0,00
2:18:00	59	16,57	0,00
2:19:00	59	16,57	0,00
2:20:00	59	16,58	0,00
2:21:00	59	16,59	0,00
2:22:00	59	16,59	0,00
2:23:00	59	16,60	0,00
2:24:00	59	16,60	0,00
2:25:00	59	16,60	0,00
2:26:00	59	16,60	0,00
2:27:00	59	16,61	0,00
2:28:00	59	16,54	0,00
2:29:00	59	16,54	0,00
2:30:00	59	16,54	0,00
2:31:00	59	16,54	0,00
2:32:00	59	16,54	0,00
2:33:00	59	16,54	0,00
2:34:00	59	16,54	0,00
2:35:00	59	16,54	0,00
2:36:00	59	16,54	0,00
2:37:00	59	16,54	0,00
2:38:00	59	16,54	0,00
2:39:00	59	16,55	0,00
2:40:00	59	16,56	0,00
2:41:00	59	16,56	0,00
2:42:00	59	16,57	0,00
2:43:00	59	16,57	0,00
2:44:00	59	16,58	0,00
2:45:00	59	16,58	0,00
2:46:00	59	16,59	0,00
2:47:00	59	16,60	0,00
2:48:00	59	16,60	0,00
2:49:00	59	16,60	0,00
2:50:00	59	16,61	0,00
2:51:00	59	16,61	0,00
2:52:00	59	16,62	0,00
2:53:00	59	16,63	0,00
2:54:00	59	16,56	0,00
2:55:00	59	16,55	0,00
2:56:00	59	16,55	0,00
2:57:00	59	16,55	0,00
2:58:00	59	16,55	0,00
2:59:00	59	16,55	0,00
3:00:00	59	16,55	0,00
3:01:00	59	16,55	0,00
3:02:00	59	16,55	0,00
3:03:00	59	16,55	0,00
3:04:00	59	16,55	0,00
3:05:00	59	16,55	0,00
3:06:00	59	16,55	0,00
3:07:00	59	16,56	0,00
3:08:00	59	16,57	0,00
3:09:00	59	16,57	0,00
3:10:00	59	16,57	0,00
3:11:00	59	16,58	0,00
3:12:00	59	16,58	0,00
3:13:00	59	16,59	0,00
3:14:00	59	16,59	0,00
3:15:00	59	16,60	0,00
3:16:00	59	16,60	0,00
3:17:00	59	16,60	0,00
3:18:00	59	16,61	0,00
3:19:00	59	16,61	0,00
3:20:00	59	16,62	0,00
3:21:00	59	16,62	0,00
3:22:00	59	16,63	0,00
3:23:00	59	16,63	0,00
3:24:00	59	16,63	0,00
3:25:00	59	16,58	0,00
3:26:00	59	16,56	0,00
3:27:00	59	16,56	0,00
3:28:00	59	16,56	0,00
3:29:00	59	16,56	0,00
3:30:00	59	16,56	0,00
3:31:00	59	16,56	0,00
3:32:00	59	16,56	0,00
3:33:00	59	16,56	0,00
3:34:00	59	16,57	0,00
3:35:00	59	16,57	0,00
3:36:00	59	16,57	0,00
3:37:00	59	16,57	0,00
3:38:00	59	16,57	0,00
3:39:00	59	16,57	0,00
3:40:00	59	16,57	0,00
3:41:00	59	16,57	0,00
3:42:00	59	16,58	0,00
3:43:00	59	16,58	0,00
3:44:00	59	16,59	0,00
3:45:00	59	16,59	0,00
3:46:00	59	16,60	0,00
3:47:00	59	16,60	0,00
3:48:00	59	16,60	0,00
3:49:00	59	16,61	0,00
3:50:00	59	16,61	0,00
3:51:00	59	16,62	0,00
3:52:00	59	16,62	0,00
3:53:00	59	16,63	0,00
3:54:00	59	16,63	0,00
3:55:00	59	16,63	0,00
3:56:00	59	16,63	0,00
3:57:00	59	16,61	0,00
3:58:00	59	16,57	0,00
3:59:00	59	16,57	0,00
4:00:00	59	16,57	0,00
4:01:00	59	16,57	0,00
4:02:00	59	16,57	0,00
4:03:00	59	16,57	0,00
4:04:00	59	16,57	0,00
4:05:00	59	16,57	0,00
4:06:00	59	16,57	0,00
4:07:00	59	16,57	0,00
4:08:00	59	16,57	0,00
4:09:00	59	16,58	0,00
4:10:00	59	16,58	0,00
4:11:00	59	16,58	0,00
4:12:00	59	16,58	0,00
4:13:00	59	16,59	0,00
4:14:00	59	16,59	0,00
4:15:00	59	16,59	0,00
4:16:00	59	16,59	0,00
4:17:00	59	16,60	0,00
4:18:00	59	16,60	0,00
4:19:00	59	16,60	0,00
4:20:00	59	16,60	0,00
4:21:00	59	16,61	0,00
4:22:00	59	16,61	0,00
4:23:00	59	16,62	0,00
4:24:00	59	16,63	0,00
4:25:00	59	16,63	0,00
4:26:00	59	16,63	0,00
4:27:00	59	16,63	0,00
4:28:00	59	16,64	0,00
4:29:00	59	16,64	0,00
4:30:00	59	16,65	0,00
4:31:00	59	16,65	0,00
4:32:00	59	16,66	0,00
4:33:00	59	14,55	0,00
4:34:00	59	14,52	0,00
4:35:00	59	14,52	0,00
4:36:00	59	14,52	0,00
4:37:00	59	14,52	0,00
4:38:00	59	14,52	0,00
4:39:00	59	14,52	0,00
4:40:00	59	14,52	0,00
4:41:00	59	14,52	0,00
4:42:00	59	14,53	0,00
4:43:00	59	14,53	0,00
4:44:00	59	14,54	0,00
4:45:00	59	14,53	0,00
4:46:00	59	14,53	0,00
4:47:00	59	14,54	0,00
4:48:00	59	14,54	0,00
4:49:00	59	14,54	0,00
4:50:00	59	14,54	0,00
4:51:00	59	14,55	0,00
4:52:00	59	14,54	0,00
4:53:00	59	14,53	0,00
4:54:00	59	14,54	0,00
4:55:00	59	14,55	0,00
4:56:00	59	14,55	0,00
4:57:00	59	14,55	0,00
4:58:00	59	14,56	0,00
4:59:00	59	14,56	0,00
5:00:00	59	14,57	0,00
5:01:00	59	14,57	0,00
5:02:00	59	14,58	0,00
5:03:00	59	14,59	0,00
5:04:00	59	14,59	0,00
5:05:00	59	14,59	0,00
5:06:00	59	14,59	0,00
5:07:00	59	14,60	0,00
5:08:00	59	14,60	0,00
5:09:00	59	14,61	0,00
5:10:00	59	14,61	0,00
5:11:00	59	14,62	0,00
5:12:00	59	14,62	0,00
5:13:00	59	14,55	0,00
5:14:00	59	14,54	0,00
5:15:00	59	14,53	0,00
5:16:00	59	14,53	0,00
5:17:00	59	14,53	0,00
5:18:00	59	14,53	0,00
5:19:00	59	14,54	0,00
5:20:00	59	14,53	0,00
5:21:00	59	14,55	0,00
5:22:00	59	14,54	0,00
5:23:00	59	14,54	0,00
5:24:00	59	14,55	0,00
5:25:00	59	14,55	0,00
5:26:00	59	14,55	0,00
5:27:00	59	14,55	0,00
5:28:00	59	14,55	0,00
5:29:00	59	14,55	0,00
5:30:00	59	14,56	0,00
5:31:00	59	14,55	0,00
5:32:00	59	14,56	0,00
5:33:00	59	14,57	0,00
5:34:00	59	14,57	0,00
5:35:00	59	14,58	0,00
5:36:00	59	14,58	0,00
5:37:00	59	14,59	0,00
5:38:00	59	14,59	0,00
5:39:00	59	14,59	0,00
5:40:00	59	14,60	0,00
5:41:00	59	14,61	0,00
5:42:00	59	14,61	0,00
5:43:00	59	14,62	0,00
5:44:00	59	14,62	0,00
5:45:00	59	14,62	0,00
5:46:00	59	14,62	0,00
5:47:00	59	14,63	0,00
5:48:00	59	14,63	0,00
5:49:00	59	14,64	0,00
5:50:00	59	14,64	0,00
5:51:00	59	14,64	0,00
5:52:00	59	14,57	0,00
5:53:00	59	14,57	0,00
5:54:00	59	14,56	0,00
5:55:00	59	14,56	0,00
5:56:00	59	14,55	0,00
5:57:00	59	14,55	0,00
5:58:00	59	14,55	0,00
5:59:00	59	14,56	0,00
6:00:00	59	14,56	0,00
6:01:00	59	14,56	0,00
6:02:00	59	14,56	0,00
6:03:00	59	14,57	0,00
6:04:00	59	14,58	0,00
6:05:00	59	14,57	0,00
6:06:00	59	14,58	0,00
6:07:00	59	14,58	0,00
6:08:00	59	14,58	0,00
6:09:00	59	14,58	0,00
6:10:00	59	14,59	0,00
6:11:00	59	14,59	0,00
6:12:00	59	14,59	0,00
6:13:00	59	14,60	0,00
6:14:00	59	14,60	0,00
6:15:00	59	14,60	0,00
6:16:00	59	14,62	0,00
6:17:00	59	14,62	0,00
6:18:00	59	14,62	0,00
6:19:00	59	14,62	0,00
6:20:00	59	14,63	0,00
6:21:00	59	14,64	0,00
6:22:00	59	14,64	0,00
6:23:00	59	14,64	0,00
6:24:00	59	14,64	0,00
6:25:00	59	14,65	0,00
6:26:00	59	14,65	0,00
6:27:00	59	14,66	0,00
6:28:00	59	14,63	0,00
6:29:00	59	14,59	0,00
6:30:00	59	14,59	0,00
6:31:00	59	14,59	0,00
6:32:00	59	14,59	0,00
6:33:00	59	14,59	0,00
6:34:00	59	14,59	0,00
6:35:00	59	14,59	0,00
6:36:00	59	14,59	0,00
6:37:00	59	14,59	0,00
6:38:00	59	14,60	0,00
6:39:00	59	14,60	0,00
6:40:00	59	14,61	0,00
6:41:00	59	14,61	0,00
6:42:00	59	14,61	0,00
6:43:00	59	14,61	0,00
6:44:00	59	14,62	0,00
6:45:00	59	14,62	0,00
6:46:00	59	14,62	0,00
6:47:00	59	14,62	0,00
6:48:00	59	14,62	0,00
6:49:00	59	14,62	0,00
6:50:00	59	14,62	0,00
6:51:00	59	14,62	0,00
6:52:00	59	14,62	0,00
6:53:00	59	14,63	0,00
6:54:00	59	14,64	0,00
6:55:00	59	14,64	0,00
6:56:00	59	14,64	0,00
6:57:00	59	14,64	0,00
