--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	01.03.2013
Test Start Time	14:55:52
Test Stop Date	04.03.2013
Test Stop Time	8:26:03
Test Length	65:30:11
Final Sample Time Offset	65:30:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 70C(30min) 85C(240min); P: 3000 psi; tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%TA-1+0.9%Diacel Fl+0.2%LTR+0.9%CFR-10 (BWOC)
Information	Density	1900
Information	BHCT	70
Information	BHST	85
Information	FluidLoss	22 cc/30min (Measured)
Information	JobType	Liner
Calculated Value	CS_50	13:05:30
Calculated Value	CS_500	14:39:00
Calculated Value	SGS_Initial	8:22:00
Calculated Value	SGS_Final	10:34:00
Calculated Value	CS_Time1h	0,14 MPa
Calculated Value	CS_Time12h	0,00 MPa
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	25 °C
Final Temperature (°C)	85 °C
Initial Pressure (psi)	3464 psi
Final Pressure (psi)	1243 psi
Initial Transit Time (microsec/in)	15,73 microsec/in
Final Transit Time (microsec/in)	8,05 microsec/in
Initial Gel Value	5865
Final Gel Value	8174
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	23,91 MPa
Initial Static Gel Strength (lb/100ft2)	75,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	25	3464	15,73	5865	0,00	75,0
0:00:30	25	3435	15,73	5879	0,00	75,1
0:01:00	25	3415	15,73	5880	0,00	75,1
0:01:30	25	3402	15,73	5880	0,00	75,2
0:02:00	26	3400	15,73	5881	0,00	75,3
0:02:30	26	3405	15,74	5881	0,00	75,4
0:03:00	27	3417	15,74	5882	0,00	75,4
0:03:30	27	3433	15,73	5889	0,00	75,5
0:04:00	27	3447	15,73	5887	0,00	75,6
0:04:30	28	3458	15,73	5896	0,00	75,7
0:05:00	28	3467	15,72	5890	0,00	75,7
0:05:30	29	3479	15,72	5895	0,00	75,8
0:06:00	29	3497	15,72	5899	0,00	75,9
0:06:30	30	3521	15,71	5903	0,00	76,0
0:07:00	30	3548	15,71	5908	0,01	76,0
0:07:30	31	3580	15,70	5906	0,01	76,1
0:08:00	31	3611	15,69	5906	0,01	76,2
0:08:30	32	3643	15,68	5912	0,02	76,3
0:09:00	32	3677	15,67	5916	0,02	76,3
0:09:30	33	3713	15,66	5918	0,02	76,4
0:10:00	34	3753	15,65	5920	0,03	76,5
0:10:30	35	3795	15,64	5926	0,03	76,6
0:11:00	35	3838	15,64	5925	0,03	76,6
0:11:30	36	3882	15,62	5925	0,04	76,7
0:12:00	36	3928	15,61	5925	0,04	76,8
0:12:30	37	3973	15,60	5932	0,05	76,9
0:13:00	38	4021	15,58	5933	0,05	76,9
0:13:30	39	4070	15,57	5934	0,05	77,0
0:14:00	39	4120	15,55	5937	0,06	77,1
0:14:30	40	4174	15,54	5936	0,06	77,2
0:15:00	41	4228	15,53	5935	0,07	77,2
0:15:30	41	4280	15,51	5938	0,08	77,3
0:16:00	42	4332	15,49	5939	0,08	77,4
0:16:30	43	4388	15,47	5934	0,09	77,5
0:17:00	44	4447	15,46	5938	0,09	77,5
0:17:30	44	4505	15,45	5936	0,10	77,6
0:18:00	45	4565	15,43	5933	0,10	77,7
0:18:30	46	4625	15,41	5937	0,11	77,8
0:19:00	46	4688	15,40	5938	0,12	77,8
0:19:30	47	4755	15,38	5937	0,12	77,9
0:20:00	48	4812	15,36	5936	0,13	78,0
0:20:30	48	3326	15,36	5944	0,13	78,1
0:21:00	49	3407	15,44	5956	0,10	78,1
0:21:30	50	3330	15,47	5956	0,09	78,2
0:22:00	51	3365	15,48	5952	0,09	78,3
0:22:30	51	3371	15,48	5951	0,09	78,4
0:23:00	52	3375	15,48	5948	0,09	78,4
0:23:30	53	3377	15,47	5946	0,09	78,5
0:24:00	54	3379	15,46	5949	0,09	78,6
0:24:30	54	3382	15,46	5944	0,10	78,7
0:25:00	55	3383	15,45	5940	0,10	78,7
0:25:30	56	3384	15,44	5941	0,10	78,8
0:26:00	57	3386	15,44	5934	0,10	78,9
0:26:30	57	3386	15,43	5929	0,11	79,0
0:27:00	58	3388	15,42	5931	0,11	79,0
0:27:30	59	3391	15,41	5926	0,11	79,1
0:28:00	60	3389	15,41	5921	0,11	79,2
0:28:30	60	3391	15,40	5921	0,11	79,3
0:29:00	61	3393	15,40	5918	0,12	79,3
0:29:30	62	3392	15,39	5909	0,12	79,4
0:30:00	63	3394	15,39	5908	0,12	79,5
0:30:30	64	3393	15,38	5904	0,12	79,6
0:31:00	64	3391	15,38	5904	0,12	79,6
0:31:30	64	3391	15,37	5901	0,13	79,7
0:32:00	65	3392	15,37	5894	0,13	79,8
0:32:30	65	3392	15,37	5890	0,13	79,9
0:33:00	66	3394	15,36	5885	0,13	79,9
0:33:30	66	3396	15,36	5882	0,13	80,0
0:34:00	67	3393	15,36	5877	0,13	80,1
0:34:30	67	3391	15,36	5868	0,13	80,2
0:35:00	67	3390	15,35	5865	0,13	80,2
0:35:30	68	3385	15,35	5866	0,13	80,3
0:36:00	68	3383	15,35	5863	0,13	80,4
0:36:30	68	3383	15,35	5862	0,13	80,5
0:37:00	68	3382	15,35	5857	0,14	80,5
0:37:30	69	3384	15,35	5861	0,14	80,6
0:38:00	69	3386	15,35	5851	0,14	80,7
0:38:30	69	3386	15,35	5847	0,14	80,8
0:39:00	69	3385	15,34	5842	0,14	80,8
0:39:30	69	3385	15,34	5841	0,14	80,9
0:40:00	69	3383	15,34	5837	0,14	81,0
0:40:30	70	3383	15,35	5834	0,14	81,1
0:41:00	70	3379	15,34	5839	0,14	81,1
0:41:30	70	3378	15,34	5837	0,14	81,2
0:42:00	70	3376	15,34	5835	0,14	81,3
0:42:30	70	3374	15,34	5826	0,14	81,3
0:43:00	70	3373	15,34	5827	0,14	81,4
0:43:30	70	3372	15,34	5822	0,14	81,5
0:44:00	70	3374	15,35	5834	0,14	81,6
0:44:30	71	3374	15,35	5824	0,14	81,6
0:45:00	71	3376	15,34	5822	0,14	81,7
0:45:30	71	3376	15,34	5823	0,14	81,8
0:46:00	71	3376	15,34	5823	0,14	81,9
0:46:30	71	3376	15,34	5819	0,14	81,9
0:47:00	71	3372	15,34	5817	0,14	82,0
0:47:30	71	3370	15,34	5820	0,14	82,1
0:48:00	71	3365	15,34	5816	0,14	82,2
0:48:30	71	3359	15,35	5816	0,14	82,2
