--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	11.03.2013
Test Start Time	8:58:58
Test Stop Date	11.03.2013
Test Stop Time	15:29:19
Test Length	6:30:21
Final Sample Time Offset	6:30:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 5C(30min); P: 10MPa(30min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Kostya Shut
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	25%MSAS+50%GVVS-16+3%SMS+0.1%R-7+9%bwow CaCl2
Information	Density	1460
Information	BHCT	5
Information	BHST	
Information	FluidLoss	N/A
Information	JobType	Surface csg
Initial Temperature (°C)	34 °C
Final Temperature (°C)	7 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	10,1 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	27 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	34	0,4	10
0:00:10	33	0,4	12
0:00:20	33	0,5	14
0:00:30	33	0,5	12
0:00:40	33	0,6	13
0:00:50	32	0,6	10
0:01:00	32	0,7	12
0:01:10	32	0,8	15
0:01:20	31	0,8	12
0:01:30	31	0,9	12
0:01:40	31	0,9	10
0:01:50	31	1,0	18
0:02:00	30	1,0	15
0:02:10	30	1,1	10
0:02:20	30	1,1	12
0:02:30	30	1,2	9
0:02:40	30	1,3	10
0:02:50	29	1,3	10
0:03:00	29	1,3	6
0:03:10	29	1,4	10
0:03:20	29	1,4	14
0:03:30	28	1,5	12
0:03:40	28	1,6	9
0:03:50	28	1,6	9
0:04:00	28	1,7	15
0:04:10	28	1,7	11
0:04:20	27	1,8	13
0:04:30	27	1,9	13
0:04:40	27	1,8	8
0:04:50	27	2,0	14
0:05:00	27	1,9	12
0:05:10	26	2,1	13
0:05:20	26	2,0	11
0:05:30	26	2,2	11
0:05:40	26	2,2	15
0:05:50	26	2,3	13
0:06:00	25	2,2	11
0:06:10	25	2,5	13
0:06:20	25	2,3	12
0:06:30	25	2,5	8
0:06:40	25	2,4	7
0:06:50	25	2,6	14
0:07:00	24	2,6	13
0:07:10	24	2,8	9
0:07:20	24	2,7	8
0:07:30	24	2,9	11
0:07:40	24	2,8	11
0:07:50	24	2,9	12
0:08:00	23	3,1	14
0:08:10	23	3,0	10
0:08:20	23	3,1	14
0:08:30	23	3,0	13
0:08:40	23	3,2	11
0:08:50	23	3,1	12
0:09:00	23	3,4	11
0:09:10	22	3,3	8
0:09:20	22	3,6	12
0:09:30	22	3,5	11
0:09:40	22	3,4	11
0:09:50	22	3,6	9
0:10:00	22	3,5	11
0:10:10	21	3,8	13
0:10:20	21	3,7	11
0:10:30	21	3,7	12
0:10:40	21	3,9	12
0:10:50	21	3,8	13
0:11:00	21	4,1	11
0:11:10	21	4,0	13
0:11:20	20	3,9	12
0:11:30	20	4,2	14
0:11:40	20	4,1	18
0:11:50	20	4,0	15
0:12:00	20	4,4	12
0:12:10	20	4,3	12
0:12:20	20	4,6	12
0:12:30	20	4,5	11
0:12:40	19	4,4	11
0:12:50	19	4,7	14
0:13:00	19	4,6	11
0:13:10	19	4,5	11
0:13:20	19	4,8	13
0:13:30	19	4,7	13
0:13:40	19	4,7	12
0:13:50	19	4,9	12
0:14:00	18	4,9	10
0:14:10	18	5,2	11
0:14:20	18	5,1	12
0:14:30	18	5,0	12
0:14:40	18	5,4	11
0:14:50	18	5,3	11
0:15:00	18	5,2	11
0:15:10	18	5,1	13
0:15:20	17	5,5	13
0:15:30	17	5,4	11
0:15:40	17	5,3	13
0:15:50	17	5,6	13
0:16:00	17	5,6	14
0:16:10	17	5,5	13
0:16:20	17	5,8	12
0:16:30	17	5,7	13
0:16:40	17	5,7	14
0:16:50	17	6,0	15
0:17:00	16	5,9	15
0:17:10	16	5,9	16
0:17:20	16	6,3	15
0:17:30	16	6,2	14
0:17:40	16	6,1	17
0:17:50	16	6,0	14
0:18:00	16	6,3	18
0:18:10	16	6,2	15
0:18:20	16	6,2	14
0:18:30	16	6,5	20
0:18:40	15	6,4	16
0:18:50	15	6,3	16
0:19:00	15	6,7	11
0:19:10	15	6,6	17
0:19:20	15	6,5	15
0:19:30	15	6,5	17
0:19:40	15	6,8	18
0:19:50	15	6,7	21
0:20:00	15	7,0	20
0:20:10	15	6,9	18
0:20:20	15	6,8	18
0:20:30	15	6,9	20
0:20:40	14	7,1	16
0:20:50	14	7,0	24
0:21:00	14	7,1	18
0:21:10	14	7,3	20
0:21:20	14	7,2	19
0:21:30	14	7,1	19
0:21:40	14	7,2	18
0:21:50	14	7,3	19
0:22:00	14	7,7	24
0:22:10	14	7,7	23
0:22:20	14	7,6	18
0:22:30	14	7,5	21
0:22:40	14	8,0	16
0:22:50	14	7,9	18
0:23:00	13	7,8	20
0:23:10	13	7,7	15
0:23:20	13	8,1	17
0:23:30	13	8,0	21
0:23:40	13	8,0	19
0:23:50	13	7,9	20
0:24:00	13	8,4	22
0:24:10	13	8,3	22
0:24:20	13	8,2	20
0:24:30	13	8,1	18
0:24:40	13	8,5	20
0:24:50	13	8,5	22
0:25:00	13	8,4	20
0:25:10	13	8,3	22
0:25:20	12	8,7	25
0:25:30	12	8,6	24
0:25:40	12	8,6	23
0:25:50	12	8,5	20
0:26:00	12	8,6	20
0:26:10	12	8,8	25
0:26:20	12	8,8	22
0:26:30	12	8,7	22
0:26:40	12	8,8	22
0:26:50	12	9,0	21
0:27:00	12	8,9	21
0:27:10	12	9,0	20
0:27:20	12	9,2	17
0:27:30	12	9,2	20
0:27:40	12	9,1	21
0:27:50	12	9,3	22
0:28:00	11	9,3	23
0:28:10	11	9,2	24
0:28:20	11	9,4	22
0:28:30	11	9,4	26
0:28:40	11	9,6	23
0:28:50	11	9,6	20
0:29:00	11	9,5	20
0:29:10	11	9,6	20
0:29:20	11	9,7	19
0:29:30	11	9,9	21
0:29:40	11	9,8	21
0:29:50	11	9,8	22
0:30:00	11	9,8	20
0:30:10	11	9,8	20
0:30:20	11	10,0	23
0:30:30	11	9,9	23
0:30:40	11	9,9	23
0:30:50	11	9,8	21
0:31:00	10	9,9	18
0:31:10	10	9,8	20
0:31:20	10	10,1	23
0:31:30	10	10,0	21
0:31:40	10	10,0	20
0:31:50	10	9,9	23
0:32:00	10	9,9	24
0:32:10	10	9,8	25
0:32:20	10	10,3	20
0:32:30	10	10,2	21
0:32:40	10	10,2	20
0:32:50	10	10,1	18
0:33:00	10	10,1	20
0:33:10	10	10,0	25
0:33:20	10	10,0	27
0:33:30	10	10,0	25
0:33:40	10	9,9	24
0:33:50	10	9,9	24
0:34:00	10	9,8	23
0:34:10	9	10,3	25
