--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	19.03.2013
Test Start Time	11:04:51
Test Stop Date	20.03.2013
Test Stop Time	13:24:10
Test Length	26:19:19
Final Sample Time Offset	26:19:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 70C (30min), 85C (240min); P: 3000psi; tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%TA-1+0.8%Diacel FL+0.2%LTR+0.8%CFR-10
Information	Density	1940
Information	BHCT	70
Information	BHST	85
Information	FluidLoss	22 cc/30min (Measured)
Information	JobType	Liner
Calculated Value	CS_50	12:48:00
Calculated Value	CS_500	14:11:00
Calculated Value	CS_Time8h	0,00 MPa
Calculated Value	CS_Time12h	0,00 MPa
Calculated Value	CS_Time24h	21,45 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	84 °C
Initial Transit Time (microsec/in)	15,99 microsec/in
Final Transit Time (microsec/in)	8,17 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	22,32 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	15,99	0,00
0:00:30	23	15,99	0,00
0:01:00	23	16,00	0,00
0:01:30	23	16,02	0,00
0:02:00	23	16,04	0,00
0:02:30	23	16,02	0,00
0:03:00	24	16,04	0,00
0:03:30	24	16,04	0,00
0:04:00	24	16,05	0,00
0:04:30	24	16,05	0,00
0:05:00	25	16,05	0,00
0:05:30	25	16,05	0,00
0:06:00	26	16,05	0,00
0:06:30	26	16,05	0,00
0:07:00	27	16,06	0,00
0:07:30	28	16,07	0,00
0:08:00	28	16,07	0,00
0:08:30	29	16,07	0,00
0:09:00	30	16,06	0,00
0:09:30	31	16,05	0,00
0:10:00	32	16,03	0,00
0:10:30	33	16,02	0,00
0:11:00	34	16,00	0,00
0:11:30	35	15,98	0,00
0:12:00	35	15,96	0,01
0:12:30	36	15,94	0,02
0:13:00	37	15,93	0,02
0:13:30	37	15,90	0,03
0:14:00	38	15,89	0,03
0:14:30	39	15,88	0,04
0:15:00	40	15,85	0,04
0:15:30	40	15,84	0,05
0:16:00	41	15,82	0,05
0:16:30	42	15,81	0,06
0:17:00	43	15,79	0,06
0:17:30	43	15,77	0,07
0:18:00	44	15,76	0,07
0:18:30	45	15,75	0,08
0:19:00	46	15,72	0,09
0:19:30	47	15,72	0,09
0:20:00	48	15,70	0,09
0:20:30	49	15,69	0,10
0:21:00	50	15,67	0,10
0:21:30	51	15,66	0,11
0:22:00	52	15,65	0,11
0:22:30	53	15,64	0,11
0:23:00	54	15,63	0,12
0:23:30	54	15,63	0,12
0:24:00	55	15,62	0,12
0:24:30	56	15,62	0,12
0:25:00	57	15,61	0,12
0:25:30	58	15,60	0,13
0:26:00	59	15,60	0,13
0:26:30	59	15,60	0,13
0:27:00	60	15,60	0,13
0:27:30	61	15,59	0,13
0:28:00	62	15,59	0,13
0:28:30	63	15,59	0,13
0:29:00	64	15,59	0,13
0:29:30	64	15,58	0,14
0:30:00	65	15,58	0,14
0:30:30	66	15,58	0,14
0:31:00	67	15,58	0,14
0:31:30	68	15,58	0,14
0:32:00	69	15,58	0,14
0:32:30	69	15,58	0,14
0:33:00	70	15,58	0,14
0:33:30	71	15,59	0,13
0:34:00	71	15,59	0,13
0:34:30	72	15,59	0,13
0:35:00	72	15,59	0,13
0:35:30	73	15,59	0,13
0:36:00	73	15,59	0,13
0:36:30	74	15,60	0,13
0:37:00	74	15,60	0,13
0:37:30	74	15,60	0,13
0:38:00	74	15,60	0,13
0:38:30	74	15,60	0,13
0:39:00	74	15,60	0,13
0:39:30	74	15,61	0,12
0:40:00	75	15,61	0,12
0:40:30	75	15,62	0,12
0:41:00	75	15,62	0,12
0:41:30	75	15,63	0,12
0:42:00	74	15,63	0,12
0:42:30	74	15,71	0,09
0:43:00	74	15,72	0,09
0:43:30	74	15,72	0,09
0:44:00	74	15,72	0,09
0:44:30	74	15,73	0,08
0:45:00	74	15,73	0,08
0:45:30	74	15,74	0,08
0:46:00	74	15,74	0,08
0:46:30	74	15,74	0,08
0:47:00	74	15,75	0,08
0:47:30	73	15,74	0,08
0:48:00	73	15,74	0,08
0:48:30	73	15,75	0,08
0:49:00	73	15,75	0,08
0:49:30	73	15,75	0,08
0:50:00	73	15,75	0,08
0:50:30	73	15,75	0,08
0:51:00	72	15,76	0,07
0:51:30	72	15,77	0,07
0:52:00	72	15,77	0,07
0:52:30	72	15,77	0,07
0:53:00	72	15,77	0,07
0:53:30	72	15,78	0,07
0:54:00	72	15,78	0,07
0:54:30	72	15,78	0,07
0:55:00	72	15,78	0,07
0:55:30	72	15,78	0,07
0:56:00	72	15,78	0,07
0:56:30	72	15,78	0,07
0:57:00	72	15,78	0,07
0:57:30	72	15,78	0,07
0:58:00	72	15,78	0,07
0:58:30	72	15,78	0,07
0:59:00	72	15,78	0,07
0:59:30	72	15,78	0,07
1:00:00	72	15,78	0,07
1:00:30	72	15,78	0,07
1:01:00	72	15,78	0,07
1:01:30	72	15,78	0,07
1:02:00	72	15,78	0,07
1:02:30	72	15,78	0,07
1:03:00	72	15,72	0,09
1:03:30	72	15,72	0,09
1:04:00	72	15,72	0,09
1:04:30	72	15,72	0,09
1:05:00	72	15,73	0,08
1:05:30	72	15,73	0,08
1:06:00	72	15,73	0,08
1:06:30	72	15,73	0,08
1:07:00	72	15,73	0,08
1:07:30	72	15,73	0,08
1:08:00	72	15,74	0,08
1:08:30	72	15,74	0,08
1:09:00	72	15,73	0,08
1:09:30	72	15,74	0,08
1:10:00	72	15,74	0,08
1:10:30	72	15,74	0,08
1:11:00	72	15,74	0,08
1:11:30	72	15,74	0,08
1:12:00	72	15,74	0,08
1:12:30	72	15,74	0,08
1:13:00	72	15,74	0,08
1:13:30	72	15,74	0,08
1:14:00	72	15,75	0,08
1:14:30	72	15,74	0,08
1:15:00	72	15,75	0,08
1:15:30	72	15,75	0,08
1:16:00	72	15,75	0,08
1:16:30	73	15,75	0,08
1:17:00	73	15,75	0,08
1:17:30	73	15,75	0,08
1:18:00	73	15,75	0,08
1:18:30	73	15,74	0,08
1:19:00	73	15,75	0,08
1:19:30	73	15,75	0,08
1:20:00	73	15,75	0,08
1:20:30	73	15,75	0,08
1:21:00	73	15,75	0,08
1:21:30	73	15,75	0,08
1:22:00	73	15,75	0,08
1:22:30	73	15,75	0,08
1:23:00	73	15,75	0,08
1:23:30	73	15,75	0,08
1:24:00	73	15,75	0,08
1:24:30	73	15,75	0,08
1:25:00	73	15,75	0,08
1:25:30	73	15,75	0,08
1:26:00	73	15,75	0,08
1:26:30	73	15,75	0,08
1:27:00	73	15,75	0,08
1:27:30	73	15,75	0,08
1:28:00	73	15,75	0,08
1:28:30	73	15,75	0,08
1:29:00	73	15,75	0,08
1:29:30	73	15,75	0,08
1:30:00	73	15,75	0,08
1:30:30	73	15,75	0,08
1:31:00	73	15,75	0,08
1:31:30	73	15,75	0,08
1:32:00	73	15,75	0,08
1:32:30	73	15,75	0,08
1:33:00	73	15,75	0,08
1:33:30	73	15,75	0,08
1:34:00	74	15,76	0,07
1:34:30	74	15,76	0,07
1:35:00	74	15,76	0,07
1:35:30	74	15,76	0,07
1:36:00	74	15,76	0,07
1:36:30	74	15,76	0,07
1:37:00	74	15,76	0,07
1:37:30	74	15,76	0,07
1:38:00	74	15,76	0,07
1:38:30	74	15,76	0,07
1:39:00	74	15,71	0,09
1:39:30	74	15,71	0,09
1:40:00	74	15,71	0,09
1:40:30	74	15,72	0,09
1:41:00	74	15,72	0,09
1:41:30	74	15,72	0,09
1:42:00	74	15,72	0,09
1:42:30	74	15,72	0,09
1:43:00	74	15,72	0,09
1:43:30	74	15,72	0,09
1:44:00	74	15,72	0,09
1:44:30	74	15,72	0,09
1:45:00	74	15,72	0,09
1:45:30	74	15,72	0,09
1:46:00	74	15,72	0,09
1:46:30	74	15,72	0,09
1:47:00	74	15,72	0,09
1:47:30	74	15,72	0,09
1:48:00	74	15,72	0,09
1:48:30	74	15,72	0,09
1:49:00	74	15,72	0,09
1:49:30	74	15,72	0,09
1:50:00	74	15,72	0,09
1:50:30	75	15,72	0,09
1:51:00	75	15,72	0,09
1:51:30	75	15,72	0,09
1:52:00	75	15,72	0,09
1:52:30	75	15,72	0,09
1:53:00	75	15,73	0,08
1:53:30	75	15,73	0,08
1:54:00	75	15,73	0,08
1:54:30	75	15,73	0,08
1:55:00	75	15,73	0,08
1:55:30	75	15,73	0,08
1:56:00	75	15,73	0,08
1:56:30	75	15,73	0,08
1:57:00	75	15,73	0,08
1:57:30	75	15,73	0,08
1:58:00	75	15,73	0,08
1:58:30	75	15,73	0,08
1:59:00	75	15,73	0,08
1:59:30	75	15,74	0,08
2:00:00	75	15,74	0,08
2:00:30	75	15,74	0,08
2:01:00	75	15,74	0,08
2:01:30	75	15,74	0,08
2:02:00	75	15,74	0,08
2:02:30	75	15,74	0,08
2:03:00	75	15,74	0,08
2:03:30	75	15,74	0,08
2:04:00	75	15,74	0,08
2:04:30	75	15,74	0,08
2:05:00	75	15,74	0,08
2:05:30	75	15,74	0,08
2:06:00	75	15,74	0,08
2:06:30	75	15,74	0,08
2:07:00	75	15,74	0,08
2:07:30	75	15,75	0,08
2:08:00	76	15,75	0,08
2:08:30	76	15,75	0,08
2:09:00	76	15,75	0,08
2:09:30	76	15,75	0,08
2:10:00	76	15,75	0,08
2:10:30	76	15,75	0,08
2:11:00	76	15,75	0,08
2:11:30	76	15,75	0,08
2:12:00	76	15,75	0,08
