--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	12.04.2013
Test Start Time	7:54:23
Test Stop Date	12.04.2013
Test Stop Time	11:35:23
Test Length	3:41:00
Final Sample Time Offset	3:41:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 70C(40min); P: 40MPa(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	90%G+10%Silica Fume (BVOB)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.3%TC-101+0.7%CFL-6+0.7%CFR-10+0.1%LTR
Information	Density	1800
Information	BHCT	70
Information	BHST	85
Information	FluidLoss	N/A
Information	JobType	Production csg
Calculated Value	Time_30Bc	3:30:20
Calculated Value	Time_70Bc	3:41:00
Initial Temperature (°C)	26 °C
Final Temperature (°C)	69 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	40,8 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	72 Bc
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	73 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	26	0,5	9	23	150
0:00:10	26	0,5	9	23	150
0:00:20	26	0,6	9	23	150
0:00:30	26	0,8	9	23	150
0:00:40	26	1,0	9	24	150
0:00:50	26	1,2	9	24	150
0:01:00	26	1,5	9	25	150
0:01:10	26	1,6	9	25	150
0:01:20	26	1,7	9	26	150
0:01:30	26	2,1	9	27	150
0:01:40	26	2,3	9	28	150
0:01:50	26	2,5	9	29	150
0:02:00	26	2,8	9	28	150
0:02:10	26	3,1	9	28	150
0:02:20	26	3,4	9	32	150
0:02:30	26	3,8	9	32	150
0:02:40	26	4,1	9	34	150
0:02:50	26	4,2	9	36	150
0:03:00	26	4,4	9	37	150
0:03:10	26	4,6	9	38	150
0:03:20	26	4,7	9	39	150
0:03:30	26	4,9	9	40	150
0:03:40	26	5,1	9	40	150
0:03:50	26	5,3	9	41	150
0:04:00	26	5,4	9	43	150
0:04:10	26	5,6	9	43	150
0:04:20	27	5,7	9	44	150
0:04:30	27	5,9	9	44	150
0:04:40	27	6,1	9	45	150
0:04:50	27	6,2	9	45	150
0:05:00	27	6,4	9	46	150
0:05:10	28	6,5	9	46	150
0:05:20	28	6,7	9	46	150
0:05:30	28	6,8	9	46	150
0:05:40	29	7,0	9	47	150
0:05:50	29	7,2	9	46	150
0:06:00	29	7,3	9	46	150
0:06:10	30	7,4	9	46	150
0:06:20	30	7,5	9	46	150
0:06:30	30	7,5	9	46	150
0:06:40	31	7,5	9	46	150
0:06:50	31	7,5	9	46	150
0:07:00	31	7,5	9	45	150
0:07:10	32	7,4	9	45	150
