--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	18.04.2013
Test Start Time	7:56:12
Test Stop Date	18.04.2013
Test Stop Time	9:57:12
Test Length	2:01:00
Final Sample Time Offset	2:01:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 58C(50min); P: 30MPa(50min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	80%G+20%Silica Fume (BWOB)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%CFL-6+0,6%SMS+0,05%R-7 (BWOC)
Information	Density	1540
Information	BHCT	58
Information	BHST	64
Information	FluidLoss	128 cc/30min (Measured)
Information	JobType	Production csg
Calculated Value	Time_30Bc	1:39:30
Calculated Value	Time_70Bc	2:01:00
Initial Temperature (°C)	28 °C
Final Temperature (°C)	63 °C
Initial Pressure (MPa)	0,3 MPa
Final Pressure (MPa)	30,0 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (°C)	26 °C
Final Wall Temperature (°C)	56 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	28	0,3	6	26	150
0:00:10	28	0,3	6	26	150
0:00:20	28	0,4	6	27	150
0:00:30	28	0,6	6	27	150
0:00:40	28	0,6	6	27	150
0:00:50	28	0,7	6	27	150
0:01:00	28	0,8	6	27	150
0:01:10	28	1,0	6	28	150
0:01:20	28	1,1	6	28	150
0:01:30	28	1,2	6	29	150
0:01:40	28	1,3	6	29	150
0:01:50	28	1,4	6	30	150
0:02:00	28	1,5	6	30	150
0:02:10	28	1,6	6	31	150
0:02:20	28	1,8	6	32	150
0:02:30	28	2,0	6	33	150
0:02:40	28	2,2	6	34	150
0:02:50	28	2,4	6	34	150
0:03:00	28	2,6	6	34	150
0:03:10	28	2,8	6	35	150
0:03:20	28	3,0	6	35	150
0:03:30	28	3,3	6	36	150
0:03:40	28	3,5	6	37	150
0:03:50	28	3,5	6	37	150
0:04:00	28	3,6	6	37	150
0:04:10	29	3,7	6	38	150
0:04:20	29	3,8	6	38	150
0:04:30	29	3,9	6	39	150
0:04:40	29	4,0	6	39	150
0:04:50	29	4,1	6	39	150
0:05:00	29	4,2	6	39	150
0:05:10	29	4,3	6	40	150
0:05:20	29	4,4	6	40	150
0:05:30	30	4,5	6	40	150
0:05:40	30	4,6	6	40	150
0:05:50	30	4,7	6	40	150
0:06:00	30	4,7	6	40	150
0:06:10	30	4,8	6	40	150
