--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	15.05.2013
Test Start Time	15:22:19
Test Stop Date	17.05.2013
Test Stop Time	13:47:22
Test Length	46:25:03
Final Sample Time Offset	46:25:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 90(40), 120(240)
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	30%SFlour+1%TA-1+0.8%CFL-17+1%CFR-12+0.05%LTR
Information	Density	1890
Information	BHCT	90
Information	BHST	120
Information	FluidLoss	32cc/30 min
Information	JobType	
Calculated Value	CS_50	3:33:00
Calculated Value	CS_500	3:59:30
Calculated Value	CS_Time8h	15,86 MPa
Calculated Value	CS_Time12h	18,78 MPa
Calculated Value	CS_Time24h	23,69 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	119 °C
Initial Transit Time (microsec/in)	15,20 microsec/in
Final Transit Time (microsec/in)	7,68 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	29,84 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	15,20	0,00
0:00:30	23	15,20	0,00
0:01:00	23	15,21	0,00
0:01:30	23	15,21	0,00
0:02:00	23	15,21	0,00
0:02:30	24	15,16	0,02
0:03:00	24	15,16	0,02
0:03:30	24	15,17	0,01
0:04:00	24	15,18	0,01
0:04:30	24	15,18	0,01
0:05:00	24	15,18	0,01
0:05:30	25	15,18	0,01
0:06:00	25	15,17	0,01
0:06:30	26	15,17	0,01
0:07:00	27	15,16	0,02
0:07:30	27	15,16	0,02
0:08:00	28	15,14	0,02
0:08:30	29	15,12	0,03
0:09:00	30	15,11	0,04
0:09:30	31	15,09	0,05
0:10:00	32	15,07	0,05
0:10:30	33	15,06	0,06
0:11:00	34	15,04	0,07
0:11:30	35	15,01	0,08
0:12:00	36	14,99	0,09
0:12:30	37	14,97	0,10
0:13:00	37	14,95	0,11
0:13:30	38	14,92	0,12
0:14:00	39	14,90	0,13
0:14:30	40	14,88	0,14
0:15:00	40	14,86	0,15
0:15:30	41	14,84	0,16
0:16:00	42	14,82	0,16
0:16:30	43	14,80	0,17
0:17:00	44	14,79	0,18
0:17:30	44	14,77	0,19
0:18:00	45	14,74	0,20
0:18:30	46	14,73	0,21
0:19:00	47	14,73	0,21
0:19:30	48	14,72	0,21
0:20:00	49	14,70	0,22
0:20:30	50	14,70	0,22
0:21:00	51	14,69	0,23
0:21:30	52	14,68	0,23
0:22:00	53	14,68	0,24
0:22:30	54	14,67	0,24
0:23:00	55	14,66	0,24
0:23:30	56	14,65	0,25
0:24:00	57	14,64	0,25
0:24:30	58	14,64	0,25
0:25:00	59	14,64	0,25
0:25:30	60	14,62	0,26
0:26:00	60	14,62	0,26
0:26:30	61	14,61	0,27
0:27:00	62	14,61	0,27
0:27:30	63	14,76	0,20
0:28:00	64	14,74	0,20
0:28:30	65	14,73	0,21
0:29:00	66	14,72	0,21
0:29:30	67	14,70	0,22
0:30:00	68	14,68	0,23
0:30:30	69	14,68	0,24
0:31:00	70	14,67	0,24
0:31:30	71	14,65	0,25
0:32:00	72	14,64	0,25
0:32:30	73	14,77	0,19
0:33:00	74	14,75	0,20
0:33:30	75	14,74	0,20
0:34:00	75	14,73	0,21
0:34:30	76	14,72	0,21
0:35:00	77	14,71	0,22
0:35:30	78	14,70	0,22
0:36:00	79	14,69	0,23
0:36:30	80	14,68	0,23
0:37:00	81	14,68	0,24
0:37:30	82	14,67	0,24
0:38:00	83	14,66	0,24
0:38:30	83	14,65	0,25
0:39:00	84	14,65	0,25
0:39:30	85	14,64	0,25
0:40:00	86	14,65	0,25
0:40:30	87	14,66	0,24
0:41:00	88	14,67	0,24
0:41:30	89	14,68	0,24
0:42:00	90	14,68	0,23
0:42:30	90	14,69	0,23
0:43:00	91	14,70	0,22
0:43:30	92	14,71	0,22
0:44:00	92	14,72	0,21
0:44:30	93	14,73	0,21
0:45:00	93	14,74	0,20
0:45:30	94	14,75	0,20
0:46:00	94	14,93	0,12
0:46:30	94	14,93	0,12
0:47:00	94	14,94	0,11
0:47:30	95	14,95	0,11
0:48:00	95	14,96	0,10
0:48:30	95	14,97	0,10
0:49:00	95	14,98	0,10
0:49:30	95	14,98	0,09
0:50:00	94	14,99	0,09
0:50:30	94	15,01	0,08
0:51:00	94	15,02	0,08
0:51:30	94	15,04	0,07
0:52:00	94	15,04	0,07
0:52:30	94	15,05	0,06
0:53:00	93	15,07	0,05
0:53:30	93	15,08	0,05
0:54:00	93	15,09	0,04
0:54:30	93	15,10	0,04
0:55:00	93	15,12	0,03
0:55:30	92	15,14	0,02
0:56:00	92	15,16	0,02
0:56:30	92	15,17	0,01
0:57:00	92	15,19	0,00
0:57:30	92	15,21	0,00
0:58:00	92	15,21	0,00
0:58:30	92	15,21	0,00
0:59:00	92	15,22	0,00
0:59:30	92	15,23	0,00
1:00:00	93	15,23	0,00
1:00:30	93	15,23	0,00
1:01:00	93	15,23	0,00
1:01:30	93	15,23	0,00
1:02:00	93	15,23	0,00
1:02:30	93	15,24	0,00
1:03:00	93	15,24	0,00
1:03:30	93	15,24	0,00
1:04:00	93	15,24	0,00
1:04:30	93	15,24	0,00
1:05:00	92	15,24	0,00
1:05:30	92	15,24	0,00
1:06:00	92	15,24	0,00
1:06:30	92	15,24	0,00
1:07:00	92	15,24	0,00
1:07:30	92	15,24	0,00
1:08:00	93	15,23	0,00
1:08:30	93	15,23	0,00
1:09:00	93	15,22	0,00
1:09:30	93	15,23	0,00
1:10:00	93	15,24	0,00
1:10:30	93	15,23	0,00
1:11:00	93	15,23	0,00
1:11:30	93	15,23	0,00
1:12:00	93	15,24	0,00
1:12:30	93	15,24	0,00
1:13:00	93	15,24	0,00
1:13:30	93	15,24	0,00
1:14:00	93	15,24	0,00
1:14:30	93	15,24	0,00
1:15:00	93	15,24	0,00
1:15:30	93	15,24	0,00
1:16:00	93	15,24	0,00
1:16:30	93	15,24	0,00
1:17:00	94	15,25	0,00
1:17:30	94	15,25	0,00
1:18:00	94	15,24	0,00
1:18:30	94	15,12	0,03
1:19:00	94	15,12	0,03
1:19:30	94	15,12	0,03
1:20:00	94	15,11	0,04
1:20:30	94	15,12	0,03
1:21:00	94	15,12	0,03
1:21:30	94	15,12	0,03
1:22:00	94	15,12	0,03
1:22:30	94	15,12	0,03
1:23:00	95	15,12	0,03
1:23:30	95	15,12	0,03
1:24:00	95	15,12	0,03
1:24:30	95	15,12	0,03
1:25:00	95	15,12	0,03
1:25:30	95	15,13	0,03
1:26:00	95	15,13	0,03
1:26:30	95	15,13	0,03
1:27:00	95	15,13	0,03
1:27:30	95	15,13	0,03
1:28:00	95	15,13	0,03
1:28:30	95	15,13	0,03
1:29:00	95	15,13	0,03
1:29:30	95	15,13	0,03
1:30:00	95	15,13	0,03
1:30:30	96	15,13	0,03
1:31:00	96	15,13	0,03
1:31:30	96	15,13	0,03
1:32:00	96	15,14	0,02
1:32:30	96	15,13	0,03
1:33:00	96	15,14	0,02
1:33:30	96	15,13	0,03
1:34:00	96	15,13	0,03
1:34:30	96	15,14	0,02
1:35:00	96	15,14	0,02
1:35:30	96	15,14	0,02
1:36:00	96	15,14	0,02
1:36:30	96	15,14	0,02
1:37:00	96	15,13	0,03
1:37:30	96	15,15	0,02
1:38:00	96	15,14	0,02
1:38:30	97	15,14	0,02
1:39:00	97	15,14	0,02
1:39:30	97	15,14	0,02
1:40:00	97	15,15	0,02
1:40:30	97	15,14	0,02
1:41:00	97	15,14	0,02
1:41:30	97	15,14	0,02
1:42:00	97	15,15	0,02
1:42:30	97	15,14	0,02
1:43:00	97	15,15	0,02
1:43:30	97	15,15	0,02
1:44:00	97	15,15	0,02
1:44:30	97	15,15	0,02
1:45:00	97	15,15	0,02
1:45:30	97	15,15	0,02
1:46:00	98	15,15	0,02
1:46:30	98	15,15	0,02
1:47:00	98	15,15	0,02
1:47:30	98	15,16	0,02
1:48:00	98	15,15	0,02
1:48:30	98	15,16	0,02
1:49:00	98	15,15	0,02
1:49:30	98	15,15	0,02
1:50:00	98	15,16	0,02
1:50:30	98	15,16	0,02
1:51:00	98	15,16	0,02
1:51:30	98	15,16	0,02
1:52:00	98	15,16	0,02
1:52:30	98	15,16	0,02
1:53:00	98	15,16	0,02
1:53:30	98	15,16	0,02
1:54:00	99	15,16	0,02
1:54:30	99	15,16	0,02
1:55:00	99	15,16	0,02
1:55:30	99	15,16	0,02
1:56:00	99	15,16	0,02
1:56:30	99	15,16	0,02
1:57:00	99	15,16	0,02
1:57:30	99	15,16	0,02
1:58:00	99	15,16	0,02
1:58:30	99	15,16	0,02
1:59:00	99	15,16	0,02
1:59:30	99	15,16	0,02
2:00:00	99	15,17	0,01
2:00:30	99	15,17	0,01
2:01:00	100	15,16	0,02
2:01:30	100	15,17	0,01
2:02:00	100	15,17	0,01
2:02:30	100	15,17	0,01
2:03:00	100	15,17	0,01
2:03:30	100	15,17	0,01
2:04:00	100	15,17	0,01
2:04:30	100	15,17	0,01
2:05:00	100	15,18	0,01
2:05:30	100	15,17	0,01
2:06:00	100	15,18	0,01
2:06:30	100	15,18	0,01
2:07:00	100	15,18	0,01
2:07:30	100	15,18	0,01
2:08:00	100	15,18	0,01
2:08:30	100	15,18	0,01
2:09:00	100	15,18	0,01
2:09:30	101	15,18	0,01
2:10:00	101	15,18	0,01
2:10:30	101	15,19	0,00
2:11:00	101	15,19	0,00
2:11:30	101	15,19	0,00
2:12:00	101	15,19	0,00
2:12:30	101	15,19	0,00
2:13:00	101	15,20	0,00
2:13:30	101	15,21	0,00
2:14:00	101	15,21	0,00
2:14:30	101	15,20	0,00
2:15:00	101	15,21	0,00
2:15:30	101	15,21	0,00
2:16:00	101	15,21	0,00
2:16:30	101	15,21	0,00
2:17:00	102	15,21	0,00
2:17:30	102	15,21	0,00
2:18:00	102		
2:18:30	102	15,23	0,00
2:19:00	102	15,23	0,00
2:19:30	102	15,23	0,00
2:20:00	102	15,24	0,00
2:20:30	102	15,24	0,00
2:21:00	102	15,25	0,00
2:21:30	102	15,25	0,00
2:22:00	102	15,25	0,00
2:22:30	102	15,25	0,00
2:23:00	102	15,25	0,00
2:23:30	102	15,26	0,00
2:24:00	102	15,26	0,00
2:24:30	102	15,27	0,00
2:25:00	103	15,27	0,00
2:25:30	103	15,28	0,00
2:26:00	103	15,28	0,00
2:26:30	103	15,28	0,00
2:27:00	103	15,28	0,00
2:27:30	103	15,28	0,00
2:28:00	103	15,29	0,00
2:28:30	103	15,29	0,00
2:29:00	103	15,30	0,00
2:29:30	103	15,30	0,00
2:30:00	103	15,31	0,00
2:30:30	103	15,31	0,00
2:31:00	103	15,32	0,00
2:31:30	103	15,33	0,00
2:32:00	103	15,34	0,00
2:32:30	103	15,34	0,00
2:33:00	104	15,34	0,00
2:33:30	104	15,36	0,00
2:34:00	104	15,36	0,00
2:34:30	104	15,36	0,00
2:35:00	104	15,38	0,00
2:35:30	104	15,38	0,00
2:36:00	104	15,39	0,00
2:36:30	104	15,39	0,00
2:37:00	104	15,40	0,00
2:37:30	104	15,40	0,00
2:38:00	104	15,41	0,00
2:38:30	104	15,42	0,00
2:39:00	104	15,42	0,00
2:39:30	104	15,43	0,00
2:40:00	104	15,43	0,00
2:40:30	104	15,44	0,00
2:41:00	105	15,46	0,00
2:41:30	105	15,46	0,00
2:42:00	105	15,48	0,00
2:42:30	105	15,48	0,00
2:43:00	105	15,49	0,00
2:43:30	105	15,50	0,00
2:44:00	105	15,51	0,00
2:44:30	105	15,52	0,00
2:45:00	105	15,52	0,00
2:45:30	105	15,52	0,00
2:46:00	105	15,53	0,00
2:46:30	105	15,54	0,00
2:47:00	105	15,55	0,00
2:47:30	105	15,57	0,00
2:48:00	105	15,57	0,00
2:48:30	105	15,58	0,00
2:49:00	106	15,59	0,00
2:49:30	106	15,60	0,00
2:50:00	106	15,60	0,00
2:50:30	106	15,61	0,00
2:51:00	106	15,62	0,00
2:51:30	106	15,63	0,00
2:52:00	106	15,63	0,00
2:52:30	106	15,63	0,00
2:53:00	106	15,64	0,00
2:53:30	106	15,64	0,00
2:54:00	106	15,64	0,00
2:54:30	106	15,65	0,00
2:55:00	106	15,65	0,00
2:55:30	106	15,65	0,00
2:56:00	106	15,66	0,00
2:56:30	106	15,65	0,00
2:57:00	107	15,66	0,00
2:57:30	107	15,66	0,00
2:58:00	107	15,66	0,00
2:58:30	107	15,67	0,00
2:59:00	107	15,67	0,00
2:59:30	107	15,68	0,00
3:00:00	107	15,68	0,00
3:00:30	107	15,68	0,00
3:01:00	107	15,68	0,00
3:01:30	107	15,69	0,00
3:02:00	107	15,68	0,00
3:02:30	107	15,68	0,00
3:03:00	107	15,68	0,00
3:03:30	107	15,68	0,00
3:04:00	107	15,67	0,00
3:04:30	107	15,68	0,00
3:05:00	107	15,66	0,00
3:05:30	108	15,67	0,00
3:06:00	108	15,66	0,00
3:06:30	108	15,66	0,00
3:07:00	108	15,65	0,00
3:07:30	108	15,64	0,00
3:08:00	108	15,63	0,00
3:08:30	108	15,63	0,00
3:09:00	108	15,63	0,00
3:09:30	108	15,62	0,00
3:10:00	108	15,61	0,00
3:10:30	108	15,60	0,00
3:11:00	108	15,59	0,00
3:11:30	108	15,58	0,00
3:12:00	108	15,57	0,00
3:12:30	108	15,56	0,00
3:13:00	108	15,55	0,00
3:13:30	109	15,54	0,00
3:14:00	109	15,52	0,00
3:14:30	109	15,51	0,00
3:15:00	109	15,49	0,00
3:15:30	109	15,48	0,00
3:16:00	109	15,46	0,00
3:16:30	109	15,45	0,00
3:17:00	109	15,43	0,00
3:17:30	109	15,41	0,00
3:18:00	109	15,39	0,00
3:18:30	109	15,37	0,00
3:19:00	109	15,35	0,00
3:19:30	109	15,34	0,00
3:20:00	109	15,31	0,00
3:20:30	109	15,29	0,00
3:21:00	110	15,27	0,00
3:21:30	110	15,25	0,00
3:22:00	110	15,21	0,00
3:22:30	110	15,19	0,00
3:23:00	110	15,16	0,02
3:23:30	110	15,13	0,03
3:24:00	110	15,10	0,04
3:24:30	110	15,07	0,05
3:25:00	110	15,04	0,07
3:25:30	110	15,00	0,08
3:26:00	110	14,98	0,10
3:26:30	110	14,94	0,11
3:27:00	110	14,90	0,13
3:27:30	110	14,86	0,15
3:28:00	110	14,82	0,16
3:28:30	110	14,78	0,18
3:29:00	111	14,74	0,20
3:29:30	111	14,70	0,22
3:30:00	111	14,66	0,24
3:30:30	111	14,61	0,27
3:31:00	111	14,57	0,29
3:31:30	111	14,52	0,31
3:32:00	111	14,48	0,34
3:32:30	111	14,43	0,36
3:33:00	111	14,38	0,39
3:33:30	111	14,32	0,42
3:34:00	111	14,28	0,45
3:34:30	111	14,22	0,48
3:35:00	111	14,17	0,51
3:35:30	111	14,11	0,55
3:36:00	111	14,06	0,58
3:36:30	112	14,01	0,61
3:37:00	112	13,95	0,65
3:37:30	112	13,89	0,69
3:38:00	112	13,84	0,73
3:38:30	112	13,79	0,76
3:39:00	112	13,73	0,80
3:39:30	112	13,67	0,84
3:40:00	112	13,61	0,89
3:40:30	112	13,55	0,93
3:41:00	112	13,49	0,98
3:41:30	112	13,43	1,03
3:42:00	112	13,37	1,08
3:42:30	112	13,31	1,13
3:43:00	112	13,24	1,19
3:43:30	112	13,18	1,24
3:44:00	112	13,12	1,30
3:44:30	112	13,05	1,36
3:45:00	113	13,00	1,42
3:45:30	113	12,93	1,48
3:46:00	113	12,88	1,54
3:46:30	113	12,81	1,61
3:47:00	113	12,75	1,67
3:47:30	113	12,70	1,72
3:48:00	113	12,64	1,79
3:48:30	113	12,58	1,86
3:49:00	113	12,52	1,93
3:49:30	113	12,46	2,00
3:50:00	113	12,40	2,08
3:50:30	113	12,34	2,16
3:51:00	113	12,28	2,23
3:51:30	113	12,23	2,31
3:52:00	113	12,18	2,38
3:52:30	113	12,13	2,45
3:53:00	113	12,07	2,53
3:53:30	114	12,01	2,62
3:54:00	114	11,97	2,69
3:54:30	114	11,91	2,77
3:55:00	114	11,86	2,86
3:55:30	114	11,82	2,93
3:56:00	114	11,77	3,02
3:56:30	114	11,72	3,10
3:57:00	114	11,68	3,18
3:57:30	114	11,63	3,26
3:58:00	114	11,59	3,34
3:58:30	114	11,55	3,41
3:59:00	114	11,50	3,51
3:59:30	114	11,46	3,58
4:00:00	114	11,41	3,67
4:00:30	114	11,37	3,77
4:01:00	114	11,33	3,85
4:01:30	115	11,29	3,93
4:02:00	115	11,25	4,01
4:02:30	115	11,21	4,11
4:03:00	115	11,17	4,19
4:03:30	115	11,14	4,26
4:04:00	115	11,11	4,35
4:04:30	115	11,07	4,44
4:05:00	115	11,04	4,51
4:05:30	115	11,00	4,60
4:06:00	115	10,97	4,68
4:06:30	115	10,94	4,75
4:07:00	115	10,91	4,83
4:07:30	115	10,87	4,93
4:08:00	115	10,84	5,01
4:08:30	115	10,81	5,09
4:09:00	115	10,78	5,18
4:09:30	115	10,75	5,26
4:10:00	115	10,73	5,32
4:10:30	116	10,71	5,39
4:11:00	116	10,68	5,48
4:11:30	116	10,65	5,56
4:12:00	116	10,63	5,63
4:12:30	116	10,60	5,72
4:13:00	116	10,57	5,79
4:13:30	116	10,55	5,86
4:14:00	116	10,53	5,93
4:14:30	116	10,51	6,01
4:15:00	116	10,48	6,08
4:15:30	116	10,47	6,13
4:16:00	116	10,45	6,20
4:16:30	116	10,43	6,25
4:17:00	116	10,41	6,33
4:17:30	116	10,38	6,41
4:18:00	116	10,37	6,46
4:18:30	116	10,35	6,54
4:19:00	117	10,33	6,59
4:19:30	117	10,32	6,64
4:20:00	117	10,30	6,72
4:20:30	117	10,28	6,78
4:21:00	117	10,27	6,83
4:21:30	117	10,24	6,92
4:22:00	117	10,23	6,97
4:22:30	117	10,20	7,09
4:23:00	117	10,18	7,14
4:23:30	117	10,17	7,20
4:24:00	118	10,15	7,26
4:24:30	118	10,14	7,32
4:25:00	118	10,12	7,38
4:25:30	118	10,11	7,44
4:26:00	118	10,09	7,50
4:26:30	118	10,08	7,56
4:27:00	118	10,06	7,62
4:27:30	118	10,05	7,65
4:28:00	118	10,04	7,71
4:28:30	118	10,03	7,77
4:29:00	118	10,02	7,81
4:29:30	118	10,00	7,87
4:30:00	118	9,99	7,93
4:30:30	118	9,97	8,00
4:31:00	118	9,96	8,03
4:31:30	118	9,96	8,06
4:32:00	118	9,94	8,13
4:32:30	118	9,93	8,16
4:33:00	118	9,93	8,19
4:33:30	118	9,91	8,26
4:34:00	118	9,90	8,33
4:34:30	119	9,89	8,36
4:35:00	119	9,88	8,40
4:35:30	119	9,87	8,46
4:36:00	119	9,86	8,50
4:36:30	119	9,85	8,53
4:37:00	119	9,84	8,60
4:37:30	119	9,83	8,64
4:38:00	119	9,82	8,67
4:38:30	119	9,82	8,71
4:39:00	119	9,81	8,74
4:39:30	119	9,79	8,82
4:40:00	119	9,79	8,85
4:40:30	119	9,78	8,89
4:41:00	119	9,77	8,92
4:41:30	119	9,76	8,96
4:42:00	119	9,75	9,00
4:42:30	119	9,75	9,03
4:43:00	120	9,73	9,11
4:43:30	120	9,73	9,14
4:44:00	120	9,72	9,18
4:44:30	120	9,72	9,18
4:45:00	120	9,70	9,26
4:45:30	120	9,70	9,30
4:46:00	120	9,69	9,33
4:46:30	120	9,68	9,37
4:47:00	120	9,67	9,41
4:47:30	120	9,66	9,45
4:48:00	120	9,66	9,49
4:48:30	120	9,66	9,49
4:49:00	120	9,64	9,56
4:49:30	120	9,64	9,56
4:50:00	120	9,64	9,60
4:50:30	120	9,63	9,64
4:51:00	120	9,62	9,68
4:51:30	120	9,61	9,72
4:52:00	120	9,61	9,76
4:52:30	120	9,60	9,80
4:53:00	120	9,60	9,80
4:53:30	120	9,59	9,84
4:54:00	120	9,58	9,88
4:54:30	120	9,57	9,92
4:55:00	120	9,57	9,96
4:55:30	120	9,57	9,96
4:56:00	120	9,56	10,01
4:56:30	120	9,55	10,05
4:57:00	120	9,55	10,09
4:57:30	120	9,54	10,13
4:58:00	120	9,54	10,13
4:58:30	120	9,52	10,21
4:59:00	120	9,52	10,21
4:59:30	120	9,52	10,25
5:00:00	120	9,51	10,30
5:00:30	120	9,51	10,30
5:01:00	120	9,50	10,34
5:01:30	120	9,49	10,38
5:02:00	120	9,48	10,42
5:02:30	120	9,48	10,47
5:03:00	120	9,48	10,47
5:03:30	120	9,47	10,51
5:04:00	120	9,46	10,55
5:04:30	120	9,46	10,55
5:05:00	120	9,46	10,60
5:05:30	120	9,45	10,64
5:06:00	120	9,45	10,64
5:06:30	120	9,44	10,69
5:07:00	120	9,43	10,73
5:07:30	120	9,43	10,73
5:08:00	120	9,43	10,77
5:08:30	120	9,42	10,82
5:09:00	120	9,42	10,82
5:09:30	120	9,41	10,86
5:10:00	120	9,40	10,91
5:10:30	120	9,40	10,91
5:11:00	120	9,39	10,95
5:11:30	120	9,39	11,00
5:12:00	120	9,39	11,00
5:12:30	120	9,38	11,04
5:13:00	120	9,37	11,09
5:13:30	120	9,37	11,09
5:14:00	120	9,36	11,14
5:14:30	120	9,36	11,14
5:15:00	120	9,36	11,18
5:15:30	119	9,36	11,18
5:16:00	119	9,35	11,23
5:16:30	120	9,34	11,28
5:17:00	120	9,34	11,28
5:17:30	120	9,34	11,32
5:18:00	120	9,34	11,32
5:18:30	119	9,33	11,37
5:19:00	119	9,33	11,37
5:19:30	119	9,32	11,42
5:20:00	119	9,32	11,42
5:20:30	119	9,31	11,46
5:21:00	119	9,31	11,46
5:21:30	119	9,30	11,51
5:22:00	119	9,30	11,51
5:22:30	119	9,30	11,56
5:23:00	119	9,30	11,56
5:23:30	119	9,29	11,61
5:24:00	119	9,28	11,66
5:24:30	119	9,28	11,66
5:25:00	119	9,28	11,66
5:25:30	119	9,27	11,70
5:26:00	119	9,27	11,70
5:26:30	119	9,27	11,75
5:27:00	119	9,27	11,75
5:27:30	119	9,26	11,80
5:28:00	119	9,26	11,80
5:28:30	119	9,25	11,85
5:29:00	119	9,25	11,85
5:29:30	119	9,25	11,90
5:30:00	119	9,25	11,90
5:30:30	119	9,24	11,95
5:31:00	119	9,24	11,95
5:31:30	119	9,24	11,95
5:32:00	119	9,24	11,95
5:32:30	119	9,23	12,00
5:33:00	119	9,22	12,05
5:33:30	119	9,22	12,05
5:34:00	119	9,22	12,05
5:34:30	119	9,21	12,10
5:35:00	119	9,21	12,10
5:35:30	119	9,21	12,15
5:36:00	119	9,21	12,15
5:36:30	119	9,21	12,15
5:37:00	119	9,21	12,15
5:37:30	119	9,20	12,20
5:38:00	119	9,20	12,20
5:38:30	119	9,19	12,25
5:39:00	119	9,19	12,25
5:39:30	119	9,19	12,25
5:40:00	119	9,18	12,30
5:40:30	119	9,18	12,30
5:41:00	119	9,18	12,36
5:41:30	119	9,18	12,36
5:42:00	119	9,18	12,36
5:42:30	119	9,17	12,41
5:43:00	119	9,17	12,41
5:43:30	119	9,16	12,46
5:44:00	119	9,16	12,46
5:44:30	119	9,16	12,46
5:45:00	119	9,16	12,51
5:45:30	119	9,16	12,51
5:46:00	119	9,15	12,56
5:46:30	119	9,15	12,56
5:47:00	119	9,15	12,56
5:47:30	119	9,14	12,62
5:48:00	119	9,14	12,62
5:48:30	119	9,14	12,62
5:49:00	119	9,13	12,67
5:49:30	119	9,13	12,67
5:50:00	119	9,13	12,67
5:50:30	119	9,13	12,72
5:51:00	119	9,13	12,72
5:51:30	119	9,12	12,78
5:52:00	119	9,12	12,78
5:52:30	119	9,12	12,78
5:53:00	119	9,12	12,78
5:53:30	119	9,11	12,83
5:54:00	119	9,11	12,83
5:54:30	119	9,10	12,88
5:55:00	119	9,10	12,88
5:55:30	119	9,10	12,88
5:56:00	119	9,10	12,88
5:56:30	119	9,10	12,94
5:57:00	119	9,10	12,94
5:57:30	119	9,10	12,94
5:58:00	119	9,09	12,99
5:58:30	119	9,09	12,99
5:59:00	119	9,09	12,99
5:59:30	119	9,09	12,99
6:00:00	119	9,08	13,05
6:00:30	119	9,08	13,05
6:01:00	119	9,08	13,05
6:01:30	119	9,07	13,10
6:02:00	119	9,07	13,10
6:02:30	119	9,07	13,10
6:03:00	119	9,07	13,16
6:03:30	119	9,07	13,16
6:04:00	119	9,07	13,16
6:04:30	119	9,06	13,21
6:05:00	119	9,06	13,21
6:05:30	119	9,06	13,21
6:06:00	119	9,06	13,21
6:06:30	119	9,06	13,21
6:07:00	119	9,05	13,27
6:07:30	119	9,05	13,27
6:08:00	119	9,05	13,27
6:08:30	119	9,04	13,32
6:09:00	119	9,04	13,32
6:09:30	119	9,04	13,32
6:10:00	119	9,04	13,32
6:10:30	119	9,04	13,32
6:11:00	119	9,04	13,38
6:11:30	119	9,04	13,38
6:12:00	119	9,04	13,38
6:12:30	119	9,03	13,44
6:13:00	119	9,03	13,44
6:13:30	119	9,03	13,44
6:14:00	119	9,03	13,44
6:14:30	120	9,02	13,49
6:15:00	120	9,01	13,55
6:15:30	120	9,01	13,55
6:16:00	120	9,01	13,55
6:16:30	120	9,01	13,55
6:17:00	120	9,01	13,61
6:17:30	120	9,01	13,61
6:18:00	119	9,01	13,61
6:18:30	119	9,01	13,61
6:19:00	119	9,01	13,61
6:19:30	119	9,00	13,67
6:20:00	119	9,00	13,67
6:20:30	119	9,00	13,67
6:21:00	119	9,00	13,67
6:21:30	119	8,99	13,72
6:22:00	119	8,99	13,72
6:22:30	119	8,99	13,72
6:23:00	119	8,98	13,78
6:23:30	119	8,98	13,78
6:24:00	119	8,98	13,78
6:24:30	119	8,98	13,78
6:25:00	119	8,98	13,78
6:25:30	119	8,98	13,84
6:26:00	119	8,98	13,84
6:26:30	119	8,98	13,84
6:27:00	119	8,97	13,90
6:27:30	119	8,97	13,90
6:28:00	119	8,97	13,90
