--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	11.06.2013
Test Start Time	9:33:20
Test Stop Date	13.06.2013
Test Stop Time	14:37:49
Test Length	53:04:29
Final Sample Time Offset	53:04:04
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 73C (40min); P: 3000psi; tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	50%G+50%Fly Ash+10%Micridur P-U+10%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%SMS+0,1%LTR BWOB
Information	Density	1340
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Production csg
Calculated Value	CS_50	3:05:00
Calculated Value	CS_500	10:29:30
Calculated Value	SGS_Initial	17:13:00
Calculated Value	SGS_Final	17:13:30
Calculated Value	CS_Time8h	2,71 MPa
Calculated Value	CS_Time12h	3,66 MPa
Calculated Value	CS_Time24h	4,02 MPa
Calculated Value	CS_Time48h	4,50 MPa
Calculated Value	Time_SGS_100lb/100ft2	5:45:00
Calculated Value	Time_SGS_500lb/100ft2	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	25 °C
Final Temperature (°C)	73 °C
Initial Pressure (psi)	3050 psi
Final Pressure (psi)	2934 psi
Initial Transit Time (microsec/in)	16,49 microsec/in
Final Transit Time (microsec/in)	11,82 microsec/in
Initial Gel Value	6791
Final Gel Value	7492
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	4,58 MPa
Initial Static Gel Strength (lb/100ft2)	75,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	25	3050	16,49	6791	0,00	75,0
0:00:30	25	3031	16,49	6782	0,00	75,0
0:01:00	25	3018	16,49	6772	0,00	75,1
0:01:30	25	3010	16,49	6754	0,00	75,1
0:02:00	25	3009	16,50	6743	0,00	75,1
0:02:30	25	3014	16,50	6739	0,00	75,2
0:03:00	26	3024	16,50	6730	0,00	75,2
0:03:30	26	3036	16,49	6723	0,00	75,3
0:04:00	26	3050	16,49	6723	0,00	75,3
0:04:30	27	3062	16,48	6726	0,00	75,3
0:05:00	27	3074	16,48	6725	0,00	75,4
0:05:30	27	3087	16,48	6729	0,00	75,4
0:06:00	28	3101	16,48	6736	0,00	75,4
0:06:30	28	3118	16,48	6738	0,00	75,5
0:07:00	29	3138	16,47	6743	0,01	75,5
0:07:30	29	3164	16,47	6760	0,01	75,5
0:08:00	30	3187	16,46	6772	0,01	75,6
0:08:30	30	3184	16,46	6783	0,01	75,6
0:09:00	31	3182	16,45	6791	0,01	75,7
0:09:30	31	3182	16,45	6799	0,02	75,7
0:10:00	31	3183	16,44	6813	0,02	75,7
0:10:30	32	3183	16,44	6822	0,02	75,8
0:11:00	33	3184	16,43	6836	0,02	75,8
0:11:30	33	3184	16,42	6846	0,02	75,8
0:12:00	34	3183	16,41	6862	0,03	75,9
0:12:30	34	3184	16,40	6881	0,03	75,9
0:13:00	35	3183	16,40	6889	0,03	75,9
0:13:30	35	3183	16,39	6894	0,04	76,0
0:14:00	36	3183	16,38	6900	0,04	76,0
0:14:30	36	3184	16,38	6904	0,04	76,1
0:15:00	37	3184	16,37	6905	0,04	76,1
0:15:30	38	3184	16,36	6905	0,04	76,1
0:16:00	38	3184	16,36	6897	0,05	76,2
0:16:30	39	3184	16,35	6891	0,05	76,2
0:17:00	40	3184	16,34	6883	0,05	76,2
0:17:30	40	3181	16,33	6875	0,06	76,3
0:18:00	41	3180	16,32	6863	0,06	76,3
0:18:30	41	3181	16,31	6855	0,07	76,3
