--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	12.07.2013
Test Start Time	9:01:49
Test Stop Date	12.07.2013
Test Stop Time	15:54:17
Test Length	6:52:28
Final Sample Time Offset	6:52:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 73C(40min); P: 45MPa(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	40%G+40%Fly Ash+10%Micridur R-U+10%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.5%SMS+0.5%CFL-20 (BWOB)
Information	Density	1350
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Production
Calculated Value	Time_30Bc	3:19:20
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	75 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	44,9 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	38 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,5	7
0:00:10	25	0,7	7
0:00:20	25	1,0	7
0:00:30	25	1,0	7
0:00:40	25	1,4	7
0:00:50	25	1,6	7
0:01:00	25	1,9	9
0:01:10	25	2,2	9
0:01:20	25	2,7	9
0:01:30	25	3,1	9
0:01:40	25	3,5	10
0:01:50	25	3,5	9
0:02:00	25	3,7	17
0:02:10	25	3,9	16
0:02:20	25	4,0	14
0:02:30	26	4,1	17
0:02:40	26	4,0	12
0:02:50	26	3,8	17
0:03:00	26	4,0	18
0:03:10	26	4,0	18
0:03:20	27	4,2	13
0:03:30	27	4,3	11
0:03:40	27	4,7	12
0:03:50	27	5,0	12
0:04:00	27	5,1	12
0:04:10	27	5,3	15
0:04:20	27	5,6	20
0:04:30	27	5,4	17
0:04:40	28	5,7	15
0:04:50	28	6,2	16
0:05:00	28	6,3	14
0:05:10	28	6,6	13
0:05:20	28	7,1	15
0:05:30	28	7,4	19
0:05:40	28	7,6	21
0:05:50	28	8,0	13
0:06:00	28	7,9	11
0:06:10	28	8,3	11
0:06:20	28	8,7	11
0:06:30	28	8,5	9
0:06:40	28	8,7	8
0:06:50	29	9,2	8
0:07:00	29	9,0	8
0:07:10	29	8,9	19
0:07:20	30	8,6	14
0:07:30	30	9,0	15
0:07:40	31	9,1	13
0:07:50	31	9,3	12
0:08:00	31	9,3	12
0:08:10	32	9,6	17
0:08:20	32	9,7	13
0:08:30	32	10,0	9
0:08:40	32	10,1	9
0:08:50	32	10,2	8
0:09:00	32	10,6	9
0:09:10	33	10,8	9
0:09:20	33	10,9	9
0:09:30	33	11,0	12
0:09:40	33	11,3	11
0:09:50	33	11,6	10
0:10:00	33	11,9	11
0:10:10	33	12,6	11
0:10:20	33	12,8	11
0:10:30	33	13,0	15
0:10:40	33	13,4	16
0:10:50	33	13,8	13
0:11:00	33	13,4	16
0:11:10	33	13,9	15
0:11:20	33	14,3	16
0:11:30	33	13,9	15
0:11:40	34	14,6	10
0:11:50	34	14,4	11
0:12:00	35	14,4	13
0:12:10	35	13,9	12
0:12:20	36	14,2	12
0:12:30	36	14,4	9
0:12:40	37	14,5	8
0:12:50	37	14,7	9
0:13:00	38	15,0	8
0:13:10	38	15,4	10
0:13:20	39	15,4	9
0:13:30	39	15,5	10
0:13:40	39	15,9	9
0:13:50	39	15,9	10
0:14:00	39	16,0	8
0:14:10	39	16,2	9
0:14:20	39	16,5	9
0:14:30	40	16,7	8
0:14:40	40	16,9	9
0:14:50	40	17,1	8
0:15:00	40	17,3	8
0:15:10	40	17,8	8
0:15:20	39	18,7	10
0:15:30	39	18,9	14
0:15:40	39	18,2	17
0:15:50	39	18,6	13
0:16:00	39	19,0	14
0:16:10	39	19,4	10
0:16:20	40	19,9	17
0:16:30	40	20,1	16
0:16:40	40	20,1	12
0:16:50	41	19,9	20
0:17:00	41	20,3	13
0:17:10	42	20,0	11
0:17:20	42	19,8	10
0:17:30	43	19,9	9
0:17:40	44	20,3	14
0:17:50	44	20,3	11
0:18:00	45	20,5	9
0:18:10	45	20,7	10
0:18:20	46	21,0	9
0:18:30	46	21,0	14
0:18:40	46	21,3	12
0:18:50	46	21,7	10
0:19:00	47	21,7	11
0:19:10	47	21,8	11
0:19:20	47	21,9	10
0:19:30	47	22,4	9
0:19:40	47	22,4	8
0:19:50	47	22,8	8
0:20:00	47	22,8	8
0:20:10	47	23,1	8
0:20:20	47	23,8	8
0:20:30	46	23,7	9
0:20:40	46	23,8	10
0:20:50	46	24,1	10
0:21:00	46	24,4	10
0:21:10	46	24,7	9
0:21:20	46	25,1	9
0:21:30	47	25,2	9
0:21:40	47	25,3	10
0:21:50	47	25,1	16
0:22:00	48	25,7	10
0:22:10	48	25,7	8
0:22:20	49	25,3	8
0:22:30	49	25,6	8
0:22:40	50	25,8	8
0:22:50	51	25,8	7
0:23:00	51	25,9	7
0:23:10	52	26,4	8
0:23:20	52	26,5	8
0:23:30	52	26,9	10
0:23:40	53	26,7	12
0:23:50	53	27,1	15
0:24:00	53	27,1	11
0:24:10	53	27,5	10
0:24:20	53	27,5	11
0:24:30	53	27,6	9
0:24:40	53	28,2	9
0:24:50	53	28,1	8
0:25:00	53	28,3	8
0:25:10	53	28,7	12
0:25:20	53	29,2	10
0:25:30	53	30,0	10
0:25:40	53	29,8	15
0:25:50	53	29,5	11
0:26:00	53	29,6	13
0:26:10	53	29,6	9
0:26:20	53	29,8	8
0:26:30	53	30,1	7
0:26:40	53	30,2	9
0:26:50	53	30,3	9
