--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	31.07.2013
Test Start Time	13:06:56
Test Stop Date	31.07.2013
Test Stop Time	20:02:36
Test Length	6:55:40
Final Sample Time Offset	6:55:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 25C(30min); P: 15MPa(30min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	30%SF-2+3%CaCl2+2%SMS+3%TA-1 BWOC
Information	Density	1400
Information	BHCT	25
Information	BHST	40
Information	FluidLoss	n/a
Information	JobType	Conductor csg
Calculated Value	Time_30Bc	4:21:50
Calculated Value	Time_70Bc	6:55:40
Initial Temperature (°C)	28 °C
Final Temperature (°C)	29 °C
Initial Pressure (MPa)	0,3 MPa
Final Pressure (MPa)	15,1 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	25 °C
Final Wall Temperature (°C)	28 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	28	0,3	12	25	150
0:00:10	28	0,4	12	25	150
0:00:20	28	0,5	12	25	150
0:00:30	28	0,5	12	25	150
0:00:40	28	0,6	12	26	150
0:00:50	28	0,7	12	26	150
0:01:00	28	0,8	12	26	150
0:01:10	28	0,9	12	26	150
0:01:20	28	1,0	12	26	150
0:01:30	28	1,0	12	26	150
0:01:40	28	1,2	12	26	150
0:01:50	28	1,2	12	26	150
0:02:00	28	1,3	12	26	150
0:02:10	28	1,5	12	26	150
0:02:20	28	1,5	12	27	150
0:02:30	28	1,5	12	27	150
0:02:40	28	1,6	12	27	150
0:02:50	28	1,8	12	27	150
0:03:00	28	1,8	12	27	150
0:03:10	28	1,8	12	27	150
0:03:20	28	1,9	12	27	150
0:03:30	28	2,1	12	27	150
0:03:40	28	2,1	12	27	150
0:03:50	28	2,4	12	27	150
0:04:00	28	2,4	12	27	150
0:04:10	28	2,4	12	27	150
0:04:20	28	2,4	12	26	150
0:04:30	28	2,7	12	26	150
0:04:40	28	2,7	12	26	150
0:04:50	28	2,7	12	26	150
0:05:00	28	2,9	12	26	150
0:05:10	28	2,9	12	26	150
0:05:20	28	2,9	12	26	150
0:05:30	28	3,0	12	26	150
0:05:40	28	3,4	12	26	150
0:05:50	28	3,4	12	26	150
0:06:00	28	3,3	12	26	150
0:06:10	28	3,3	12	26	150
0:06:20	28	3,5	12	26	150
0:06:30	28	3,5	12	26	150
0:06:40	28	3,7	12	26	150
0:06:50	28	3,7	12	26	150
0:07:00	28	3,7	12	26	150
0:07:10	28	4,0	12	26	150
0:07:20	28	4,0	12	26	150
0:07:30	28	4,0	12	26	150
0:07:40	28	4,1	12	26	150
0:07:50	28	4,4	12	26	150
0:08:00	28	4,4	12	26	150
0:08:10	28	4,3	12	26	150
0:08:20	28	4,5	12	26	150
0:08:30	28	4,6	13	26	150
0:08:40	28	4,6	12	26	150
0:08:50	28	4,6	12	26	150
0:09:00	28	4,9	13	26	150
0:09:10	28	4,9	13	26	150
0:09:20	28	4,9	13	26	150
0:09:30	28	5,0	13	26	150
0:09:40	28	5,0	13	26	150
0:09:50	28	5,5	13	26	150
0:10:00	28	5,4	13	26	150
0:10:10	28	5,4	13	26	150
0:10:20	28	5,4	13	26	150
0:10:30	27	5,4	13	26	150
0:10:40	27	5,7	13	26	150
0:10:50	27	5,7	13	26	150
0:11:00	27	5,7	13	26	150
0:11:10	27	6,1	13	26	150
0:11:20	27	6,1	13	26	150
0:11:30	27	6,0	13	26	150
0:11:40	27	6,0	13	26	150
0:11:50	27	6,2	13	26	150
0:12:00	27	6,2	13	26	150
0:12:10	27	6,5	13	26	150
0:12:20	27	6,5	13	26	150
0:12:30	27	6,5	13	26	150
0:12:40	27	6,5	13	26	150
0:12:50	27	6,6	13	26	150
0:13:00	27	6,9	13	26	150
0:13:10	27	6,9	13	26	150
0:13:20	27	6,9	13	26	150
0:13:30	27	6,9	13	26	150
0:13:40	27	7,1	13	26	150
0:13:50	27	7,1	13	26	150
0:14:00	27	7,3	13	26	150
0:14:10	27	7,3	13	26	150
0:14:20	27	7,3	13	26	150
0:14:30	27	7,6	13	26	150
0:14:40	27	7,5	13	26	150
0:14:50	27	7,5	13	26	150
0:15:00	27	7,8	13	26	150
0:15:10	27	7,7	13	26	150
0:15:20	27	8,1	13	26	150
0:15:30	27	8,1	13	26	150
0:15:40	27	8,1	13	26	150
0:15:50	27	8,1	13	26	150
0:16:00	27	8,1	13	26	150
0:16:10	27	8,2	13	26	150
0:16:20	27	8,5	13	26	150
0:16:30	27	8,5	13	26	150
0:16:40	27	8,5	13	26	150
