--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	23.08.2013
Test Start Time	12:41:49
Test Stop Date	26.08.2013
Test Stop Time	8:21:35
Test Length	67:39:46
Final Sample Time Offset	67:39:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T:60(30)
Information	WellID	
Information	Customer	Trican
Information	EngName	Konstantin Shut
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	17%MKU-85+0.5%CFL-17+0.15%HEC-SA+0.1%LTR
Information	Density	1600
Information	BHCT	60
Information	BHST	
Information	FluidLoss	60
Information	JobType	Research
Calculated Value	CS_50	5:36:00
Calculated Value	CS_500	10:46:00
Calculated Value	CS_Time8h	1,60 MPa
Calculated Value	CS_Time12h	4,94 MPa
Calculated Value	CS_Time24h	11,41 MPa
Calculated Value	CS_Time48h	12,22 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	60 °C
Initial Transit Time (microsec/in)	16,83 microsec/in
Final Transit Time (microsec/in)	9,80 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	12,70 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	16,83	0,00
0:00:30	24	16,83	0,00
0:01:00	24	16,84	0,00
0:01:30	24	16,84	0,00
0:02:00	24	16,85	0,00
0:02:30	24	16,85	0,00
0:03:00	25	16,85	0,00
0:03:30	25	16,85	0,00
0:04:00	25	16,86	0,00
0:04:30	25	16,86	0,00
0:05:00	26	16,85	0,00
0:05:30	26	16,85	0,00
0:06:00	26	16,85	0,00
0:06:30	27	16,84	0,00
0:07:00	27	16,83	0,00
0:07:30	28	16,83	0,00
0:08:00	29	16,82	0,00
0:08:30	29	16,81	0,00
0:09:00	30	16,80	0,01
0:09:30	30	16,79	0,01
0:10:00	31	16,77	0,02
0:10:30	32	16,76	0,02
0:11:00	32	16,74	0,03
0:11:30	33	16,73	0,03
0:12:00	34	16,72	0,03
0:12:30	34	16,71	0,04
0:13:00	35	16,70	0,04
0:13:30	35	16,74	0,03
0:14:00	36	16,71	0,04
0:14:30	37	16,69	0,04
0:15:00	37	16,68	0,05
0:15:30	38	16,66	0,05
0:16:00	38	16,64	0,06
0:16:30	39	16,62	0,07
0:17:00	39	16,62	0,07
0:17:30	40	16,60	0,07
0:18:00	41	16,59	0,08
0:18:30	41	16,58	0,08
0:19:00	42	16,57	0,08
0:19:30	43	16,56	0,09
0:20:00	44	16,55	0,09
0:20:30	44	16,54	0,09
0:21:00	45	16,53	0,10
0:21:30	46	16,52	0,10
0:22:00	46	16,51	0,10
0:22:30	47	16,50	0,11
0:23:00	48	16,49	0,11
0:23:30	48	16,48	0,11
0:24:00	49	16,47	0,12
0:24:30	50	16,46	0,12
0:25:00	50	16,45	0,13
0:25:30	51	16,44	0,13
0:26:00	52	16,44	0,13
0:26:30	52	16,43	0,13
0:27:00	53	16,42	0,14
0:27:30	53	16,41	0,14
0:28:00	54	16,41	0,14
0:28:30	55	16,40	0,14
0:29:00	55	16,39	0,15
0:29:30	56	16,38	0,15
0:30:00	57	16,38	0,15
0:30:30	57	16,38	0,15
0:31:00	58	16,41	0,14
0:31:30	59	16,41	0,14
0:32:00	59	16,39	0,15
0:32:30	60	16,38	0,15
0:33:00	60	16,37	0,16
0:33:30	61	16,36	0,16
0:34:00	61	16,35	0,16
0:34:30	62	16,35	0,16
0:35:00	62	16,34	0,17
0:35:30	62	16,33	0,17
0:36:00	63	16,33	0,17
0:36:30	63	16,32	0,17
0:37:00	63	16,32	0,17
0:37:30	63	16,32	0,17
0:38:00	63	16,32	0,17
0:38:30	63	16,32	0,17
0:39:00	64	16,32	0,17
0:39:30	64	16,32	0,17
0:40:00	64	16,32	0,17
0:40:30	64	16,32	0,17
0:41:00	64	16,32	0,17
0:41:30	64	16,32	0,17
0:42:00	64	16,32	0,17
0:42:30	64	16,32	0,17
0:43:00	64	16,32	0,17
0:43:30	64	16,32	0,17
0:44:00	64	16,32	0,17
0:44:30	64	16,32	0,17
0:45:00	64	16,32	0,17
0:45:30	64	16,33	0,17
0:46:00	64	16,33	0,17
0:46:30	64	16,33	0,17
0:47:00	63	16,34	0,17
0:47:30	63	16,34	0,17
0:48:00	63	16,34	0,17
0:48:30	63	16,34	0,17
0:49:00	63	16,35	0,16
0:49:30	63	16,35	0,16
0:50:00	63	16,35	0,16
0:50:30	63	16,35	0,16
0:51:00	63	16,35	0,16
0:51:30	63	16,35	0,16
0:52:00	63	16,36	0,16
0:52:30	63	16,36	0,16
0:53:00	62	16,36	0,16
0:53:30	62	16,37	0,16
0:54:00	62	16,37	0,16
0:54:30	62	16,37	0,16
0:55:00	62	16,38	0,15
0:55:30	62	16,38	0,15
0:56:00	62	16,38	0,15
0:56:30	62	16,38	0,15
0:57:00	62	16,38	0,15
0:57:30	62	16,37	0,16
0:58:00	61	16,38	0,15
0:58:30	61	16,38	0,15
0:59:00	61	16,38	0,15
0:59:30	61	16,38	0,15
1:00:00	61	16,38	0,15
1:00:30	61	16,38	0,15
1:01:00	61	16,38	0,15
1:01:30	61	16,38	0,15
1:02:00	61	16,38	0,15
1:02:30	61	16,38	0,15
1:03:00	61	16,38	0,15
1:03:30	61	16,39	0,15
1:04:00	61	16,39	0,15
1:04:30	61	16,39	0,15
1:05:00	61	16,39	0,15
1:05:30	61	16,39	0,15
1:06:00	61	16,39	0,15
1:06:30	61	16,39	0,15
1:07:00	61	16,40	0,14
1:07:30	61	16,40	0,14
1:08:00	61	16,40	0,14
1:08:30	61	16,40	0,14
1:09:00	61	16,41	0,14
1:09:30	61	16,41	0,14
1:10:00	61	16,41	0,14
1:10:30	61	16,41	0,14
1:11:00	61	16,41	0,14
1:11:30	61	16,41	0,14
1:12:00	60	16,41	0,14
1:12:30	60	16,41	0,14
1:13:00	60	16,41	0,14
1:13:30	60	16,41	0,14
1:14:00	60	16,41	0,14
1:14:30	60	16,41	0,14
1:15:00	60	16,41	0,14
1:15:30	60	16,41	0,14
1:16:00	60	16,41	0,14
1:16:30	60	16,41	0,14
1:17:00	60	16,41	0,14
1:17:30	60	16,41	0,14
1:18:00	60	16,42	0,14
1:18:30	60	16,42	0,14
1:19:00	60	16,42	0,14
1:19:30	60	16,42	0,14
1:20:00	60	16,42	0,14
1:20:30	60	16,42	0,14
1:21:00	60	16,42	0,14
1:21:30	60	16,42	0,14
1:22:00	60	16,42	0,14
