--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	08.10.2013
Test Start Time	16:12:15
Test Stop Date	11.10.2013
Test Stop Time	8:25:25
Test Length	64:13:10
Final Sample Time Offset	64:13:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 80C (40min); P: 3000psi; tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	5%monolit-K
Information	Density	1900
Information	BHCT	73
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	2:48:30
Calculated Value	CS_500	3:57:00
Calculated Value	CS_Time8h	11,88 MPa
Calculated Value	CS_Time12h	15,40 MPa
Calculated Value	CS_Time24h	18,84 MPa
Calculated Value	CS_Time48h	21,54 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	79 °C
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	8,17 microsec/in
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	22,50 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24		
0:00:30	24	16,68	0,00
0:01:00	24	16,69	0,00
0:01:30	24	16,70	0,00
0:02:00	24	16,70	0,00
0:02:30	24	16,70	0,00
0:03:00	24	16,70	0,00
0:03:30	24	16,69	0,00
0:04:00	24	16,69	0,00
0:04:30	24	16,65	0,01
0:05:00	25	16,65	0,01
0:05:30	25	16,64	0,01
0:06:00	25	16,63	0,01
0:06:30	26	16,62	0,01
0:07:00	26	16,62	0,01
0:07:30	27	16,61	0,02
0:08:00	28	16,59	0,02
0:08:30	29	16,58	0,02
0:09:00	29	16,56	0,03
0:09:30	30	16,54	0,03
0:10:00	31	16,53	0,04
0:10:30	32	16,50	0,04
0:11:00	33	16,48	0,05
0:11:30	34	16,46	0,05
0:12:00	35	16,44	0,06
0:12:30	35	16,43	0,06
0:13:00	36	16,41	0,07
0:13:30	37	16,40	0,07
0:14:00	37	16,38	0,07
0:14:30	38	16,37	0,08
0:15:00	39	16,35	0,08
0:15:30	39	16,34	0,09
0:16:00	40	16,32	0,09
0:16:30	41	16,32	0,09
0:17:00	41	16,30	0,10
0:17:30	42	16,29	0,10
0:18:00	42	16,28	0,10
0:18:30	43	16,27	0,10
0:19:00	44	16,26	0,11
0:19:30	45	16,25	0,11
0:20:00	46	16,24	0,11
0:20:30	47	16,23	0,12
0:21:00	48	16,23	0,12
0:21:30	48	16,21	0,12
0:22:00	49	16,20	0,12
0:22:30	50	16,20	0,13
0:23:00	51	16,19	0,13
0:23:30	52	16,17	0,13
0:24:00	53	16,17	0,13
0:24:30	54	16,16	0,14
0:25:00	54	16,14	0,14
0:25:30	55	16,14	0,14
0:26:00	56	16,13	0,15
0:26:30	56	16,12	0,15
0:27:00	57	16,11	0,15
0:27:30	58	16,10	0,15
0:28:00	58	16,09	0,16
0:28:30	59	16,08	0,16
0:29:00	60	16,08	0,16
0:29:30	61	16,07	0,16
0:30:00	61	16,06	0,16
0:30:30	62	16,05	0,17
0:31:00	63	16,05	0,17
0:31:30	64	16,05	0,17
0:32:00	65	16,04	0,17
0:32:30	66	16,03	0,17
0:33:00	67	16,03	0,17
0:33:30	67	16,02	0,18
0:34:00	68	16,02	0,18
0:34:30	69	16,02	0,18
0:35:00	70	16,02	0,18
0:35:30	70	16,02	0,18
0:36:00	71	16,02	0,18
0:36:30	72	16,02	0,18
0:37:00	73	16,02	0,18
0:37:30	73	16,02	0,18
0:38:00	74	16,02	0,18
0:38:30	75	16,02	0,18
0:39:00	75	16,02	0,18
0:39:30	76	16,03	0,17
0:40:00	77	16,03	0,17
0:40:30	78	16,03	0,17
0:41:00	78	16,03	0,17
0:41:30	79	16,04	0,17
0:42:00	80	16,04	0,17
0:42:30	81	16,04	0,17
0:43:00	81	16,05	0,17
0:43:30	82	16,05	0,17
0:44:00	82	16,05	0,17
0:44:30	83	16,06	0,16
0:45:00	83	16,06	0,16
0:45:30	83	16,07	0,16
0:46:00	84	16,07	0,16
0:46:30	84	16,08	0,16
0:47:00	84	16,08	0,16
0:47:30	84	16,08	0,16
0:48:00	84	16,08	0,16
0:48:30	84	16,09	0,16
0:49:00	84	16,10	0,15
0:49:30	84	16,10	0,15
0:50:00	84	16,11	0,15
0:50:30	84	16,11	0,15
0:51:00	84	16,12	0,15
0:51:30	84	16,12	0,15
0:52:00	84	16,13	0,15
0:52:30	83	16,14	0,14
0:53:00	83	16,14	0,14
0:53:30	83	16,14	0,14
