--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	25.10.2013
Test Start Time	11:40:22
Test Stop Date	25.10.2013
Test Stop Time	14:50:01
Test Length	3:09:39
Final Sample Time Offset	3:09:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 50C(30min); P: 25MPa(30min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	80%G+20%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1.25%SMS+1.5%CFL-2+0.3%TC-101+2%TA-1+0.2%AFA-6 BWOC
Information	Density	1400
Information	BHCT	50
Information	BHST	70
Information	FluidLoss	50cc/30min
Information	JobType	Liner
Calculated Value	Time_30Bc	0:01:00
Calculated Value	Time_70Bc	2:48:50
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	52 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	83 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	0,5	16
0:00:10	26	0,6	17
0:00:20	26	0,8	20
0:00:30	26	1,0	23
0:00:40	26	1,0	28
0:00:50	26	1,4	32
0:01:00	26	1,6	31
0:01:10	26	1,8	33
0:01:20	26	2,1	21
0:01:30	26	2,6	23
0:01:40	26	2,8	21
0:01:50	26	3,0	24
0:02:00	26	3,1	24
0:02:10	26	3,2	26
0:02:20	26	3,4	25
0:02:30	26	3,5	27
0:02:40	26	3,6	27
0:02:50	27	3,7	30
0:03:00	27	3,6	23
0:03:10	27	3,4	24
0:03:20	27	3,1	20
0:03:30	27	3,3	18
0:03:40	28	3,5	26
0:03:50	28	3,6	30
0:04:00	28	3,8	28
0:04:10	28	4,0	26
0:04:20	28	4,3	25
0:04:30	28	4,2	20
0:04:40	28	4,5	27
0:04:50	28	4,4	28
0:05:00	28	4,7	27
0:05:10	28	5,1	26
0:05:20	28	5,0	24
0:05:30	28	5,1	23
0:05:40	28	5,1	25
0:05:50	28	5,6	23
0:06:00	28	5,8	23
0:06:10	29	6,2	22
0:06:20	28	6,5	20
0:06:30	29	6,6	16
0:06:40	29	6,9	14
0:06:50	29	7,1	14
0:07:00	29	7,1	18
0:07:10	29	7,5	17
0:07:20	29	7,3	18
0:07:30	29	7,5	23
0:07:40	29	7,6	31
0:07:50	29	7,9	26
0:08:00	29	7,9	27
0:08:10	30	7,8	19
0:08:20	30	7,4	23
0:08:30	30	7,3	20
0:08:40	31	7,6	24
0:08:50	31	7,6	31
0:09:00	31	7,9	32
0:09:10	31	8,0	25
0:09:20	32	8,0	24
0:09:30	32	8,2	32
0:09:40	32	8,3	28
0:09:50	32	8,6	27
0:10:00	32	8,7	26
0:10:10	32	8,7	35
0:10:20	32	9,0	25
0:10:30	32	9,0	24
0:10:40	32	9,3	21
0:10:50	32	9,4	21
0:11:00	32	9,6	19
0:11:10	32	9,8	17
0:11:20	32	10,1	16
0:11:30	32	10,7	15
0:11:40	32	10,8	14
0:11:50	32	11,0	14
0:12:00	32	11,3	13
0:12:10	32	11,6	12
0:12:20	32	11,2	13
0:12:30	33	11,5	12
0:12:40	33	11,8	12
0:12:50	33	11,9	12
0:13:00	33	12,0	14
0:13:10	33	11,9	16
0:13:20	34	11,9	16
0:13:30	34	11,6	22
0:13:40	34	11,5	24
0:13:50	35	11,8	29
0:14:00	35	11,9	28
0:14:10	35	11,9	25
0:14:20	36	12,3	33
0:14:30	36	12,4	20
0:14:40	36	12,6	17
0:14:50	37	12,7	23
0:15:00	37	12,8	18
0:15:10	37	12,9	22
0:15:20	37	13,1	19
0:15:30	37	13,4	16
0:15:40	37	13,1	16
0:15:50	37	13,3	18
0:16:00	37	13,6	17
0:16:10	37	13,7	17
0:16:20	37	13,9	20
0:16:30	37	13,9	17
0:16:40	37	14,2	16
0:16:50	37	14,7	15
0:17:00	37	15,3	14
0:17:10	37	15,5	14
0:17:20	37	15,6	13
0:17:30	37	15,9	13
0:17:40	37	16,1	13
0:17:50	37	15,4	13
0:18:00	37	15,7	14
0:18:10	37	16,0	25
0:18:20	38	16,1	19
0:18:30	38	16,1	20
0:18:40	38	16,4	15
0:18:50	38	16,3	14
0:19:00	39	15,8	20
0:19:10	39	16,1	12
0:19:20	40	16,3	10
0:19:30	40	16,6	10
0:19:40	41	16,5	27
0:19:50	41	16,5	21
0:20:00	41	16,9	18
0:20:10	42	16,9	16
0:20:20	42	16,9	17
0:20:30	42	17,3	15
0:20:40	42	17,5	13
0:20:50	42	17,7	12
0:21:00	42	17,9	12
0:21:10	42	17,8	12
0:21:20	42	17,9	10
0:21:30	42	18,1	10
0:21:40	42	18,2	10
0:21:50	42	18,4	10
0:22:00	42	18,4	10
0:22:10	42	19,1	10
0:22:20	42	19,7	10
0:22:30	42	19,7	10
0:22:40	42	19,7	9
0:22:50	42	19,8	9
0:23:00	42	20,1	9
0:23:10	42	20,5	9
0:23:20	42	20,7	9
0:23:30	42	20,8	9
0:23:40	42	20,7	9
0:23:50	43	20,5	9
0:24:00	43	21,0	9
0:24:10	43	20,5	9
0:24:20	44	20,2	9
0:24:30	44	20,5	9
0:24:40	45	20,7	12
0:24:50	45	20,9	21
0:25:00	45	20,7	14
0:25:10	46	21,0	12
0:25:20	46	21,0	12
0:25:30	47	21,4	14
0:25:40	47	21,5	12
0:25:50	47	21,5	11
0:26:00	47	21,6	11
0:26:10	47	21,8	10
0:26:20	47	21,9	10
0:26:30	48	22,1	10
0:26:40	48	22,3	10
0:26:50	48	22,6	10
0:27:00	47	22,4	10
0:27:10	47	22,5	11
0:27:20	47	22,9	11
0:27:30	47	23,1	10
0:27:40	47	23,5	10
0:27:50	47	24,2	10
0:28:00	47	24,2	10
0:28:10	47	24,0	9
0:28:20	47	24,1	9
0:28:30	47	24,1	9
0:28:40	47	24,0	9
0:28:50	47	24,1	9
0:29:00	47	24,6	9
0:29:10	47	25,2	9
0:29:20	47	24,8	9
0:29:30	48	25,1	9
0:29:40	48	25,1	9
0:29:50	49	24,6	10
0:30:00	49	24,8	10
0:30:10	50	25,0	11
0:30:20	50	24,9	11
0:30:30	51	24,9	11
0:30:40	51	24,8	11
0:30:50	51	24,7	11
0:31:00	52	24,9	10
0:31:10	52	25,1	11
0:31:20	52	24,9	12
0:31:30	52	24,8	11
0:31:40	52	24,9	11
0:31:50	52	25,0	11
0:32:00	52	24,9	11
0:32:10	52	24,9	11
0:32:20	52	24,9	10
0:32:30	52	24,9	10
0:32:40	52	25,1	10
0:32:50	52	24,8	10
0:33:00	52	25,1	10
0:33:10	52	24,9	10
0:33:20	52	24,8	10
0:33:30	52	25,0	10
0:33:40	52	24,9	10
0:33:50	51	25,0	10
0:34:00	51	25,3	10
0:34:10	51	25,8	10
0:34:20	51	25,2	10
0:34:30	51	25,9	10
0:34:40	51	25,5	10
0:34:50	51	25,0	10
0:35:00	51	25,9	10
0:35:10	51	25,3	9
0:35:20	51	26,0	9
0:35:30	51	25,3	10
0:35:40	51	25,6	10
0:35:50	51	25,7	10
0:36:00	51	25,5	10
0:36:10	51	25,0	9
0:36:20	52	25,0	9
0:36:30	52	24,9	9
0:36:40	52	24,9	9
0:36:50	52	25,1	9
0:37:00	52	24,9	9
0:37:10	52	24,9	9
