--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	28.10.2013
Test Start Time	9:35:50
Test Stop Date	28.10.2013
Test Stop Time	12:13:25
Test Length	2:37:35
Final Sample Time Offset	2:37:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 50C(30min); P: 25MPa(30min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	80%G+20%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1.25%SMS+1.5%CFL-2+0.3%TC-101+2%TA-1+0.1%LTR+0.2%AFA-6 BWOC
Information	Density	1350
Information	BHCT	50
Information	BHST	70
Information	FluidLoss	50cc/30min
Information	JobType	Liner
Calculated Value	Time_30Bc	2:12:40
Calculated Value	Time_70Bc	N/A
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	56 Bc
Initial Wall Temperature (°C)	26 °C
Final Wall Temperature (°C)	49 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	29	0,5	11	26	150
0:00:10	29	0,5	11	26	150
0:00:20	29	0,6	11	26	150
0:00:30	29	0,8	11	26	150
0:00:40	29	1,0	11	26	150
0:00:50	29	1,1	11	27	150
0:01:00	29	1,3	11	27	150
0:01:10	29	1,4	11	27	150
0:01:20	29	1,5	10	28	150
0:01:30	29	1,9	11	29	150
0:01:40	29	2,0	11	29	150
0:01:50	29	2,2	10	29	150
0:02:00	29	2,4	10	30	150
0:02:10	29	2,7	10	31	150
0:02:20	29	2,9	10	33	150
0:02:30	29	3,2	10	33	150
0:02:40	29	3,5	10	34	150
0:02:50	29	3,8	10	35	150
0:03:00	29	3,9	10	35	150
0:03:10	29	4,1	10	36	150
0:03:20	29	4,2	10	37	150
0:03:30	29	4,3	10	37	150
0:03:40	29	4,5	10	38	150
0:03:50	29	4,6	10	39	150
0:04:00	29	4,7	10	39	150
0:04:10	30	4,9	10	39	150
0:04:20	30	5,0	11	39	150
0:04:30	30	5,1	11	40	150
0:04:40	30	5,3	11	40	150
0:04:50	30	5,4	11	40	150
0:05:00	30	5,5	11	40	150
0:05:10	31	5,6	11	40	150
0:05:20	31	5,7	11	40	150
0:05:30	31	5,8	11	40	150
0:05:40	31	5,9	11	40	150
0:05:50	31	5,9	11	40	150
0:06:00	31	6,0	11	40	150
0:06:10	32	6,1	11	40	150
0:06:20	32	6,1	11	41	150
0:06:30	32	6,2	11	40	150
0:06:40	32	6,3	11	40	150
0:06:50	32	6,3	11	40	150
0:07:00	33	6,4	11	41	150
0:07:10	33	6,4	12	41	150
0:07:20	33	6,5	12	41	150
0:07:30	33	6,6	12	41	150
0:07:40	33	7,0	12	41	150
0:07:50	33	7,0	12	41	150
0:08:00	34	7,1	12	41	150
0:08:10	34	7,2	12	41	150
0:08:20	34	7,2	12	41	150
0:08:30	34	7,6	13	41	150
0:08:40	34	7,8	13	41	150
0:08:50	34	7,9	13	41	150
0:09:00	34	8,0	13	42	150
0:09:10	34	8,1	13	42	150
0:09:20	35	8,1	13	42	150
0:09:30	35	8,2	13	42	150
0:09:40	35	8,3	13	42	150
0:09:50	35	8,8	13	42	150
0:10:00	35	8,9	13	42	150
0:10:10	35	9,0	12	42	150
0:10:20	35	9,1	12	42	150
0:10:30	36	9,2	12	42	150
0:10:40	36	9,3	12	43	150
0:10:50	36	9,4	12	43	150
0:11:00	36	9,4	12	43	150
0:11:10	36	9,5	12	43	150
0:11:20	36	10,0	13	43	150
0:11:30	36	10,1	12	43	150
0:11:40	36	10,2	12	43	150
0:11:50	37	10,2	12	43	150
0:12:00	37	10,3	13	43	150
0:12:10	37	10,4	12	43	150
0:12:20	37	10,5	12	44	150
0:12:30	37	10,9	12	44	150
0:12:40	37	11,0	12	44	150
0:12:50	37	11,1	12	44	150
0:13:00	37	11,1	12	44	150
0:13:10	37	11,2	12	44	150
0:13:20	38	11,3	12	44	150
0:13:30	38	11,6	12	44	150
0:13:40	38	11,7	12	44	150
0:13:50	38	11,8	12	45	150
0:14:00	38	11,9	12	45	150
0:14:10	38	12,0	12	45	150
0:14:20	38	12,3	12	45	150
0:14:30	38	12,4	12	45	150
0:14:40	38	12,5	12	46	150
0:14:50	39	12,6	12	45	150
0:15:00	39	12,7	12	46	150
0:15:10	39	13,1	12	46	150
0:15:20	39	13,1	12	46	150
0:15:30	39	13,2	12	46	150
0:15:40	39	13,3	12	46	150
0:15:50	39	13,3	12	46	150
0:16:00	39	13,7	12	46	150
0:16:10	40	13,8	12	46	150
0:16:20	40	13,9	12	46	150
0:16:30	40	14,0	12	46	150
0:16:40	40	14,1	12	47	150
0:16:50	40	14,4	12	47	150
0:17:00	40	14,5	12	47	150
0:17:10	40	14,6	12	47	150
0:17:20	40	14,7	12	47	150
0:17:30	41	14,8	12	47	150
0:17:40	41	15,0	12	47	150
0:17:50	41	15,1	12	47	150
0:18:00	41	15,3	12	48	150
0:18:10	41	15,4	12	48	150
0:18:20	41	15,6	12	48	150
0:18:30	41	15,7	12	48	150
0:18:40	41	15,8	12	48	150
0:18:50	41	15,9	12	48	150
0:19:00	42	15,9	12	49	150
0:19:10	42	16,2	12	48	150
0:19:20	42	16,3	12	49	150
0:19:30	42	16,4	12	49	150
0:19:40	42	16,7	12	49	150
0:19:50	42	16,8	12	49	150
0:20:00	42	16,9	12	49	150
0:20:10	42	17,0	12	49	150
0:20:20	42	17,0	12	49	150
0:20:30	43	17,3	12	49	150
0:20:40	43	17,4	12	49	150
0:20:50	43	17,5	12	50	150
0:21:00	43	17,6	12	50	150
0:21:10	43	17,7	12	50	150
0:21:20	43	18,2	13	50	150
0:21:30	43	18,3	12	50	150
0:21:40	43	18,3	13	50	150
0:21:50	44	18,4	13	50	150
0:22:00	44	18,5	13	50	150
0:22:10	44	18,6	13	50	150
0:22:20	44	18,7	13	50	150
0:22:30	44	19,0	13	50	150
0:22:40	44	19,1	13	51	150
0:22:50	44	19,2	12	51	150
0:23:00	44	19,3	13	51	150
0:23:10	44	19,4	13	51	150
0:23:20	45	19,7	12	51	150
0:23:30	45	19,8	12	51	150
0:23:40	45	19,9	13	52	150
0:23:50	45	20,0	13	52	150
0:24:00	45	20,1	13	52	150
0:24:10	45	20,3	13	52	150
0:24:20	45	20,4	13	52	150
0:24:30	45	20,5	13	52	150
0:24:40	45	20,6	13	52	150
0:24:50	46	20,9	13	53	150
0:25:00	46	21,0	13	53	150
0:25:10	46	21,1	13	53	150
0:25:20	46	21,2	13	53	150
0:25:30	46	21,3	13	53	150
0:25:40	46	21,5	13	53	150
0:25:50	46	21,5	13	53	150
0:26:00	46	21,9	13	53	150
0:26:10	46	22,0	13	54	150
0:26:20	47	22,1	13	54	150
0:26:30	47	22,2	13	54	150
0:26:40	47	22,3	13	54	150
0:26:50	47	22,4	13	54	150
0:27:00	47	22,6	13	54	150
0:27:10	47	22,8	13	54	150
0:27:20	47	22,9	13	55	150
0:27:30	47	23,0	13	55	150
0:27:40	48	23,1	13	55	150
0:27:50	48	23,2	13	55	150
0:28:00	48	23,5	13	55	150
0:28:10	48	23,6	13	55	150
0:28:20	48	23,6	13	55	150
0:28:30	48	23,7	13	55	150
0:28:40	48	23,9	13	55	150
0:28:50	48	24,0	13	56	150
0:29:00	48	24,1	13	56	150
0:29:10	49	24,5	13	55	150
0:29:20	49	24,6	13	56	150
0:29:30	49	24,7	13	56	150
0:29:40	49	24,8	13	56	150
0:29:50	49	24,8	13	56	150
0:30:00	49	25,0	13	56	150
0:30:10	49	25,1	13	56	150
0:30:20	50	25,1	13	56	150
0:30:30	50	25,1	13	56	150
0:30:40	50	25,2	13	56	150
0:30:50	50	25,1	13	56	150
0:31:00	50	25,1	13	56	150
0:31:10	50	25,1	13	56	150
0:31:20	50	25,0	13	55	150
0:31:30	50	25,0	13	55	150
0:31:40	50	25,0	13	55	150
0:31:50	50	24,9	13	55	150
0:32:00	50	25,2	14	55	150
0:32:10	51	25,1	14	54	150
0:32:20	51	25,0	14	54	150
0:32:30	51	25,0	14	54	150
0:32:40	51	25,0	15	54	150
0:32:50	51	24,9	15	53	150
0:33:00	51	24,9	15	53	150
0:33:10	51	25,2	15	53	150
0:33:20	51	25,1	15	53	150
0:33:30	51	25,0	15	53	150
0:33:40	51	24,9	15	52	150
0:33:50	51	24,9	15	52	150
0:34:00	51	25,1	15	52	150
0:34:10	51	25,1	15	52	150
0:34:20	51	25,1	15	52	150
0:34:30	51	25,0	15	52	150
0:34:40	51	25,0	15	52	150
0:34:50	51	25,0	15	52	150
0:35:00	51	25,0	15	52	150
0:35:10	51	25,1	15	52	150
0:35:20	51	25,1	15	52	150
0:35:30	51	25,1	15	52	150
0:35:40	51	25,1	15	52	150
0:35:50	51	25,1	15	52	150
0:36:00	51	25,1	15	52	150
0:36:10	51	25,1	15	52	150
0:36:20	51	25,1	15	52	150
0:36:30	51	25,1	15	52	150
0:36:40	51	25,1	15	52	150
0:36:50	51	25,1	15	52	150
0:37:00	51	25,1	15	52	150
0:37:10	51	25,1	15	52	150
0:37:20	51	25,1	15	52	150
0:37:30	51	25,1	14	52	150
0:37:40	51	25,1	14	52	150
0:37:50	50	25,1	14	52	150
0:38:00	50	25,1	14	52	150
0:38:10	50	25,1	14	52	150
0:38:20	50	25,2	14	52	150
0:38:30	50	25,2	14	52	150
0:38:40	50	25,2	14	52	150
0:38:50	50	25,2	14	52	150
0:39:00	50	25,2	14	52	150
0:39:10	50	25,2	14	52	150
0:39:20	50	25,2	14	52	150
0:39:30	50	25,2	14	52	150
0:39:40	50	25,2	14	52	150
0:39:50	50	25,2	14	52	150
0:40:00	50	25,2	14	52	150
0:40:10	50	25,2	14	52	150
0:40:20	50	25,2	14	52	150
0:40:30	50	25,2	14	52	150
0:40:40	50	25,3	14	52	150
0:40:50	50	25,3	14	52	150
0:41:00	50	25,3	14	52	150
0:41:10	50	25,3	14	52	150
0:41:20	50	25,3	14	52	150
0:41:30	50	25,3	14	52	150
0:41:40	50	25,3	14	52	150
0:41:50	50	25,3	14	52	150
0:42:00	50	25,3	14	52	150
0:42:10	50	25,3	14	52	150
0:42:20	50	25,3	14	52	150
0:42:30	50	25,3	14	52	150
0:42:40	50	25,3	14	52	150
0:42:50	50	25,3	14	52	150
0:43:00	50	25,4	14	52	150
0:43:10	50	25,4	14	52	150
0:43:20	50	25,4	14	52	150
0:43:30	50	25,4	14	52	150
0:43:40	50	25,4	14	52	150
0:43:50	50	25,4	13	52	150
0:44:00	50	25,4	13	52	150
0:44:10	50	25,4	13	52	150
0:44:20	50	25,4	13	52	150
0:44:30	50	25,4	13	52	150
0:44:40	50	25,4	13	51	150
0:44:50	50	25,4	13	52	150
0:45:00	50	25,4	13	52	150
0:45:10	50	25,4	13	52	150
0:45:20	50	25,4	13	52	150
0:45:30	50	25,4	13	51	150
0:45:40	50	25,4	13	52	150
0:45:50	50	25,4	13	52	150
0:46:00	50	25,4	13	52	150
0:46:10	50	25,4	13	52	150
0:46:20	50	25,4	13	51	150
0:46:30	50	25,5	13	52	150
0:46:40	50	25,5	13	51	150
0:46:50	50	25,5	13	52	150
0:47:00	50	25,5	13	52	150
0:47:10	50	25,5	13	52	150
0:47:20	50	25,5	13	51	150
0:47:30	50	25,5	13	52	150
0:47:40	50	25,5	13	52	150
0:47:50	50	25,5	13	52	150
0:48:00	50	25,5	13	52	150
0:48:10	50	25,5	13	51	150
0:48:20	50	25,5	13	52	150
0:48:30	50	25,5	13	52	150
0:48:40	50	25,5	13	52	150
0:48:50	50	25,5	13	51	150
0:49:00	50	25,5	13	52	150
0:49:10	50	25,5	13	51	150
0:49:20	50	25,5	13	51	150
0:49:30	50	25,6	13	52	150
0:49:40	50	25,6	13	51	150
0:49:50	50	25,6	13	51	150
0:50:00	50	25,6	13	51	150
0:50:10	50	25,6	13	52	150
0:50:20	50	25,6	13	51	150
0:50:30	50	25,6	13	52	150
0:50:40	50	25,6	13	51	150
0:50:50	50	25,6	13	52	150
0:51:00	50	25,6	13	51	150
0:51:10	50	25,6	13	51	150
0:51:20	50	25,6	13	51	150
0:51:30	50	25,6	13	51	150
0:51:40	50	25,6	13	51	150
0:51:50	50	25,6	13	51	150
0:52:00	50	25,6	13	51	150
0:52:10	50	25,6	13	51	150
0:52:20	50	25,6	13	51	150
0:52:30	50	25,6	13	51	150
0:52:40	50	25,6	13	51	150
0:52:50	50	25,6	13	51	150
0:53:00	50	25,6	13	51	150
0:53:10	50	25,6	13	51	150
0:53:20	50	25,6	13	51	150
0:53:30	50	25,6	14	51	150
0:53:40	50	25,6	13	51	150
0:53:50	50	25,6	13	51	150
0:54:00	50	25,6	13	51	150
0:54:10	50	25,6	13	51	150
0:54:20	50	25,6	13	51	150
0:54:30	50	25,6	13	51	150
0:54:40	50	25,6	13	51	150
0:54:50	50	25,7	13	51	150
0:55:00	50	25,7	13	51	150
0:55:10	50	25,7	13	51	150
0:55:20	50	25,7	13	51	150
0:55:30	50	25,7	13	51	150
0:55:40	50	25,7	13	51	150
0:55:50	50	25,7	13	51	150
0:56:00	50	25,7	13	51	150
0:56:10	50	25,7	13	51	150
0:56:20	50	25,7	13	51	150
0:56:30	50	25,7	13	51	150
0:56:40	50	25,7	13	51	150
0:56:50	50	25,7	13	51	150
0:57:00	50	25,7	13	51	150
0:57:10	50	25,7	14	51	150
0:57:20	50	25,7	14	51	150
0:57:30	50	25,7	14	51	150
0:57:40	50	25,7	14	51	150
0:57:50	50	25,7	14	51	150
0:58:00	50	25,7	14	51	150
0:58:10	50	25,7	14	51	150
0:58:20	50	25,7	14	51	150
0:58:30	50	25,7	14	51	150
0:58:40	50	25,7	14	51	150
0:58:50	50	25,7	14	51	150
0:59:00	50	25,7	14	51	150
0:59:10	50	25,7	14	51	150
0:59:20	50	25,7	14	51	150
0:59:30	50	25,7	14	51	150
0:59:40	50	25,7	14	51	150
0:59:50	50	25,7	14	51	150
1:00:00	50	25,7	14	51	150
1:00:10	50	25,7	14	51	150
1:00:20	50	25,7	14	51	150
1:00:30	50	25,7	14	51	150
1:00:40	50	25,7	14	51	150
1:00:50	50	25,7	14	51	150
1:01:00	50	25,7	14	51	150
1:01:10	50	25,7	14	51	150
1:01:20	50	25,7	14	51	150
1:01:30	50	25,7	14	51	150
1:01:40	50	25,7	14	51	150
1:01:50	50	25,7	14	51	150
1:02:00	50	25,7	14	51	150
1:02:10	50	25,7	14	51	150
1:02:20	50	25,7	14	51	150
1:02:30	50	25,7	14	51	150
1:02:40	50	25,7	14	51	150
1:02:50	50	25,7	14	51	150
1:03:00	50	25,7	14	51	150
1:03:10	50	25,7	14	51	150
1:03:20	50	25,7	14	51	150
1:03:30	50	25,7	14	51	150
1:03:40	50	25,7	14	51	150
1:03:50	50	25,7	14	51	150
1:04:00	50	25,7	14	51	150
1:04:10	50	25,7	14	51	150
1:04:20	50	25,7	14	51	150
1:04:30	50	25,7	14	51	150
1:04:40	50	25,7	14	51	150
1:04:50	50	25,7	14	51	150
1:05:00	50	25,7	14	51	150
1:05:10	50	25,7	14	51	150
1:05:20	50	25,7	14	51	150
1:05:30	50	25,7	14	51	150
1:05:40	50	25,7	14	51	150
1:05:50	50	25,7	14	51	150
1:06:00	50	25,8	14	51	150
1:06:10	50	25,7	14	51	150
1:06:20	50	25,8	14	51	150
1:06:30	50	25,8	14	51	150
1:06:40	50	25,8	14	51	150
1:06:50	50	25,8	14	51	150
1:07:00	50	25,8	14	51	150
1:07:10	50	25,8	14	51	150
1:07:20	50	25,8	14	51	150
1:07:30	50	25,8	14	51	150
1:07:40	50	25,8	14	51	150
1:07:50	50	25,8	14	51	150
1:08:00	50	25,8	14	51	150
1:08:10	50	25,8	14	51	150
1:08:20	50	25,8	14	51	150
1:08:30	50	25,8	14	51	150
1:08:40	50	25,8	14	51	150
1:08:50	50	25,8	14	51	150
1:09:00	50	25,8	14	51	150
1:09:10	50	25,7	14	51	150
1:09:20	50	25,7	14	51	150
1:09:30	50	25,7	14	50	150
1:09:40	50	25,7	14	50	150
1:09:50	50	25,7	14	50	150
1:10:00	50	25,7	14	51	150
1:10:10	50	25,7	14	51	150
1:10:20	50	25,7	14	50	150
1:10:30	50	25,7	14	50	150
1:10:40	50	25,7	14	51	150
1:10:50	50	25,7	14	51	150
1:11:00	50	25,7	14	51	150
1:11:10	50	25,7	14	50	150
1:11:20	50	25,7	14	51	150
1:11:30	50	25,7	14	51	150
1:11:40	50	25,7	14	51	150
1:11:50	50	25,7	14	51	150
1:12:00	50	25,7	14	51	150
1:12:10	50	25,7	14	50	150
1:12:20	50	25,7	14	51	150
1:12:30	50	25,7	14	51	150
1:12:40	50	25,7	14	51	150
1:12:50	50	25,7	14	50	150
1:13:00	50	25,7	14	51	150
1:13:10	50	25,7	14	50	150
1:13:20	50	25,7	14	50	150
1:13:30	50	25,7	14	51	150
1:13:40	50	25,7	14	50	150
1:13:50	50	25,7	14	51	150
1:14:00	50	25,7	14	51	150
1:14:10	50	25,7	14	50	150
1:14:20	50	25,7	14	50	150
1:14:30	50	25,7	14	50	150
1:14:40	50	25,7	14	50	150
1:14:50	50	25,7	14	50	150
1:15:00	50	25,7	14	50	150
1:15:10	50	25,7	14	50	150
1:15:20	50	25,7	15	50	150
1:15:30	50	25,7	15	50	150
1:15:40	50	25,7	15	50	150
1:15:50	50	25,7	15	50	150
1:16:00	50	25,6	15	50	150
1:16:10	50	25,6	15	50	150
1:16:20	50	25,6	15	50	150
1:16:30	50	25,6	15	50	150
1:16:40	50	25,6	15	50	150
1:16:50	50	25,6	15	50	150
1:17:00	50	25,6	15	50	150
1:17:10	50	25,6	15	50	150
1:17:20	50	25,6	15	50	150
1:17:30	50	25,6	15	50	150
1:17:40	50	25,6	15	50	150
1:17:50	50	25,6	15	50	150
1:18:00	50	25,6	15	50	150
1:18:10	50	25,6	15	50	150
1:18:20	50	25,6	15	50	150
1:18:30	50	25,6	15	50	150
1:18:40	50	25,5	15	50	150
1:18:50	50	25,6	15	50	150
1:19:00	50	25,6	15	50	150
1:19:10	50	25,6	15	50	150
1:19:20	50	25,5	15	50	150
1:19:30	50	25,5	15	50	150
1:19:40	50	25,5	15	50	150
1:19:50	50	25,5	15	50	150
1:20:00	50	25,5	15	50	150
1:20:10	50	25,5	15	50	150
1:20:20	50	25,5	15	50	150
1:20:30	50	25,5	15	50	150
1:20:40	50	25,5	15	50	150
1:20:50	50	25,5	15	50	150
1:21:00	50	25,5	15	50	150
1:21:10	50	25,5	15	50	150
1:21:20	50	25,5	15	50	150
1:21:30	50	25,5	15	50	150
1:21:40	50	25,5	15	50	150
1:21:50	50	25,5	15	50	150
1:22:00	50	25,5	15	50	150
1:22:10	50	25,5	15	50	150
1:22:20	50	25,5	15	50	150
1:22:30	50	25,4	15	50	150
1:22:40	50	25,4	15	50	150
1:22:50	50	25,4	15	50	150
1:23:00	50	25,4	16	50	150
1:23:10	50	25,4	16	50	150
1:23:20	50	25,4	16	50	150
1:23:30	50	25,4	16	50	150
1:23:40	50	25,4	16	50	150
1:23:50	50	25,4	16	50	150
1:24:00	50	25,4	16	50	150
1:24:10	50	25,4	16	50	150
1:24:20	50	25,4	16	50	150
1:24:30	50	25,4	16	50	150
1:24:40	50	25,4	16	50	150
1:24:50	50	25,4	16	50	150
1:25:00	50	25,4	16	50	150
1:25:10	50	25,4	16	50	150
1:25:20	50	25,4	16	50	150
1:25:30	50	25,4	16	50	150
1:25:40	50	25,4	16	50	150
1:25:50	50	25,3	16	50	150
1:26:00	50	25,3	16	50	150
1:26:10	50	25,3	16	50	150
1:26:20	50	25,3	16	50	150
1:26:30	50	25,3	16	50	150
1:26:40	50	25,3	16	50	150
1:26:50	50	25,3	16	50	150
1:27:00	50	25,3	16	50	150
1:27:10	50	25,3	16	50	150
1:27:20	50	25,3	16	50	150
1:27:30	50	25,3	16	49	150
1:27:40	50	25,3	16	50	150
1:27:50	50	25,3	16	50	150
1:28:00	50	25,3	17	49	150
1:28:10	50	25,2	17	50	150
1:28:20	50	25,2	17	49	150
1:28:30	50	25,2	17	49	150
1:28:40	50	25,2	17	50	150
1:28:50	50	25,2	17	49	150
1:29:00	50	25,2	17	50	150
1:29:10	50	25,2	17	50	150
1:29:20	50	25,2	17	50	150
1:29:30	50	25,2	17	49	150
1:29:40	50	25,2	17	49	150
1:29:50	50	25,2	17	49	150
1:30:00	50	25,1	17	49	150
1:30:10	50	25,1	17	49	150
1:30:20	50	25,1	17	49	150
1:30:30	50	25,1	17	49	150
1:30:40	50	25,1	17	49	150
1:30:50	50	25,1	17	49	150
1:31:00	50	25,1	17	49	150
1:31:10	50	25,1	17	49	150
1:31:20	50	25,0	17	49	150
1:31:30	50	25,0	17	49	150
1:31:40	50	25,0	17	49	150
1:31:50	50	25,0	18	49	150
1:32:00	50	25,0	18	49	150
1:32:10	50	25,0	18	49	150
1:32:20	50	25,0	18	49	150
1:32:30	50	25,0	18	49	150
1:32:40	50	25,0	18	49	150
1:32:50	50	25,0	18	49	150
1:33:00	50	25,0	18	49	150
1:33:10	50	25,0	18	49	150
1:33:20	50	25,0	18	49	150
1:33:30	50	25,0	18	49	150
1:33:40	50	25,0	18	49	150
1:33:50	50	25,0	18	49	150
1:34:00	50	25,0	18	49	150
1:34:10	50	25,0	18	49	150
1:34:20	50	25,0	18	49	150
1:34:30	50	25,0	18	49	150
1:34:40	50	25,0	18	49	150
1:34:50	50	25,0	18	49	150
1:35:00	50	25,3	18	49	150
1:35:10	50	25,3	18	49	150
1:35:20	50	25,2	18	49	150
1:35:30	50	25,2	18	49	150
1:35:40	50	25,2	18	49	150
1:35:50	50	25,2	18	49	150
1:36:00	50	25,2	18	49	150
1:36:10	50	25,2	18	49	150
1:36:20	50	25,1	18	49	150
1:36:30	50	25,1	18	49	150
1:36:40	50	25,1	18	49	150
1:36:50	50	25,1	18	49	150
1:37:00	50	25,1	18	49	150
1:37:10	50	25,1	18	49	150
1:37:20	50	25,1	18	49	150
1:37:30	50	25,1	18	49	150
1:37:40	50	25,1	18	49	150
1:37:50	50	25,1	18	49	150
1:38:00	50	25,1	18	49	150
1:38:10	50	25,1	18	49	150
1:38:20	50	25,1	18	49	150
1:38:30	50	25,1	18	49	150
1:38:40	50	25,1	18	49	150
1:38:50	50	25,1	18	49	150
1:39:00	50	25,1	18	49	150
1:39:10	50	25,1	19	49	150
1:39:20	50	25,1	19	49	150
1:39:30	50	25,1	19	49	150
1:39:40	50	25,1	19	49	150
1:39:50	50	25,1	19	49	150
1:40:00	50	25,1	19	49	150
1:40:10	50	25,0	19	49	150
1:40:20	50	25,0	19	49	150
1:40:30	50	25,0	19	49	150
1:40:40	50	25,0	19	49	150
1:40:50	50	25,0	19	49	150
1:41:00	50	25,0	19	49	150
1:41:10	50	25,0	19	49	150
1:41:20	50	25,0	19	49	150
1:41:30	50	25,0	19	49	150
1:41:40	50	25,1	19	49	150
1:41:50	50	25,1	19	49	150
1:42:00	50	25,1	19	49	150
1:42:10	50	25,1	19	49	150
1:42:20	50	25,1	19	49	150
1:42:30	50	25,1	19	49	150
1:42:40	50	25,0	19	49	150
1:42:50	50	25,0	19	49	150
1:43:00	50	25,0	19	49	150
1:43:10	50	25,0	19	49	150
1:43:20	50	25,0	19	49	150
1:43:30	50	25,0	19	49	150
1:43:40	50	25,1	20	49	150
1:43:50	50	25,1	20	49	150
1:44:00	50	25,1	20	49	150
1:44:10	50	25,1	20	49	150
1:44:20	50	25,1	20	49	150
1:44:30	50	25,1	20	49	150
1:44:40	50	25,1	20	49	150
1:44:50	50	25,1	20	49	150
1:45:00	50	25,1	20	49	150
1:45:10	50	25,1	20	49	150
1:45:20	50	25,1	20	49	150
1:45:30	50	25,1	20	49	150
1:45:40	50	25,2	20	49	150
1:45:50	50	25,2	20	49	150
1:46:00	50	25,2	20	49	150
1:46:10	50	25,2	20	49	150
1:46:20	50	25,2	20	49	150
1:46:30	50	25,3	20	49	150
1:46:40	50	25,3	20	50	150
1:46:50	50	25,3	20	49	150
1:47:00	50	25,3	20	49	150
1:47:10	50	25,3	20	49	150
1:47:20	50	25,3	21	49	150
1:47:30	50	25,2	21	49	150
1:47:40	50	25,2	21	49	150
1:47:50	50	25,2	21	49	150
1:48:00	50	25,2	21	49	150
1:48:10	50	25,2	21	49	150
1:48:20	50	25,2	21	49	150
1:48:30	50	25,1	21	49	150
1:48:40	50	25,1	21	49	150
1:48:50	50	25,1	21	49	150
1:49:00	50	25,1	21	49	150
1:49:10	50	25,1	21	49	150
1:49:20	50	25,1	21	49	150
1:49:30	50	25,1	21	49	150
1:49:40	50	25,0	21	49	150
1:49:50	50	25,0	21	49	150
1:50:00	50	25,0	21	49	150
1:50:10	50	25,0	21	49	150
1:50:20	50	25,0	21	49	150
1:50:30	50	25,0	21	49	150
1:50:40	50	25,1	21	49	150
1:50:50	50	25,2	21	49	150
1:51:00	50	25,2	21	49	150
1:51:10	50	25,2	21	49	150
1:51:20	50	25,2	21	49	150
1:51:30	50	25,1	21	49	150
