--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	31.10.2013
Test Start Time	11:19:57
Test Stop Date	31.10.2013
Test Stop Time	15:20:28
Test Length	4:00:31
Final Sample Time Offset	4:00:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 50C(30min); P: 25MPa(30min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	80%G+20%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1.25%SMS+1.5%CFL-2+0.3%TC-101+0.3%R-7+0.2%AFA-6 BWOC
Information	Density	1400
Information	BHCT	50
Information	BHST	70
Information	FluidLoss	n/a
Information	JobType	Liner
Calculated Value	Time_30Bc	2:56:20
Calculated Value	Time_70Bc	4:00:30
Initial Temperature (°C)	27 °C
Final Temperature (°C)	51 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	75 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,6	6
0:00:10	27	0,7	6
0:00:20	27	0,9	6
0:00:30	26	1,0	5
0:00:40	26	1,2	6
0:00:50	26	1,2	6
0:01:00	26	1,6	6
0:01:10	26	1,7	6
0:01:20	26	2,0	6
0:01:30	26	2,3	6
0:01:40	26	2,6	6
0:01:50	26	3,0	6
0:02:00	27	3,2	6
0:02:10	27	3,3	6
0:02:20	27	3,4	6
0:02:30	27	3,6	7
0:02:40	27	3,7	7
0:02:50	27	3,8	7
0:03:00	27	3,9	7
0:03:10	27	4,0	7
0:03:20	27	3,9	7
0:03:30	27	3,7	7
0:03:40	27	3,5	7
0:03:50	28	3,7	7
0:04:00	28	3,9	7
0:04:10	28	3,9	7
0:04:20	28	4,0	7
0:04:30	28	4,2	7
0:04:40	28	4,6	7
0:04:50	28	4,5	7
0:05:00	29	4,6	8
0:05:10	29	5,0	8
0:05:20	29	4,9	8
0:05:30	29	5,1	8
0:05:40	29	5,3	8
0:05:50	29	5,4	8
0:06:00	29	5,4	8
0:06:10	29	5,8	8
0:06:20	29	6,0	8
0:06:30	29	6,3	8
0:06:40	29	6,7	9
0:06:50	29	6,9	10
0:07:00	29	7,1	10
0:07:10	29	7,4	11
0:07:20	29	7,6	11
0:07:30	29	7,5	11
0:07:40	29	7,7	12
0:07:50	29	7,9	12
0:08:00	29	8,0	13
0:08:10	30	8,1	13
0:08:20	30	8,1	13
0:08:30	30	8,3	14
0:08:40	30	8,4	14
0:08:50	30	8,3	14
0:09:00	31	8,0	14
0:09:10	31	7,9	14
0:09:20	31	8,2	14
0:09:30	32	8,5	14
0:09:40	32	8,5	14
0:09:50	32	8,6	14
0:10:00	32	8,7	15
0:10:10	33	8,8	15
0:10:20	33	9,0	14
0:10:30	33	9,1	14
0:10:40	33	9,2	14
0:10:50	33	9,3	14
0:11:00	33	9,5	14
0:11:10	33	9,6	14
0:11:20	33	9,9	14
0:11:30	33	10,0	15
0:11:40	33	10,1	14
0:11:50	34	10,2	14
0:12:00	34	10,4	15
0:12:10	34	10,6	15
0:12:20	34	11,0	15
0:12:30	34	11,6	18
0:12:40	34	11,7	16
0:12:50	34	11,9	16
0:13:00	34	12,0	16
0:13:10	34	12,3	16
0:13:20	34	12,5	16
0:13:30	34	12,1	16
0:13:40	34	12,3	16
0:13:50	34	12,5	15
0:14:00	34	12,6	16
0:14:10	34	13,2	15
0:14:20	35	12,9	14
0:14:30	35	13,0	12
0:14:40	35	12,8	11
0:14:50	36	12,8	13
0:15:00	36	12,7	12
0:15:10	36	13,1	11
0:15:20	37	13,1	19
0:15:30	37	13,1	20
0:15:40	37	13,6	20
0:15:50	38	13,6	17
0:16:00	38	13,7	16
0:16:10	38	13,8	15
0:16:20	38	14,0	15
0:16:30	38	14,2	15
0:16:40	38	14,4	15
0:16:50	39	14,2	15
0:17:00	39	14,3	15
0:17:10	39	14,6	17
0:17:20	39	14,6	17
0:17:30	39	14,8	16
0:17:40	39	15,0	16
0:17:50	39	15,0	17
0:18:00	39	15,2	17
0:18:10	39	15,5	17
0:18:20	39	15,9	17
0:18:30	39	16,5	18
0:18:40	39	16,5	20
0:18:50	39	16,7	20
0:19:00	39	16,8	21
0:19:10	39	17,0	22
0:19:20	39	17,3	23
0:19:30	39	17,6	20
0:19:40	39	17,7	19
0:19:50	39	17,7	21
0:20:00	39	17,8	19
0:20:10	39	17,7	17
0:20:20	40	17,6	17
0:20:30	40	17,7	16
0:20:40	40	17,4	16
0:20:50	41	17,3	15
0:21:00	41	17,5	15
0:21:10	42	17,8	16
0:21:20	42	17,9	19
0:21:30	42	18,0	19
0:21:40	43	18,3	15
0:21:50	43	18,4	15
0:22:00	43	18,5	15
0:22:10	44	18,5	15
0:22:20	44	18,7	15
0:22:30	44	18,8	14
0:22:40	44	19,0	14
0:22:50	44	19,2	14
0:23:00	44	19,4	14
0:23:10	44	19,6	14
0:23:20	45	19,6	14
0:23:30	45	19,8	14
0:23:40	45	19,9	15
0:23:50	45	20,2	15
0:24:00	45	20,1	15
0:24:10	44	20,2	15
0:24:20	44	20,6	14
0:24:30	44	21,2	14
0:24:40	44	21,0	15
0:24:50	44	20,9	15
0:25:00	44	22,0	15
0:25:10	44	22,0	16
0:25:20	44	22,1	16
0:25:30	44	22,3	17
