--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	01.11.2013
Test Start Time	10:14:28
Test Stop Date	01.11.2013
Test Stop Time	14:40:28
Test Length	4:26:00
Final Sample Time Offset	4:26:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 50C(30min); P: 25MPa(30min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	80%G+20%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1.25%SMS+1.5%CFL-2+0.3%TWR-2+2%TA-1+0.2%R-7+0.3%AFA-6 BWOC
Information	Density	1400
Information	BHCT	50
Information	BHST	70
Information	FluidLoss	n/a
Information	JobType	Liner
Calculated Value	Time_30Bc	3:29:50
Calculated Value	Time_70Bc	4:26:00
Initial Temperature (°C)	28 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	24 °C
Final Wall Temperature (°C)	49 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	28	0,5	9	24	150
0:00:10	28	0,6	9	24	150
0:00:20	28	0,7	9	24	150
0:00:30	28	0,8	9	24	150
0:00:40	28	1,0	9	25	150
0:00:50	27	1,2	9	25	150
0:01:00	27	1,3	10	26	150
0:01:10	27	1,4	10	27	150
0:01:20	27	1,8	10	27	150
0:01:30	27	2,0	9	28	150
0:01:40	27	2,2	9	28	150
0:01:50	27	2,5	9	29	150
0:02:00	27	2,7	9	29	150
0:02:10	27	3,0	9	31	150
0:02:20	27	3,3	9	33	150
0:02:30	27	3,5	9	33	150
0:02:40	27	3,7	10	34	150
0:02:50	27	3,8	9	35	150
0:03:00	27	4,0	9	36	150
0:03:10	27	4,1	9	36	150
0:03:20	27	4,2	9	38	150
0:03:30	27	4,3	9	38	150
0:03:40	28	4,5	9	38	150
0:03:50	28	4,6	9	39	150
0:04:00	28	4,8	9	39	150
0:04:10	28	4,9	9	40	150
0:04:20	28	5,0	9	40	150
0:04:30	28	5,2	9	40	150
0:04:40	28	5,3	9	40	150
0:04:50	28	5,4	9	40	150
0:05:00	29	5,6	9	41	150
0:05:10	29	5,7	9	41	150
0:05:20	29	5,8	9	41	150
0:05:30	29	6,0	9	41	150
0:05:40	29	6,1	9	41	150
0:05:50	30	6,2	9	41	150
0:06:00	30	6,2	9	41	150
0:06:10	30	6,3	9	41	150
0:06:20	30	6,3	9	41	150
0:06:30	31	6,4	9	41	150
0:06:40	31	6,4	9	41	150
0:06:50	31	6,5	9	41	150
0:07:00	31	6,5	10	41	150
0:07:10	31	6,5	10	41	150
0:07:20	32	6,5	10	41	150
0:07:30	32	6,5	11	40	150
0:07:40	32	7,0	11	40	150
0:07:50	32	7,0	11	40	150
0:08:00	32	7,0	11	40	150
0:08:10	33	7,1	11	41	150
0:08:20	33	7,3	11	40	150
0:08:30	33	7,6	11	41	150
0:08:40	33	7,6	11	41	150
0:08:50	33	7,7	11	41	150
0:09:00	33	7,9	11	41	150
0:09:10	34	8,0	11	41	150
0:09:20	34	8,1	11	41	150
0:09:30	34	8,4	11	41	150
0:09:40	34	8,4	11	41	150
0:09:50	34	8,5	11	41	150
0:10:00	34	8,7	11	41	150
0:10:10	34	8,9	11	41	150
