--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	11.12.2013
Test Start Time	11:35:01
Test Stop Date	11.12.2013
Test Stop Time	14:15:47
Test Length	2:40:46
Final Sample Time Offset	2:40:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 75C(40min); P: 35MPa(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	70%G+30%DCN-80
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.03%NTF BWOB
Information	Density	1900
Information	BHCT	75
Information	BHST	
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	Time_30Bc	2:09:20
Calculated Value	Time_70Bc	2:37:40
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	75 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	35,0 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	85 Bc
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	73 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	25	0,4	12	23	150
0:00:10	25	0,5	13	23	150
0:00:20	25	0,6	13	23	150
0:00:30	25	0,8	13	23	150
0:00:40	25	1,0	13	24	150
0:00:50	25	1,1	13	24	150
0:01:00	25	1,4	13	25	150
0:01:10	25	1,5	13	25	150
0:01:20	25	1,7	13	26	150
0:01:30	25	1,9	13	26	150
0:01:40	25	2,2	13	27	150
0:01:50	25	2,5	13	30	150
0:02:00	25	2,8	13	31	150
0:02:10	25	3,2	13	32	150
0:02:20	25	3,4	13	33	150
0:02:30	25	3,6	13	34	150
0:02:40	25	3,8	13	34	150
0:02:50	25	3,9	13	35	150
0:03:00	25	4,0	13	36	150
0:03:10	26	4,2	13	36	150
0:03:20	26	4,3	13	37	150
0:03:30	26	4,5	13	38	150
0:03:40	26	4,6	14	38	150
0:03:50	26	4,8	13	38	150
0:04:00	27	4,9	13	38	150
0:04:10	27	5,0	13	38	150
0:04:20	27	5,2	13	38	150
0:04:30	28	5,3	14	39	150
0:04:40	28	5,4	13	39	150
0:04:50	28	5,6	13	39	150
0:05:00	28	5,7	13	39	150
0:05:10	29	5,8	13	39	150
0:05:20	29	5,9	13	39	150
0:05:30	29	6,0	13	39	150
0:05:40	29	6,1	13	39	150
0:05:50	30	6,3	13	39	150
0:06:00	30	6,4	14	40	150
0:06:10	30	6,5	14	40	150
0:06:20	30	6,7	14	40	150
0:06:30	31	6,8	13	40	150
0:06:40	31	6,9	14	40	150
0:06:50	31	7,1	14	41	150
0:07:00	31	7,2	14	41	150
0:07:10	32	7,4	14	41	150
0:07:20	32	7,5	14	41	150
0:07:30	32	7,7	14	41	150
0:07:40	32	7,9	14	41	150
0:07:50	33	8,1	13	42	150
0:08:00	33	8,2	13	42	150
0:08:10	33	8,4	14	42	150
0:08:20	33	8,5	14	42	150
0:08:30	33	8,7	14	43	150
0:08:40	34	8,9	14	43	150
0:08:50	34	9,0	14	43	150
0:09:00	34	9,2	14	43	150
0:09:10	34	9,3	14	44	150
0:09:20	35	9,5	14	44	150
0:09:30	35	9,6	14	44	150
0:09:40	35	9,8	14	44	150
0:09:50	35	9,8	14	44	150
0:10:00	36	10,0	14	45	150
0:10:10	36	10,1	14	45	150
0:10:20	36	10,2	13	45	150
0:10:30	36	10,4	13	45	150
0:10:40	36	10,6	13	45	150
0:10:50	37	10,7	13	46	150
0:11:00	37	10,9	13	46	150
0:11:10	37	11,0	13	46	150
0:11:20	37	11,2	13	46	150
0:11:30	38	11,3	13	46	150
0:11:40	38	11,5	13	47	150
0:11:50	38	11,6	13	47	150
0:12:00	38	11,8	13	47	150
0:12:10	38	11,8	13	47	150
0:12:20	39	12,0	13	48	150
0:12:30	39	12,1	13	48	150
0:12:40	39	12,3	13	48	150
0:12:50	39	12,5	13	48	150
0:13:00	40	12,6	13	49	150
0:13:10	40	12,8	13	49	150
0:13:20	40	12,9	13	49	150
0:13:30	40	13,1	13	49	150
0:13:40	40	13,2	13	49	150
0:13:50	41	13,3	13	50	150
0:14:00	41	13,4	13	50	150
0:14:10	41	13,6	13	50	150
0:14:20	41	13,7	13	50	150
0:14:30	41	13,8	13	51	150
0:14:40	42	14,0	13	51	150
0:14:50	42	14,2	13	51	150
0:15:00	42	14,3	13	51	150
0:15:10	42	14,5	13	51	150
0:15:20	43	14,6	13	52	150
0:15:30	43	14,8	13	52	150
0:15:40	43	14,9	13	52	150
0:15:50	43	15,1	13	52	150
0:16:00	43	15,1	13	53	150
0:16:10	44	15,3	13	53	150
0:16:20	44	15,4	13	53	150
0:16:30	44	15,6	13	53	150
0:16:40	44	15,7	13	53	150
0:16:50	44	15,9	13	54	150
0:17:00	45	16,1	13	54	150
0:17:10	45	16,2	13	54	150
0:17:20	45	16,4	13	54	150
0:17:30	45	16,5	13	55	150
0:17:40	45	16,6	13	55	150
0:17:50	46	16,8	13	55	150
0:18:00	46	16,9	13	55	150
0:18:10	46	17,1	13	55	150
0:18:20	46	17,3	13	56	150
0:18:30	46	17,3	13	56	150
0:18:40	47	17,4	13	56	150
0:18:50	47	17,6	13	56	150
0:19:00	47	17,8	13	57	150
0:19:10	47	17,9	13	57	150
0:19:20	48	18,1	13	57	150
