--Test Summary--
Full Path and File Name	
Instrument Name	7322 Consistometer
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	28.11.2012
Test Start Time	9:35:35
Test Stop Date	29.11.2012
Test Stop Time	8:29:12
Test Length	22:53:37
Final Sample Time Offset	23:09:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 50C (30 min); P: 30 MPa (30 min)
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	10%MKGL+46,71%Silica Fume+TDF-3+3%PPB+10%TA-1
Information	Density	1350
Information	BHCT	50
Information	BHST	
Information	FluidLoss	n/a
Information	JobType	Production csg
Initial Temperature (°C)	27 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	30,5 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	61 Bc
Initial Wall Temperature (°C)	25 °C
Final Wall Temperature (°C)	50 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	27	0,7	15	25	150
0:00:10	27	0,8	16	25	150
0:00:20	27	1,0	16	25	150
0:00:30	27	1,1	17	26	150
0:00:40	27	1,3	17	26	150
0:00:50	27	1,7	17	26	150
0:01:00	27	1,7	17	26	150
0:01:10	27	1,8	17	27	150
0:01:20	27	2,0	17	27	150
0:01:30	27	2,4	17	28	150
0:01:40	27	2,5	17	28	150
0:01:50	27	2,7	17	29	150
0:02:00	27	2,9	17	28	150
0:02:10	27	3,1	17	29	150
0:02:20	27	3,3	17	30	150
0:02:30	27	3,5	17	31	150
0:02:40	27	3,7	17	33	150
0:02:50	27	4,0	17	33	150
0:03:00	27	4,2	17	34	150
0:03:10	27	4,5	17	34	150
0:03:20	27	4,7	17	36	150
0:03:30	28	5,0	17	38	150
0:03:40	28	5,2	17	38	150
0:03:50	28	5,5	17	39	150
0:04:00	28	5,6	16	39	150
0:04:10	28	5,8	16	40	150
0:04:20	28	6,0	16	40	150
0:04:30	28	6,1	16	38	150
0:04:40	28	6,3	16	40	150
0:04:50	28	6,5	16	40	150
0:05:00	29	6,6	15	40	150
0:05:10	29	6,8	15	39	150
0:05:20	29	6,9	15	40	150
0:05:30	29	7,0	15	41	150
0:05:40	29	7,2	14	40	150
0:05:50	29	7,3	14	41	150
0:06:00	30	7,4	14	41	150
0:06:10	30	7,5	14	41	150
0:06:20	30	7,6	13	41	150
0:06:30	30	7,7	13	41	150
0:06:40	30	7,7	13	41	150
0:06:50	31	7,8	12	41	150
0:07:00	31	7,9	12	42	150
0:07:10	31	8,0	12	42	150
0:07:20	31	8,0	11	42	150
0:07:30	31	8,1	11	41	150
0:07:40	32	8,3	11	42	150
0:07:50	32	8,6	11	42	150
0:08:00	32	8,6	11	42	150
0:08:10	32	8,7	10	41	150
0:08:20	32	8,9	10	42	150
0:08:30	32	9,3	10	42	150
0:08:40	33	9,4	10	43	150
0:08:50	33	9,4	10	42	150
0:09:00	33	9,5	10	42	150
0:09:10	33	9,6	9	42	150
0:09:20	33	10,1	9	42	150
0:09:30	33	10,2	9	42	150
0:09:40	34	10,3	9	42	150
0:09:50	34	10,4	9	42	150
0:10:00	34	10,4	9	42	150
0:10:10	34	11,0	9	43	150
0:10:20	34	11,0	9	43	150
0:10:30	34	11,1	9	42	150
0:10:40	34	11,2	9	43	150
0:10:50	35	11,3	9	43	150
0:11:00	35	11,4	9	44	150
0:11:10	35	11,9	9	43	150
0:11:20	35	12,0	9	43	150
0:11:30	35	12,1	9	43	150
0:11:40	35	12,2	9	44	150
0:11:50	35	12,2	8	44	150
0:12:00	35	12,6	8	43	150
0:12:10	36	12,9	9	44	150
0:12:20	36	13,0	8	44	150
0:12:30	36	13,1	8	44	150
0:12:40	36	13,1	8	44	150
0:12:50	36	13,2	8	44	150
0:13:00	36	13,5	8	44	150
0:13:10	36	13,9	8	44	150
0:13:20	37	13,9	8	45	150
0:13:30	37	14,0	8	45	150
0:13:40	37	14,1	8	45	150
0:13:50	37	14,2	8	45	150
0:14:00	37	14,5	8	45	150
0:14:10	37	14,8	8	46	150
0:14:20	37	14,9	8	46	150
0:14:30	38	15,0	8	46	150
0:14:40	38	15,0	8	45	150
0:14:50	38	15,3	8	45	150
0:15:00	38	15,6	9	46	150
0:15:10	38	15,7	9	46	150
0:15:20	38	15,8	9	46	150
0:15:30	38	15,9	9	46	150
0:15:40	38	16,0	9	46	150
0:15:50	39	16,5	9	46	150
0:16:00	39	16,6	8	46	150
0:16:10	39	16,7	8	46	150
0:16:20	39	16,8	8	47	150
0:16:30	39	16,9	8	47	150
0:16:40	39	17,0	8	47	150
0:16:50	39	17,1	8	47	150
0:17:00	39	17,7	9	48	150
0:17:10	39	17,8	8	48	150
0:17:20	40	17,9	8	48	150
0:17:30	40	18,0	8	48	150
0:17:40	40	18,1	8	48	150
0:17:50	40	18,2	8	48	150
0:18:00	40	18,3	8	49	150
0:18:10	40	18,5	8	49	150
0:18:20	40	18,8	8	48	150
0:18:30	41	19,0	8	49	150
0:18:40	41	19,1	8	51	150
0:18:50	41	19,2	8	50	150
0:19:00	41	19,3	8	50	150
0:19:10	41	19,8	8	50	150
0:19:20	41	19,9	8	50	150
