--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	10.07.2012
Test Start Time	16:55:31
Test Stop Date	11.07.2012
Test Stop Time	1:10:02
Test Length	8:14:31
Final Sample Time Offset	8:14:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T:73C(40min); P: 40MPa(40min); tap water
Information	WellID	
Information	Customer	
Information	EngName	Pavel Lebedev
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	49.5%ASPM+1.5%Gel+1.5%SMS+0.5%R-7
Information	Density	1250
Information	BHCT	73
Information	BHST	73
Information	FluidLoss	n/a
Information	JobType	Production csg
Calculated Value	30Bc - TT	7:53:10
Calculated Value	70Bc - TT	8:14:30
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	77 °C
Initial Pressure (MPa)	2,0 MPa
Final Pressure (MPa)	39,9 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2,0	10
0:00:10	25	2,1	6
0:00:20	25	2,3	6
0:00:30	25	2,5	6
0:00:40	25	2,8	6
0:00:50	25	2,8	6
0:01:00	25	3,0	6
0:01:10	25	3,3	6
0:01:20	25	3,4	6
0:01:30	25	3,6	6
0:01:40	25	3,8	6
0:01:50	25	4,0	6
0:02:00	25	4,1	6
0:02:10	25	4,2	6
0:02:20	25	4,2	6
0:02:30	26	4,6	6
0:02:40	26	4,7	6
0:02:50	26	4,7	6
0:03:00	26	4,9	6
0:03:10	26	5,0	6
0:03:20	27	5,2	6
0:03:30	27	5,4	6
0:03:40	27	5,6	6
0:03:50	27	5,6	6
0:04:00	28	5,9	6
0:04:10	28	5,9	6
0:04:20	28	6,1	6
0:04:30	28	6,3	6
0:04:40	28	6,5	6
0:04:50	28	6,7	6
0:05:00	28	6,8	6
0:05:10	28	7,0	6
0:05:20	28	7,2	6
0:05:30	28	7,4	6
0:05:40	28	7,5	6
0:05:50	28	7,8	6
0:06:00	28	8,1	6
0:06:10	28	8,5	6
0:06:20	28	8,9	6
0:06:30	29	9,2	6
0:06:40	29	9,1	6
0:06:50	29	9,5	6
0:07:00	29	9,8	6
0:07:10	29	9,4	6
0:07:20	29	10,0	6
0:07:30	29	10,1	6
0:07:40	30	10,3	6
0:07:50	30	10,1	6
0:08:00	30	9,7	6
0:08:10	31	9,8	6
0:08:20	31	9,9	6
0:08:30	32	10,1	6
0:08:40	32	10,2	6
0:08:50	33	10,3	6
0:09:00	33	10,5	6
0:09:10	33	10,9	6
0:09:20	34	10,9	6
0:09:30	34	11,0	6
0:09:40	34	11,3	6
0:09:50	35	11,4	6
0:10:00	35	11,4	6
0:10:10	35	11,8	6
0:10:20	35	11,8	6
0:10:30	35	11,9	6
0:10:40	35	12,1	6
0:10:50	35	12,3	6
0:11:00	35	12,6	6
0:11:10	35	12,7	6
0:11:20	35	12,9	6
0:11:30	35	13,2	6
0:11:40	35	13,7	6
0:11:50	35	14,4	6
0:12:00	35	13,9	6
0:12:10	35	14,2	6
0:12:20	35	14,7	6
0:12:30	35	15,1	6
0:12:40	35	14,5	6
0:12:50	35	14,9	6
0:13:00	36	15,2	6
0:13:10	36	15,3	6
0:13:20	36	15,3	6
0:13:30	37	15,6	6
0:13:40	37	15,5	6
0:13:50	37	15,0	6
0:14:00	38	15,2	6
0:14:10	38	15,7	6
0:14:20	39	15,8	7
0:14:30	40	15,9	7
0:14:40	40	16,2	7
0:14:50	41	15,9	7
0:15:00	41	16,2	7
0:15:10	42	16,6	7
