--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	30.08.2012
Test Start Time	10:10:48
Test Stop Date	30.08.2012
Test Stop Time	16:22:18
Test Length	6:11:30
Final Sample Time Offset	6:11:28
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	30Bc - TT	0:00:10
Calculated Value	70Bc - TT	0:00:10
Calculated Value	100Bc - TT	0:13:40
Initial Temperature (°C)	34 °C
Final Temperature (°C)	24 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	0,1 MPa
Initial Consistency (Bc)	85 Bc
Final Consistency (Bc)	-0 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	34	0,6	85
0:00:10	34	0,6	72
0:00:20	34	0,6	77
0:00:30	33	0,6	71
0:00:40	33	0,6	67
0:00:50	33	0,6	72
0:01:00	33	0,6	81
0:01:10	33	0,6	71
0:01:20	33	0,6	64
0:01:30	33	0,7	63
0:01:40	33	0,8	67
0:01:50	33	0,9	78
0:02:00	33	1,1	76
0:02:10	33	1,4	74
0:02:20	33	1,7	72
0:02:30	33	2,1	76
0:02:40	33	2,5	73
0:02:50	34	2,8	70
0:03:00	34	2,9	69
0:03:10	35	2,7	67
0:03:20	35	2,4	65
0:03:30	36	2,0	62
0:03:40	36	1,7	60
0:03:50	37	1,5	58
0:04:00	37	1,4	56
0:04:10	38	1,3	53
0:04:20	38	1,2	54
0:04:30	39	1,1	53
0:04:40	39	1,0	52
0:04:50	39	1,0	51
0:05:00	40	0,9	52
0:05:10	40	0,9	54
0:05:20	40	0,9	54
0:05:30	40	0,8	53
0:05:40	40	0,8	51
0:05:50	40	0,8	50
0:06:00	40	0,7	50
0:06:10	40	0,7	50
0:06:20	40	0,7	49
0:06:30	40	0,7	49
0:06:40	40	0,8	51
0:06:50	40	0,8	53
0:07:00	40	0,9	56
0:07:10	40	1,1	57
0:07:20	39	1,4	59
0:07:30	39	1,8	64
0:07:40	40	2,4	69
0:07:50	40	3,2	72
0:08:00	40	4,0	72
0:08:10	40	4,8	80
0:08:20	40	5,3	76
0:08:30	41	5,4	74
0:08:40	41	5,1	79
0:08:50	42	4,5	73
0:09:00	42	3,8	70
0:09:10	43	3,3	70
0:09:20	43	2,8	64
0:09:30	44	2,4	62
0:09:40	44	2,1	64
0:09:50	44	1,9	61
0:10:00	45	1,7	62
0:10:10	45	1,6	62
0:10:20	45	1,5	60
0:10:30	45	1,4	60
0:10:40	46	1,3	61
0:10:50	46	1,2	59
0:11:00	46	1,2	60
0:11:10	46	1,1	61
0:11:20	46	1,1	61
0:11:30	46	1,0	60
0:11:40	46	1,0	60
0:11:50	46	1,1	61
0:12:00	46	1,2	63
0:12:10	46	1,3	65
0:12:20	46	1,6	66
0:12:30	45	2,1	72
0:12:40	45	2,9	76
0:12:50	45	3,8	76
0:13:00	46	5,1	85
0:13:10	46	6,4	80
0:13:20	46	7,5	92
0:13:30	46	8,0	106
0:13:40	47	8,1	102
0:14:22			
0:14:22	49	5,8	111
0:14:32	49	3,5	97
0:14:42	49	0,6	67
0:14:52	50	0,5	65
0:15:02	50	0,5	63
0:15:12	50	0,5	62
0:15:22	50	0,6	65
0:15:32	51	0,7	68
0:15:42	51	0,7	73
0:15:52	51	0,7	76
0:16:02	51	0,7	71
0:16:12	51	0,7	70
0:16:22	52	0,7	70
0:16:32	52	0,7	73
0:16:42	52	0,7	77
0:16:52	51	0,7	72
0:17:02	51	0,7	72
0:17:12	51	0,8	73
0:17:22	51	0,9	84
0:17:32	51	1,2	96
0:17:42	51	1,7	88
0:17:52	51	2,7	91
0:18:02	51	4,0	103
0:18:12	51	5,5	128
0:53:18			
0:53:18	77	0,8	51
0:53:28	77	0,8	51
0:53:38	76	0,7	51
0:53:48	76	0,7	50
0:53:58	76	0,7	50
0:54:08	76	0,7	49
0:54:18	76	0,7	49
0:54:28	76	0,7	49
0:54:38	75	0,7	49
0:54:48	75	0,6	49
0:54:58	75	0,6	48
0:55:08	75	0,6	47
0:55:18	75	0,7	47
0:55:28	74	1,2	48
0:55:38	74	2,0	49
0:55:48	74	3,1	50
0:55:58	74	4,3	52
0:56:08	74	5,4	53
0:56:18	74	6,4	53
0:56:28	74	7,3	54
0:56:38	74	7,9	54
0:56:48	74	8,3	53
0:56:58	74	8,4	53
0:57:08	74	8,2	52
0:57:18	75	7,7	51
0:57:28	75	7,0	49
0:57:38	75	6,4	48
0:57:48	76	5,8	47
0:57:58	76	5,3	46
0:58:08	76	4,8	45
0:58:18	76	4,4	44
0:58:28	77	4,1	43
0:58:38	77	3,8	42
0:58:48	77	3,5	42
0:58:58	77	3,2	41
0:59:08	77	2,9	41
0:59:18	77	2,7	41
0:59:28	77	2,5	40
0:59:38	77	2,3	40
0:59:48	77	2,2	40
0:59:58	77	2,0	39
1:00:08	77	1,9	39
1:00:18	77	1,7	39
1:00:28	77	1,6	38
1:00:38	77	1,5	38
1:00:48	77	1,4	38
1:00:58	77	1,3	38
1:01:08	77	1,2	37
1:01:18	77	1,2	37
1:01:28	77	1,1	37
1:01:38	76	1,3	37
1:01:48	76	1,2	37
1:01:58	76	1,1	36
1:02:08	76	1,1	36
1:02:18	76	1,3	36
1:02:28	76	1,4	36
1:02:38	75	1,6	36
1:02:48	75	1,6	38
1:02:58	75	1,8	38
1:03:08	75	2,1	37
1:03:18	75	2,1	36
1:03:28	75	2,8	36
1:03:38	74	3,5	36
1:03:48	74	3,7	36
1:03:58	74	3,8	36
1:04:08	74	3,9	36
1:04:18	74	4,1	36
1:04:28	74	4,4	35
1:04:38	74	4,5	35
1:04:48	74	4,5	35
1:04:58	74	4,7	34
1:05:08	74	4,8	34
1:05:18	74	4,5	33
1:05:28	75	4,5	33
1:05:38	75	4,5	32
1:05:48	75	4,6	32
1:05:58	76	4,7	32
1:06:08	76	5,1	31
1:06:18	76	5,3	31
1:06:28	77	5,3	31
1:06:38	77	5,4	31
1:06:48	77	5,7	31
