--Test Summary--
Full Path and File Name	
Instrument Name	7222-09-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	24.05.2012
Test Start Time	11:03:51
Test Stop Date	25.05.2012
Test Stop Time	6:56:30
Test Length	19:52:39
Final Sample Time Offset	19:52:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 61C (30 min); P: 38.6 MPa (30 min); tap water
Information	WellID	107-50068
Information	Customer	RusIntegral Pioner
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	65.3%ASPM+1.15%TDF-3+0.83%TC-101+0.05%LTR
Information	Density	1250
Information	BHCT	61
Information	BHST	80
Information	FluidLoss	n/a
Information	JobType	Production csg
Calculated Value	30Bc - TT	0:03:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	64 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	38,8 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	6 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	0,6	9
0:01:00	24	2,2	19
0:02:00	24	3,7	32
0:03:00	25	4,9	32
0:04:00	26	6,0	22
0:05:00	26	7,5	45
0:06:00	27	8,8	19
0:07:00	28	10,9	38
0:08:00	29	10,9	16
0:09:00	31	12,3	16
0:10:00	31	13,8	23
0:11:00	32	15,6	20
0:12:00	34	16,2	16
0:13:00	36	17,3	15
0:14:00	37	18,6	17
0:15:00	37	21,1	18
0:16:00	38	22,1	17
0:17:00	41	22,6	12
0:18:00	43	23,6	12
0:19:00	44	25,1	13
0:20:00	44	26,5	15
0:21:00	45	28,0	13
0:22:00	48	28,8	10
0:23:00	50	30,1	6
0:24:00	51	31,3	7
0:25:00	51	33,0	18
0:26:00	51	34,5	18
0:27:00	54	35,1	15
0:28:00	57	36,3	15
0:29:00	59	37,4	14
0:30:00	59	39,2	10
0:31:00	58	39,2	10
0:32:00	60	38,9	10
0:33:00	63	38,6	10
0:34:00	64	38,5	8
0:35:00	64	38,6	9
0:36:00	63	38,6	8
0:37:00	61	39,5	9
0:38:00	61	38,9	8
0:39:00	63	38,5	9
0:40:00	64	38,7	9
0:41:00	64	38,8	8
0:42:00	63	38,8	8
0:43:00	62	39,7	6
0:44:00	62	38,4	7
0:45:00	63	38,6	6
0:46:00	64	38,7	9
0:47:00	64	38,7	14
0:48:00	63	38,7	11
0:49:00	62	38,8	8
0:50:00	62	38,9	12
0:51:00	62	39,2	7
0:52:00	64	38,8	7
0:53:00	64	38,6	7
0:54:00	64	38,7	9
0:55:00	63	38,7	7
0:56:00	62	38,9	6
0:57:00	62	39,4	10
0:58:00	62	38,6	7
0:59:00	64	38,8	6
1:00:00	64	38,8	7
1:01:00	63	38,7	6
1:02:00	63	38,9	9
1:03:00	62	39,0	6
1:04:00	62	39,0	9
1:05:00	62	38,6	8
1:06:00	63	38,6	7
1:07:00	64	38,7	6
1:08:00	64	38,6	6
1:09:00	63	38,6	6
1:10:00	62	38,7	6
1:11:00	62	39,6	6
1:12:00	62	38,9	6
1:13:00	63	38,7	6
1:14:00	64	38,7	6
1:15:00	64	38,7	6
1:16:00	63	38,9	6
1:17:00	63	38,9	6
1:18:00	62	38,8	6
1:19:00	62	39,4	6
1:20:00	62	38,9	5
1:21:00	63	38,6	5
1:22:00	64	38,5	5
1:23:00	64	38,7	5
1:24:00	63	38,8	5
1:25:00	63	38,6	5
1:26:00	63	38,6	5
1:27:00	62	39,0	5
1:28:00	62	39,2	5
1:29:00	62	38,8	5
1:30:00	63	38,7	5
1:31:00	64	38,7	5
1:32:00	64	38,7	5
1:33:00	63	38,9	5
