--Test Summary--
Full Path and File Name	
Instrument Name	7222-09-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	25.04.2012
Test Start Time	7:47:24
Test Stop Date	25.04.2012
Test Stop Time	9:16:25
Test Length	1:29:01
Final Sample Time Offset	1:29:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 73 C (91min); P: 58.4 MPa (91min); tap water
Information	WellID	Research
Information	Customer	Achimgaz
Information	CementClass	G
Information	CementMfr	Suhovolgskiy
Information	Additives	65.9%MKGL-1+54.6%MS-AS+0.5%RPM+0.5%R-7
Information	Density	1250
Information	BHCT	73
Information	BHST	95
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	30Bc - TT	1:10:00
Calculated Value	70Bc - TT	1:29:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	75 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	43,8 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	77 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	0,8	16
0:01:00	24	2,2	24
0:02:00	24	3,1	15
0:03:00	25	4,0	14
0:04:00	25	4,1	9
0:05:00	26	4,6	9
0:06:00	27	5,2	8
0:07:00	27	6,0	8
0:08:00	27	7,6	12
0:09:00	27	7,9	10
0:10:00	28	7,7	8
0:11:00	30	8,4	7
0:12:00	31	9,1	7
0:13:00	30	9,6	7
0:14:00	30	11,0	12
0:15:00	31	11,6	11
0:16:00	32	11,5	8
0:17:00	34	12,4	8
0:18:00	34	12,8	8
0:19:00	33	14,2	13
0:20:00	34	14,9	13
0:21:00	35	14,6	10
0:22:00	37	15,1	9
0:23:00	37	15,8	9
0:24:00	37	16,9	12
0:25:00	37	18,1	14
0:26:00	38	17,6	11
0:27:00	40	18,2	10
0:28:00	40	18,9	10
0:29:00	40	20,0	12
0:30:00	40	21,0	14
0:31:00	42	20,9	11
0:32:00	43	21,3	9
0:33:00	43	22,2	11
0:34:00	43	23,4	13
0:35:00	43	24,2	13
0:36:00	45	24,0	10
0:37:00	46	24,4	9
0:38:00	46	25,4	10
0:39:00	45	26,7	14
0:40:00	46	26,8	13
0:41:00	48	26,9	10
0:42:00	49	27,7	9
0:43:00	48	28,5	11
0:44:00	48	29,9	13
0:45:00	49	30,3	12
0:46:00	51	30,2	9
0:47:00	52	30,5	9
0:48:00	52	31,3	9
0:49:00	51	32,3	11
0:50:00	51	33,3	14
0:51:00	51	33,1	12
0:52:00	54	33,6	10
0:53:00	56	34,4	10
0:54:00	56	35,1	10
0:55:00	55	35,6	11
0:56:00	55	35,9	17
0:57:00	54	37,5	17
0:58:00	56	37,6	16
0:59:00	60	38,1	16
1:00:00	60	38,6	18
1:01:00	60	39,3	19
1:02:00	59	39,6	21
1:03:00	59	41,1	24
1:04:00	62	41,1	24
1:05:00	62	41,8	24
1:06:00	61	42,6	25
1:07:00	61	43,5	27
1:08:00	64	43,5	28
1:09:00	64	43,9	35
1:10:00	63	43,8	36
1:11:00	63	45,7	34
1:12:00	65	43,9	36
1:13:00	66	41,5	38
1:14:00	65	40,7	39
1:15:00	64	46,5	44
1:16:00	66	47,0	45
1:17:00	68	43,8	46
1:18:00	68	41,9	46
1:19:00	67	43,6	54
1:20:00	67	49,2	60
1:21:00	69	47,4	56
1:22:00	70	44,6	59
1:23:00	71	42,9	55
1:24:00	70	43,8	55
1:25:00	69	51,9	62
1:26:00	71	52,1	69
1:27:00	74	47,8	66
1:28:00	76	45,4	71
1:29:00	75	43,8	77
