--Test Summary--
Full Path and File Name	
Instrument Name	7222 Consistometer
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	29.11.2012
Test Start Time	16:35:04
Test Stop Date	30.11.2012
Test Stop Time	8:45:03
Test Length	16:09:59
Final Sample Time Offset	16:20:45
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Initial Temperature (°C)	25 °C
Final Temperature (°C)	29 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	0,2 MPa
Initial Consistency (Bc)	109 Bc
Final Consistency (Bc)	-0 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,7	109
0:00:10	25	0,8	112
0:00:39			
0:00:39	25	0,8	133
0:00:49	25	0,8	124
0:00:55			
0:00:55	25	0,8	133
0:01:05	25	0,7	116
0:01:15	25	0,7	120
0:01:25	25	0,7	127
0:01:35	25	0,6	100
0:01:45	25	0,7	117
0:01:55	25	0,7	122
0:02:05	25	0,7	122
0:02:15	25	0,7	130
0:02:25	25	0,7	123
0:02:35	25	0,6	114
0:02:45	25	0,6	89
0:02:55	25	0,2	13
0:03:05	25	0,1	9
0:03:15	25	0,1	-1
0:03:25	25	0,1	9
0:03:35	25	0,1	15
0:03:45	25	0,1	14
0:03:55	25	0,2	17
0:04:05	25	0,2	14
0:04:15	25	0,8	118
0:04:25	25	0,8	114
0:04:35	25	0,8	109
0:04:45	25	0,8	101
0:04:55	25	0,7	116
0:05:05	25	0,2	34
0:05:15	26	0,1	13
0:05:25	25	0,1	12
0:05:35	25	0,5	83
0:05:45	25	0,6	101
0:05:55	25	0,6	104
0:06:05	25	0,6	117
0:06:15	26	0,6	121
0:06:25	26	0,7	119
0:06:35	26	0,4	87
0:06:45	26	0,2	18
0:06:55	26	0,1	10
0:07:05	26	0,1	10
0:07:15	26	0,1	10
0:07:25	25	0,1	10
0:07:35	25	0,1	10
0:07:45	25	0,1	11
0:07:55	25	0,1	13
0:08:05	25	0,1	14
0:08:15	26	0,1	14
0:08:25	26	0,1	15
0:08:35	26	0,1	15
0:08:45	26	0,1	15
0:08:55	26	0,1	14
0:09:05	26	0,1	14
0:09:15	26	0,1	17
0:09:25	26	0,1	14
0:09:35	26	0,1	15
0:09:45	26	0,1	14
0:09:55	27	0,1	15
0:10:05	27	0,1	15
0:10:15	27	0,1	15
0:10:25	27	0,1	14
0:10:35	28	0,1	14
0:10:45	28	0,1	14
0:10:55	28	0,1	14
0:11:05	28	0,1	14
0:11:15	28	0,1	14
0:11:25	28	0,1	14
0:11:35	29	0,1	14
0:11:45	29	0,1	14
0:11:55	29	0,1	13
0:12:05	29	0,1	14
0:12:15	29	0,1	14
0:12:25	29	0,1	14
0:12:35	29	0,1	14
0:12:45	29	0,1	14
0:12:55	29	0,1	14
0:13:05	29	0,1	14
0:13:15	29	0,1	14
0:13:25	29	0,1	14
0:13:35	29	0,1	15
0:13:45	29	0,1	15
0:13:55	29	0,1	15
0:14:05	29	0,1	15
0:14:15	29	0,1	16
0:14:25	29	0,1	16
0:14:35	29	0,1	16
0:14:45	30	0,1	20
0:14:55	30	0,1	22
0:15:05	30	0,1	20
0:15:15	31	0,1	19
0:15:25	31	0,1	17
0:15:35	32	0,1	21
0:15:45	32	0,1	20
0:15:55	33	0,1	21
0:16:05	33	0,1	19
0:16:15	33	0,1	19
0:16:25	34	0,1	19
0:16:35	34	0,1	19
0:16:45	34	0,1	18
0:16:55	34	0,1	17
0:17:05	34	0,1	17
0:17:15	34	0,1	18
0:17:25	34	0,1	19
0:17:35	34	0,1	17
0:17:45	34	0,1	16
0:17:55	34	0,1	16
0:18:05	34	0,1	16
0:18:15	34	0,1	17
0:18:25	34	0,1	17
0:18:35	34	0,1	16
0:18:45	34	0,1	16
0:18:55	34	0,1	16
0:19:05	34	0,1	16
0:19:15	34	0,1	16
0:19:25	34	0,1	15
0:19:35	34	0,1	16
0:19:45	34	0,1	16
0:19:55	35	0,1	15
0:20:05	35	0,1	15
0:20:15	35	0,1	15
0:20:25	36	0,1	15
0:20:35	36	0,1	15
0:20:45	37	0,1	15
0:20:55	37	0,1	15
0:21:05	38	0,1	15
0:21:15	38	0,1	15
0:21:25	38	0,1	15
0:21:35	39	0,1	15
0:21:45	39	0,1	15
0:21:55	39	0,1	17
0:22:05	39	0,1	17
0:22:15	39	0,1	19
0:22:25	39	0,1	19
0:22:35	39	0,1	18
0:22:45	39	0,1	18
0:22:55	39	0,1	19
0:23:05	39	0,1	18
0:23:15	39	0,1	17
0:23:25	39	0,1	17
0:23:35	39	0,1	18
0:23:45	39	0,1	17
0:23:55	39	0,1	19
0:24:05	39	0,1	17
0:24:15	39	0,1	17
0:24:25	39	0,1	16
0:24:35	39	0,1	16
0:24:45	39	0,1	16
0:24:55	39	0,1	16
0:25:05	40	0,2	16
0:25:15	40	0,2	16
0:25:25	40	0,2	16
0:25:35	41	0,2	16
0:25:45	41	0,2	16
0:25:55	42	0,2	16
0:26:05	42	0,2	16
0:26:15	43	0,2	16
0:26:25	43	0,2	19
0:26:35	44	0,2	22
0:26:45	44	0,2	20
0:26:55	44	0,1	19
0:27:05	44	0,2	19
0:27:15	45	0,1	19
0:27:25	45	0,2	18
0:27:35	45	0,2	20
0:27:45	45	0,2	20
0:27:55	45	0,1	18
0:28:05	45	0,1	21
0:28:15	44	0,2	19
0:28:25	44	0,1	20
0:28:35	44	0,1	20
0:28:45	44	0,1	19
0:28:55	44	0,1	19
0:29:05	44	0,2	20
0:29:15	44	0,1	22
0:29:25	44	0,2	21
0:29:35	44	0,2	21
0:29:45	44	0,2	20
0:29:55	44	0,2	22
0:30:05	44	0,2	20
0:30:15	45	0,2	20
0:30:25	45	0,2	19
0:30:35	46	0,2	19
0:30:45	47	0,2	18
0:30:55	47	0,2	19
0:31:05	48	0,2	19
0:31:15	48	0,2	20
0:31:25	48	0,2	19
0:31:35	49	0,2	20
0:31:45	49	0,2	23
0:31:55	49	0,2	23
0:32:05	49	0,2	21
0:32:15	49	0,2	21
0:32:25	49	0,2	19
0:32:35	49	0,2	20
0:32:45	49	0,2	20
0:32:55	49	0,2	21
0:33:05	49	0,2	20
0:33:15	49	0,1	20
0:33:25	49	0,2	17
0:33:35	49	0,2	17
0:33:45	49	0,2	17
0:33:55	49	0,1	18
0:34:05	49	0,2	20
0:34:15	49	0,2	21
0:34:25	49	0,2	20
0:34:35	49	0,2	22
0:34:45	49	0,2	21
0:34:55	49	0,2	21
0:35:05	50	0,2	20
0:35:15	50	0,2	21
0:35:25	50	0,2	20
0:35:35	51	0,2	18
0:35:45	51	0,2	19
0:35:55	51	0,2	18
0:36:05	51	0,2	18
0:36:15	52	0,2	18
0:36:25	52	0,2	19
0:36:35	52	0,2	18
0:36:45	52	0,2	17
0:36:55	52	0,2	17
0:37:05	52	0,2	16
0:37:15	52	0,2	18
0:37:25	52	0,2	19
0:37:35	52	0,2	18
0:37:45	52	0,2	20
0:37:55	52	0,2	20
0:38:05	52	0,2	20
0:38:15	52	0,2	21
0:38:25	52	0,1	23
0:38:35	52	0,2	21
0:38:45	52	0,2	21
0:38:55	52	0,2	20
0:39:05	52	0,2	19
0:39:15	51	0,2	19
0:39:25	51	0,2	18
0:39:35	51	0,2	20
0:39:45	51	0,2	22
0:39:55	51	0,2	22
0:40:05	52	0,2	22
0:40:15	52	0,2	21
0:40:25	52	0,2	21
0:40:35	52	0,2	21
0:40:45	52	0,2	22
0:40:55	53	0,2	21
0:41:05	53	0,2	20
0:41:15	53	0,2	21
0:41:25	53	0,2	20
0:41:35	53	0,2	20
0:41:45	53	0,2	20
0:41:55	53	0,2	20
0:42:05	53	0,2	21
0:42:15	53	0,2	21
0:42:25	53	0,2	23
0:42:35	53	0,2	24
0:42:45	53	0,2	22
0:42:55	53	0,2	23
0:43:05	53	0,2	23
0:43:15	53	0,2	22
0:43:25	53	0,2	22
0:43:35	53	0,2	24
0:43:45	53	0,2	23
0:43:55	53	0,2	22
0:44:05	53	0,2	22
0:44:15	53	0,2	21
0:44:25	53	0,2	23
0:44:35	52	0,1	23
0:44:45	52	0,1	22
0:44:55	52	0,1	22
0:45:05	52	0,2	23
0:45:15	52	0,2	26
0:45:25	52	0,1	22
0:45:35	52	0,2	22
0:45:45	52	0,2	24
0:45:55	52	0,2	23
0:46:05	52	0,2	21
0:46:15	52	0,2	23
0:46:25	52	0,2	23
0:46:35	52	0,2	22
0:46:45	52	0,2	22
0:46:55	53	0,2	22
0:47:05	53	0,2	22
0:47:15	53	0,2	22
0:47:25	53	0,2	21
0:47:35	53	0,2	21
0:47:45	53	0,2	21
0:47:55	53	0,2	20
0:48:05	53	0,2	22
0:48:15	53	0,2	21
0:48:25	53	0,2	21
0:48:35	53	0,2	21
0:48:45	53	0,2	21
0:48:55	53	0,2	22
0:49:05	53	0,2	22
0:49:15	53	0,2	23
0:49:25	53	0,2	23
0:49:35	53	0,2	23
0:49:45	53	0,2	24
0:49:55	53	0,2	24
0:50:05	53	0,2	24
0:50:15	53	0,2	24
0:50:25	53	0,2	28
0:50:35	53	0,2	25
0:50:45	53	0,2	23
0:50:55	52	0,2	24
0:51:05	52	0,2	25
0:51:15	52	0,2	25
0:51:25	52	0,2	25
0:51:35	52	0,2	24
0:51:45	52	0,2	26
0:51:55	52	0,2	28
0:52:05	52	0,2	24
0:52:15	52	0,2	27
0:52:25	52	0,2	30
0:52:35	52	0,2	26
0:52:45	52	0,2	26
0:52:55	52	0,2	27
0:53:05	52	0,2	25
0:53:15	53	0,2	26
0:53:25	53	0,2	29
0:53:35	53	0,2	32
0:53:45	53	0,2	32
0:53:55	53	0,2	30
0:54:05	53	0,2	31
0:54:15	53	0,2	31
0:54:25	53	0,2	31
0:54:35	53	0,2	32
0:54:45	53	0,2	32
0:54:55	53	0,2	28
0:55:05	53	0,2	26
0:55:15	53	0,2	26
0:55:25	53	0,2	25
0:55:35	53	0,2	26
0:55:45	53	0,2	25
0:55:55	53	0,2	23
0:56:05	53	0,2	23
0:56:15	53	0,2	24
0:56:25	53	0,2	25
0:56:35	53	0,2	28
0:56:45	53	0,2	25
0:56:55	53	0,2	25
0:57:05	53	0,2	28
0:57:15	52	0,2	29
0:57:25	52	0,2	27
0:57:35	52	0,2	26
0:57:45	52	0,2	27
0:57:55	52	0,2	25
0:58:05	52	0,2	24
0:58:15	52	0,2	26
0:58:25	52	0,2	28
0:58:35	52	0,2	27
0:58:45	52	0,2	24
0:58:55	52	0,2	24
0:59:05	52	0,2	26
0:59:15	52	0,2	25
0:59:25	52	0,2	27
0:59:35	53	0,2	24
0:59:45	53	0,2	24
0:59:55	53	0,2	23
1:00:05	53	0,2	23
1:00:15	53	0,2	23
1:00:25	53	0,2	22
1:00:35	53	0,2	21
1:00:45	53	0,2	21
1:00:55	53	0,2	21
1:01:05	53	0,2	22
1:01:15	53	0,2	22
1:01:25	53	0,2	22
1:01:35	53	0,2	22
1:01:45	53	0,2	21
1:01:55	53	0,2	22
1:02:05	53	0,2	22
1:02:15	53	0,2	22
1:02:25	53	0,2	23
1:02:35	53	0,2	23
1:02:45	53	0,2	22
1:02:55	53	0,2	22
1:03:05	53	0,2	23
1:03:15	53	0,2	22
1:03:25	53	0,2	23
1:03:35	52	0,2	23
1:03:45	52	0,2	22
1:03:55	52	0,2	30
1:04:05	52	0,2	28
1:04:15	52	0,2	25
1:04:25	52	0,2	29
1:04:35	52	0,2	25
1:04:45	52	0,2	27
1:04:55	52	0,2	24
1:05:05	52	0,2	26
1:05:15	52	0,2	27
1:05:25	52	0,2	30
1:05:35	52	0,2	28
1:05:45	53	0,2	29
1:05:55	53	0,2	29
1:06:05	53	0,2	36
1:06:15	53	0,2	27
1:06:25	53	0,2	27
1:06:35	53	0,2	27
1:06:45	53	0,2	28
1:06:55	53	0,2	28
1:07:05	53	0,2	28
1:07:15	53	0,2	28
1:07:25	53	0,2	28
1:07:35	53	0,2	28
1:07:45	53	0,2	29
1:07:55	53	0,2	30
1:08:05	53	0,2	30
1:08:15	53	0,2	28
1:08:25	53	0,2	29
1:08:35	53	0,2	30
1:08:45	53	0,2	31
1:08:55	53	0,2	28
1:09:05	53	0,2	27
1:09:15	53	0,2	25
1:09:25	53	0,2	28
1:09:35	53	0,2	26
1:09:45	52	0,2	25
1:09:55	52	0,2	25
1:10:05	52	0,2	27
1:10:15	52	0,2	26
1:10:25	52	0,2	26
1:10:35	52	0,2	25
1:10:45	52	0,2	25
1:10:55	52	0,2	24
1:11:05	52	0,2	24
1:11:15	52	0,2	28
1:11:25	52	0,2	24
1:11:35	53	0,2	23
1:11:45	53	0,2	23
1:11:55	53	0,2	24
1:12:05	53	0,2	23
1:12:15	53	0,2	23
1:12:25	53	0,2	23
1:12:35	53	0,2	23
1:12:45	53	0,2	23
1:12:55	53	0,2	23
1:13:05	53	0,2	23
1:13:15	53	0,2	22
1:13:25	53	0,2	22
1:13:35	53	0,2	22
1:13:45	53	0,2	21
1:13:55	53	0,2	21
1:14:05	53	0,2	21
1:14:15	53	0,2	22
1:14:25	53	0,2	22
1:14:35	53	0,2	22
1:14:45	53	0,2	22
1:14:55	53	0,2	22
1:15:05	53	0,2	23
1:15:15	53	0,2	24
1:15:25	53	0,2	26
1:15:35	52	0,2	26
1:15:45	52	0,2	25
1:15:55	52	0,2	24
1:16:05	52	0,2	25
1:16:15	52	0,2	29
1:16:25	52	0,2	25
1:16:35	52	0,2	25
1:16:45	52	0,2	24
1:16:55	52	0,2	25
1:17:05	52	0,2	25
1:17:15	53	0,2	29
1:17:25	53	0,2	24
1:17:35	53	0,2	25
1:17:45	53	0,2	25
1:17:55	53	0,2	25
1:18:05	53	0,2	24
1:18:15	53	0,2	24
1:18:25	53	0,2	25
1:18:35	53	0,2	24
1:18:45	53	0,2	25
1:18:55	53	0,2	24
1:19:05	53	0,2	23
1:19:15	53	0,2	24
1:19:25	53	0,2	25
1:19:35	53	0,2	25
1:19:45	53	0,2	25
1:19:55	53	0,2	26
1:20:05	53	0,2	27
1:20:15	53	0,2	28
1:20:25	53	0,2	27
1:20:35	53	0,2	26
1:20:45	53	0,2	27
1:20:55	53	0,2	25
1:21:05	52	0,2	23
1:21:15	52	0,2	25
1:21:25	52	0,2	24
1:21:35	52	0,2	26
1:21:45	52	0,2	25
1:21:55	52	0,2	23
1:22:05	52	0,2	26
1:22:15	52	0,2	24
1:22:25	52	0,2	25
1:22:35	52	0,2	25
1:22:45	52	0,2	25
1:22:55	53	0,2	25
1:23:05	53	0,2	24
1:23:15	53	0,2	24
1:23:25	53	0,2	25
1:23:35	53	0,2	24
1:23:45	53	0,2	24
1:23:55	53	0,2	24
1:24:05	53	0,2	24
1:24:15	53	0,2	24
1:24:25	53	0,2	25
1:24:35	53	0,2	25
1:24:45	53	0,2	23
1:24:55	53	0,2	22
1:25:05	53	0,2	22
1:25:15	53	0,2	22
1:25:25	53	0,2	23
1:25:35	53	0,2	23
1:25:45	53	0,2	22
1:25:55	53	0,2	22
1:26:05	53	0,2	26
1:26:15	52	0,2	25
1:26:25	52	0,2	25
1:26:35	52	0,2	26
1:26:45	52	0,2	26
1:26:55	52	0,2	24
1:27:05	52	0,2	25
1:27:15	52	0,2	27
1:27:25	52	0,2	25
1:27:35	52	0,2	24
1:27:45	52	0,2	25
1:27:55	52	0,2	24
1:28:05	52	0,2	24
1:28:15	53	0,2	25
1:28:25	53	0,2	27
1:28:35	53	0,2	28
1:28:45	53	0,2	27
1:28:55	53	0,2	27
1:29:05	53	0,2	28
1:29:15	53	0,2	27
1:29:25	53	0,2	27
1:29:35	53	0,2	27
1:29:45	53	0,2	27
1:29:55	53	0,2	26
1:30:05	53	0,2	26
1:30:15	53	0,2	28
1:30:25	53	0,2	28
1:30:35	53	0,2	25
1:30:45	53	0,2	25
1:30:55	53	0,2	25
1:31:05	53	0,2	25
1:31:15	53	0,2	25
1:31:25	52	0,2	25
1:31:35	52	0,2	25
1:31:45	52	0,2	23
1:31:55	52	0,2	25
1:32:05	52	0,2	24
1:32:15	52	0,2	23
1:32:25	52	0,2	23
1:32:35	52	0,2	24
1:32:45	52	0,2	24
1:32:55	52	0,2	24
1:33:05	52	0,2	24
1:33:15	52	0,2	23
1:33:25	53	0,2	23
1:33:35	53	0,2	23
1:33:45	53	0,2	23
1:33:55	53	0,2	23
1:34:05	53	0,2	23
1:34:15	53	0,2	23
1:34:25	53	0,2	23
1:34:35	53	0,2	23
1:34:45	53	0,2	23
1:34:55	53	0,2	23
1:35:05	53	0,2	23
1:35:15	53	0,2	23
1:35:25	53	0,2	23
1:35:35	53	0,2	23
1:35:45	53	0,2	23
1:35:55	53	0,2	23
1:36:05	53	0,2	23
1:36:15	52	0,2	23
1:36:25	52	0,2	23
1:36:35	52	0,2	23
1:36:45	52	0,2	23
1:36:55	52	0,2	23
1:37:05	52	0,2	23
1:37:15	52	0,2	22
1:37:25	52	0,2	24
1:37:35	52	0,2	23
1:37:45	52	0,2	23
1:37:55	52	0,2	23
1:38:05	52	0,2	23
1:38:15	52	0,2	22
1:38:25	53	0,2	22
1:38:35	53	0,2	22
1:38:45	53	0,2	22
1:38:55	53	0,2	22
1:39:05	53	0,2	22
1:39:15	53	0,2	22
1:39:25	53	0,2	22
1:39:35	53	0,2	22
1:39:45	53	0,2	22
1:39:55	53	0,2	22
1:40:05	53	0,2	22
1:40:15	53	0,2	22
1:40:25	53	0,2	22
1:40:35	53	0,2	22
1:40:45	53	0,2	22
1:40:55	52	0,2	22
1:41:05	52	0,2	22
1:41:15	52	0,2	22
1:41:25	52	0,2	22
1:41:35	52	0,2	22
1:41:45	52	0,2	22
1:41:55	52	0,2	22
1:42:05	52	0,2	22
1:42:15	52	0,2	22
1:42:25	52	0,2	24
1:42:35	52	0,2	23
1:42:45	52	0,2	23
1:42:55	52	0,2	23
1:43:05	52	0,2	23
1:43:15	52	0,2	23
1:43:25	52	0,2	23
1:43:35	53	0,2	23
1:43:45	53	0,2	23
1:43:55	53	0,2	23
1:44:05	53	0,2	23
