--Test Summary--
Full Path and File Name	
Instrument Name	7222 Consistometer
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	31.10.2012
Test Start Time	11:09:05
Test Stop Date	31.10.2012
Test Stop Time	13:56:45
Test Length	2:47:40
Final Sample Time Offset	2:47:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	MPa: 40(40min), T:73(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Shut Kostya
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	1%Gel+1%SMS+0.2%R-7
Information	Density	1500
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Production csg
Initial Temperature (°C)	24 °C
Final Temperature (°C)	74 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	41,1 MPa
Initial Consistency (Bc)	3 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	0,8	3
0:00:10	24	1,6	3
0:00:20	24	1,6	3
0:00:30	24	1,6	2
0:00:40	24	1,5	2
0:00:50	24	1,4	2
0:01:00	24	1,4	2
0:01:10	24	1,5	2
0:01:20	24	1,5	2
0:01:30	24	1,7	2
0:01:40	24	1,9	2
0:01:50	24	2,1	2
0:02:00	24	2,2	2
0:02:10	24	2,4	2
0:02:20	24	2,6	2
0:02:30	24	2,7	2
0:02:40	25	2,8	2
0:02:50	25	2,8	2
0:03:00	25	2,7	2
0:03:10	25	2,5	2
0:03:20	26	2,7	2
0:03:30	26	2,7	2
0:03:40	26	3,1	2
0:03:50	26	3,3	2
0:04:00	26	3,2	2
0:04:10	27	3,4	2
0:04:20	27	3,6	2
0:04:30	27	3,9	2
0:04:40	27	3,9	2
0:04:50	27	4,1	2
0:05:00	27	4,5	2
0:05:10	27	4,4	3
0:05:20	27	4,6	2
0:05:30	27	4,8	3
0:05:40	27	5,2	2
0:05:50	27	5,7	2
0:06:00	27	6,3	3
0:06:10	27	6,5	3
0:06:20	27	6,6	3
0:06:30	27	6,7	3
0:06:40	27	6,8	3
0:06:50	28	7,3	3
0:07:00	28	7,3	7
0:07:10	28	7,3	6
0:07:20	28	7,6	6
0:07:30	28	7,8	6
0:07:40	28	7,9	11
0:07:50	29	8,0	11
0:08:00	29	7,9	13
0:08:10	30	7,5	15
0:08:20	30	7,7	14
0:08:30	30	8,0	10
0:08:40	31	8,2	13
0:08:50	31	8,2	14
0:09:00	31	8,5	15
0:09:10	32	8,5	15
0:09:20	32	8,8	14
0:09:30	32	9,0	16
0:09:40	33	8,9	10
0:09:50	33	9,3	11
0:10:00	33	9,3	13
0:10:10	33	9,6	11
0:10:20	33	9,8	12
0:10:30	33	9,9	11
0:10:40	33	10,0	10
0:10:50	33	10,2	11
0:11:00	33	10,5	10
0:11:10	33	10,7	10
0:11:20	33	11,2	10
0:11:30	33	12,0	10
0:11:40	33	11,7	10
0:11:50	33	12,2	14
0:12:00	34	12,6	15
0:12:10	34	12,5	15
0:12:20	34	12,8	17
0:12:30	34	12,9	19
0:12:40	34	12,7	15
0:12:50	34	13,2	13
0:13:00	34	13,5	15
0:13:10	35	13,6	13
0:13:20	35	13,5	8
0:13:30	35	13,5	14
0:13:40	36	13,3	15
0:13:50	36	13,2	17
0:14:00	37	13,4	8
0:14:10	37	13,7	5
0:14:20	38	13,9	7
0:14:30	38	14,2	7
0:14:40	39	14,2	7
0:14:50	39	14,2	5
0:15:00	39	14,7	5
0:15:10	40	14,7	4
0:15:20	40	14,7	3
0:15:30	40	14,9	3
0:15:40	41	15,2	3
0:15:50	41	15,4	3
0:16:00	41	15,6	3
0:16:10	41	15,7	3
0:16:20	41	15,9	3
0:16:30	41	16,2	3
0:16:40	41	16,2	3
