--Test Summary--
Full Path and File Name	
Instrument Name	7222 Consistometer
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	26.12.2012
Test Start Time	10:08:49
Test Stop Date	26.12.2012
Test Stop Time	16:23:57
Test Length	6:15:08
Final Sample Time Offset	6:14:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 90C (40min); P: 20 MPa (40min); Tap water

Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	30%SFlour+1%PPB+1%TLF-HT+0.4%CFL-6+0.4%CFR-12
Information	Density	1890
Information	BHCT	90
Information	BHST	
Information	FluidLoss	20cc/30min
Information	JobType	
Initial Temperature (°C)	27 °C
Final Temperature (°C)	ERROR
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	ERROR
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,5	19
0:00:10	27	0,6	18
0:00:20	27	0,6	18
0:00:30	27	0,7	18
0:00:40	27	0,8	18
0:00:50	27	0,9	18
0:01:00	26	1,0	18
0:01:10	27	1,1	18
0:01:20	27	1,2	18
0:01:30	27	1,3	18
0:01:40	27	1,4	18
0:01:50	27	1,4	18
0:02:00	28	1,5	17
0:02:10	28	1,6	18
0:02:20	29	1,7	17
0:02:30	29	1,8	17
0:02:40	29	1,9	17
0:02:50	29	1,9	17
0:03:00	29	2,0	17
0:03:10	30	2,1	17
0:03:20	30	2,2	17
0:03:30	30	2,2	17
0:03:40	30	2,4	17
0:03:50	30	2,4	17
0:04:00	30	2,5	17
0:04:10	30	2,6	17
0:04:20	30	2,8	17
0:04:30	30	3,0	17
0:04:40	30	3,3	18
0:04:50	30	3,7	17
0:05:00	30	4,0	17
0:05:10	30	4,1	18
0:05:20	30	4,2	17
0:05:30	31	4,2	17
0:05:40	31	4,3	17
0:05:50	31	4,2	17
0:06:00	32	4,0	17
0:06:10	32	3,8	18
0:06:20	33	3,6	17
0:06:30	33	3,7	17
0:06:40	34	3,8	18
0:06:50	34	3,9	17
0:07:00	34	3,9	17
0:07:10	34	4,1	18
0:07:20	34	4,1	18
0:07:30	34	4,2	17
0:07:40	34	4,4	17
0:07:50	35	4,3	18
0:08:00	34	4,6	17
0:08:10	34	4,9	17
0:08:20	34	5,4	17
0:08:30	34	5,8	17
0:08:40	35	5,7	17
0:08:50	35	5,8	17
0:09:00	35	5,9	17
0:09:10	35	6,1	17
0:09:20	36	6,1	17
0:09:30	36	6,2	17
0:09:40	37	6,0	17
0:09:50	37	5,6	17
0:10:00	38	5,5	17
0:10:10	39	5,6	17
0:10:20	39	5,6	17
0:10:30	40	5,7	17
0:10:40	40	5,6	17
0:10:50	40	5,8	17
0:11:00	40	5,9	17
0:11:10	41	5,9	17
0:11:20	41	6,0	17
0:11:30	41	6,2	17
0:11:40	41	6,3	17
0:11:50	41	6,4	17
0:12:00	41	6,6	17
0:12:10	41	7,2	16
0:12:20	41	7,7	16
0:12:30	40	7,9	16
0:12:40	41	7,9	16
0:12:50	41	7,8	16
0:13:00	41	7,9	16
0:13:10	41	7,7	16
0:13:20	42	8,0	16
0:13:30	42	7,9	16
0:13:40	43	7,8	16
0:13:50	44	7,2	16
0:14:00	45	7,3	17
0:14:10	45	7,4	17
0:14:20	46	7,6	17
0:14:30	46	7,6	17
0:14:40	47	7,5	17
0:14:50	47	7,7	17
0:15:00	47	7,9	17
0:15:10	48	7,9	17
0:15:20	48	8,1	17
0:15:30	48	8,1	17
0:15:40	48	8,1	17
0:15:50	48	8,3	17
0:16:00	48	8,5	17
0:16:10	48	9,2	16
0:16:20	47	9,6	16
0:16:30	47	9,7	15
0:16:40	47	9,8	15
0:16:50	47	9,9	15
0:17:00	48	9,9	15
0:17:10	48	9,9	15
0:17:20	48	9,7	15
0:17:30	49	10,0	15
0:17:40	49	9,8	15
0:17:50	50	9,4	16
0:18:00	51	9,3	16
0:18:10	52	9,4	16
0:18:20	53	9,5	16
0:18:30	53	9,5	17
0:18:40	54	9,6	17
