--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	17.09.2012
Test Start Time	10:12:21
Test Stop Date	17.09.2012
Test Stop Time	15:12:02
Test Length	4:59:41
Final Sample Time Offset	4:59:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 73C(40min); P: 40MPa(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.8%TDF-3+0.2%PPB+5%DR-100+0.4%LTR
Information	Density	1920
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	24ml/30min
Information	JobType	Liner
Calculated Value	30Bc - TT	0:57:10
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	76 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	40,0 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0,7	9
0:00:10	23	0,7	11
0:00:20	23	0,8	12
0:00:30	23	0,9	11
0:00:40	23	1,1	13
0:00:50	23	1,2	11
0:01:00	23	1,5	11
0:01:10	23	1,9	12
0:01:20	23	2,3	13
0:01:30	23	2,7	13
0:01:40	23	2,9	13
0:01:50	23	3,1	12
0:02:00	23	3,2	12
0:02:10	23	3,4	12
0:02:20	24	3,4	12
0:02:30	24	3,4	11
0:02:40	24	3,2	12
0:02:50	24	3,4	12
0:03:00	24	3,2	11
0:03:10	25	3,4	11
0:03:20	25	3,7	11
0:03:30	25	4,1	11
0:03:40	25	3,9	11
0:03:50	25	4,2	11
0:04:00	26	4,4	11
0:04:10	26	4,5	11
0:04:20	26	4,7	11
0:04:30	26	4,8	11
0:04:40	26	5,0	11
0:04:50	26	5,1	11
0:05:00	26	5,4	11
0:05:10	26	5,5	11
0:05:20	26	5,7	11
0:05:30	26	6,1	11
0:05:40	26	6,6	11
0:05:50	26	6,9	12
0:06:00	26	7,3	11
0:06:10	26	7,3	11
0:06:20	27	7,8	11
0:06:30	27	7,8	11
0:06:40	27	7,7	13
0:06:50	27	8,1	13
0:07:00	27	8,4	12
0:07:10	28	8,4	13
0:07:20	28	8,5	13
0:07:30	28	8,3	13
0:07:40	29	7,8	12
0:07:50	29	8,1	11
0:08:00	29	8,2	12
0:08:10	30	8,5	12
0:08:20	30	8,5	12
0:08:30	31	8,7	12
0:08:40	31	8,9	12
0:08:50	31	9,0	12
0:09:00	31	9,3	12
0:09:10	31	9,5	12
0:09:20	31	9,6	12
0:09:30	32	9,9	12
0:09:40	32	10,0	12
0:09:50	32	10,0	12
0:10:00	32	10,3	12
0:10:10	32	10,5	12
0:10:20	32	11,1	12
0:10:30	32	11,9	12
0:10:40	32	11,5	12
0:10:50	32	12,0	12
0:11:00	32	12,1	12
0:11:10	32	12,4	12
0:11:20	32	12,2	12
0:11:30	32	12,8	14
0:11:40	32	12,4	16
0:11:50	33	12,7	13
0:12:00	33	13,2	12
0:12:10	34	13,2	12
0:12:20	34	12,6	12
0:12:30	35	12,9	12
0:12:40	35	12,8	11
0:12:50	36	13,0	12
0:13:00	36	13,2	11
0:13:10	37	13,5	11
0:13:20	37	13,7	11
0:13:30	37	13,9	11
0:13:40	38	13,9	11
0:13:50	38	14,0	11
0:14:00	38	14,3	11
0:14:10	38	14,4	11
0:14:20	38	14,5	11
0:14:30	38	14,7	11
0:14:40	38	14,9	11
0:14:50	38	15,2	11
0:15:00	38	15,5	11
0:15:10	38	16,2	11
0:15:20	38	16,4	11
0:15:30	38	16,7	11
0:15:40	38	16,9	11
0:15:50	38	16,8	11
0:16:00	38	17,6	11
0:16:10	38	16,9	11
0:16:20	38	17,5	11
0:16:30	39	17,8	11
0:16:40	39	17,6	11
0:16:50	40	17,8	12
0:17:00	40	17,4	11
0:17:10	41	17,5	12
0:17:20	42	17,4	11
0:17:30	42	17,7	11
0:17:40	43	18,1	11
0:17:50	43	18,2	11
0:18:00	44	18,0	11
0:18:10	44	18,3	11
0:18:20	45	18,8	11
0:18:30	45	18,7	11
0:18:40	45	18,8	11
0:18:50	45	19,2	11
0:19:00	45	19,3	11
0:19:10	45	19,5	11
0:19:20	45	19,6	11
0:19:30	45	19,9	11
0:19:40	45	20,1	11
0:19:50	45	20,7	11
0:20:00	45	20,9	11
0:20:10	45	21,4	11
0:20:20	45	21,2	11
0:20:30	44	21,2	11
0:20:40	45	21,9	11
0:20:50	45	22,1	11
0:21:00	45	21,4	11
0:21:10	45	21,6	11
0:21:20	46	22,4	11
0:21:30	46	22,4	11
0:21:40	47	21,7	11
0:21:50	48	22,0	11
0:22:00	48	22,3	11
0:22:10	49	22,2	11
0:22:20	50	22,4	11
0:22:30	50	22,9	11
0:22:40	51	22,7	10
0:22:50	51	23,0	10
0:23:00	51	23,1	11
0:23:10	51	23,5	11
0:23:20	51	23,5	11
0:23:30	51	23,6	10
0:23:40	51	24,1	11
0:23:50	51	24,2	10
