--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	26.12.2012
Test Start Time	15:26:00
Test Stop Date	28.12.2012
Test Stop Time	14:52:31
Test Length	47:26:31
Final Sample Time Offset	47:39:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 50C(30min); P: 3000 psi; tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	47.5%G+28%Fly Ash+14.5%Silica Fume+10%MKGL (BVOB)+2%TA-1+0.5%SMS+0.5%PPB+4%FA-1+3%GVVS-16 (BWOC)
Information	Density	1350
Information	BHCT	50
Information	BHST	
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	CS_50	10:55:30
Calculated Value	CS_500	N/A
Calculated Value	SGS_Initial	2:33:30
Calculated Value	SGS_Final	3:33:00
Calculated Value	CS_Time1h	0,07 MPa
Calculated Value	CS_Time12h	0,41 MPa
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	26 °C
Final Temperature (°C)	51 °C
Initial Pressure (psi)	289 psi
Final Pressure (psi)	300 psi
Initial Transit Time (microsec/in)	18,68 microsec/in
Final Transit Time (microsec/in)	14,28 microsec/in
Initial Gel Value	6787
Final Gel Value	7550
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	1,74 MPa
Initial Static Gel Strength (lb/100ft2)	1,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	26	289	18,68	6787	0,00	1,0
0:00:30	26	283	18,65	6758	0,01	1,2
0:01:00	26	276	18,63	6734	0,01	1,5
0:01:30	27	274	18,62	6719	0,01	1,7
0:02:00	27	273	18,62	6706	0,01	2,0
0:02:30	27	273	18,62	6693	0,01	2,2
0:03:00	27	273	18,62	6685	0,01	2,5
0:03:30	28	274	18,62	6683	0,01	2,7
0:04:00	28	274	18,62	6679	0,01	3,0
0:04:30	28	275	18,62	6674	0,01	3,2
0:05:00	28	275	18,62	6672	0,01	3,4
0:05:30	28	276	18,62	6666	0,01	3,7
0:06:00	29	276	18,61	6663	0,01	3,9
0:06:30	29	277	18,61	6655	0,01	4,2
0:07:00	29	278	18,61	6650	0,01	4,4
0:07:30	30	279	18,61	6643	0,01	4,7
0:08:00	30	280	18,61	6637	0,01	4,9
0:08:30	30	281	18,60	6635	0,01	5,2
0:09:00	31	283	18,60	6630	0,01	5,4
0:09:30	31	284	18,60	6623	0,01	5,6
0:10:00	31	285	18,59	6614	0,02	5,9
0:10:30	32	286	18,59	6614	0,02	6,1
0:11:00	32	287	18,59	6609	0,02	6,4
0:11:30	32	289	18,58	6599	0,02	6,6
0:12:00	33	290	18,58	6592	0,02	6,9
0:12:30	33	292	18,57	6586	0,02	7,1
0:13:00	34	293	18,56	6580	0,02	7,4
0:13:30	34	295	18,56	6568	0,02	7,6
0:14:00	34	296	18,55	6560	0,02	7,8
0:14:30	35	298	18,55	6550	0,02	8,1
0:15:00	35	299	18,54	6539	0,03	8,3
0:15:30	35	301	18,53	6528	0,03	8,6
0:16:00	36	303	18,52	6515	0,03	8,8
0:16:30	36	304	18,52	6502	0,03	9,1
0:17:00	37	306	18,51	6490	0,03	9,3
0:17:30	37	308	18,51	6475	0,03	9,6
0:18:00	37	309	18,50	6460	0,03	9,8
