--Test Summary--
Full Path and File Name	
Instrument Name	4262 Left
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111L
Test Start Date	31.08.2012
Test Start Time	12:43:07
Test Stop Date	03.09.2012
Test Stop Time	12:40:32
Test Length	71:57:25
Final Sample Time Offset	71:57:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 73C(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	49.5%ASPM+6%PPB+0.7%CFR-10+0.3%LTR
Information	Density	1250
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Production csg
Calculated Value	CS_0.34 MPa	25:52:30
Calculated Value	CS_3.4 MPa	43:21:30
Calculated Value	CS_Time12h	0,1 MPa
Calculated Value	CS_Time24h	0,0 MPa
Calculated Value	CS_Time48h	4,1 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	72 °C
Initial Transit Time (microsec/in)	14,80 microsec/in
Final Transit Time (microsec/in)	10,57 microsec/in
Initial Compressive Strength (MPa)	0,0 MPa
Final Compressive Strength (MPa)	7,7 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	14,80	0,0
0:00:30	23	14,82	0,0
0:01:00	23	14,83	0,0
0:01:30	23	14,84	0,0
0:02:00	23	14,79	0,0
0:02:30	23	14,80	0,0
0:03:00	23	14,80	0,0
0:03:30	23	14,81	0,0
0:04:00	24	14,81	0,0
0:04:30	24	14,81	0,0
0:05:00	24	14,81	0,0
0:05:30	25	14,81	0,0
0:06:00	25	14,81	0,0
0:06:30	26	14,81	0,0
0:07:00	27	14,81	0,0
0:07:30	27	14,81	0,0
0:08:00	28	14,80	0,0
0:08:30	29	14,80	0,0
0:09:00	30	14,79	0,0
0:09:30	30	14,79	0,0
0:10:00	31	14,78	0,0
0:10:30	32	14,78	0,0
0:11:00	32	14,77	0,0
0:11:30	33	14,77	0,0
0:12:00	33	14,76	0,0
0:12:30	34	14,75	0,0
0:13:00	34	14,74	0,0
0:13:30	35	14,74	0,0
0:14:00	35	14,73	0,0
0:14:30	36	14,73	0,0
0:15:00	36	14,72	0,1
0:15:30	37	14,71	0,1
0:16:00	38	14,70	0,1
0:16:30	38	14,69	0,1
0:17:00	39	14,68	0,1
0:17:30	40	14,67	0,1
0:18:00	41	14,67	0,1
0:18:30	41	14,66	0,1
0:19:00	42	14,64	0,1
0:19:30	43	14,64	0,1
0:20:00	44	14,63	0,1
0:20:30	44	14,62	0,1
0:21:00	45	14,61	0,1
0:21:30	46	14,61	0,1
0:22:00	46	14,59	0,1
0:22:30	47	14,59	0,1
0:23:00	48	14,58	0,2
0:23:30	48	14,57	0,2
0:24:00	49	14,56	0,2
0:24:30	50	14,55	0,2
0:25:00	50	14,55	0,2
0:25:30	51	14,54	0,2
0:26:00	52	14,54	0,2
0:26:30	52	14,53	0,2
0:27:00	53	14,52	0,2
0:27:30	54	14,52	0,2
0:28:00	54	14,51	0,2
0:28:30	55	14,50	0,2
0:29:00	56	14,49	0,2
0:29:30	56	14,49	0,2
0:30:00	57	14,49	0,2
0:30:30	58	14,49	0,2
0:31:00	58	14,48	0,2
0:31:30	59	14,47	0,2
0:32:00	60	14,47	0,2
0:32:30	60	14,46	0,2
0:33:00	61	14,46	0,2
0:33:30	62	14,46	0,2
0:34:00	63	14,50	0,2
0:34:30	64	14,50	0,2
0:35:00	64	14,50	0,2
0:35:30	65	14,49	0,2
0:36:00	66	14,49	0,2
0:36:30			
0:49:00	68	14,46	0,2
0:49:30	68	14,46	0,2
0:50:00	68	14,46	0,2
0:50:30	68	14,46	0,2
0:51:00	68	14,47	0,2
0:51:30	68	14,48	0,2
0:52:00	68	14,48	0,2
0:52:30	68	14,49	0,2
0:53:00	68	14,49	0,2
0:53:30	68	14,49	0,2
0:54:00	68	14,49	0,2
0:54:30	68	14,49	0,2
0:55:00	68	14,49	0,2
0:55:30	69	14,50	0,2
0:56:00	69	14,50	0,2
0:56:30	69	14,50	0,2
0:57:00	69	14,50	0,2
0:57:30	69	14,50	0,2
0:58:00	69	14,50	0,2
0:58:30	69	14,50	0,2
0:59:00	69	14,50	0,2
0:59:30	69	14,50	0,2
