--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	26.12.2012
Test Start Time	16:18:33
Test Stop Date	28.12.2012
Test Stop Time	14:52:16
Test Length	46:33:43
Final Sample Time Offset	46:46:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 50C(30min); P: 3000 psi; tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	47.5%G+28%Fly Ash+14.5%Silica Fume+10%MKGL (BVOB)+2%TA-1+0.5%SMS+0.5%PPB+4%CaCO3 (BWOC) (50C)
Information	Density	1350
Information	BHCT	50
Information	BHST	
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	CS_50	8:56:00
Calculated Value	CS_500	37:31:00
Calculated Value	CS_Time8h	0,29 MPa
Calculated Value	CS_Time12h	0,53 MPa
Calculated Value	CS_Time24h	1,95 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	29 °C
Final Temperature (°C)	50 °C
Initial Transit Time (microsec/in)	16,83 microsec/in
Final Transit Time (microsec/in)	12,28 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	3,75 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	29	16,83	0,00
0:00:30	29	16,84	0,00
0:01:00	29	16,84	0,00
0:01:30	29	16,84	0,00
0:02:00	29	16,84	0,00
0:02:30	29	16,84	0,00
0:03:00	29	16,85	0,00
0:03:30	29	16,85	0,00
0:04:00	29	16,85	0,00
0:04:30	29	16,85	0,00
0:05:00	30	16,85	0,00
0:05:30	30	16,85	0,00
0:06:00	30	17,01	0,00
0:06:30	30	16,83	0,00
0:07:00	31	16,83	0,00
0:07:30	31	16,83	0,00
0:08:00	31	16,83	0,00
0:08:30	32	16,82	0,00
0:09:00	32	16,82	0,00
0:09:30	33	16,81	0,01
0:10:00	33	16,80	0,01
0:10:30	33	16,80	0,01
0:11:00	34	16,80	0,01
0:11:30	34	16,79	0,01
0:12:00	34	16,78	0,02
0:12:30	35	16,77	0,02
0:13:00	35	16,76	0,02
0:13:30	36	16,76	0,02
0:14:00	36	16,75	0,03
0:14:30	36	16,74	0,03
0:15:00	37	16,74	0,03
0:15:30	37	16,73	0,03
0:16:00	37	16,72	0,04
0:16:30	38	16,71	0,04
0:17:00	38	16,70	0,04
0:17:30	38	16,69	0,05
0:18:00	39	16,68	0,05
0:18:30	39	16,68	0,05
0:19:00	39	16,67	0,05
0:19:30	40	16,66	0,06
0:20:00	40	16,65	0,06
0:20:30	41	16,65	0,06
0:21:00	41	16,64	0,06
0:21:30	41	16,63	0,07
0:22:00	42	16,63	0,07
0:22:30	42	16,62	0,07
0:23:00	43	16,61	0,07
0:23:30	43	16,60	0,08
0:24:00	43	16,59	0,08
0:24:30	44	16,59	0,08
0:25:00	44	16,59	0,08
0:25:30	45	16,58	0,08
0:26:00	45	16,57	0,09
0:26:30	45	16,57	0,09
0:27:00	46	16,56	0,09
0:27:30	46	16,55	0,09
0:28:00	47	16,54	0,10
0:28:30	48	16,54	0,10
0:29:00	48	16,53	0,10
0:29:30	48	16,53	0,10
0:30:00	49	16,52	0,10
0:30:30	49	16,52	0,10
0:31:00	49	16,51	0,11
0:31:30	50	16,51	0,11
0:32:00	50	16,50	0,11
0:32:30	50	16,50	0,11
0:33:00	50	16,50	0,11
0:33:30	51	16,50	0,11
0:34:00	51	16,49	0,11
0:34:30	51	16,49	0,11
0:35:00	51	16,48	0,12
0:35:30	51	16,48	0,12
0:36:00	51	16,47	0,12
0:36:30	52	16,47	0,12
0:37:00	52	16,47	0,12
0:37:30	52	16,47	0,12
0:38:00	52	16,47	0,12
0:38:30	52	16,47	0,12
0:39:00	52	16,46	0,13
0:39:30	52	16,46	0,13
0:40:00	52	16,46	0,13
0:40:30	52	16,46	0,13
0:41:00	52	16,46	0,13
0:41:30	52	16,46	0,13
0:42:00	52	16,46	0,13
0:42:30	52	16,45	0,13
0:43:00	52	16,45	0,13
0:43:30	52	16,45	0,13
0:44:00	52	16,45	0,13
0:44:30	52	16,45	0,13
0:45:00	52	16,46	0,13
0:45:30	52	16,46	0,13
0:46:00	52	16,46	0,13
0:46:30	52	16,46	0,13
0:47:00	52	16,46	0,13
0:47:30	51	16,46	0,13
0:48:00	51	16,47	0,12
0:48:30	51	16,47	0,12
0:49:00	51	16,47	0,12
0:49:30	51	16,47	0,12
0:50:00	51	16,48	0,12
0:50:30	51	16,48	0,12
0:51:00	51	16,48	0,12
0:51:30	51	16,49	0,11
