--Test Summary--
Full Path and File Name	
Instrument Name	4262-Left
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	my uca
Test Start Date	21.03.2012
Test Start Time	17:20:29
Test Stop Date	26.03.2012
Test Stop Time	14:24:45
Test Length	117:04:16
Final Sample Time Offset	117:04:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 20(10)
Information	WellID	Research
Information	Customer	Trican
Information	CementClass	G
Information	CementMfr	Suhologskiy
Information	Additives	25%MSAS+3%TA-1+7%CaCl2
Information	Density	1400
Information	BHCT	20
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	5:45:00
Calculated Value	CS_500	60:15:00
Calculated Value	CS_Time8h	0,63 MPa
Calculated Value	CS_Time16h	1,29 MPa
Calculated Value	CS_Time24h	1,74 MPa
Calculated Value	CS_Time48h	2,86 MPa
Calculated Value	CS_Time72h	4,16 MPa
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	25 °C
Final Temperature (°C)	19 °C
Initial Transit Time (microsec/in)	14,22 microsec/in
Final Transit Time (microsec/in)	10,89 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	6,01 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	25	14,22	0,00
0:01:00	26	14,23	0,00
0:02:00	25	14,23	0,00
0:03:00	25	14,24	0,00
0:04:00	25	14,25	0,00
0:05:00	25	14,26	0,00
0:06:00	24	14,28	0,00
0:07:00	24	14,29	0,00
0:08:00	24	14,29	0,00
0:09:00	24	14,31	0,00
0:10:00	24	14,32	0,00
0:11:00	23	14,32	0,00
0:12:00	23	14,34	0,00
0:13:00	23	14,33	0,00
0:14:00	23	14,34	0,00
0:15:00	23	14,35	0,00
0:16:00	22	14,37	0,00
0:17:00	22	14,38	0,00
0:18:00	22	14,39	0,00
0:19:00	22	14,40	0,00
0:20:00	22	14,41	0,00
0:21:00	22	14,42	0,00
0:22:00	21	14,43	0,00
0:23:00	21	14,44	0,00
0:24:00	21	14,45	0,00
0:25:00	21	14,45	0,00
0:26:00	21	14,46	0,00
0:27:00	21	14,47	0,00
0:28:00	21	14,48	0,00
0:29:00	20	14,48	0,00
0:30:00	21	14,49	0,00
0:31:00	20	14,50	0,00
0:32:00	21	14,51	0,00
0:33:00	20	14,51	0,00
0:34:00	20	14,52	0,00
0:35:00	20	14,53	0,00
0:36:00	20	14,54	0,00
0:37:00	20	14,55	0,00
0:38:00	20	14,55	0,00
0:39:00	20	14,55	0,00
0:40:00	20	14,56	0,00
0:41:00	20	14,57	0,00
