--Test Summary--
Full Path and File Name	
Instrument Name	4262 Right
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	28.09.2012
Test Start Time	16:12:09
Test Stop Date	01.10.2012
Test Stop Time	6:42:50
Test Length	62:30:41
Final Sample Time Offset	62:30:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 73C(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	34.2%ASPM+32.7%MKGL
Information	Density	1250
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	Uncontrolled
Information	JobType	Production csg
Calculated Value	CS_0.34 MPa	2:07:00
Calculated Value	CS_3.4 MPa	N/A
Calculated Value	CS_Time12h	1,3 MPa
Calculated Value	CS_Time24h	1,8 MPa
Calculated Value	CS_Time48h	2,4 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	73 °C
Initial Transit Time (microsec/in)	16,23 microsec/in
Final Transit Time (microsec/in)	12,88 microsec/in
Initial Compressive Strength (MPa)	0,0 MPa
Final Compressive Strength (MPa)	2,6 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	16,23	0,0
0:00:30	24	16,24	0,0
0:01:00	24	16,25	0,0
0:01:30	24	16,16	0,0
0:02:00	25	15,93	0,1
0:02:30	25	15,86	0,2
0:03:00	25	15,91	0,1
0:03:30	25	15,99	0,1
0:04:00	25	16,01	0,1
0:04:30	26	16,02	0,1
0:05:00	26	16,02	0,1
0:05:30	27	16,01	0,1
0:06:00	27	16,01	0,1
0:06:30	28	16,00	0,1
0:07:00	28	15,99	0,1
0:07:30	29	15,98	0,1
0:08:00	29	15,97	0,1
0:08:30	30	15,96	0,1
0:09:00	31	15,94	0,1
0:09:30	31	15,93	0,1
0:10:00	32	15,92	0,1
0:10:30	32	15,90	0,1
0:11:00	33	15,89	0,1
0:11:30	33	15,88	0,1
0:12:00	34	15,87	0,2
0:12:30	34	15,85	0,2
0:13:00	35	15,84	0,2
0:13:30	36	15,83	0,2
0:14:00	36	15,82	0,2
0:14:30	37	15,81	0,2
0:15:00	38	15,80	0,2
0:15:30	38	15,78	0,2
0:16:00	39	15,78	0,2
0:16:30	40	15,76	0,2
0:17:00	40	15,75	0,2
0:17:30	41	15,75	0,2
0:18:00	42	15,73	0,2
0:18:30	42	15,72	0,2
0:19:00	43	15,72	0,2
0:19:30	44	15,71	0,2
0:20:00	44	15,70	0,2
0:20:30	45	15,69	0,2
0:21:00	46	15,69	0,2
0:21:30	46	15,68	0,2
0:22:00	47	15,67	0,2
0:22:30	48	15,66	0,2
0:23:00	48	15,66	0,2
0:23:30	49	15,65	0,2
0:24:00	50	15,65	0,2
0:24:30	50	15,64	0,3
0:25:00	51	15,63	0,3
0:25:30	52	15,63	0,3
0:26:00	52	15,63	0,3
0:26:30	53	15,63	0,3
0:27:00	54	15,63	0,3
0:27:30	55	15,63	0,3
0:28:00	55	15,63	0,3
0:28:30	56	15,62	0,3
0:29:00	57	15,62	0,3
0:29:30	57	15,62	0,3
0:30:00	58	15,62	0,3
0:30:30	59	15,62	0,3
0:31:00	59	15,62	0,3
0:31:30	60	15,62	0,3
0:32:00	60	15,62	0,3
0:32:30	61	15,62	0,3
0:33:00	62	15,62	0,3
0:33:30	62	15,62	0,3
0:34:00	63	15,63	0,3
0:34:30	64	15,63	0,3
0:35:00	64	15,63	0,3
0:35:30	65	15,63	0,3
0:36:00	66	15,63	0,3
0:36:30	66	15,63	0,3
0:37:00	67	15,63	0,3
0:37:30	68	15,63	0,3
0:38:00	68	15,63	0,3
0:38:30	69	15,63	0,3
0:39:00	70	15,63	0,3
0:39:30	70	15,63	0,3
0:40:00	71	15,63	0,3
0:40:30	72	15,63	0,3
0:41:00	72	15,63	0,3
0:41:30	73	15,64	0,3
0:42:00	73	15,64	0,3
0:42:30	74	15,64	0,3
0:43:00	74	15,64	0,3
