--Test Summary--
Full Path and File Name	
Instrument Name	4262 Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	30.11.2012
Test Start Time	16:13:44
Test Stop Date	03.12.2012
Test Stop Time	8:20:48
Test Length	64:07:04
Final Sample Time Offset	65:09:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T:50C 30 min
Information	WellID	
Information	Customer	Trican
Information	EngName	Shut Kostya
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	22%SafeCem54+1%PPB+1%SMS+0.2%R7
Information	Density	1350
Information	BHCT	50
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	3:28:00
Calculated Value	CS_500	8:19:00
Calculated Value	CS_Time8h	3,29 MPa
Calculated Value	CS_Time12h	5,04 MPa
Calculated Value	CS_Time24h	7,13 MPa
Calculated Value	CS_Time48h	7,93 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	27 °C
Final Temperature (°C)	50 °C
Initial Transit Time (microsec/in)	15,50 microsec/in
Final Transit Time (microsec/in)	10,56 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	8,15 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	27	15,50	0,00
0:00:30	27	15,52	0,00
0:01:00	27	15,52	0,00
0:01:30	27	15,52	0,00
0:02:00	27	15,52	0,00
0:02:30	27	15,53	0,00
0:03:00	27	15,53	0,00
0:03:30	27	15,53	0,00
0:04:00	27	15,53	0,00
0:04:30	27	15,53	0,00
0:05:00	27	15,53	0,00
0:05:30	27	15,53	0,00
0:06:00	27	15,53	0,00
0:06:30	28	15,53	0,00
0:07:00	28	15,53	0,00
0:07:30	28	15,53	0,00
0:08:00	29	15,53	0,00
0:08:30	29	15,52	0,00
0:09:00	29	15,52	0,00
0:09:30	30	15,52	0,00
0:10:00	31	15,52	0,00
0:10:30	31	15,51	0,00
0:11:00	32	15,51	0,00
0:11:30	33	15,50	0,00
0:12:00	33	15,49	0,00
0:12:30	34	15,48	0,01
0:13:00	35	15,48	0,01
0:13:30	36	15,47	0,02
0:14:00	36	15,46	0,02
0:14:30	37	15,45	0,02
0:15:00	38	15,45	0,03
0:15:30	39	15,44	0,03
0:16:00	40	15,42	0,04
0:16:30	40	15,42	0,04
0:17:00	41	15,41	0,05
0:17:30	42	15,39	0,05
0:18:00	43	15,39	0,06
0:18:30	44	15,38	0,06
0:19:00	44	15,36	0,07
0:19:30	45	15,36	0,07
0:20:00	45	15,35	0,08
0:20:30	46	15,34	0,08
0:21:00	47	15,33	0,09
0:21:30	47	15,32	0,09
0:22:00	47	15,31	0,10
0:22:30	48	15,30	0,10
0:23:00	48	15,30	0,10
0:23:30	49	15,29	0,11
0:24:00	49	15,28	0,11
0:24:30	49	15,27	0,12
0:25:00	49	15,27	0,12
0:25:30	49	15,27	0,12
0:26:00	50	15,26	0,12
0:26:30	50	15,26	0,12
0:27:00	50	15,25	0,13
0:27:30	50	15,25	0,13
0:28:00	50	15,25	0,13
0:28:30	50	15,24	0,13
0:29:00	50	15,24	0,13
0:29:30	50	15,24	0,13
0:30:00	50	15,24	0,13
0:30:30	50	15,24	0,13
0:31:00	50	15,24	0,13
0:31:30	50	15,24	0,13
0:32:00	50	15,24	0,13
0:32:30	51	15,24	0,13
0:33:00	51	15,24	0,13
0:33:30	51	15,24	0,13
0:34:00	51	15,24	0,13
0:34:30	51	15,24	0,13
0:35:00	51	15,24	0,13
0:35:30	51	15,24	0,13
0:36:00	51	15,24	0,13
0:36:30	51	15,25	0,13
0:37:00	51	15,25	0,13
0:37:30	51	15,25	0,13
0:38:00	51	15,25	0,13
0:38:30	51	15,25	0,13
0:39:00	51	15,26	0,12
0:39:30	51	15,26	0,12
0:40:00	51	15,26	0,12
0:40:30	51	15,27	0,12
0:41:00	51	15,27	0,12
0:41:30	51	15,27	0,12
0:42:00	50	15,27	0,12
0:42:30	50	15,27	0,12
0:43:00	50	15,28	0,11
0:43:30	50	15,28	0,11
0:44:00	50	15,29	0,11
0:44:30	50	15,29	0,11
0:45:00	50	15,29	0,11
0:45:30	50	15,30	0,10
0:46:00	50	15,30	0,10
