--Test Summary--
Full Path and File Name	
Instrument Name	4262 Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	06.12.2012
Test Start Time	14:53:27
Test Stop Date	07.12.2012
Test Stop Time	13:24:43
Test Length	22:31:16
Final Sample Time Offset	22:31:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T=50C, P=3000 psi, 30 min
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Lebedev Pavel
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	 G1350+8%Fly Ash+23,5%MKGL+1,25%TA-1+2,5%NACl (BVOB)+2%SMS (BWOC) 
Information	Density	1350
Information	BHCT	50
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	7:06:30
Calculated Value	CS_500	N/A
Calculated Value	CS_Time8h	0,41 MPa
Calculated Value	CS_Time12h	0,66 MPa
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	50 °C
Initial Transit Time (microsec/in)	16,73 microsec/in
Final Transit Time (microsec/in)	14,29 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	1,26 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	16,73	0,00
0:00:30	24	16,73	0,00
0:01:00	24	16,73	0,00
0:01:30	24	16,73	0,00
0:02:00	24	16,73	0,00
0:02:30	24	16,73	0,00
0:03:00	24	16,73	0,00
0:03:30	24	16,72	0,00
0:04:00	25	16,72	0,00
0:04:30	25	16,73	0,00
0:05:00	25	16,66	0,02
0:05:30	25	16,66	0,02
0:06:00	26	16,66	0,02
0:06:30	26	16,66	0,02
0:07:00	26	16,65	0,02
0:07:30	27	16,65	0,02
0:08:00	27	16,65	0,02
0:08:30	27	16,65	0,03
0:09:00	28	16,65	0,03
0:09:30	28	16,64	0,03
0:10:00	29	16,63	0,03
0:10:30	29	16,63	0,03
0:11:00	30	16,62	0,04
0:11:30	30	16,62	0,04
0:12:00	31	16,61	0,04
0:12:30	31	16,61	0,04
0:13:00	32	16,61	0,04
0:13:30	32	16,60	0,04
0:14:00	33	16,54	0,06
0:14:30	33	16,54	0,07
0:15:00	34	16,53	0,07
0:15:30	34	16,52	0,07
0:16:00	34	16,51	0,07
0:16:30	35	16,51	0,08
0:17:00	35	16,50	0,08
0:17:30	36	16,49	0,08
0:18:00	36	16,48	0,08
0:18:30	37	16,47	0,09
0:19:00	37	16,47	0,09
0:19:30	38	16,45	0,09
0:20:00	38	16,45	0,09
0:20:30	39	16,46	0,09
0:21:00	39	16,46	0,09
0:21:30	40	16,47	0,09
0:22:00	40	16,47	0,09
0:22:30	41	16,48	0,08
0:23:00	41	16,48	0,08
0:23:30	41	16,49	0,08
0:24:00	42	16,49	0,08
0:24:30	42	16,50	0,08
0:25:00	43	16,50	0,08
0:25:30	43	16,51	0,08
0:26:00	44	16,45	0,10
0:26:30	44	16,45	0,10
0:27:00	45	16,44	0,10
0:27:30	46	16,44	0,10
0:28:00	46	16,43	0,10
0:28:30	47	16,42	0,10
0:29:00	47	16,42	0,10
0:29:30	47	16,41	0,11
0:30:00	48	16,41	0,11
0:30:30	48	16,41	0,11
0:31:00	49	16,41	0,11
0:31:30	49	16,41	0,11
0:32:00	50	16,40	0,11
0:32:30	50	16,41	0,11
0:33:00	51	16,37	0,12
0:33:30	51	16,38	0,12
0:34:00	51	16,38	0,12
0:34:30	52	16,38	0,12
0:35:00	52	16,38	0,12
0:35:30	52	16,38	0,12
0:36:00	52	16,38	0,12
0:36:30	52	16,38	0,12
0:37:00	52	16,38	0,12
0:37:30	53	16,38	0,12
0:38:00	53	16,38	0,12
0:38:30	53	16,37	0,12
0:39:00	53	16,37	0,12
0:39:30	53	16,35	0,13
0:40:00	53	16,35	0,13
0:40:30	53	16,36	0,13
