--Test Summary--
Full Path and File Name	
Instrument Name	4262-Right
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	my uca too
Test Start Date	28.03.2012
Test Start Time	12:21:11
Test Stop Date	31.03.2012
Test Stop Time	9:18:15
Test Length	68:57:04
Final Sample Time Offset	68:56:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 14C(30min); tap water
Information	WellID	Research
Information	Customer	Achimgaz
Information	CementClass	G
Information	CementMfr	Suhologskiy
Information	Additives	43.63%MKGL-1+30.1%MS-AS+8%bwow NaCl+3%CaCl2
Information	Density	1400
Information	BHCT	1,7
Information	BHST	-3
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	CS_50	12:53:00
Calculated Value	CS_500	38:22:00
Calculated Value	CS_Time8h	0,00 MPa
Calculated Value	CS_Time16h	0,97 MPa
Calculated Value	CS_Time24h	2,04 MPa
Calculated Value	CS_Time48h	4,27 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	20 °C
Final Temperature (°C)	15 °C
Initial Transit Time (microsec/in)	14,03 microsec/in
Final Transit Time (microsec/in)	10,88 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	5,90 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	20	14,03	0,00
0:01:00	20	14,03	0,00
0:02:00	20	14,03	0,00
0:03:00	19	14,04	0,00
0:04:00	19	14,04	0,00
0:05:00	19	14,05	0,00
0:06:00	19	14,05	0,00
0:07:00	18	14,06	0,00
0:08:00	19	14,06	0,00
0:09:00	19	14,08	0,00
0:10:00	18	14,08	0,00
0:11:00	18	14,09	0,00
0:12:00	18	14,06	0,00
0:13:00	18	14,08	0,00
0:14:00	17	14,08	0,00
0:15:00	17	14,09	0,00
0:16:00	17	14,10	0,00
0:17:00	16	14,11	0,00
0:18:00	16	14,11	0,00
0:19:00	16	14,12	0,00
0:20:00	16	14,12	0,00
0:21:00	16	14,13	0,00
0:22:00	15	14,14	0,00
0:23:00	15	14,14	0,00
0:24:00	15	14,14	0,00
0:25:00	15	14,15	0,00
0:26:00	15	14,16	0,00
0:27:00	15	14,16	0,00
0:28:00	15	14,16	0,00
0:29:00	15	14,17	0,00
0:30:00	14	14,17	0,00
0:31:00	14	14,18	0,00
0:32:00	14	14,19	0,00
0:33:00	14	14,19	0,00
0:34:00	14	14,20	0,00
0:35:00	14	14,20	0,00
0:36:00	14	14,20	0,00
0:37:00	14	14,20	0,00
0:38:00	13	14,20	0,00
0:39:00	13	14,20	0,00
0:40:00	13	14,21	0,00
0:41:00	13	14,21	0,00
0:42:00	13	14,21	0,00
0:43:00	13	14,21	0,00
0:44:00	13	14,22	0,00
0:45:00	12	14,22	0,00
0:46:00	13	14,23	0,00
0:47:00	13	14,23	0,00
0:48:00	13	14,23	0,00
0:49:00	13	14,23	0,00
0:50:00	13	14,22	0,00
0:51:00	13	14,22	0,00
0:52:00	13	14,23	0,00
0:53:00	12	14,23	0,00
0:54:00	12	14,23	0,00
0:55:00	12	14,23	0,00
0:56:00	12	14,23	0,00
0:57:00	12	14,23	0,00
