--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	12.02.2013
Test Start Time	11:04:25
Test Stop Date	13.02.2013
Test Stop Time	15:03:48
Test Length	27:59:23
Final Sample Time Offset	28:11:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 70C (30min), 85C (240min); P: 3000psi; Tap water.

Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	G
Information	CementMfr	Dyckerhoff-Sukhoy Log
Information	Additives	1%TA-1+0.7%TDF-3+0.2%LTR+0.5%CFR-12+0.1%TC-101
Information	Density	1900
Information	BHCT	70
Information	BHST	85
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	14:58:00
Calculated Value	CS_500	16:25:00
Calculated Value	CS_Time8h	0,00 MPa
Calculated Value	CS_Time12h	0,01 MPa
Calculated Value	CS_Time24h	17,14 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	30 °C
Final Temperature (°C)	84 °C
Initial Transit Time (microsec/in)	16,56 microsec/in
Final Transit Time (microsec/in)	8,43 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	19,30 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	30	16,56	0,00
0:00:30	30	16,57	0,00
0:01:00	30	16,58	0,00
0:01:30	30	16,59	0,00
0:02:00	30	16,59	0,00
0:02:30	29	16,60	0,00
0:03:00	29	16,60	0,00
0:03:30	30	16,61	0,00
0:04:00	30	16,61	0,00
0:04:30	30	16,61	0,00
0:05:00	30	16,61	0,00
0:05:30	30	16,62	0,00
0:06:00	30	16,62	0,00
0:06:30	31	16,62	0,00
0:07:00	31	16,62	0,00
0:07:30	31	16,62	0,00
0:08:00	32	16,62	0,00
0:08:30	32	16,62	0,00
0:09:00	33	16,61	0,00
0:09:30	34	16,61	0,00
0:10:00	35	16,60	0,00
0:10:30	36	16,59	0,00
0:11:00	37	16,59	0,00
0:11:30	38	16,58	0,00
0:12:00	39	16,56	0,00
0:12:30	40	16,56	0,00
0:13:00	42	16,54	0,00
0:13:30	43	16,52	0,01
0:14:00	45	16,50	0,01
0:14:30	46	16,48	0,02
0:15:00	48	16,47	0,02
0:15:30	49	16,44	0,03
0:16:00	51	16,42	0,03
0:16:30	52	16,40	0,04
0:17:00	54	16,38	0,05
0:17:30	55	16,36	0,05
0:18:00	57	16,41	0,04
0:18:30	58	16,39	0,04
0:19:00	59	16,37	0,05
0:19:30	61	16,35	0,05
0:20:00	62	16,32	0,06
0:20:30	63	16,31	0,06
0:21:00	64	16,29	0,07
0:21:30	65	16,32	0,06
0:22:00	66	16,32	0,06
0:22:30	67	16,31	0,06
0:23:00	68	16,30	0,07
0:23:30	69	16,28	0,07
0:24:00	69	16,27	0,08
0:24:30	70	16,27	0,08
0:25:00	70	16,27	0,08
0:25:30	71	16,26	0,08
0:26:00	71	16,25	0,08
0:26:30	72	16,25	0,08
0:27:00	72	16,25	0,08
