--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	20.06.2014
Test Start Time	11:21:41
Test Stop Date	23.06.2014
Test Stop Time	9:39:35
Test Length	70:17:54
Final Sample Time Offset	70:17:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	75(40)
Information	WellID	
Information	Customer	GeoResurs
Information	EngName	
Information	CementClass	I-42,5H
Information	CementMfr	Gornozavodsk
Information	Additives	15%Marshallit+0.3%CFR-10+0.15%LTR
Information	Density	1850
Information	BHCT	75
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	2:31:30
Calculated Value	CS_500	4:45:30
Calculated Value	CS_Time8h	7,59 MPa
Calculated Value	CS_Time12h	10,44 MPa
Calculated Value	CS_Time24h	14,55 MPa
Calculated Value	CS_Time48h	16,34 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	25 °C
Final Temperature (°C)	75 °C
Initial Transit Time (microsec/in)	16,72 microsec/in
Final Transit Time (microsec/in)	8,71 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	16,54 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	25	16,72	0,00
0:00:30	25	16,74	0,00
0:01:00	25	16,75	0,00
0:01:30	25	16,76	0,00
0:02:00	25	16,76	0,00
0:02:30	25	16,77	0,00
0:03:00	25	16,78	0,00
0:03:30	26	16,78	0,00
0:04:00	26	16,79	0,00
0:04:30	26	16,80	0,00
0:05:00	27	16,80	0,00
0:05:30	27	16,80	0,00
0:06:00	28	16,80	0,00
0:06:30	28	16,80	0,00
0:07:00	29	16,80	0,00
0:07:30	29	16,79	0,00
0:08:00	30	16,79	0,00
0:08:30	31	16,78	0,00
0:09:00	31	16,78	0,00
0:09:30	32	16,77	0,00
0:10:00	32	16,77	0,00
0:10:30	33	16,76	0,00
0:11:00	33	16,75	0,00
0:11:30	34	16,75	0,00
0:12:00	35	16,74	0,00
0:12:30	35	16,73	0,00
0:13:00	36	16,71	0,00
0:13:30	36	16,70	0,01
0:14:00	37	16,69	0,01
0:14:30	38	16,68	0,01
0:15:00	38	16,67	0,01
0:15:30	39	16,67	0,01
0:16:00	40	16,66	0,01
0:16:30	41	16,65	0,02
0:17:00	41	16,65	0,02
0:17:30	42	16,64	0,02
0:18:00	43	16,64	0,02
0:18:30	43	16,63	0,02
0:19:00	44	16,63	0,02
0:19:30	45	16,63	0,02
0:20:00	46	16,62	0,03
0:20:30	46	16,62	0,03
0:21:00	47	16,61	0,03
0:21:30	48	16,61	0,03
0:22:00	48	16,60	0,03
0:22:30	49	16,60	0,03
0:23:00	50	16,59	0,03
0:23:30	50	16,59	0,03
0:24:00	51	16,59	0,03
0:24:30	52	16,59	0,03
0:25:00	52	16,59	0,03
0:25:30	53	16,59	0,03
0:26:00	54	16,59	0,03
0:26:30	54	16,59	0,03
0:27:00	55	16,59	0,03
0:27:30	56	16,59	0,03
0:28:00	57	16,59	0,03
0:28:30	57	16,60	0,03
0:29:00	58	16,61	0,03
0:29:30	59	16,61	0,03
0:30:00	59	16,61	0,03
0:30:30	60	16,61	0,03
0:31:00	61	16,62	0,03
