--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	24.06.2014
Test Start Time	8:38:37
Test Stop Date	24.06.2014
Test Stop Time	9:47:17
Test Length	1:08:40
Final Sample Time Offset	1:08:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T:75(40), P:30(40)
Information	WellID	
Information	Customer	GeoResurs
Information	EngName	Konstantin Shut
Information	CementClass	I-42,5H
Information	CementMfr	Gornozavodsk
Information	Additives	30%Marshallit+0.3%CFR10+0.15%LTR
Information	Density	1850
Information	BHCT	75
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:55:00
Calculated Value	Time_70Bc	1:08:40
Initial Temperature (°C)	24 °C
Final Temperature (°C)	75 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	30,5 MPa
Initial Consistency (Bc)	3 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	75 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	24	0,9	3	23	150
0:00:10	24	1,0	2	23	150
0:00:20	24	1,2	2	23	150
0:00:30	24	1,2	2	23	150
0:00:40	24	1,4	3	23	150
0:00:50	24	1,6	6	24	150
0:01:00	24	1,6	2	24	150
0:01:10	24	1,7	4	25	150
0:01:20	24	2,1	4	25	150
0:01:30	24	2,3	2	26	150
0:01:40	24	2,4	3	26	150
0:01:50	24	2,6	7	28	150
0:02:00	24	2,9	8	30	150
0:02:10	24	3,2	7	31	150
0:02:20	24	3,4	5	32	150
0:02:30	24	3,8	3	33	150
0:02:40	24	3,9	8	34	150
0:02:50	24	4,0	7	34	150
0:03:00	25	4,1	9	35	150
0:03:10	25	4,2	6	36	150
0:03:20	25	4,4	4	36	150
0:03:30	25	4,4	2	37	150
0:03:40	25	4,6	2	37	150
0:03:50	25	4,7	2	38	150
0:04:00	26	4,8	7	38	150
0:04:10	26	5,0	8	38	150
0:04:20	26	5,1	9	39	150
0:04:30	26	5,2	5	39	150
0:04:40	27	5,3	5	39	150
0:04:50	27	5,4	4	39	150
0:05:00	27	5,5	6	39	150
0:05:10	28	5,5	9	39	150
0:05:20	28	5,6	6	39	150
0:05:30	28	5,6	5	39	150
0:05:40	29	5,7	7	39	150
0:05:50	29	5,7	4	39	150
0:06:00	29	5,8	3	39	150
0:06:10	30	5,7	9	39	150
0:06:20	30	5,7	7	38	150
0:06:30	30	5,7	7	38	150
0:06:40	31	5,7	3	38	150
0:06:50	31	6,0	5	38	150
0:07:00	31	6,0	6	38	150
0:07:10	31	6,5	6	38	150
0:07:20	32	6,5	6	38	150
0:07:30	32	6,5	7	39	150
0:07:40	32	6,6	5	38	150
0:07:50	32	6,8	7	39	150
0:08:00	32	6,9	7	39	150
0:08:10	32	7,2	6	40	150
0:08:20	33	7,5	7	41	150
0:08:30	33	7,7	5	41	150
0:08:40	33	7,9	7	42	150
0:08:50	33	8,1	4	42	150
0:09:00	33	8,2	5	42	150
0:09:10	34	8,3	3	42	150
0:09:20	34	8,5	3	42	150
0:09:30	34	8,7	3	43	150
0:09:40	34	8,9	3	43	150
0:09:50	34	9,1	3	44	150
0:10:00	35	9,2	3	44	150
0:10:10	35	9,2	6	44	150
0:10:20	35	9,4	7	45	150
0:10:30	35	9,6	9	45	150
0:10:40	36	9,6	5	45	150
0:10:50	36	9,8	3	45	150
0:11:00	36	9,9	4	45	150
0:11:10	36	10,0	8	46	150
0:11:20	36	10,1	6	46	150
0:11:30	37	10,2	5	46	150
0:11:40	37	10,3	7	47	150
0:11:50	37	10,5	4	47	150
0:12:00	37	10,6	5	47	150
0:12:10	38	10,7	7	47	150
0:12:20	38	10,8	9	47	150
0:12:30	38	10,9	4	47	150
0:12:40	38	11,1	7	47	150
0:12:50	39	11,2	6	48	150
0:13:00	39	11,2	3	48	150
0:13:10	39	11,4	7	48	150
0:13:20	39	11,5	9	49	150
0:13:30	39	11,7	9	49	150
0:13:40	40	11,7	7	49	150
0:13:50	40	11,9	7	49	150
0:14:00	40	12,0	5	50	150
0:14:10	40	12,1	4	50	150
0:14:20	41	12,2	5	50	150
0:14:30	41	12,4	7	50	150
0:14:40	41	12,5	6	50	150
0:14:50	41	12,6	9	50	150
0:15:00	41	12,8	7	50	150
0:15:10	42	12,8	7	51	150
0:15:20	42	13,0	9	51	150
0:15:30	42	13,1	8	51	150
0:15:40	42	13,3	11	51	150
0:15:50	42	13,4	10	52	150
0:16:00	43	13,4	11	52	150
0:16:10	43	13,6	12	52	150
0:16:20	43	13,8	11	52	150
0:16:30	43	13,8	11	53	150
0:16:40	43	13,9	8	53	150
0:16:50	44	14,1	11	54	150
0:17:00	44	14,2	10	54	150
0:17:10	44	14,4	9	54	150
0:17:20	44	14,4	12	54	150
0:17:30	44	14,6	8	55	150
0:17:40	45	14,6	11	55	150
0:17:50	45	14,9	10	56	150
0:18:00	45	14,9	9	56	150
0:18:10	45	15,0	9	56	150
0:18:20	45	15,2	9	56	150
0:18:30	45	15,2	7	57	150
0:18:40	46	15,5	10	57	150
0:18:50	46	15,5	8	57	150
0:19:00	46	15,8	12	57	150
0:19:10	46	15,8	8	58	150
0:19:20	46	16,0	6	58	150
0:19:30	47	16,1	12	59	150
0:19:40	47	16,1	7	59	150
0:19:50	47	16,3	4	59	150
0:20:00	47	16,4	4	59	150
0:20:10	48	16,5	5	60	150
0:20:20	48	16,6	12	60	150
0:20:30	48	16,6	7	60	150
0:20:40	48	16,8	8	60	150
0:20:50	48	17,1	12	61	150
0:21:00	49	17,1	8	61	150
0:21:10	49	17,2	10	61	150
0:21:20	49	17,4	12	61	150
0:21:30	49	17,4	12	61	150
0:21:40	50	17,7	12	62	150
0:21:50	50	17,6	4	62	150
0:22:00	50	17,8	12	62	150
0:22:10	50	18,0	12	62	150
0:22:20	51	18,2	12	63	150
0:22:30	51	18,2	12	63	150
0:22:40	51	18,3	12	63	150
0:22:50	51	18,4	12	63	150
0:23:00	51	18,5	12	64	150
0:23:10	51	18,7	12	64	150
0:23:20	52	18,8	12	65	150
0:23:30	52	18,9	12	65	150
0:23:40	52	19,0	12	65	150
0:23:50	52	19,0	12	66	150
0:24:00	52	19,3	12	66	150
0:24:10	53	19,3	13	67	150
0:24:20	53	19,6	12	67	150
0:24:30	53	19,6	12	67	150
0:24:40	53	19,8	3	67	150
0:24:50	54	19,9	11	67	150
0:25:00	54	19,9	11	68	150
0:25:10	54	20,0	12	68	150
0:25:20	55	20,1	13	68	150
0:25:30	55	20,2	13	68	150
0:25:40	55	20,4	13	68	150
0:25:50	55	20,4	13	68	150
0:26:00	56	20,5	13	68	150
0:26:10	56	20,6	13	68	150
0:26:20	56	20,7	13	68	150
0:26:30	56	20,8	14	68	150
0:26:40	57	20,9	14	68	150
0:26:50	57	21,0	14	68	150
0:27:00	57	21,1	13	68	150
0:27:10	57	21,2	14	68	150
0:27:20	58	21,4	13	68	150
0:27:30	58	21,5	14	68	150
0:27:40	58	21,6	14	68	150
0:27:50	58	21,8	14	69	150
0:28:00	58	21,9	14	69	150
0:28:10	59	22,0	13	69	150
0:28:20	59	22,2	13	69	150
0:28:30	59	22,3	14	69	150
0:28:40	59	22,5	12	69	150
0:28:50	59	22,6	13	70	150
0:29:00	60	22,8	14	70	150
0:29:10	60	22,9	14	70	150
0:29:20	60	23,1	15	70	150
0:29:30	60	23,3	15	70	150
0:29:40	60	23,5	15	71	150
0:29:50	61	23,4	15	71	150
0:30:00	61	23,6	15	71	150
0:30:10	61	23,8	15	71	150
0:30:20	61	23,7	15	72	150
0:30:30	61	23,9	15	72	150
0:30:40	62	24,1	15	72	150
0:30:50	62	24,2	15	73	150
0:31:00	62	24,4	16	73	150
0:31:10	62	24,4	16	73	150
0:31:20	62	24,5	16	73	150
0:31:30	63	24,7	16	73	150
0:31:40	63	24,9	16	73	150
0:31:50	63	25,0	10	74	150
0:32:00	63	25,0	10	74	150
0:32:10	63	25,2	13	74	150
0:32:20	64	25,4	16	75	150
0:32:30	64	25,3	16	75	150
0:32:40	64	25,5	16	75	150
0:32:50	64	25,7	16	75	150
0:33:00	65	25,8	16	76	150
0:33:10	65	26,0	16	76	150
0:33:20	65	26,1	16	76	150
0:33:30	65	26,2	16	76	150
0:33:40	65	26,4	17	76	150
0:33:50	66	26,5	17	76	150
0:34:00	66	26,6	17	76	150
0:34:10	66	26,7	17	76	150
0:34:20	66	26,8	17	76	150
0:34:30	67	26,9	17	76	150
0:34:40	67	27,0	16	76	150
0:34:50	67	27,1	16	76	150
0:35:00	67	27,2	17	76	150
0:35:10	68	27,3	17	76	150
0:35:20	68	27,4	17	76	150
0:35:30	68	27,6	17	77	150
0:35:40	68	27,7	3	77	150
0:35:50	68	27,8	17	77	150
0:36:00	69	27,9	18	77	150
0:36:10	69	28,1	18	77	150
0:36:20	69	28,2	17	77	150
0:36:30	69	28,4	18	78	150
0:36:40	69	28,5	18	78	150
0:36:50	70	28,7	18	78	150
0:37:00	70	28,6	19	78	150
0:37:10	70	28,7	19	78	150
0:37:20	70	28,9	18	79	150
0:37:30	70	29,1	19	79	150
0:37:40	71	29,3	18	79	150
0:37:50	71	29,4	19	79	150
0:38:00	71	29,3	19	80	150
0:38:10	71	29,5	19	80	150
0:38:20	71	29,6	19	80	150
0:38:30	72	29,8	19	80	150
0:38:40	72	30,0	19	80	150
0:38:50	72	29,8	19	81	150
0:39:00	72	30,0	19	81	150
0:39:10	72	30,2	19	81	150
0:39:20	73	30,3	19	82	150
0:39:30	73	30,5	20	82	150
0:39:40	73	30,7	19	82	150
0:39:50	73	30,9	19	82	150
0:40:00	73	30,8	19	82	150
0:40:10	74	30,9	19	83	150
0:40:20	74	30,7	19	83	150
0:40:30	74	30,7	19	82	150
0:40:40	74	30,8	20	82	150
0:40:50	74	30,8	21	82	150
0:41:00	75	30,8	21	82	150
0:41:10	75	30,7	20	82	150
0:41:20	75	30,6	21	81	150
0:41:30	75	30,5	20	81	150
0:41:40	76	30,4	20	80	150
0:41:50	76	30,2	20	80	150
0:42:00	76	30,1	20	79	150
0:42:10	76	30,0	20	79	150
0:42:20	76	30,3	20	79	150
0:42:30	76	30,2	20	78	150
0:42:40	76	30,1	21	78	150
0:42:50	76	29,9	19	78	150
0:43:00	76	30,3	21	78	150
0:43:10	77	30,1	22	77	150
0:43:20	77	30,0	22	77	150
0:43:30	77	29,9	22	77	150
0:43:40	77	30,2	22	76	150
0:43:50	77	30,1	22	76	150
0:44:00	77	30,0	22	76	150
0:44:10	77	30,0	22	76	150
0:44:20	77	30,0	22	76	150
0:44:30	77	30,0	22	76	150
0:44:40	77	30,2	22	76	150
0:44:50	77	30,1	22	76	150
0:45:00	76	30,2	23	76	150
0:45:10	76	30,2	23	76	150
0:45:20	76	30,2	22	76	150
0:45:30	76	30,2	23	76	150
0:45:40	76	30,3	23	76	150
0:45:50	76	30,3	24	76	150
0:46:00	76	30,4	24	76	150
0:46:10	76	30,4	24	76	150
0:46:20	76	30,4	23	76	150
0:46:30	76	30,5	24	77	150
0:46:40	76	30,5	24	76	150
0:46:50	76	30,6	24	77	150
0:47:00	76	30,6	24	77	150
0:47:10	76	30,7	24	77	150
0:47:20	76	30,7	24	77	150
0:47:30	76	30,7	24	77	150
0:47:40	76	30,8	24	77	150
0:47:50	76	30,8	24	77	150
0:48:00	76	30,8	24	77	150
0:48:10	76	30,8	24	77	150
0:48:20	76	30,8	24	77	150
0:48:30	76	30,8	24	77	150
0:48:40	76	30,8	24	77	150
0:48:50	76	30,8	24	77	150
0:49:00	76	30,8	24	76	150
0:49:10	76	30,7	24	76	150
0:49:20	76	30,7	24	76	150
0:49:30	76	30,6	24	76	150
0:49:40	76	30,5	24	76	150
0:49:50	76	30,5	25	76	150
0:50:00	76	30,4	25	75	150
0:50:10	76	30,4	23	75	150
0:50:20	76	30,3	25	75	150
0:50:30	76	30,3	25	75	150
0:50:40	76	30,3	25	75	150
0:50:50	76	30,3	25	75	150
0:51:00	76	30,3	25	75	150
0:51:10	76	30,3	25	75	150
0:51:20	76	30,3	26	75	150
0:51:30	76	30,4	26	75	150
0:51:40	76	30,4	26	75	150
0:51:50	76	30,4	25	75	150
0:52:00	76	30,4	27	75	150
0:52:10	76	30,5	27	76	150
0:52:20	75	30,5	27	76	150
0:52:30	75	30,6	27	76	150
0:52:40	75	30,6	27	76	150
0:52:50	75	30,7	27	76	150
0:53:00	75	30,7	27	76	150
0:53:10	75	30,7	27	76	150
0:53:20	75	30,7	28	76	150
0:53:30	75	30,7	29	76	150
0:53:40	75	30,7	29	76	150
0:53:50	75	30,8	28	76	150
0:54:00	75	30,9	28	76	150
0:54:10	75	30,9	28	76	150
0:54:20	75	30,9	30	76	150
0:54:30	75	30,9	30	76	150
0:54:40	75	30,9	30	76	150
0:54:50	75	30,9	30	76	150
0:55:00	75	30,8	30	76	150
0:55:10	75	30,8	31	76	150
0:55:20	75	30,8	31	76	150
0:55:30	76	30,7	31	75	150
0:55:40	75	30,7	31	75	150
0:55:50	76	30,7	30	75	150
0:56:00	76	30,6	30	75	150
0:56:10	76	30,6	31	75	150
0:56:20	76	30,5	31	75	150
0:56:30	76	30,5	31	75	150
0:56:40	76	30,5	31	74	150
0:56:50	76	30,4	31	74	150
0:57:00	76	30,4	32	74	150
0:57:10	76	30,4	32	74	150
0:57:20	76	30,3	32	74	150
0:57:30	76	30,3	31	74	150
