--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	03.02.2014
Test Start Time	10:33:54
Test Stop Date	17.02.2014
Test Stop Time	9:37:44
Test Length	335:03:50
Final Sample Time Offset	335:04:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Arild
Information	CementClass	100%A
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	4%NACl+150%GVVS-16+1,2%CFR-10+0,5%LTR-7+0,7%TA-2 BWOC
Information	Density	1850
Information	BHCT	Freezing-thaw
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	1:40:30
Calculated Value	CS_500	34:22:00
Calculated Value	CS_Time8h	2,74 MPa
Calculated Value	CS_Time12h	2,81 MPa
Calculated Value	CS_Time24h	3,07 MPa
Calculated Value	CS_Time48h	4,02 MPa
Calculated Value	CS_Time72h	38,87 MPa
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	1 °C
Initial Transit Time (microsec/in)	17,05 microsec/in
Final Transit Time (microsec/in)	9,30 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	12,06 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	17,05	0,00
0:00:30	24	17,20	0,00
0:01:00	24	17,26	0,00
0:01:30	24	16,26	0,19
0:02:00	24	16,33	0,18
0:02:30	23	16,68	0,08
0:03:00	23	16,67	0,09
0:03:30	23	16,68	0,08
0:04:00	23	16,70	0,08
0:04:30	23	16,71	0,08
0:05:00	22	16,72	0,07
0:05:30	22	16,72	0,07
0:06:00	22	16,73	0,07
0:06:30	22	16,74	0,07
0:07:00	22	16,75	0,07
0:07:30	22	16,75	0,07
0:08:00	21	16,76	0,07
0:08:30	21	16,77	0,06
0:09:00	21	16,77	0,06
0:09:30	21	16,78	0,06
0:10:00	21	16,79	0,06
0:10:30	21	16,80	0,06
0:11:00	20	16,80	0,05
0:11:30	20	16,81	0,05
0:12:00	20	16,83	0,05
0:12:30	20	16,84	0,05
0:13:00	20	16,84	0,05
0:13:30	20	16,85	0,04
0:14:00	20	16,86	0,04
0:14:30	19	16,87	0,04
0:15:00	19	16,87	0,04
0:15:30	19	16,88	0,04
0:16:00	19	16,89	0,04
0:16:30	19	16,89	0,03
0:17:00	19	16,90	0,03
0:17:30	19	16,91	0,03
0:18:00	19	16,92	0,03
0:18:30	18	16,93	0,03
0:19:00	18	16,93	0,03
0:19:30	18	16,93	0,03
0:20:00	18	16,94	0,02
0:20:30	18	16,95	0,02
0:21:00	18	16,95	0,02
0:21:30	18	16,96	0,02
0:22:00	18	16,97	0,02
0:22:30	17	16,98	0,02
0:23:00	17	16,98	0,02
0:23:30	17	16,98	0,01
0:24:00	17	16,99	0,01
0:24:30	17	17,00	0,01
0:25:00	17	17,01	0,01
0:25:30	17	17,01	0,01
0:26:00	16	17,02	0,01
0:26:30	16	17,02	0,01
0:27:00	16	17,03	0,00
0:27:30	16	17,04	0,00
0:28:00	16	17,04	0,00
