--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	07.02.2014
Test Start Time	9:40:24
Test Stop Date	07.02.2014
Test Stop Time	13:24:54
Test Length	3:44:30
Final Sample Time Offset	3:44:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 73C(40min); P: 45MPa(40min); tap water
HDPE 16 mesh
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	60%G+30%HDPE+10%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.5%TC-101+0.8%CFR-10+0.1%LTR-7 BWOC
Information	Density	1350
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	Time_30Bc	3:36:10
Calculated Value	Time_70Bc	3:44:30
Initial Temperature (°C)	27 °C
Final Temperature (°C)	73 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	45,1 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	90 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,9	12
0:00:10	27	0,9	11
0:00:20	27	1,2	9
0:00:30	27	1,3	9
0:00:40	27	1,6	8
0:00:50	27	1,8	8
0:01:00	27	2,0	8
0:01:10	27	2,2	7
0:01:20	26	2,5	7
0:01:30	26	2,8	7
0:01:40	27	3,2	7
0:01:50	27	3,6	8
0:02:00	27	3,9	8
0:02:10	27	4,1	9
0:02:20	27	4,3	9
0:02:30	27	4,6	9
0:02:40	27	4,7	10
0:02:50	27	4,9	9
0:03:00	27	5,0	9
0:03:10	28	5,1	10
0:03:20	28	5,4	10
0:03:30	28	5,6	10
0:03:40	28	5,7	9
0:03:50	28	5,9	11
0:04:00	29	6,1	10
0:04:10	29	6,3	11
0:04:20	29	6,6	9
0:04:30	29	6,6	13
0:04:40	30	6,8	13
0:04:50	30	7,1	14
0:05:00	30	7,2	12
0:05:10	30	7,4	13
0:05:20	31	7,6	18
0:05:30	31	7,7	14
0:05:40	31	7,9	13
0:05:50	31	8,1	13
0:06:00	32	8,3	13
0:06:10	32	8,5	12
0:06:20	32	8,7	10
0:06:30	32	8,9	9
0:06:40	33	9,0	9
0:06:50	33	9,2	10
0:07:00	33	9,4	11
0:07:10	33	9,6	10
0:07:20	34	9,8	10
0:07:30	34	9,9	10
0:07:40	34	10,1	10
0:07:50	34	10,4	10
0:08:00	34	10,6	10
0:08:10	35	10,8	10
0:08:20	35	11,0	10
0:08:30	35	11,0	10
0:08:40	35	11,2	10
0:08:50	36	11,4	10
0:09:00	36	11,6	10
0:09:10	36	11,8	10
0:09:20	36	11,9	10
0:09:30	37	12,1	10
0:09:40	37	12,3	10
0:09:50	37	12,4	10
0:10:00	37	12,6	10
0:10:10	38	12,7	10
0:10:20	38	12,9	10
0:10:30	38	13,1	10
0:10:40	38	13,2	10
0:10:50	38	13,4	10
0:11:00	39	13,6	10
0:11:10	39	13,8	10
0:11:20	39	14,0	10
0:11:30	39	14,3	10
0:11:40	39	14,5	10
0:11:50	40	14,7	10
0:12:00	40	14,8	10
0:12:10	40	15,0	10
0:12:20	40	15,1	10
0:12:30	41	15,3	10
0:12:40	41	15,4	10
0:12:50	41	15,6	10
0:13:00	41	15,7	10
0:13:10	41	15,9	10
0:13:20	42	16,0	10
0:13:30	42	16,2	10
0:13:40	42	16,3	10
0:13:50	42	16,5	10
0:14:00	42	16,7	10
0:14:10	43	16,9	10
0:14:20	43	17,0	10
0:14:30	43	17,2	9
0:14:40	43	17,5	9
0:14:50	43	17,8	9
0:15:00	44	18,0	9
0:15:10	44	18,2	9
0:15:20	44	18,4	11
0:15:30	44	18,6	11
0:15:40	44	18,7	13
0:15:50	45	18,9	13
0:16:00	45	19,1	12
0:16:10	45	19,2	12
0:16:20	45	19,4	11
0:16:30	45	19,5	11
0:16:40	46	19,7	11
0:16:50	46	19,8	11
0:17:00	46	20,0	11
0:17:10	46	20,2	11
0:17:20	46	20,4	11
0:17:30	46	20,6	11
0:17:40	47	20,9	11
0:17:50	47	21,2	11
0:18:00	47	21,5	11
0:18:10	47	21,8	11
0:18:20	47	22,0	11
0:18:30	47	21,8	11
0:18:40	47	22,2	11
0:18:50	48	22,5	12
0:19:00	48	22,8	12
0:19:10	48	22,5	11
0:19:20	48	22,9	11
0:19:30	48	23,2	11
0:19:40	48	23,5	11
0:19:50	49	23,7	11
0:20:00	49	23,4	11
0:20:10	49	23,7	11
0:20:20	49	24,0	11
0:20:30	49	24,2	11
0:20:40	50	24,5	11
0:20:50	50	24,7	11
0:21:00	50	24,9	14
0:21:10	50	25,2	13
0:21:20	51	24,6	14
0:21:30	51	24,9	14
0:21:40	51	25,2	14
0:21:50	51	25,5	15
0:22:00	51	25,8	14
0:22:10	52	25,9	13
0:22:20	52	26,2	11
0:22:30	52	26,3	13
0:22:40	52	26,6	11
0:22:50	53	26,8	10
0:23:00	53	26,9	11
0:23:10	53	27,1	11
0:23:20	53	27,2	10
0:23:30	54	27,4	10
0:23:40	54	27,6	10
0:23:50	54	27,8	10
0:24:00	54	28,0	10
0:24:10	55	28,2	10
0:24:20	55	28,3	10
0:24:30	55	28,6	10
0:24:40	55	28,8	10
0:24:50	55	29,0	10
0:25:00	55	29,3	11
0:25:10	55	29,6	10
0:25:20	55	29,2	11
0:25:30	55	29,6	12
0:25:40	56	30,0	10
0:25:50	56	29,6	9
0:26:00	56	30,1	7
0:26:10	56	30,5	7
0:26:20	56	30,9	7
0:26:30	56	30,4	10
0:26:40	56	30,7	9
0:26:50	57	31,0	9
0:27:00	58	31,2	10
0:27:10	59	31,1	9
0:27:20	59	31,2	7
0:27:30	60	31,1	7
0:27:40	60	31,3	7
0:27:50	61	31,8	7
0:28:00	61	31,9	7
0:28:10	61	32,1	7
0:28:20	62	32,4	6
0:28:30	62	32,2	6
0:28:40	62	32,5	6
0:28:50	62	32,6	6
0:29:00	62	32,9	6
0:29:10	62	33,1	6
0:29:20	62	33,3	6
0:29:30	63	33,4	6
0:29:40	63	33,6	6
