--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	07.02.2014
Test Start Time	10:36:29
Test Stop Date	07.02.2014
Test Stop Time	12:01:09
Test Length	1:24:40
Final Sample Time Offset	1:24:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 73C(40min); P: 45MPa(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	60%G+30%HDPE+10%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.5%TC-101+0.5%CFR-10+0.1%LTR-7 BWOC
Information	Density	1350
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	Time_30Bc	0:00:10
Calculated Value	Time_70Bc	1:24:40
Initial Temperature (°C)	27 °C
Final Temperature (°C)	25 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	45,1 MPa
Initial Consistency (Bc)	34 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (°C)	24 °C
Final Wall Temperature (°C)	25 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	27	0,6	34	24	150
0:00:10	27	0,8	36	24	150
0:00:20	27	1,0	36	24	150
0:00:30	27	1,2	37	24	150
0:00:40	27	1,4	44	24	150
0:00:50	27	1,5	36	24	150
0:01:00	27	1,7	39	24	150
0:01:10	27	2,1	40	24	150
0:01:20	27	2,1	37	24	150
0:01:30	27	2,3	34	24	150
0:01:40	27	2,4	44	24	150
0:01:50	27	2,8	38	24	150
0:02:00	27	2,8	33	24	150
0:02:10	27	3,1	39	24	150
0:02:20	27	3,1	38	24	150
0:02:30	27	3,5	36	24	150
0:02:40	27	3,5	48	24	150
0:02:50	27	3,9	35	24	150
0:03:00	27	3,9	34	24	150
0:03:10	27	4,3	33	24	150
0:03:20	27	4,3	33	24	150
0:03:30	26	4,8	34	24	150
0:03:40	26	4,8	34	24	150
0:03:50	26	4,8	34	24	150
0:04:00	26	5,2	35	24	150
0:04:10	26	5,2	34	24	150
0:04:20	26	5,5	34	24	150
0:04:30	26	5,6	36	24	150
0:04:40	26	6,0	36	24	150
0:04:50	26	6,0	52	24	150
0:05:00	26	6,1	39	24	150
0:05:10	26	6,5	33	24	150
0:05:20	26	6,5	34	24	150
0:05:30	26	7,0	34	24	150
0:05:40	26	7,0	35	24	150
0:05:50	26	7,0	37	24	150
0:06:00	26	7,4	35	24	150
0:06:10	26	7,4	38	24	150
0:06:20	26	7,6	38	24	150
0:06:30	26	8,3	36	24	150
0:06:40	26	8,3	56	24	150
0:06:50	26	8,3	35	24	150
0:07:00	26	8,3	37	24	150
0:07:10	26	8,7	35	24	150
0:07:20	26	8,7	37	24	150
0:07:30	26	9,1	35	24	150
0:07:40	26	9,1	34	24	150
0:07:50	26	9,5	34	24	150
0:08:00	26	9,5	40	24	150
0:08:10	26	9,9	34	24	150
0:08:20	26	9,9	32	24	150
0:08:30	26	10,0	32	24	150
0:08:40	26	10,4	33	24	150
0:08:50	26	10,4	34	24	150
0:09:00	26	10,8	36	24	150
0:09:10	26	10,8	31	24	150
0:09:20	26	11,0	31	24	150
0:09:30	26	11,3	40	24	150
0:09:40	26	11,3	34	24	150
0:09:50	26	11,7	47	24	150
0:10:00	26	11,7	35	24	150
0:10:10	26	11,9	33	24	150
0:10:20	26	12,2	37	24	150
0:10:30	26	12,3	46	24	150
0:10:40	26	12,4	33	24	150
0:10:50	26	12,6	35	24	150
0:11:00	26	13,0	39	24	150
0:11:10	26	13,0	32	24	150
0:11:20	26	13,4	31	24	150
0:11:30	26	13,5	34	24	150
0:11:40	26	13,5	32	24	150
0:11:50	26	13,9	32	24	150
0:12:00	26	13,8	32	24	150
0:12:10	26	14,3	30	24	150
0:12:20	26	14,3	31	24	150
0:12:30	26	14,4	33	24	150
0:12:40	26	14,8	30	24	150
0:12:50	26	14,8	33	24	150
0:13:00	26	15,1	28	24	150
0:13:10	26	15,1	28	24	150
0:13:20	26	15,4	27	24	150
0:13:30	26	15,8	31	24	150
0:13:40	26	15,8	63	24	150
0:13:50	26	16,2	39	24	150
0:14:00	26	16,2	31	24	150
0:14:10	26	16,6	30	24	150
0:14:20	26	16,7	37	24	150
0:14:30	26	16,7	27	24	150
0:14:40	26	16,9	42	24	150
0:14:50	26	17,1	35	24	150
0:15:00	26	17,5	96	24	150
0:15:10	26	17,5	38	24	150
0:15:20	25	17,6	27	24	150
0:15:30	25	17,8	25	24	150
0:15:40	25	18,0	24	24	150
0:15:50	25	18,4	26	24	150
0:16:00	25	18,4	30	24	150
0:16:10	25	18,7	26	24	150
0:16:20	25	18,8	29	24	150
0:16:30	25	18,9	26	24	150
0:16:40	25	19,2	29	24	150
0:16:50	25	19,2	25	24	150
0:17:00	25	19,7	29	24	150
0:17:10	25	19,7	33	24	150
0:17:20	25	19,8	25	24	150
0:17:30	25	20,0	40	24	150
0:17:40	25	20,2	25	24	150
0:17:50	25	20,5	32	24	150
0:18:00	25	20,6	26	24	150
0:18:10	25	20,7	27	24	150
0:18:20	25	21,0	27	24	150
0:18:30	25	21,1	25	24	150
0:18:40	25	21,4	28	24	150
0:18:50	25	21,5	29	24	150
0:19:00	25	21,6	26	24	150
0:19:10	25	21,9	33	24	150
0:19:20	25	22,0	25	24	150
0:19:30	25	22,3	24	24	150
0:19:40	25	22,5	34	24	150
0:19:50	25	22,7	25	24	150
0:20:00	25	22,8	26	24	150
0:20:10	25	22,9	27	24	150
0:20:20	25	23,3	25	24	150
0:20:30	25	23,3	26	24	150
0:20:40	25	23,6	27	24	150
0:20:50	25	23,8	27	24	150
0:21:00	25	23,8	39	24	150
0:21:10	25	24,0	47	24	150
0:21:20	25	24,3	49	24	150
0:21:30	25	24,4	39	24	150
0:21:40	25	24,7	26	24	150
0:21:50	25	24,9	24	24	150
0:22:00	25	25,0	26	24	150
0:22:10	25	25,2	59	24	150
0:22:20	25	25,4	24	24	150
0:22:30	25	25,6	50	24	150
0:22:40	25	25,9	34	24	150
0:22:50	25	26,0	25	24	150
0:23:00	25	26,1	24	24	150
0:23:10	25	26,3	24	24	150
0:23:20	25	26,5	33	24	150
0:23:30	25	26,8	35	24	150
0:23:40	25	26,8	33	24	150
0:23:50	25	27,0	26	24	150
0:24:00	25	27,1	24	24	150
0:24:10	25	27,4	22	24	150
0:24:20	25	27,7	27	24	150
0:24:30	25	27,7	23	24	150
0:24:40	25	27,9	26	24	150
0:24:50	25	28,2	25	24	150
0:25:00	25	28,3	24	24	150
0:25:10	25	28,6	28	24	150
0:25:20	25	28,8	45	24	150
