--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	11.02.2014
Test Start Time	10:32:08
Test Stop Date	14.02.2014
Test Stop Time	8:48:52
Test Length	70:16:44
Final Sample Time Offset	70:16:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 73C(40min); P: 3000psi; tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	70%G+30%Fly Ash BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	20%TA-1+1%TC-101+0.1%LTR BWOC
Information	Density	1400
Information	BHCT	73
Information	BHST	
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	CS_50	5:07:30
Calculated Value	CS_500	18:56:30
Calculated Value	SGS_Initial	1:48:00
Calculated Value	SGS_Final	3:07:30
Calculated Value	CS_Time8h	0,74 MPa
Calculated Value	CS_Time12h	1,47 MPa
Calculated Value	CS_Time24h	4,84 MPa
Calculated Value	CS_Time48h	7,75 MPa
Calculated Value	Time_SGS_100lb/100ft2	1:56:30
Calculated Value	Time_SGS_500lb/100ft2	2:37:30
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	26 °C
Final Temperature (°C)	73 °C
Initial Pressure (psi)	3258 psi
Final Pressure (psi)	2538 psi
Initial Transit Time (microsec/in)	16,55 microsec/in
Final Transit Time (microsec/in)	10,62 microsec/in
Initial Gel Value	6383
Final Gel Value	7642
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	8,31 MPa
Initial Static Gel Strength (lb/100ft2)	0,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	26	3258	16,55	6383	0,00	0,0
0:00:30	26	3212	16,43	6401	0,04	0,3
0:01:00	26	3184	16,38	6411	0,06	0,7
0:01:30	26	3167	16,36	6415	0,07	1,0
0:02:00	26	3159	16,36	6417	0,07	1,4
0:02:30	27	3159	16,36	6407	0,07	1,7
0:03:00	27	3165	16,36	6399	0,07	2,1
0:03:30	27	3175	16,36	6394	0,07	2,4
0:04:00	28	3183	16,36	6389	0,07	2,8
0:04:30	28	3190	16,35	6372	0,07	3,1
0:05:00	28	3197	16,36	6350	0,07	3,5
0:05:30	28	3205	16,35	6333	0,07	3,8
0:06:00	29	3216	16,35	6315	0,07	4,2
0:06:30	29	3233	16,35	6310	0,07	4,5
0:07:00	30	3255	16,34	6297	0,07	4,9
0:07:30	30	3278	16,34	6291	0,08	5,2
0:08:00	31	3301	16,33	6283	0,08	5,6
0:08:30	31	3321	16,32	6277	0,08	5,9
0:09:00	32	3342	16,32	6262	0,08	6,3
0:09:30	32	3363	16,31	6252	0,09	6,6
0:10:00	33	3387	16,30	6256	0,09	6,9
0:10:30	33	3417	16,30	6248	0,09	7,3
0:11:00	34	3449	16,29	6212	0,09	7,6
0:11:30	34	3482	16,28	6178	0,10	8,0
0:12:00	35	3483	16,27	6168	0,10	8,3
0:12:30	35	3473	16,27	6143	0,10	8,7
0:13:00	36	3471	16,26	6127	0,11	9,0
0:13:30	36	3473	16,25	6120	0,11	9,4
0:14:00	37	3477	16,25	6120	0,11	9,7
0:14:30	38	3480	16,24	6122	0,11	10,1
0:15:00	38	3482	16,23	6134	0,12	10,4
0:15:30	39	3480	16,22	6155	0,12	10,8
0:16:00	39	3479	16,21	6186	0,12	11,1
0:16:30	40	3480	16,20	6224	0,13	11,5
0:17:00	40	3481	16,20	6257	0,13	11,8
0:17:30	41	3481	16,19	6280	0,13	12,2
0:18:00	41	3481	16,18	6279	0,14	12,5
0:18:30	42	3481	16,17	6261	0,14	12,8
0:19:00	43	3481	16,16	6213	0,14	13,2
0:19:30	43	3481	16,16	6154	0,15	13,5
0:20:00	44	3481	16,15	6124	0,15	13,9
0:20:30	44	3481	16,13	6109	0,15	14,2
0:21:00	45	3480	16,12	6117	0,16	14,6
0:21:30	45	3480	16,11	6150	0,16	14,9
0:22:00	46	3480	16,10	6189	0,17	15,3
0:22:30	47	3481	16,10	6229	0,17	15,6
0:23:00	47	3481	16,09	6247	0,17	16,0
0:23:30	48	3480	16,08	6240	0,17	16,3
0:24:00	48	3479	16,07	6213	0,18	16,7
0:24:30	49	3480	16,06	6178	0,18	17,0
0:25:00	50	3480	16,06	6146	0,18	17,4
0:25:30	50	3480	16,05	6119	0,19	17,7
0:26:00	51	3479	16,04	6098	0,19	18,1
0:26:30	51	3479	16,03	6104	0,20	18,4
0:27:00	52	3479	16,02	6122	0,20	18,8
0:27:30	53	3480	16,01	6150	0,21	19,1
0:28:00	53	3480	16,00	6182	0,21	19,4
0:28:30	54	3479	16,00	6210	0,21	19,8
0:29:00	54	3478	15,99	6217	0,21	20,1
0:29:30	55	3478	15,98	6205	0,22	20,5
0:30:00	56	3476	15,97	6191	0,22	20,8
0:30:30	56	3475	15,96	6159	0,22	21,2
0:31:00	57	3477	15,96	6130	0,23	21,5
0:31:30	57	3479	15,95	6103	0,23	21,9
0:32:00	58	3478	15,95	6088	0,23	22,2
0:32:30	59	3476	15,94	6090	0,23	22,6
0:33:00	59	3475	15,93	6105	0,24	22,9
0:33:30	60	3477	15,92	6121	0,24	23,3
0:34:00	60	3478	15,91	6144	0,25	23,6
0:34:30	61	3479	15,90	6155	0,25	24,0
0:35:00	62	3480	15,90	6156	0,25	24,3
0:35:30	62	3480	15,89	6154	0,25	24,7
0:36:00	63	3479	15,89	6146	0,25	25,0
0:36:30	63	3477	15,89	6137	0,26	25,3
0:37:00	64	3474	15,88	6113	0,26	25,7
0:37:30	64	3474	15,88	6099	0,26	26,0
0:38:00	65	3476	15,87	6077	0,26	26,4
0:38:30	66	3480	15,87	6065	0,26	26,7
0:39:00	66	3481	15,86	6048	0,27	27,1
0:39:30	67	3479	15,86	6038	0,27	27,4
0:40:00	68	3480	15,85	6030	0,27	27,8
0:40:30	68	3480	15,85	6020	0,27	28,1
0:41:00	69	3479	15,84	6009	0,27	28,5
0:41:30	69	3476	15,84	6000	0,28	28,8
0:42:00	69	3471	15,84	5994	0,28	29,2
0:42:30	70	3468	15,83	5983	0,28	29,5
0:43:00	70	3464	15,83	5977	0,28	29,9
0:43:30	70	3462	15,83	5969	0,28	30,2
0:44:00	71	3461	15,82	5959	0,28	30,6
0:44:30	71	3460	15,82	5953	0,29	30,9
0:45:00	71	3459	15,82	5940	0,29	31,3
0:45:30	71	3456	15,82	5928	0,29	31,6
0:46:00	72	3453	15,81	5918	0,29	31,9
0:46:30	72	3451	15,81	5907	0,29	32,3
0:47:00	72	3449	15,81	5888	0,29	32,6
0:47:30	72	3448	15,81	5879	0,29	33,0
0:48:00	72	3446	15,80	5868	0,29	33,3
0:48:30	72	3445	15,80	5850	0,29	33,7
0:49:00	72	3442	15,80	5833	0,29	34,0
0:49:30	73	3441	15,80	5817	0,29	34,4
0:50:00	73	3439	15,80	5800	0,29	34,7
0:50:30	73	3437	15,80	5786	0,29	35,1
0:51:00	73	3436	15,80	5771	0,29	35,4
0:51:30	73	3434	15,80	5748	0,29	35,8
0:52:00	73	3431	15,80	5737	0,29	36,1
0:52:30	73	3429	15,80	5720	0,29	36,5
0:53:00	73	3427	15,80	5705	0,29	36,8
0:53:30	73	3424	15,80	5690	0,29	37,2
0:54:00	73	3419	15,81	5671	0,29	37,5
0:54:30	73	3413	15,81	5650	0,29	37,8
0:55:00	73	3405	15,81	5642	0,29	38,2
0:55:30	73	3397	15,81	5631	0,29	38,5
0:56:00	73	3387	15,82	5621	0,29	38,9
0:56:30	73	3375	15,82	5614	0,29	39,2
0:57:00	73	3362	15,82	5603	0,29	39,6
0:57:30	73	3351	15,82	5598	0,28	39,9
0:58:00	73	3340	15,83	5597	0,28	40,3
0:58:30	73	3330	15,83	5600	0,28	40,6
0:59:00	73	3318	15,83	5604	0,28	41,0
0:59:30	73	3307	15,83	5610	0,28	41,3
1:00:00	73	3294	15,83	5610	0,28	41,7
1:00:30	73	3281	15,84	5617	0,28	42,0
1:01:00	73	3268	15,84	5622	0,28	42,4
1:01:30	73	3255	15,84	5625	0,27	42,7
1:02:00	73	3243	15,84	5621	0,27	43,1
1:02:30	73	3230	15,85	5627	0,27	43,4
1:03:00	73	3219	15,85	5623	0,27	43,8
1:03:30	73	3209	15,85	5623	0,27	44,1
1:04:00	73	3198	15,85	5621	0,27	44,4
1:04:30	73	3188	15,85	5615	0,27	44,8
1:05:00	73	3178	15,86	5610	0,27	45,1
1:05:30	73	3170	15,86	5605	0,27	45,5
1:06:00	73	3161	15,86	5597	0,27	45,8
1:06:30	73	3153	15,86	5591	0,27	46,2
1:07:00	73	3145	15,86	5583	0,27	46,5
1:07:30	73	3136	15,86	5580	0,27	46,9
1:08:00	73	3128	15,86	5574	0,27	47,2
