--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	24.02.2014
Test Start Time	7:29:20
Test Stop Date	24.02.2014
Test Stop Time	10:37:51
Test Length	3:08:31
Final Sample Time Offset	3:08:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 73C(40min); P: 40MPa(40min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	70%G+30%Silica Fume  BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%TA-2+2%TA-1+1%TDF-3+0,5%THR-100 (bwob)
Information	Density	1400
Information	BHCT	73
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	Time_30Bc	2:43:40
Calculated Value	Time_70Bc	3:08:30
Initial Temperature (°C)	27 °C
Final Temperature (°C)	74 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	40,2 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	24 °C
Final Wall Temperature (°C)	66 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	27	0,6	8	24	150
0:00:10	27	0,7	8	24	150
0:00:20	27	0,9	8	24	150
0:00:30	27	1,0	8	25	150
0:00:40	27	1,2	8	25	150
0:00:50	27	1,5	8	25	150
0:01:00	27	1,6	8	25	150
0:01:10	27	1,7	8	26	150
0:01:20	27	2,0	9	26	150
0:01:30	27	2,2	9	27	150
0:01:40	27	2,4	9	27	150
0:01:50	27	2,6	9	28	150
0:02:00	27	2,8	9	30	150
0:02:10	27	3,1	9	31	150
0:02:20	27	3,4	9	32	150
0:02:30	27	3,7	9	33	150
0:02:40	27	4,1	9	34	150
0:02:50	27	4,4	9	35	150
0:03:00	27	4,6	9	35	150
0:03:10	27	4,7	9	36	150
0:03:20	27	4,9	9	37	150
0:03:30	27	5,0	9	38	150
0:03:40	27	5,2	9	38	150
0:03:50	28	5,4	9	39	150
0:04:00	28	5,5	9	39	150
0:04:10	28	5,6	9	40	150
0:04:20	28	5,8	9	40	150
0:04:30	28	6,0	9	41	150
0:04:40	28	6,1	9	41	150
0:04:50	29	6,3	9	42	150
0:05:00	29	6,5	9	42	150
0:05:10	29	6,6	9	42	150
0:05:20	29	6,8	9	43	150
0:05:30	30	7,0	9	43	150
0:05:40	30	7,1	9	43	150
0:05:50	30	7,3	9	43	150
0:06:00	30	7,5	9	44	150
0:06:10	31	7,6	9	44	150
0:06:20	31	7,7	9	44	150
0:06:30	31	7,9	9	44	150
0:06:40	31	8,0	9	44	150
0:06:50	32	8,2	9	44	150
0:07:00	32	8,3	9	44	150
0:07:10	32	8,4	9	45	150
0:07:20	33	8,6	9	45	150
0:07:30	33	8,7	9	45	150
0:07:40	33	8,8	10	45	150
0:07:50	33	9,0	10	45	150
0:08:00	34	9,1	10	46	150
0:08:10	34	9,2	9	46	150
0:08:20	34	9,4	9	46	150
0:08:30	34	9,5	9	46	150
0:08:40	34	9,6	9	46	150
0:08:50	35	9,8	9	46	150
0:09:00	35	9,9	9	47	150
0:09:10	35	10,0	9	47	150
0:09:20	35	10,2	9	47	150
0:09:30	36	10,3	9	47	150
0:09:40	36	10,4	9	47	150
0:09:50	36	10,5	9	47	150
0:10:00	36	10,7	9	47	150
0:10:10	37	10,8	9	48	150
0:10:20	37	10,9	9	48	150
0:10:30	37	11,0	9	48	150
0:10:40	37	11,2	9	48	150
0:10:50	37	11,3	9	48	150
0:11:00	38	11,4	9	48	150
0:11:10	38	11,8	9	48	150
0:11:20	38	12,0	9	49	150
0:11:30	38	12,1	9	49	150
0:11:40	38	12,2	9	49	150
0:11:50	39	12,4	9	49	150
0:12:00	39	12,5	9	49	150
0:12:10	39	12,7	9	50	150
0:12:20	39	12,8	9	50	150
0:12:30	39	13,0	9	50	150
0:12:40	40	13,2	9	50	150
0:12:50	40	13,4	9	51	150
0:13:00	40	13,5	9	51	150
0:13:10	40	13,7	9	51	150
0:13:20	40	13,8	9	51	150
0:13:30	41	13,9	9	51	150
0:13:40	41	14,1	9	52	150
0:13:50	41	14,2	9	52	150
0:14:00	41	14,4	9	52	150
0:14:10	41	14,5	9	52	150
0:14:20	42	14,8	9	52	150
0:14:30	42	15,0	9	53	150
0:14:40	42	15,1	9	53	150
0:14:50	42	15,2	9	53	150
0:15:00	42	15,4	9	53	150
0:15:10	43	15,5	9	53	150
0:15:20	43	16,1	9	54	150
0:15:30	43	16,3	9	54	150
0:15:40	43	16,4	9	54	150
