--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	21.03.2014
Test Start Time	14:17:33
Test Stop Date	24.03.2014
Test Stop Time	8:26:24
Test Length	66:08:51
Final Sample Time Offset	66:08:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 73C(40min); P: 3000psi; tap water
14 mesh
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	60%G+30%HDPE+10%SF-2 BWOB
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.5%TC-101+0.8%CFR-10+0.1%LTR-7 (bwoc)
Information	Density	1350
Information	BHCT	73
Information	BHST	73
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	CS_50	9:59:00
Calculated Value	CS_500	15:55:00
Calculated Value	CS_Time8h	0,00 MPa
Calculated Value	CS_Time12h	2,40 MPa
Calculated Value	CS_Time24h	3,79 MPa
Calculated Value	CS_Time48h	4,05 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	72 °C
Initial Transit Time (microsec/in)	15,79 microsec/in
Final Transit Time (microsec/in)	11,89 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	4,13 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	15,79	0,00
0:00:30	24	15,79	0,00
0:01:00	24	15,80	0,00
0:01:30	24	15,81	0,00
0:02:00	24	15,82	0,00
0:02:30	24	15,82	0,00
0:03:00	25	15,82	0,00
0:03:30	25	15,82	0,00
0:04:00	25	15,82	0,00
0:04:30	25	15,82	0,00
0:05:00	26	15,82	0,00
0:05:30	26	15,82	0,00
0:06:00	26	15,82	0,00
0:06:30	27	15,81	0,00
0:07:00	27	15,80	0,00
0:07:30	28	15,79	0,00
0:08:00	28	15,79	0,00
0:08:30	29	15,77	0,01
0:09:00	29	15,76	0,01
0:09:30	30	15,77	0,01
0:10:00	31	15,76	0,01
0:10:30	31	15,76	0,01
0:11:00	32	15,76	0,01
0:11:30	33	15,76	0,01
0:12:00	33	15,75	0,01
0:12:30	34	15,75	0,01
0:13:00	35	15,75	0,02
0:13:30	35	15,75	0,02
0:14:00	36	15,79	0,00
0:14:30	36	15,78	0,00
0:15:00	37	15,76	0,01
0:15:30	37	15,75	0,02
0:16:00	38	15,73	0,02
0:16:30	39	15,73	0,02
0:17:00	39	15,73	0,02
0:17:30	40	15,79	0,00
0:18:00	41	15,77	0,01
0:18:30	41	15,75	0,01
0:19:00	42	15,74	0,02
0:19:30	43	15,73	0,03
0:20:00	44	15,72	0,03
0:20:30	44	15,71	0,03
0:21:00	45	15,71	0,03
0:21:30	46	15,71	0,03
0:22:00	46	15,71	0,03
0:22:30	47	15,71	0,03
0:23:00	48	15,70	0,04
0:23:30	48	15,70	0,04
0:24:00	49	15,70	0,04
0:24:30	50	15,70	0,04
0:25:00	50	15,70	0,04
0:25:30	51	15,71	0,03
0:26:00	51	15,71	0,03
0:26:30	52	15,71	0,03
0:27:00	53	15,71	0,03
0:27:30	54	15,71	0,03
0:28:00	54	15,72	0,03
0:28:30	55	15,72	0,03
0:29:00	56	15,73	0,03
0:29:30	56	15,73	0,03
0:30:00	57	15,73	0,02
0:30:30	58	15,73	0,02
0:31:00	58	15,74	0,02
0:31:30	59	15,74	0,02
0:32:00	59	15,75	0,02
0:32:30	60	15,75	0,01
0:33:00	61	15,76	0,01
0:33:30	62	15,77	0,01
0:34:00	62	15,78	0,00
0:34:30	63	15,79	0,00
0:35:00	64	15,79	0,00
0:35:30	64	15,79	0,00
0:36:00	65	15,81	0,00
0:36:30	66	15,82	0,00
0:37:00	66	15,82	0,00
0:37:30	67	15,83	0,00
0:38:00	68	15,84	0,00
0:38:30	68	15,85	0,00
0:39:00	69	15,86	0,00
0:39:30	70	15,87	0,00
0:40:00	70	15,88	0,00
0:40:30	71	15,89	0,00
0:41:00	72	15,90	0,00
0:41:30	72	15,91	0,00
0:42:00	73	15,92	0,00
0:42:30	73	15,93	0,00
0:43:00	74	15,94	0,00
0:43:30	74	15,96	0,00
0:44:00	75	15,96	0,00
0:44:30	75	15,98	0,00
0:45:00	76	15,99	0,00
0:45:30	76	16,00	0,00
0:46:00	76	16,02	0,00
0:46:30	76	16,03	0,00
0:47:00	76	16,04	0,00
0:47:30	76	16,05	0,00
0:48:00	76	16,06	0,00
0:48:30	76	16,07	0,00
0:49:00	76	16,09	0,00
0:49:30	76	16,09	0,00
0:50:00	76	16,10	0,00
0:50:30	76	16,11	0,00
0:51:00	76	16,11	0,00
0:51:30	76	16,13	0,00
0:52:00	76	16,14	0,00
0:52:30	76	16,14	0,00
0:53:00	76	16,15	0,00
0:53:30	76	16,16	0,00
0:54:00	76	16,17	0,00
0:54:30	75	16,17	0,00
0:55:00	75	16,17	0,00
0:55:30	75	16,18	0,00
0:56:00	75	16,19	0,00
0:56:30	75	16,19	0,00
0:57:00	75	16,20	0,00
0:57:30	75	16,20	0,00
0:58:00	75	16,20	0,00
0:58:30	74	16,20	0,00
0:59:00	74	16,21	0,00
0:59:30	74	16,21	0,00
1:00:00	74	16,22	0,00
1:00:30	74	16,22	0,00
1:01:00	74	16,22	0,00
1:01:30	74	16,23	0,00
1:02:00	74	16,23	0,00
1:02:30	74	16,23	0,00
1:03:00	74	16,23	0,00
1:03:30	74	16,23	0,00
1:04:00	74	16,23	0,00
1:04:30	74	16,23	0,00
1:05:00	74	16,23	0,00
1:05:30	74	16,23	0,00
1:06:00	74	16,23	0,00
1:06:30	74	16,23	0,00
1:07:00	74	16,23	0,00
1:07:30	74	16,23	0,00
1:08:00	74	16,23	0,00
1:08:30	74	16,23	0,00
1:09:00	74	16,23	0,00
1:09:30	74	16,23	0,00
1:10:00	74	16,23	0,00
1:10:30	74	16,23	0,00
1:11:00	74	16,23	0,00
1:11:30	74	16,23	0,00
1:12:00	74	16,24	0,00
1:12:30	73	16,24	0,00
1:13:00	73	16,24	0,00
1:13:30	73	16,24	0,00
1:14:00	73	16,24	0,00
1:14:30	73	16,23	0,00
1:15:00	73	16,23	0,00
1:15:30	73	16,23	0,00
1:16:00	73	16,23	0,00
1:16:30	73	16,23	0,00
1:17:00	73	16,23	0,00
1:17:30	73	16,23	0,00
1:18:00	73	16,23	0,00
1:18:30	73	16,24	0,00
1:19:00	73	16,24	0,00
1:19:30	73	16,23	0,00
1:20:00	73	16,23	0,00
1:20:30	73	16,24	0,00
1:21:00	73	16,24	0,00
1:21:30	73	16,24	0,00
1:22:00	73	16,24	0,00
1:22:30	73	16,24	0,00
1:23:00	73	16,24	0,00
1:23:30	73	16,23	0,00
1:24:00	73	16,24	0,00
1:24:30	73	16,24	0,00
1:25:00	73	16,24	0,00
1:25:30	73	16,24	0,00
1:26:00	73	16,24	0,00
1:26:30	73	16,24	0,00
1:27:00	73	16,24	0,00
1:27:30	73	16,24	0,00
1:28:00	73	16,24	0,00
1:28:30	73	16,24	0,00
1:29:00	73	16,24	0,00
1:29:30	73	16,24	0,00
1:30:00	73	16,24	0,00
1:30:30	73	16,24	0,00
1:31:00	73	16,24	0,00
1:31:30	73	16,24	0,00
1:32:00	73	16,24	0,00
1:32:30	73	16,24	0,00
1:33:00	73	16,24	0,00
1:33:30	73	16,24	0,00
1:34:00	73	16,24	0,00
1:34:30	73	16,24	0,00
1:35:00	73	16,24	0,00
1:35:30	73	16,24	0,00
1:36:00	73	16,24	0,00
1:36:30	73	16,24	0,00
1:37:00	73	16,24	0,00
1:37:30	73	16,24	0,00
1:38:00	73	16,24	0,00
1:38:30	73	16,24	0,00
