--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	16.04.2014
Test Start Time	11:47:54
Test Stop Date	16.04.2014
Test Stop Time	14:25:45
Test Length	2:37:51
Final Sample Time Offset	2:37:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	100%G+25%SF-2 (bwoc)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.3%CFL-17+0.2%TWR-3 (bwoc)
Information	Density	1550
Information	BHCT	63
Information	BHST	78
Information	FluidLoss	210cc/30min
Information	JobType	Research
Calculated Value	Time_30Bc	0:00:10
Calculated Value	Time_70Bc	2:37:50
Initial Temperature (°C)	24 °C
Final Temperature (°C)	63 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	34,1 MPa
Initial Consistency (Bc)	41 Bc
Final Consistency (Bc)	79 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	0,9	41
0:00:10	24	1,1	41
0:00:20	24	1,2	41
0:00:30	24	1,5	41
0:00:40	24	1,5	42
0:00:50	24	2,0	41
0:01:00	24	2,2	41
0:01:10	24	2,3	41
0:01:20	24	2,6	41
0:01:30	24	2,8	41
0:01:40	24	3,1	41
0:01:50	24	3,5	41
0:02:00	24	3,8	41
0:02:10	24	4,2	41
0:02:20	24	4,3	41
0:02:30	24	4,5	41
0:02:40	24	4,8	41
0:02:50	24	5,0	41
0:03:00	24	5,2	41
0:03:10	24	5,2	41
0:03:20	25	5,4	41
0:03:30	25	5,5	41
0:03:40	25	5,7	41
0:03:50	25	5,9	41
0:04:00	25	6,2	40
0:04:10	25	6,3	41
0:04:20	26	6,6	41
0:04:30	26	6,8	41
0:04:40	26	6,9	41
0:04:50	26	6,9	41
0:05:00	27	7,3	41
0:05:10	27	7,4	41
0:05:20	27	7,7	41
0:05:30	27	7,8	41
0:05:40	28	7,8	41
0:05:50	28	8,2	41
0:06:00	28	8,3	41
0:06:10	28	8,5	41
0:06:20	29	8,8	41
0:06:30	29	8,8	41
0:06:40	29	9,1	41
0:06:50	29	9,2	41
0:07:00	29	9,5	41
0:07:10	30	9,6	41
0:07:20	30	9,7	41
0:07:30	30	10,1	41
0:07:40	30	10,1	41
0:07:50	31	10,5	41
0:08:00	31	10,5	41
0:08:10	31	10,8	41
0:08:20	32	10,8	41
0:08:30	32	11,1	41
0:08:40	32	11,4	41
0:08:50	33	11,3	41
0:09:00	33	11,5	41
0:09:10	33	11,7	41
0:09:20	34	11,8	41
0:09:30	34	11,8	41
0:09:40	35	11,8	41
0:09:50	35	11,7	41
0:10:00	36	11,8	41
0:10:10	36	12,1	42
0:10:20	37	12,1	42
0:10:30	37	12,5	41
0:10:40	37	13,0	41
0:10:50	38	12,9	41
0:11:00	38	13,3	41
0:11:10	38	13,2	41
0:11:20	39	13,6	41
0:11:30	39	13,6	41
0:11:40	39	13,7	41
0:11:50	39	14,1	42
0:12:00	40	14,1	41
0:12:10	40	14,2	41
0:12:20	40	14,4	41
0:12:30	40	14,9	41
0:12:40	40	15,0	41
0:12:50	40	15,2	41
0:13:00	41	15,4	41
0:13:10	41	15,6	41
0:13:20	41	15,9	41
0:13:30	41	16,1	41
0:13:40	41	16,4	41
0:13:50	41	16,6	41
0:14:00	42	16,9	41
0:14:10	42	17,1	41
0:14:20	42	17,4	41
0:14:30	42	17,7	41
0:14:40	42	18,0	41
0:14:50	42	18,2	41
0:15:00	43	18,1	41
0:15:10	43	18,4	41
0:15:20	43	18,7	41
0:15:30	43	19,0	41
0:15:40	43	18,8	41
0:15:50	43	19,0	41
0:16:00	44	19,2	41
0:16:10	44	19,4	41
0:16:20	44	19,6	41
0:16:30	44	19,8	41
0:16:40	45	20,0	41
0:16:50	45	20,3	41
0:17:00	45	20,5	41
0:17:10	45	20,7	41
0:17:20	45	20,9	41
0:17:30	46	21,1	41
0:17:40	46	21,2	41
0:17:50	46	21,4	41
0:18:00	47	21,6	41
0:18:10	47	21,7	41
0:18:20	47	21,9	41
0:18:30	47	22,0	41
0:18:40	47	22,2	41
0:18:50	48	22,4	41
0:19:00	48	22,8	41
0:19:10	48	22,9	41
0:19:20	48	23,1	41
0:19:30	49	23,2	41
0:19:40	49	23,3	41
0:19:50	49	23,4	41
0:20:00	49	23,6	41
0:20:10	50	23,8	41
0:20:20	50	24,0	41
0:20:30	50	24,2	41
0:20:40	50	24,3	41
0:20:50	51	24,5	41
0:21:00	51	24,6	41
0:21:10	51	24,8	41
0:21:20	51	25,0	41
0:21:30	52	25,2	41
0:21:40	52	25,4	41
0:21:50	52	25,6	41
0:22:00	52	25,7	41
0:22:10	52	25,9	41
0:22:20	53	26,1	41
0:22:30	53	26,2	41
0:22:40	53	26,4	41
0:22:50	53	26,5	41
0:23:00	53	26,7	41
0:23:10	54	26,9	41
0:23:20	54	27,2	41
0:23:30	54	27,4	41
0:23:40	54	27,6	41
0:23:50	55	27,8	41
0:24:00	55	28,0	41
0:24:10	55	28,2	41
0:24:20	55	28,4	41
0:24:30	55	28,5	41
0:24:40	56	28,7	41
0:24:50	56	28,9	41
0:25:00	56	29,1	41
0:25:10	56	29,4	41
0:25:20	57	29,7	41
0:25:30	57	29,9	41
0:25:40	57	30,0	41
0:25:50	57	30,2	41
0:26:00	57	30,4	41
0:26:10	58	30,6	41
0:26:20	58	30,8	41
0:26:30	58	30,9	41
0:26:40	58	31,1	41
0:26:50	59	31,2	41
0:27:00	59	31,4	41
0:27:10	59	31,6	41
0:27:20	59	31,9	41
0:27:30	59	32,0	41
0:27:40	60	32,2	41
0:27:50	60	32,3	41
0:28:00	60	32,5	41
0:28:10	60	32,7	41
0:28:20	61	32,9	41
0:28:30	61	33,0	41
0:28:40	61	33,2	41
0:28:50	61	33,4	41
0:29:00	61	33,6	41
0:29:10	62	33,8	41
0:29:20	62	34,0	41
0:29:30	62	34,2	41
0:29:40	62	34,3	41
0:29:50	63	34,5	41
0:30:00	63	34,7	41
0:30:10	63	34,9	41
0:30:20	63	34,0	41
0:30:30	63	34,1	41
0:30:40	64	34,2	41
0:30:50	64	34,3	41
0:31:00	64	34,4	41
0:31:10	64	34,4	42
0:31:20	64	34,5	41
0:31:30	65	34,4	41
0:31:40	65	34,4	41
0:31:50	65	34,3	41
0:32:00	65	34,2	41
0:32:10	65	34,0	41
0:32:20	65	33,9	41
0:32:30	65	34,2	41
0:32:40	66	34,0	41
0:32:50	66	33,9	41
0:33:00	66	33,9	41
0:33:10	66	33,9	41
0:33:20	66	34,1	41
0:33:30	66	33,9	41
0:33:40	66	34,2	41
0:33:50	66	34,0	41
0:34:00	66	33,8	41
0:34:10	66	33,9	41
0:34:20	66	33,9	41
0:34:30	66	33,9	41
0:34:40	66	33,9	41
0:34:50	66	33,9	41
0:35:00	66	34,1	41
0:35:10	66	34,0	41
0:35:20	66	33,9	41
0:35:30	66	34,2	41
0:35:40	66	34,1	41
0:35:50	66	34,1	41
0:36:00	66	34,0	41
0:36:10	66	33,9	41
0:36:20	66	33,9	41
0:36:30	66	34,3	41
0:36:40	66	34,2	41
0:36:50	66	34,1	41
0:37:00	66	34,1	41
0:37:10	65	34,0	41
0:37:20	65	34,0	41
0:37:30	65	34,0	41
0:37:40	65	33,9	41
0:37:50	65	33,9	41
0:38:00	65	33,9	41
0:38:10	65	33,9	41
0:38:20	65	33,9	41
0:38:30	65	34,0	41
0:38:40	65	34,0	41
0:38:50	65	34,0	41
0:39:00	65	34,0	41
0:39:10	65	34,0	41
0:39:20	65	34,0	41
0:39:30	65	34,0	41
0:39:40	65	34,0	41
0:39:50	65	34,0	41
0:40:00	64	34,0	41
0:40:10	64	34,0	41
0:40:20	64	34,2	41
0:40:30	64	34,3	41
0:40:40	64	34,3	41
0:40:50	64	34,2	41
0:41:00	64	34,2	41
0:41:10	64	34,3	41
0:41:20	64	34,3	41
0:41:30	64	34,2	41
0:41:40	64	34,3	41
0:41:50	64	34,2	41
0:42:00	64	34,3	41
0:42:10	64	34,3	41
0:42:20	64	34,4	41
0:42:30	64	34,3	41
0:42:40	64	34,4	41
0:42:50	64	34,3	41
0:43:00	64	34,3	41
0:43:10	64	34,4	41
0:43:20	64	34,4	41
0:43:30	64	34,5	41
0:43:40	64	34,4	41
0:43:50	64	34,3	41
0:44:00	64	34,3	41
0:44:10	64	34,3	41
0:44:20	64	34,3	41
0:44:30	64	34,3	41
0:44:40	64	34,3	41
0:44:50	64	34,3	41
0:45:00	64	34,3	41
0:45:10	64	34,3	41
0:45:20	64	34,3	41
0:45:30	64	34,3	41
0:45:40	64	34,4	41
0:45:50	64	34,4	41
0:46:00	64	34,4	41
0:46:10	64	34,5	41
0:46:20	64	34,4	41
0:46:30	64	34,5	41
0:46:40	64	34,5	41
0:46:50	64	34,6	41
0:47:00	64	34,6	41
0:47:10	64	34,6	41
0:47:20	63	34,7	41
0:47:30	64	34,6	41
0:47:40	63	34,6	41
0:47:50	63	34,7	41
0:48:00	63	34,7	41
0:48:10	63	34,7	41
0:48:20	63	34,7	41
0:48:30	63	34,7	41
0:48:40	63	34,7	41
0:48:50	63	34,7	41
0:49:00	63	34,7	41
0:49:10	63	34,7	41
0:49:20	63	34,7	41
0:49:30	63	34,7	41
0:49:40	63	34,7	41
0:49:50	63	34,7	41
0:50:00	63	34,7	41
0:50:10	63	34,7	41
0:50:20	63	34,7	41
0:50:30	63	34,8	41
0:50:40	63	34,8	41
0:50:50	63	34,8	41
0:51:00	63	34,8	41
0:51:10	63	34,8	41
0:51:20	63	34,8	41
0:51:30	63	34,8	41
0:51:40	63	34,8	41
0:51:50	63	34,8	41
0:52:00	63	34,8	41
0:52:10	63	34,8	41
0:52:20	63	34,8	41
0:52:30	63	34,8	41
0:52:40	63	34,8	41
0:52:50	63	34,8	41
0:53:00	63	34,9	41
0:53:10	63	34,9	41
0:53:20	63	34,9	41
0:53:30	63	34,8	41
0:53:40	63	34,8	41
0:53:50	63	34,9	41
0:54:00	63	34,9	41
0:54:10	63	34,8	41
0:54:20	63	34,8	41
0:54:30	63	34,8	41
0:54:40	63	34,8	41
0:54:50	63	34,9	41
0:55:00	63	34,8	41
0:55:10	63	34,9	41
0:55:20	63	34,9	41
0:55:30	63	34,1	41
0:55:40	63	34,1	41
0:55:50	63	34,1	41
0:56:00	63	34,1	41
0:56:10	63	34,1	41
0:56:20	63	34,1	41
0:56:30	63	34,1	41
0:56:40	63	34,1	41
0:56:50	63	34,1	41
0:57:00	63	34,1	41
0:57:10	63	34,1	41
0:57:20	63	34,1	41
0:57:30	63	34,1	41
0:57:40	63	34,1	41
0:57:50	63	34,0	41
0:58:00	63	34,0	41
0:58:10	63	34,1	41
0:58:20	63	34,1	41
0:58:30	63	34,1	41
0:58:40	63	34,1	41
0:58:50	63	34,1	41
0:59:00	63	34,1	41
0:59:10	63	34,2	41
0:59:20	63	34,1	41
0:59:30	63	34,1	41
0:59:40	63	34,1	41
0:59:50	63	34,1	41
1:00:00	63	34,1	41
1:00:10	63	34,1	41
1:00:20	63	34,1	41
1:00:30	63	34,2	41
1:00:40	63	34,2	41
1:00:50	63	34,2	41
1:01:00	63	34,2	41
1:01:10	63	34,2	41
1:01:20	63	34,2	41
1:01:30	63	34,2	41
1:01:40	63	34,2	41
1:01:50	63	34,2	41
1:02:00	63	34,2	41
1:02:10	63	34,2	41
1:02:20	63	34,2	41
1:02:30	63	34,2	41
1:02:40	63	34,2	41
1:02:50	63	34,2	41
1:03:00	63	34,2	41
1:03:10	63	34,2	41
1:03:20	63	34,2	41
1:03:30	63	34,1	41
1:03:40	63	34,2	41
1:03:50	63	34,2	41
1:04:00	63	34,2	41
1:04:10	63	34,2	41
1:04:20	63	34,2	41
1:04:30	63	34,2	41
1:04:40	63	34,2	41
1:04:50	63	34,2	41
1:05:00	63	34,2	41
1:05:10	63	34,2	41
1:05:20	63	34,2	41
1:05:30	63	34,2	41
1:05:40	63	34,2	41
1:05:50	63	34,2	41
1:06:00	63	34,2	41
1:06:10	63	34,2	41
1:06:20	63	34,2	41
1:06:30	63	34,2	41
1:06:40	63	34,2	41
1:06:50	63	34,2	41
1:07:00	63	34,3	41
1:07:10	63	34,3	41
1:07:20	63	34,2	41
1:07:30	63	34,2	41
1:07:40	63	34,2	41
1:07:50	63	34,2	41
1:08:00	63	34,2	41
1:08:10	63	34,2	41
1:08:20	63	34,2	41
1:08:30	63	34,3	41
1:08:40	63	34,3	41
1:08:50	63	34,3	41
1:09:00	63	34,3	41
1:09:10	63	34,3	41
1:09:20	63	34,3	41
1:09:30	63	34,3	41
