--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	16.04.2014
Test Start Time	17:51:32
Test Stop Date	16.04.2014
Test Stop Time	20:25:32
Test Length	2:34:00
Final Sample Time Offset	2:34:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.3%CFL-17+0.2%TWR-3+0.1%LTR (bwoc)
Information	Density	1550
Information	BHCT	63
Information	BHST	78
Information	FluidLoss	210cc/30min
Information	JobType	Research
Calculated Value	Time_30Bc	2:04:30
Calculated Value	Time_70Bc	2:23:10
Calculated Value	Time_100Bc	2:34:00
Initial Temperature (°C)	23 °C
Final Temperature (°C)	64 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	33,9 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	102 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0,9	4
0:00:10	23	1,1	5
0:00:20	23	1,4	8
0:00:30	23	1,4	5
0:00:40	23	1,5	10
0:00:50	23	1,9	9
0:01:00	23	2,0	8
0:01:10	23	2,2	8
0:01:20	23	2,4	7
0:01:30	23	2,6	7
0:01:40	23	2,9	9
0:01:50	23	3,2	7
0:02:00	23	3,6	7
0:02:10	23	4,0	7
0:02:20	23	4,4	6
0:02:30	23	4,5	7
0:02:40	23	4,8	6
0:02:50	23	4,9	6
0:03:00	23	5,2	6
0:03:10	23	5,3	6
0:03:20	23	5,4	6
0:03:30	23	5,7	6
0:03:40	23	5,8	6
0:03:50	23	6,1	8
0:04:00	24	6,2	9
0:04:10	24	6,5	13
0:04:20	24	6,6	9
0:04:30	24	6,8	4
0:04:40	24	6,8	8
0:04:50	24	7,1	8
0:05:00	24	7,4	8
0:05:10	25	7,5	10
0:05:20	25	7,6	10
0:05:30	25	7,8	10
0:05:40	25	8,1	9
0:05:50	26	8,3	10
0:06:00	26	8,5	8
0:06:10	26	8,7	7
0:06:20	26	8,9	7
0:06:30	27	9,0	8
0:06:40	27	9,2	7
0:06:50	27	9,3	7
0:07:00	28	9,4	10
0:07:10	28	9,8	9
0:07:20	28	9,9	5
0:07:30	29	9,9	5
0:07:40	29	10,3	5
0:07:50	30	10,3	6
0:08:00	30	10,6	5
0:08:10	30	10,7	7
0:08:20	31	10,9	8
0:08:30	31	11,2	8
0:08:40	31	11,4	7
0:08:50	32	11,6	6
0:09:00	32	11,8	6
0:09:10	33	12,0	6
0:09:20	33	12,0	5
0:09:30	33	12,2	5
0:09:40	34	12,3	6
0:09:50	34	12,5	7
0:10:00	35	12,7	10
0:10:10	35	12,8	9
0:10:20	35	12,9	7
0:10:30	36	13,1	8
0:10:40	36	13,1	7
0:10:50	36	13,2	8
0:11:00	37	13,3	8
0:11:10	37	13,3	9
0:11:20	38	13,4	9
0:11:30	38	13,8	6
0:11:40	38	13,8	5
0:11:50	39	14,0	6
0:12:00	39	14,3	5
0:12:10	39	14,3	11
0:12:20	40	14,6	10
0:12:30	40	14,7	9
0:12:40	40	15,0	9
0:12:50	41	15,0	8
0:13:00	41	15,4	7
0:13:10	41	15,3	6
0:13:20	42	15,6	5
0:13:30	42	15,8	5
0:13:40	42	16,0	5
0:13:50	43	16,1	4
0:14:00	43	16,3	4
0:14:10	43	16,7	4
0:14:20	43	16,7	4
0:14:30	44	17,2	4
0:14:40	44	17,2	3
0:14:50	44	17,2	3
0:15:00	44	17,5	3
0:15:10	45	17,5	3
0:15:20	45	17,9	3
0:15:30	45	18,0	3
0:15:40	45	18,2	3
0:15:50	46	18,4	3
0:16:00	46	18,9	3
0:16:10	46	18,9	3
0:16:20	46	18,9	3
0:16:30	46	19,4	3
0:16:40	47	19,4	3
0:16:50	47	19,5	3
0:17:00	47	19,6	3
0:17:10	47	19,9	3
0:17:20	47	20,0	2
0:17:30	47	20,2	2
0:17:40	48	20,6	2
0:17:50	48	20,7	2
0:18:00	48	20,9	2
0:18:10	48	21,1	2
0:18:20	48	21,4	2
0:18:30	48	21,5	2
0:18:40	48	21,8	2
0:18:50	49	22,0	2
0:19:00	49	22,1	2
0:19:10	49	22,4	2
0:19:20	49	22,6	2
0:19:30	49	22,8	2
0:19:40	49	23,0	2
0:19:50	49	23,3	2
0:20:00	49	23,6	2
0:20:10	50	23,8	2
0:20:20	50	24,1	2
0:20:30	50	24,4	2
0:20:40	50	24,7	2
