--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	17.04.2014
Test Start Time	11:22:45
Test Stop Date	18.04.2014
Test Stop Time	9:58:03
Test Length	22:35:18
Final Sample Time Offset	21:03:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	vyazkiy
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.2%CFR-10+0.25HEC-SA+0.1%LTR-7+2%bvowK2CO3+2%bvowKOH
Information	Density	1890
Information	BHCT	20
Information	BHST	5
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	N/A
Calculated Value	CS_500	N/A
Calculated Value	CS_Time8h	0,28 MPa
Calculated Value	CS_Time12h	0,28 MPa
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	ERROR
Initial Transit Time (microsec/in)	19,72 microsec/in
Final Transit Time (microsec/in)	ERROR
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	N/A
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	19,72	0,00
0:00:30	23	19,71	0,00
0:01:00	23	19,71	0,00
0:01:30	23	19,72	0,00
0:02:00	23	19,72	0,00
0:02:30	23	19,73	0,00
0:03:00	23	19,73	0,00
0:03:30	23	19,74	0,00
0:04:00	23	19,73	0,00
0:04:30	23	19,74	0,00
0:05:00	23	19,74	0,00
0:05:30	23	19,74	0,00
0:06:00	23	19,74	0,00
0:06:30	23	19,74	0,00
0:07:00	23	19,75	0,00
0:07:30	23	19,75	0,00
0:08:00	23	19,75	0,00
0:08:30	23	19,75	0,00
0:09:00	23	19,75	0,00
0:09:30	23	19,76	0,00
0:10:00	23	19,75	0,00
0:10:30	23	19,76	0,00
0:11:00	23	19,76	0,00
0:11:30	23	19,76	0,00
0:12:00	23	19,76	0,00
0:12:30	23	19,76	0,00
0:13:00	23	19,77	0,00
0:13:30	23	19,77	0,00
0:14:00	23	19,77	0,00
0:14:30	23	19,77	0,00
0:15:00	23	19,77	0,00
0:15:30	23	19,77	0,00
0:16:00	23	19,77	0,00
0:16:30	23	19,77	0,00
0:17:00	23	19,77	0,00
0:17:30	23	19,77	0,00
0:18:00	23	19,77	0,00
0:18:30	23	19,77	0,00
0:19:00	23	19,77	0,00
0:19:30	23	19,77	0,00
0:20:00	23	19,77	0,00
0:20:30	23	19,77	0,00
0:21:00	23	19,77	0,00
