--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	18.04.2014
Test Start Time	16:20:07
Test Stop Date	21.04.2014
Test Stop Time	8:16:21
Test Length	63:56:14
Final Sample Time Offset	63:56:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 63C(30min); 78C(240min); P: 3000psi; tap water
Information	WellID	Roslavlskoe
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.5%CFL-20+0.6%TLA+0.5%CFR-12+1%TA-1 (bwoc)
Information	Density	1900
Information	BHCT	63
Information	BHST	78
Information	FluidLoss	48cc/30min
Information	JobType	Production
Calculated Value	CS_50	3:43:00
Calculated Value	CS_500	5:04:30
Calculated Value	CS_Time8h	7,55 MPa
Calculated Value	CS_Time12h	10,52 MPa
Calculated Value	CS_Time24h	14,78 MPa
Calculated Value	CS_Time48h	18,61 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	77 °C
Initial Transit Time (microsec/in)	16,69 microsec/in
Final Transit Time (microsec/in)	8,40 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	19,67 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	16,69	0,00
0:00:30	24	16,68	0,00
0:01:00	24	16,68	0,00
0:01:30	24	16,69	0,00
0:02:00	24	16,70	0,00
0:02:30	24	16,65	0,01
0:03:00	24	16,65	0,01
0:03:30	24	16,65	0,01
0:04:00	24	16,65	0,01
0:04:30	25	16,65	0,01
0:05:00	25	16,65	0,01
0:05:30	25	16,64	0,01
0:06:00	26	16,64	0,01
0:06:30	26	16,63	0,01
0:07:00	27	16,62	0,02
0:07:30	27	16,62	0,02
0:08:00	28	16,62	0,02
0:08:30	29	16,61	0,02
0:09:00	30	16,60	0,02
0:09:30	30	16,59	0,02
0:10:00	31	16,58	0,03
0:10:30	32	16,57	0,03
0:11:00	32	16,56	0,03
0:11:30	33	16,53	0,04
0:12:00	34	16,50	0,05
0:12:30	34	16,50	0,05
0:13:00	35	16,47	0,05
0:13:30	36	16,47	0,06
0:14:00	36	16,45	0,06
0:14:30	37	16,44	0,06
0:15:00	37	16,44	0,06
0:15:30	38	16,43	0,07
0:16:00	39	16,41	0,07
0:16:30	39	16,41	0,07
0:17:00	40	16,40	0,07
0:17:30	41	16,39	0,08
0:18:00	41	16,38	0,08
0:18:30	42	16,38	0,08
0:19:00	43	16,36	0,08
0:19:30	44	16,35	0,09
0:20:00	45	16,35	0,09
0:20:30	46	16,33	0,09
0:21:00	46	16,33	0,09
0:21:30	47	16,32	0,10
0:22:00	47	16,31	0,10
0:22:30	48	16,30	0,10
0:23:00	49	16,29	0,10
