--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	28.05.2014
Test Start Time	11:56:45
Test Stop Date	28.05.2014
Test Stop Time	16:35:08
Test Length	4:38:23
Final Sample Time Offset	4:38:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 100C (40min); P: 45MPa (40min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0,9%Diacel FL+0,6%CFR-10+0,3%CRS-300D (bwoc)
Information	Density	1920
Information	BHCT	100
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	100 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	45,1 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	2 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	0,5	4
0:00:10	24	0,7	4
0:00:20	24	0,9	4
0:00:30	24	0,9	4
0:00:40	24	1,2	4
0:00:50	24	1,3	4
0:01:00	24	1,8	4
0:01:10	24	2,1	4
0:01:20	24	2,4	4
0:01:30	24	2,8	4
0:01:40	24	3,3	5
0:01:50	24	3,4	8
0:02:00	24	3,6	6
0:02:10	24	3,9	6
0:02:20	24	4,0	6
0:02:30	24	4,1	7
0:02:40	25	4,4	7
0:02:50	25	4,5	8
0:03:00	25	4,7	7
0:03:10	25	5,0	7
0:03:20	26	5,0	7
0:03:30	26	5,2	7
0:03:40	26	5,4	7
0:03:50	27	5,6	7
0:04:00	27	5,8	6
0:04:10	27	6,0	6
0:04:20	28	6,1	7
0:04:30	28	6,4	6
0:04:40	28	6,6	6
0:04:50	29	6,7	6
0:05:00	29	6,9	6
0:05:10	29	7,0	6
0:05:20	30	7,4	7
0:05:30	30	7,5	6
0:05:40	31	7,6	6
0:05:50	31	7,9	6
0:06:00	31	8,0	6
0:06:10	32	8,1	7
0:06:20	32	8,4	8
0:06:30	32	8,5	6
0:06:40	33	8,8	6
0:06:50	33	8,9	6
0:07:00	34	9,2	5
0:07:10	34	9,2	5
0:07:20	34	9,6	5
0:07:30	35	9,7	5
0:07:40	35	9,7	5
0:07:50	35	10,0	5
0:08:00	36	10,1	5
0:08:10	36	10,3	5
0:08:20	37	10,6	6
0:08:30	37	10,7	6
0:08:40	37	11,0	5
0:08:50	38	11,1	5
0:09:00	38	11,3	5
0:09:10	39	11,6	5
0:09:20	39	11,6	5
0:09:30	39	11,9	6
0:09:40	40	12,2	5
0:09:50	40	12,1	5
0:10:00	40	12,3	5
0:10:10	41	12,6	5
0:10:20	41	12,9	5
0:10:30	42	12,9	5
0:10:40	42	13,2	5
0:10:50	42	13,5	5
0:11:00	43	13,4	4
0:11:10	43	13,7	5
0:11:20	43	14,0	4
0:11:30	44	14,2	4
0:11:40	44	14,2	5
0:11:50	44	14,5	5
0:12:00	45	14,4	4
0:12:10	45	14,7	4
0:12:20	46	15,0	5
0:12:30	46	15,3	5
0:12:40	46	15,2	5
0:12:50	47	15,6	4
0:13:00	47	15,8	4
0:13:10	47	16,1	4
0:13:20	48	15,9	4
0:13:30	48	16,2	4
0:13:40	48	16,5	4
0:13:50	49	16,8	4
0:14:00	49	16,6	4
0:14:10	49	16,9	5
0:14:20	50	17,2	5
0:14:30	50	17,5	5
0:14:40	50	17,6	5
0:14:50	51	17,6	5
0:15:00	51	17,8	5
0:15:10	51	18,1	5
0:15:20	52	18,4	5
0:15:30	52	18,3	5
0:15:40	52	18,6	5
0:15:50	53	18,9	5
0:16:00	53	19,2	5
0:16:10	53	19,0	5
0:16:20	54	19,3	5
0:16:30	54	19,6	5
0:16:40	54	19,8	5
0:16:50	55	20,1	5
0:17:00	55	19,8	5
0:17:10	55	20,1	5
0:17:20	56	20,4	5
0:17:30	56	20,7	5
0:17:40	56	21,0	5
0:17:50	57	20,7	4
0:18:00	57	21,0	4
0:18:10	57	21,3	4
0:18:20	58	21,6	4
0:18:30	58	21,9	4
0:18:40	58	22,2	4
0:18:50	59	22,0	4
0:19:00	59	22,3	4
0:19:10	59	22,6	4
0:19:20	60	22,9	4
0:19:30	60	22,6	5
0:19:40	60	22,8	4
0:19:50	61	23,1	4
0:20:00	61	23,4	4
0:20:10	61	23,7	4
0:20:20	62	24,0	4
0:20:30	62	23,7	4
0:20:40	62	23,9	4
0:20:50	62	24,2	4
0:21:00	63	24,5	4
0:21:10	63	24,8	4
0:21:20	63	25,0	4
0:21:30	64	24,6	4
0:21:40	64	24,9	4
0:21:50	64	25,2	4
0:22:00	65	25,5	4
0:22:10	65	25,8	4
0:22:20	65	26,1	5
0:22:30	66	26,4	4
0:22:40	66	26,1	4
0:22:50	66	26,3	4
0:23:00	67	26,6	4
0:23:10	67	26,9	4
0:23:20	67	27,2	4
0:23:30	68	27,5	4
0:23:40	68	27,1	3
0:23:50	68	27,4	3
0:24:00	69	27,6	4
0:24:10	69	27,9	4
0:24:20	69	28,3	4
0:24:30	70	28,6	4
0:24:40	70	28,8	4
0:24:50	70	29,0	3
0:25:00	71	29,2	3
0:25:10	71	28,9	4
0:25:20	71	29,2	3
0:25:30	72	29,5	3
0:25:40	72	29,9	4
0:25:50	72	29,5	3
0:26:00	73	29,8	4
0:26:10	73	30,1	4
0:26:20	73	30,3	4
0:26:30	74	30,5	4
0:26:40	74	30,7	4
0:26:50	74	30,9	4
0:27:00	75	31,1	4
0:27:10	75	31,4	4
0:27:20	75	31,6	4
0:27:30	76	31,8	3
0:27:40	76	32,1	3
0:27:50	76	32,3	3
0:28:00	77	31,8	3
0:28:10	77	32,1	3
0:28:20	77	32,4	4
0:28:30	77	32,6	3
0:28:40	78	32,9	3
0:28:50	78	33,2	4
0:29:00	78	33,5	4
0:29:10	79	33,7	4
0:29:20	79	34,0	3
0:29:30	79	33,3	3
0:29:40	80	33,6	3
0:29:50	80	33,9	3
0:30:00	80	34,2	3
0:30:10	81	34,4	3
0:30:20	81	34,7	3
0:30:30	81	35,2	3
0:30:40	82	34,6	3
0:30:50	82	35,0	3
0:31:00	82	35,3	3
0:31:10	82	35,5	3
0:31:20	83	35,8	3
0:31:30	83	36,1	3
0:31:40	83	36,4	3
0:31:50	84	36,6	3
0:32:00	84	36,9	3
0:32:10	84	36,4	2
0:32:20	85	36,7	2
0:32:30	85	36,9	2
0:32:40	85	37,2	2
0:32:50	86	37,5	2
0:33:00	86	37,8	2
0:33:10	86	38,1	2
0:33:20	87	38,3	2
0:33:30	87	38,6	2
0:33:40	87	37,9	2
0:33:50	88	38,2	2
0:34:00	88	38,4	2
0:34:10	88	38,7	2
0:34:20	88	39,0	2
0:34:30	89	39,3	2
0:34:40	89	39,6	2
0:34:50	89	39,9	2
0:35:00	90	40,1	2
0:35:10	90	40,4	2
0:35:20	90	39,8	2
0:35:30	91	40,1	2
0:35:40	91	40,4	2
0:35:50	91	40,7	2
0:36:00	92	41,0	2
0:36:10	92	41,3	2
0:36:20	92	41,6	2
0:36:30	93	41,9	2
0:36:40	93	42,2	2
0:36:50	93	41,7	2
0:37:00	94	42,0	2
0:37:10	94	42,3	2
0:37:20	94	42,5	2
0:37:30	95	42,9	2
0:37:40	95	43,1	2
0:37:50	95	43,4	2
0:38:00	96	43,7	2
0:38:10	96	43,0	2
0:38:20	96	43,3	2
0:38:30	97	43,6	2
0:38:40	97	43,9	2
0:38:50	97	44,1	2
0:39:00	98	44,4	2
0:39:10	98	44,7	2
0:39:20	98	44,9	2
0:39:30	99	45,2	2
0:39:40	99	45,5	2
0:39:50	99	44,9	2
0:40:00	100	45,2	2
0:40:10	100	45,5	2
0:40:20	100	45,7	2
0:40:30	101	46,0	2
0:40:40	101	45,2	2
0:40:50	101	45,4	2
0:41:00	101	45,5	2
0:41:10	102	45,5	2
0:41:20	102	45,5	2
0:41:30	102	45,6	2
0:41:40	103	45,5	2
0:41:50	103	45,5	2
0:42:00	103	45,4	3
0:42:10	103	45,4	3
0:42:20	103	45,3	3
0:42:30	104	45,2	3
0:42:40	104	45,1	3
0:42:50	104	45,1	3
0:43:00	104	45,0	3
0:43:10	104	44,9	4
0:43:20	104	45,2	4
0:43:30	104	45,1	4
0:43:40	104	45,0	5
0:43:50	104	45,0	5
0:44:00	104	44,9	5
0:44:10	104	45,2	5
0:44:20	104	45,2	6
0:44:30	104	45,1	5
0:44:40	104	45,0	5
0:44:50	104	45,0	5
0:45:00	104	44,9	6
0:45:10	104	45,2	6
0:45:20	104	45,1	5
0:45:30	104	45,1	6
0:45:40	104	45,0	5
0:45:50	104	45,0	5
0:46:00	104	44,9	6
0:46:10	104	45,2	6
0:46:20	104	45,1	5
0:46:30	104	45,1	5
0:46:40	104	45,1	6
0:46:50	104	45,0	6
0:47:00	104	45,0	6
0:47:10	104	45,0	6
0:47:20	104	44,9	6
0:47:30	104	45,2	6
0:47:40	104	45,2	6
