--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	10.06.2014
Test Start Time	10:01:48
Test Stop Date	10.06.2014
Test Stop Time	15:44:48
Test Length	5:43:00
Final Sample Time Offset	5:43:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.5%TDF-3+0.8%CFR-10+0.3%LTR (bwoc)
Information	Density	1920
Information	BHCT	70
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	Time_30Bc	3:41:50
Calculated Value	Time_70Bc	5:34:30
Calculated Value	Time_100Bc	5:43:00
Initial Temperature (°C)	25 °C
Final Temperature (°C)	70 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	40,1 MPa
Initial Consistency (Bc)	3 Bc
Final Consistency (Bc)	104 Bc
Initial Wall Temperature (°C)	24 °C
Final Wall Temperature (°C)	69 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	25	0,8	3	24	150
0:00:10	25	0,9	2	23	150
0:00:20	25	1,1	2	24	150
0:00:30	25	1,3	2	24	150
0:00:40	25	1,4	2	24	150
0:00:50	25	1,7	2	24	150
0:01:00	25	1,8	3	24	150
0:01:10	25	1,9	2	25	150
0:01:20	25	2,3	2	25	150
0:01:30	25	2,4	2	25	150
0:01:40	25	2,6	2	25	150
0:01:50	25	2,8	2	26	150
0:02:00	25	3,0	2	27	150
0:02:10	25	3,3	2	29	150
0:02:20	25	3,5	2	30	150
0:02:30	25	3,8	2	30	150
0:02:40	25	4,1	2	31	150
0:02:50	26	4,4	2	32	150
0:03:00	26	4,7	2	32	150
0:03:10	26	4,9	2	33	150
0:03:20	26	5,0	2	33	150
0:03:30	26	5,2	2	34	150
0:03:40	26	5,4	3	35	150
0:03:50	26	5,5	3	35	150
0:04:00	27	5,7	3	35	150
0:04:10	27	5,8	3	35	150
0:04:20	27	6,0	3	36	150
0:04:30	27	6,2	5	36	150
0:04:40	27	6,3	6	36	150
0:04:50	28	6,4	6	36	150
0:05:00	28	6,6	6	36	150
0:05:10	28	6,7	7	36	150
0:05:20	28	6,7	6	36	150
0:05:30	29	6,8	7	36	150
0:05:40	29	6,9	7	36	150
0:05:50	29	6,9	6	36	150
0:06:00	29	7,0	4	36	150
