--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	23.06.2014
Test Start Time	11:14:24
Test Stop Date	23.06.2014
Test Stop Time	16:26:11
Test Length	5:11:47
Final Sample Time Offset	5:11:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	75%G+25%SFA-2 (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.8%Diacel FL+0.8%CFR-10+0.3%TC-101+0.3%CRS300D (bwoc)
Information	Density	1920
Information	BHCT	95
Information	BHST	124
Information	FluidLoss	70cc/30min
Information	JobType	Research
Calculated Value	Time_30Bc	0:01:20
Calculated Value	Time_70Bc	N/A
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	95 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	50,6 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	14 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,7	15
0:00:10	27	0,9	15
0:00:20	27	1,1	15
0:00:30	27	1,2	15
0:00:40	27	1,6	15
0:00:50	27	1,9	17
0:01:00	27	2,1	28
0:01:10	27	2,4	44
0:01:20	27	2,8	40
0:01:30	27	3,2	32
0:01:40	27	3,3	35
0:01:50	27	3,5	34
0:02:00	27	3,6	38
0:02:10	27	3,8	31
0:02:20	27	4,0	35
0:02:30	27	4,1	43
0:02:40	28	4,2	37
0:02:50	28	4,4	40
0:03:00	28	4,7	34
0:03:10	28	4,8	37
0:03:20	28	4,9	33
0:03:30	29	5,0	45
0:03:40	29	5,2	39
0:03:50	29	5,3	33
0:04:00	29	5,5	33
0:04:10	30	5,8	29
0:04:20	30	5,8	35
0:04:30	30	6,1	33
0:04:40	31	6,1	33
0:04:50	31	6,4	31
0:05:00	31	6,5	36
0:05:10	31	6,7	33
0:05:20	32	7,0	42
0:05:30	32	7,1	34
0:05:40	32	7,2	31
0:05:50	33	7,4	30
0:06:00	33	7,6	29
0:06:10	33	7,6	35
0:06:20	33	7,8	32
0:06:30	34	8,0	36
0:06:40	34	8,2	36
0:06:50	34	8,2	31
0:07:00	34	8,5	32
0:07:10	35	8,5	32
0:07:20	35	8,7	29
0:07:30	35	9,0	32
0:07:40	36	9,2	33
0:07:50	36	9,4	27
0:08:00	36	9,4	30
0:08:10	37	9,6	25
0:08:20	37	9,8	32
0:08:30	37	10,0	33
0:08:40	37	10,1	28
0:08:50	38	10,3	38
0:09:00	38	10,5	28
0:09:10	38	10,7	33
0:09:20	38	10,9	30
0:09:30	39	11,0	31
0:09:40	39	11,2	29
0:09:50	39	11,1	37
0:10:00	40	11,3	35
0:10:10	40	11,5	27
0:10:20	40	11,7	33
0:10:30	40	11,9	33
0:10:40	41	12,1	30
0:10:50	41	12,2	34
0:11:00	41	12,4	33
0:11:10	41	12,6	30
0:11:20	42	12,8	25
0:11:30	42	12,9	32
0:11:40	42	13,1	24
0:11:50	42	13,3	31
0:12:00	43	13,4	31
0:12:10	43	13,6	34
0:12:20	43	13,8	30
0:12:30	43	14,0	29
0:12:40	44	14,2	26
0:12:50	44	14,3	27
0:13:00	44	14,5	33
0:13:10	44	14,3	25
0:13:20	45	14,5	39
0:13:30	45	14,7	27
0:13:40	45	14,8	39
0:13:50	45	15,0	36
0:14:00	46	15,2	27
0:14:10	46	15,4	29
0:14:20	46	15,7	27
0:14:30	46	15,8	32
0:14:40	47	16,1	40
0:14:50	47	16,3	28
0:15:00	47	16,5	27
0:15:10	47	16,5	28
0:15:20	47	16,7	30
0:15:30	48	16,8	30
0:15:40	48	17,0	33
0:15:50	48	17,2	31
0:16:00	48	17,4	28
0:16:10	49	17,6	31
0:16:20	49	17,8	25
0:16:30	49	17,5	25
0:16:40	49	17,7	28
0:16:50	49	18,0	28
0:17:00	50	18,2	29
0:17:10	50	18,3	28
0:17:20	50	18,6	27
0:17:30	51	18,9	30
0:17:40	51	18,7	26
0:17:50	51	19,0	26
0:18:00	51	19,2	25
0:18:10	51	19,3	24
0:18:20	52	19,5	28
0:18:30	52	19,6	24
0:18:40	52	19,7	25
0:18:50	53	19,9	30
0:19:00	53	20,1	37
0:19:10	53	20,2	28
0:19:20	53	20,4	27
0:19:30	53	20,5	24
0:19:40	54	20,7	25
0:19:50	54	20,9	27
0:20:00	54	21,1	28
0:20:10	54	21,3	33
0:20:20	54	21,5	26
0:20:30	55	21,7	27
0:20:40	55	21,9	28
0:20:50	55	22,1	37
0:21:00	55	22,3	25
0:21:10	56	22,5	27
0:21:20	56	22,7	28
0:21:30	56	22,9	28
0:21:40	56	22,6	28
0:21:50	56	22,8	28
0:22:00	57	23,0	29
0:22:10	57	23,2	30
0:22:20	57	23,4	26
0:22:30	57	23,6	28
0:22:40	58	23,8	34
0:22:50	58	23,9	23
0:23:00	58	24,2	23
0:23:10	58	24,3	27
0:23:20	59	24,5	25
0:23:30	59	24,7	29
0:23:40	59	24,9	23
0:23:50	59	25,1	24
0:24:00	59	25,4	23
0:24:10	60	25,0	23
0:24:20	60	25,2	22
0:24:30	60	25,4	23
0:24:40	60	25,6	23
0:24:50	61	25,8	29
0:25:00	61	26,0	24
0:25:10	61	26,2	22
0:25:20	61	26,4	25
0:25:30	61	26,6	22
0:25:40	62	26,8	20
0:25:50	62	26,9	20
0:26:00	62	27,2	22
0:26:10	62	27,5	28
0:26:20	63	26,9	25
0:26:30	63	27,1	28
0:26:40	63	27,4	26
0:26:50	63	27,6	21
0:27:00	64	27,7	20
0:27:10	64	27,8	22
0:27:20	64	28,0	23
0:27:30	64	28,2	25
0:27:40	65	28,4	22
0:27:50	65	28,6	25
0:28:00	65	28,8	22
0:28:10	65	29,0	20
0:28:20	65	29,2	21
0:28:30	66	29,4	23
0:28:40	66	29,6	26
0:28:50	66	29,8	24
0:29:00	66	29,9	26
0:29:10	67	30,1	24
0:29:20	67	30,3	22
0:29:30	67	30,5	19
0:29:40	67	30,8	20
0:29:50	68	31,1	20
0:30:00	68	31,2	20
0:30:10	68	31,4	21
0:30:20	68	31,6	21
0:30:30	68	31,7	20
0:30:40	69	31,9	20
0:30:50	69	32,1	20
0:31:00	69	31,4	20
0:31:10	69	31,6	20
0:31:20	70	31,8	20
0:31:30	70	32,0	20
0:31:40	70	32,3	20
0:31:50	70	32,6	20
0:32:00	70	32,8	20
0:32:10	71	33,0	20
0:32:20	71	33,2	20
0:32:30	71	33,3	20
0:32:40	71	33,6	20
0:32:50	72	33,9	20
0:33:00	72	34,0	20
0:33:10	72	34,2	20
0:33:20	72	34,4	20
0:33:30	73	34,7	20
0:33:40	73	33,9	21
0:33:50	73	34,2	21
0:34:00	73	34,4	21
0:34:10	73	34,5	21
0:34:20	74	34,6	21
0:34:30	74	34,8	23
0:34:40	74	34,9	23
0:34:50	74	35,1	23
0:35:00	75	35,3	23
0:35:10	75	35,5	24
0:35:20	75	35,7	24
0:35:30	75	35,9	23
0:35:40	75	36,1	24
0:35:50	76	36,2	23
0:36:00	76	36,4	23
