--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	30.06.2014
Test Start Time	10:40:27
Test Stop Date	30.06.2014
Test Stop Time	16:21:17
Test Length	5:40:50
Final Sample Time Offset	5:40:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 80C (40min); P: 30MPa (40min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0,6%180GR+0,4%CFR-12 (bwoc)
Information	Density	1900
Information	BHCT	80
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	5:07:00
Calculated Value	Time_70Bc	5:40:50
Initial Temperature (°C)	25 °C
Final Temperature (°C)	80 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	30,2 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,6	16
0:00:10	25	0,6	11
0:00:20	25	0,9	11
0:00:30	24	0,9	11
0:00:40	24	1,1	12
0:00:50	24	1,2	12
0:01:00	24	1,4	12
0:01:10	24	1,5	13
0:01:20	24	1,7	13
0:01:30	24	1,9	13
0:01:40	24	2,2	13
0:01:50	24	2,5	15
0:02:00	25	2,8	16
0:02:10	25	3,1	17
0:02:20	25	3,2	17
0:02:30	25	3,4	17
0:02:40	25	3,5	17
0:02:50	25	3,5	18
0:03:00	25	3,7	18
0:03:10	26	3,9	18
0:03:20	26	3,9	18
0:03:30	26	4,0	17
0:03:40	26	4,1	18
0:03:50	26	4,3	18
0:04:00	27	4,4	17
0:04:10	27	4,5	18
0:04:20	27	4,6	19
0:04:30	27	4,8	18
0:04:40	28	4,9	18
0:04:50	28	5,0	18
0:05:00	28	5,2	18
0:05:10	28	5,3	19
0:05:20	29	5,4	19
0:05:30	29	5,5	20
0:05:40	29	5,5	19
0:05:50	30	5,8	19
0:06:00	30	5,8	18
0:06:10	30	6,1	18
0:06:20	30	6,1	18
0:06:30	31	6,3	18
0:06:40	31	6,3	18
0:06:50	31	6,6	19
0:07:00	32	6,6	17
0:07:10	32	6,6	18
0:07:20	32	6,8	19
0:07:30	33	7,0	19
0:07:40	33	7,1	15
0:07:50	33	7,3	15
0:08:00	33	7,3	14
0:08:10	34	7,5	14
0:08:20	34	7,5	14
0:08:30	34	7,7	15
0:08:40	34	7,9	14
0:08:50	35	7,9	13
0:09:00	35	7,9	14
0:09:10	35	8,1	13
0:09:20	36	8,3	12
0:09:30	36	8,5	12
0:09:40	36	8,5	12
0:09:50	36	8,7	12
0:10:00	37	8,7	12
0:10:10	37	8,8	12
0:10:20	37	9,0	12
0:10:30	37	9,2	11
0:10:40	38	9,2	12
0:10:50	38	9,3	12
0:11:00	38	9,6	12
0:11:10	38	9,6	11
0:11:20	39	9,6	11
0:11:30	39	9,9	14
0:11:40	39	10,1	12
0:11:50	40	10,0	11
0:12:00	40	10,2	11
0:12:10	40	10,3	11
0:12:20	40	10,5	10
0:12:30	41	10,8	10
0:12:40	41	10,6	10
0:12:50	41	10,8	10
0:13:00	41	10,9	9
0:13:10	42	11,1	9
0:13:20	42	11,3	9
0:13:30	42	11,2	9
0:13:40	42	11,4	9
0:13:50	43	11,6	8
0:14:00	43	11,8	9
0:14:10	43	11,7	8
0:14:20	43	11,9	8
0:14:30	44	12,1	8
0:14:40	44	12,1	8
0:14:50	44	12,3	8
0:15:00	44	12,5	8
0:15:10	45	12,4	20
0:15:20	45	12,6	13
0:15:30	45	12,8	12
0:15:40	45	13,0	10
0:15:50	46	12,9	10
0:16:00	46	13,1	10
0:16:10	46	13,3	10
0:16:20	46	13,2	9
0:16:30	47	13,5	9
0:16:40	47	13,6	9
0:16:50	47	13,9	9
0:17:00	47	13,7	9
0:17:10	48	14,0	9
0:17:20	48	14,2	9
0:17:30	48	14,4	8
0:17:40	48	14,2	8
0:17:50	48	14,5	7
0:18:00	49	14,6	10
0:18:10	49	14,8	8
0:18:20	49	14,7	7
0:18:30	49	14,9	7
0:18:40	50	15,1	7
0:18:50	50	15,3	7
0:19:00	50	15,2	6
0:19:10	51	15,5	6
0:19:20	51	15,7	6
0:19:30	51	15,6	5
0:19:40	51	15,8	6
0:19:50	51	16,0	6
0:20:00	52	16,2	6
0:20:10	52	16,0	5
0:20:20	52	16,2	5
0:20:30	52	16,4	5
0:20:40	53	16,6	5
0:20:50	53	16,8	5
0:21:00	53	16,6	5
0:21:10	53	16,8	5
0:21:20	54	17,0	5
0:21:30	54	17,2	4
0:21:40	54	17,4	5
0:21:50	54	17,6	5
0:22:00	54	17,4	4
0:22:10	55	17,6	4
0:22:20	55	17,9	5
0:22:30	55	17,6	4
0:22:40	55	17,9	4
0:22:50	56	18,1	8
0:23:00	56	18,4	7
0:23:10	56	18,1	7
0:23:20	56	18,3	7
0:23:30	57	18,5	6
0:23:40	57	18,7	6
0:23:50	57	18,9	6
0:24:00	57	19,1	6
0:24:10	58	18,8	6
0:24:20	58	19,0	6
0:24:30	58	19,2	5
0:24:40	58	19,4	5
0:24:50	58	19,6	5
0:25:00	59	19,8	5
0:25:10	59	20,0	4
0:25:20	59	19,7	4
0:25:30	59	20,0	4
0:25:40	60	20,2	4
0:25:50	60	20,5	4
0:26:00	60	20,1	4
0:26:10	60	20,4	4
0:26:20	61	20,6	4
0:26:30	61	20,8	4
0:26:40	61	21,0	4
0:26:50	61	21,2	4
0:27:00	61	21,0	4
0:27:10	62	21,2	4
0:27:20	62	21,4	4
0:27:30	62	21,6	4
0:27:40	62	21,9	4
0:27:50	63	21,4	4
0:28:00	63	21,6	4
0:28:10	63	21,8	4
0:28:20	63	22,1	3
0:28:30	64	22,3	3
0:28:40	64	22,5	3
0:28:50	64	22,1	3
0:29:00	64	22,3	3
0:29:10	64	22,5	3
0:29:20	65	22,7	3
0:29:30	65	22,9	3
0:29:40	65	23,1	3
0:29:50	65	23,3	3
0:30:00	66	23,5	3
0:30:10	66	23,6	3
0:30:20	66	23,2	3
0:30:30	66	23,5	3
0:30:40	67	23,7	3
0:30:50	67	23,9	3
0:31:00	67	24,1	3
0:31:10	67	24,4	3
0:31:20	68	24,1	3
0:31:30	68	24,3	3
0:31:40	68	24,5	3
0:31:50	68	24,6	3
0:32:00	69	24,9	3
0:32:10	69	25,0	3
0:32:20	69	24,5	3
0:32:30	69	24,7	3
0:32:40	69	24,9	3
0:32:50	70	25,1	3
0:33:00	70	25,4	3
0:33:10	70	25,6	3
0:33:20	70	25,8	3
0:33:30	71	26,0	3
0:33:40	71	26,2	3
0:33:50	71	25,8	3
0:34:00	71	26,0	3
0:34:10	72	26,2	3
0:34:20	72	26,4	3
0:34:30	72	26,6	3
0:34:40	72	26,9	3
0:34:50	73	27,1	3
0:35:00	73	26,4	3
0:35:10	73	26,6	3
0:35:20	73	26,9	3
0:35:30	73	27,1	3
0:35:40	74	27,3	3
0:35:50	74	27,5	3
0:36:00	74	27,7	3
0:36:10	74	27,9	3
0:36:20	75	28,1	3
0:36:30	75	28,3	3
0:36:40	75	27,8	3
0:36:50	75	28,0	3
0:37:00	76	28,2	3
0:37:10	76	28,4	3
0:37:20	76	28,6	3
0:37:30	76	28,8	3
0:37:40	76	29,0	3
0:37:50	77	29,2	3
0:38:00	77	28,8	3
0:38:10	77	29,0	3
0:38:20	77	29,2	3
0:38:30	78	29,4	3
0:38:40	78	29,6	3
0:38:50	78	29,9	3
0:39:00	78	30,1	3
0:39:10	79	30,2	3
0:39:20	79	29,8	3
0:39:30	79	30,0	3
0:39:40	79	30,2	3
0:39:50	79	30,5	3
0:40:00	80	30,7	3
0:40:10	80	30,9	3
0:40:20	80	30,3	3
0:40:30	80	30,4	3
0:40:40	81	30,6	3
0:40:50	81	30,7	3
0:41:00	81	30,8	3
0:41:10	81	30,8	3
0:41:20	81	30,8	3
0:41:30	82	30,8	3
0:41:40	82	30,7	3
0:41:50	82	30,7	3
0:42:00	82	30,7	3
0:42:10	82	30,6	3
0:42:20	82	30,5	3
0:42:30	83	30,4	3
0:42:40	83	30,4	3
0:42:50	83	30,3	3
0:43:00	83	30,3	3
0:43:10	83	30,2	3
0:43:20	83	30,1	3
0:43:30	83	30,1	3
0:43:40	83	30,0	3
0:43:50	83	29,9	3
0:44:00	83	29,9	3
0:44:10	83	30,0	3
0:44:20	83	30,0	3
0:44:30	83	30,1	3
0:44:40	83	30,0	3
0:44:50	83	30,0	3
0:45:00	83	29,9	3
0:45:10	83	29,9	2
0:45:20	83	29,9	2
0:45:30	83	29,9	2
0:45:40	83	30,0	2
