--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	07.07.2014
Test Start Time	14:15:14
Test Stop Date	07.07.2014
Test Stop Time	16:53:11
Test Length	2:37:57
Final Sample Time Offset	2:37:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	DST
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	75%G+25%SFA-2 (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%Diacel FL+1.2%CFR-10+0.2%TA-2 (bwoc)
Information	Density	1920
Information	BHCT	95
Information	BHST	124
Information	FluidLoss	62cc/30min
Information	JobType	DST
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	ERROR
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	ERROR
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	ERROR
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	ERROR
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	27	0,8	12	23	150
0:00:10	27	0,9	12	23	150
0:00:20	27	1,0	12	24	150
0:00:30	27	1,3	12	24	150
0:00:40	26	1,4	12	25	150
0:00:50	26	1,7	13	25	150
0:01:00	26	1,9	13	26	150
0:01:10	26	2,0	13	27	150
0:01:20	26	2,2	13	28	150
0:01:30	26	2,5	13	29	150
0:01:40	26	2,7	13	30	150
0:01:50	27	3,0	13	32	150
0:02:00	27	3,3	13	33	150
0:02:10	27	3,6	13	32	150
0:02:20	27	3,8	13	33	150
0:02:30	27	4,1	14	33	150
0:02:40	27	4,4	14	34	150
0:02:50	27	4,6	14	34	150
0:03:00	28	4,7	13	35	150
0:03:10	28	4,9	13	35	150
0:03:20	28	5,0	13	35	150
0:03:30	28	5,2	13	35	150
0:03:40	28	5,3	13	36	150
0:03:50	29	5,5	14	36	150
0:04:00	29	5,7	14	36	150
0:04:10	29	5,9	14	37	150
0:04:20	29	6,0	14	37	150
0:04:30	30	6,2	13	37	150
0:04:40	30	6,3	13	38	150
0:04:50	30	6,5	13	38	150
0:05:00	30	6,6	13	38	150
0:05:10	31	6,8	13	39	150
0:05:20	31	7,0	13	39	150
0:05:30	31	7,1	12	39	150
0:05:40	31	7,3	12	40	150
0:05:50	32	7,5	12	40	150
0:06:00	32	7,6	12	40	150
0:06:10	32	7,8	12	41	150
0:06:20	32	8,0	12	41	150
0:06:30	33	8,1	12	41	150
0:06:40	33	8,3	12	41	150
0:06:50	33	8,5	12	41	150
0:07:00	33	8,7	12	42	150
0:07:10	34	8,8	12	42	150
0:07:20	34	8,9	11	42	150
0:07:30	34	9,1	11	43	150
0:07:40	34	9,2	11	43	150
0:07:50	35	9,4	11	43	150
0:08:00	35	9,6	11	44	150
0:08:10	35	9,8	11	44	150
0:08:20	35	9,9	11	44	150
0:08:30	36	10,0	11	44	150
0:08:40	36	10,2	11	45	150
0:08:50	36	10,4	10	45	150
0:09:00	36	10,6	10	46	150
0:09:10	37	10,8	10	46	150
0:09:20	37	10,9	10	46	150
0:09:30	37	11,1	10	46	150
0:09:40	37	11,3	10	46	150
0:09:50	38	11,4	10	46	150
0:10:00	38	11,6	10	47	150
0:10:10	38	11,7	10	48	150
0:10:20	38	11,8	10	48	150
0:10:30	39	12,0	10	48	150
0:10:40	39	12,2	9	48	150
0:10:50	39	12,3	9	48	150
0:11:00	39	12,4	9	48	150
0:11:10	40	12,6	9	48	150
0:11:20	40	12,8	9	49	150
0:11:30	40	13,0	8	49	150
0:11:40	40	13,2	8	49	150
0:11:50	41	13,4	8	50	150
0:12:00	41	13,5	8	50	150
0:12:10	41	13,7	8	50	150
0:12:20	41	13,8	8	50	150
0:12:30	42	14,0	8	50	150
0:12:40	42	14,2	8	51	150
0:12:50	42	14,3	8	51	150
0:13:00	42	14,5	8	51	150
0:13:10	43	14,6	8	51	150
0:13:20	43	14,8	8	51	150
0:13:30	43	15,0	8	52	150
0:13:40	43	15,1	7	52	150
0:13:50	44	15,3	7	52	150
0:14:00	44	15,5	7	52	150
0:14:10	44	15,6	7	53	150
0:14:20	44	15,8	7	52	150
0:14:30	45	15,9	7	53	150
0:14:40	45	16,1	7	53	150
0:14:50	45	16,3	7	53	150
0:15:00	45	16,5	7	54	150
0:15:10	45	16,6	7	54	150
0:15:20	46	16,8	7	54	150
0:15:30	46	17,0	7	55	150
0:15:40	46	17,2	7	55	150
0:15:50	46	17,4	7	55	150
0:16:00	47	17,3	7	55	150
0:16:10	47	17,5	7	55	150
0:16:20	47	17,7	7	55	150
0:16:30	47	17,9	7	56	150
0:16:40	47	18,1	7	56	150
0:16:50	48	18,3	7	57	150
0:17:00	48	18,4	7	57	150
0:17:10	48	18,6	7	57	150
0:17:20	48	18,7	7	57	150
0:17:30	49	18,9	7	57	150
0:17:40	49	19,0	7	57	150
0:17:50	49	19,2	7	58	150
0:18:00	49	19,4	7	58	150
0:18:10	50	19,6	7	58	150
0:18:20	50	19,8	7	58	150
0:18:30	50	19,9	7	58	150
0:18:40	50	20,1	7	59	150
0:18:50	50	20,1	7	59	150
0:19:00	51	20,3	7	59	150
0:19:10	51	20,5	7	60	150
0:19:20	51	20,7	7	60	150
0:19:30	51	20,9	7	60	150
0:19:40	52	21,1	7	60	150
0:19:50	52	21,2	7	61	150
0:20:00	52	21,4	7	61	150
0:20:10	52	21,6	7	61	150
0:20:20	53	21,8	7	61	150
0:20:30	53	21,9	7	62	150
0:20:40	53	22,1	7	62	150
0:20:50	53	22,3	7	62	150
0:21:00	53	22,4	7	62	150
0:21:10	54	22,6	7	62	150
0:21:20	54	22,6	7	62	150
0:21:30	54	22,8	7	63	150
0:21:40	54	23,0	7	63	150
0:21:50	55	23,2	7	63	150
0:22:00	55	23,4	7	63	150
0:22:10	55	23,3	7	64	150
0:22:20	55	23,5	7	64	150
0:22:30	56	23,7	7	64	150
0:22:40	56	23,8	7	64	150
0:22:50	56	24,0	7	64	150
0:23:00	56	24,2	7	65	150
0:23:10	56	24,3	7	65	150
0:23:20	57	24,5	7	65	150
0:23:30	57	24,7	7	65	150
0:23:40	57	24,9	7	66	150
0:23:50	57	25,1	7	66	150
0:24:00	58	25,3	7	66	150
0:24:10	58	25,5	7	67	150
0:24:20	58	25,6	7	67	150
0:24:30	58	25,8	7	67	150
