--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	11.07.2014
Test Start Time	9:07:09
Test Stop Date	11.07.2014
Test Stop Time	15:48:45
Test Length	6:41:36
Final Sample Time Offset	6:41:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	Trican
Information	EngName	Konstantin Shut
Information	CementClass	100%G
Information	CementMfr	
Information	Additives	0.7%TDF-3+1%TA-1
Information	Density	1920
Information	BHCT	25
Information	BHST	12
Information	FluidLoss	34
Information	JobType	
Calculated Value	Time_30Bc	5:11:10
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	23 °C
Initial Pressure (MPa)	1,0 MPa
Final Pressure (MPa)	17,8 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	-0 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,0	7
0:00:10	26	1,2	7
0:00:20	26	1,2	6
0:00:30	26	1,4	7
0:00:40	26	1,5	7
0:00:50	26	1,6	7
0:01:00	26	1,9	7
0:01:10	26	1,9	7
0:01:20	26	2,0	7
0:01:30	26	2,2	7
0:01:40	26	2,4	7
0:01:50	25	2,7	2
0:02:00	25	2,7	7
0:02:10	25	3,1	-0
0:02:20	25	3,0	7
0:02:30	25	3,0	7
0:02:40	25	3,1	7
0:02:50	25	3,4	7
0:03:00	25	3,4	7
0:03:10	25	3,5	7
0:03:20	25	3,9	7
0:03:30	25	3,8	7
0:03:40	25	4,2	7
0:03:50	25	4,2	7
0:04:00	25	4,1	7
0:04:10	25	4,6	7
0:04:20	25	4,5	7
0:04:30	25	4,8	7
0:04:40	25	4,8	7
0:04:50	25	4,8	7
0:05:00	25	5,1	7
0:05:10	25	5,2	7
0:05:20	25	5,5	7
0:05:30	25	5,4	7
0:05:40	24	5,6	7
0:05:50	24	5,9	8
0:06:00	24	5,9	7
0:06:10	24	6,0	7
0:06:20	24	6,3	7
0:06:30	24	6,2	7
0:06:40	24	6,7	8
0:06:50	24	6,6	8
0:07:00	24	6,6	7
0:07:10	24	6,7	7
0:07:20	24	7,1	8
0:07:30	24	7,0	8
0:07:40	24	7,2	8
0:07:50	24	7,4	8
0:08:00	24	7,5	10
0:08:10	24	7,9	8
0:08:20	24	7,8	8
0:08:30	24	8,0	9
0:08:40	24	7,9	7
0:08:50	24	8,2	8
0:09:00	24	8,4	8
0:09:10	24	8,3	8
0:09:20	24	8,6	9
0:09:30	24	8,6	8
0:09:40	24	8,8	9
0:09:50	24	9,1	8
0:10:00	24	9,0	6
0:10:10	24	9,2	10
0:10:20	24	9,5	10
0:10:30	24	9,4	9
0:10:40	23	9,6	8
0:10:50	23	9,9	9
0:11:00	23	9,9	9
0:11:10	23	10,0	8
0:11:20	23	10,3	9
0:11:30	23	10,3	9
0:11:40	23	10,4	9
0:11:50	23	10,9	10
0:12:00	23	10,8	10
0:12:10	23	10,8	11
0:12:20	23	11,1	-0
0:12:30	23	11,3	-0
0:12:40	23	11,3	-0
0:12:50	23	11,5	-0
0:13:00	23	11,5	-0
0:13:10	23	12,0	-0
0:13:20	23	11,9	-0
0:13:30	23	11,8	-0
0:13:40	23	12,3	-0
0:13:50	23	12,3	-0
0:14:00	23	12,3	-0
0:14:10	23	12,6	-0
0:14:20	23	12,5	-0
0:14:30	23	12,8	-0
0:14:40	23	12,8	-0
0:14:50	23	13,0	-0
0:15:00	23	13,1	8
0:15:10	23	13,3	9
0:15:20	23	13,4	9
0:15:30	23	13,6	9
0:15:40	23	13,8	10
0:15:50	23	14,1	10
0:16:00	23	14,0	10
0:16:10	23	14,1	16
0:16:20	23	14,4	12
0:16:30	23	14,4	10
0:16:40	23	14,7	10
0:16:50	23	14,6	10
0:17:00	23	14,9	10
0:17:10	23	14,9	10
0:17:20	22	15,0	10
0:17:30	22	15,2	11
0:17:40	22	15,3	12
0:17:50	22	15,4	12
0:18:00	22	15,7	12
0:18:10	22	15,6	13
0:18:20	22	15,9	12
0:18:30	22	16,0	12
0:18:40	22	16,1	14
0:18:50	22	16,3	13
0:19:00	22	16,3	12
0:19:10	22	16,5	12
0:19:20	22	16,7	12
0:19:30	22	16,9	11
0:19:40	22	16,9	11
0:19:50	22	17,0	11
0:20:00	22	17,3	11
0:20:10	22	17,4	11
0:20:20	22	17,4	11
0:20:30	22	17,7	12
0:20:40	22	17,7	12
0:20:50	22	17,9	11
0:21:00	22	18,1	11
0:21:10	22	18,3	11
0:21:20	22	18,2	11
0:21:30	22	18,3	11
0:21:40	22	18,6	11
0:21:50	22	18,7	11
0:22:00	22	19,0	14
0:22:10	22	18,9	13
0:22:20	22	19,0	13
0:22:30	22	19,3	12
0:22:40	22	19,3	12
0:22:50	22	19,5	12
0:23:00	22	19,6	12
0:23:10	22	19,7	12
0:23:20	22	19,8	13
0:23:30	22	20,0	12
0:23:40	22	20,3	12
0:23:50	22	20,3	12
0:24:00	22	20,4	12
0:24:10	22	20,7	12
0:24:20	22	20,6	12
0:24:30	22	20,9	12
0:24:40	22	21,0	12
0:24:50	22	21,2	12
0:25:00	22	21,2	13
0:25:10	22	21,4	13
0:25:20	22	21,5	12
0:25:30	22	21,7	12
0:25:40	22	21,9	13
0:25:50	22	21,9	13
0:26:00	22	22,0	12
0:26:10	22	22,2	12
0:26:20	22	22,3	12
0:26:30	21	22,4	12
0:26:40	21	22,7	12
0:26:50	21	22,8	12
0:27:00	21	22,8	12
0:27:10	21	22,9	12
0:27:20	21	23,1	12
0:27:30	21	23,3	12
0:27:40	21	23,4	12
0:27:50	21	23,6	12
0:28:00	21	23,7	12
0:28:10	21	23,9	12
0:28:20	21	23,9	12
0:28:30	21	24,0	12
0:28:40	21	24,2	12
0:28:50	21	24,7	12
0:29:00	21	24,6	12
0:29:10	21	24,6	12
0:29:20	21	25,1	12
0:29:30	21	25,0	12
0:29:40	21	25,0	12
0:29:50	21	25,0	12
0:30:00	21	24,9	12
0:30:10	21	24,9	12
0:30:20	21	24,9	12
0:30:30	21	24,9	12
0:30:40	21	25,1	12
0:30:50	21	25,1	12
0:31:00	21	25,1	12
0:31:10	21	25,0	12
0:31:20	21	25,0	14
0:31:30	21	25,0	14
0:31:40	21	25,0	13
0:31:50	21	25,0	13
0:32:00	21	24,9	13
0:32:10	21	24,9	13
0:32:20	21	24,9	13
0:32:30	21	24,9	13
0:32:40	21	25,0	13
0:32:50	21	25,0	13
0:33:00	21	24,9	13
0:33:10	21	24,9	13
0:33:20	21	24,9	13
0:33:30	21	24,9	13
0:33:40	21	25,1	13
0:33:50	21	25,1	13
0:34:00	21	25,0	13
0:34:10	21	25,0	13
0:34:20	21	25,0	13
0:34:30	21	25,0	13
0:34:40	21	25,0	13
0:34:50	21	25,0	13
0:35:00	21	24,9	13
0:35:10	21	24,9	13
0:35:20	21	24,9	13
0:35:30	21	24,9	13
