--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	11.07.2014
Test Start Time	11:39:50
Test Stop Date	11.07.2014
Test Stop Time	16:24:46
Test Length	4:44:56
Final Sample Time Offset	4:44:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 25C; P: 25MPa (30min); tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	25%Silica Fume+3%KCL+1,5%CFL-2 (bwoc)
Information	Density	1500
Information	BHCT	25
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	22 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	25,9 MPa
Initial Consistency (Bc)	0 Bc
Final Consistency (Bc)	9 Bc
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	22 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	24	0,5	0	23	150
0:00:10	24	0,6	0	23	150
0:00:20	24	0,8	0	23	150
0:00:30	24	0,8	0	23	150
0:00:40	24	1,0	0	23	150
0:00:50	24	1,2	0	23	150
0:01:00	24	1,2	0	23	150
0:01:10	24	1,4	0	23	150
0:01:20	24	1,5	0	23	150
0:01:30	24	1,7	0	23	150
0:01:40	24	1,7	0	23	150
0:01:50	24	2,0	0	23	150
0:02:00	24	2,0	0	23	150
0:02:10	24	2,4	0	23	150
0:02:20	24	2,3	0	23	150
0:02:30	24	2,4	0	23	150
0:02:40	24	2,7	0	23	150
0:02:50	24	2,7	0	23	150
0:03:00	24	2,9	0	23	150
0:03:10	24	3,1	0	23	150
0:03:20	24	3,2	0	23	150
0:03:30	24	3,4	1	23	150
0:03:40	24	3,4	1	23	150
0:03:50	24	3,9	1	23	150
0:04:00	24	3,9	1	23	150
0:04:10	24	3,9	1	23	150
0:04:20	24	3,9	1	23	150
0:04:30	24	4,2	1	23	150
0:04:40	24	4,5	1	23	150
0:04:50	24	4,6	1	23	150
0:05:00	24	4,5	1	23	150
0:05:10	24	4,7	1	23	150
0:05:20	24	5,0	1	23	150
0:05:30	24	5,0	1	23	150
0:05:40	24	5,1	1	23	150
0:05:50	24	5,4	1	23	150
