--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	15.07.2014
Test Start Time	9:39:03
Test Stop Date	15.07.2014
Test Stop Time	14:47:54
Test Length	5:08:51
Final Sample Time Offset	5:08:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 23C; P: 25MPa (30min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1,5%CaCl2+0,7%TDF-3 (bwoc)
Information	Density	1920
Information	BHCT	
Information	BHST	
Information	FluidLoss	325cc/30min
Information	JobType	
Calculated Value	Time_30Bc	0:27:00
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	23 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	24,9 MPa
Initial Consistency (Bc)	18 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	0,6	18
0:00:10	29	0,7	16
0:00:20	29	0,9	17
0:00:30	29	0,9	17
0:00:40	29	1,1	18
0:00:50	29	1,4	17
0:01:00	29	1,4	17
0:01:10	29	1,6	18
0:01:20	29	1,7	17
0:01:30	29	2,3	18
0:01:40	29	2,2	18
0:01:50	29	2,2	18
0:02:00	30	2,2	18
0:02:10	30	2,5	18
0:02:20	30	2,5	18
0:02:30	30	2,9	18
0:02:40	30	2,9	17
0:02:50	30	2,8	18
0:03:00	30	3,6	18
0:03:10	30	3,5	18
0:03:20	30	3,5	19
0:03:30	30	3,5	18
0:03:40	30	3,5	19
0:03:50	30	3,8	19
0:04:00	30	3,7	19
0:04:10	30	4,0	20
0:04:20	30	4,3	19
0:04:30	30	4,2	20
0:04:40	30	4,5	21
0:04:50	30	4,5	21
0:05:00	30	4,8	22
0:05:10	30	4,8	22
0:05:20	30	5,0	23
0:05:30	30	5,0	23
0:05:40	30	5,3	23
0:05:50	30	5,3	23
0:06:00	30	5,5	23
0:06:10	30	5,5	23
0:06:20	30	5,8	24
0:06:30	30	5,8	23
0:06:40	30	5,9	23
0:06:50	30	6,2	23
0:07:00	30	6,2	23
0:07:10	30	6,4	24
0:07:20	30	6,7	24
0:07:30	30	6,7	24
0:07:40	30	6,9	24
0:07:50	30	6,8	24
0:08:00	30	7,1	23
0:08:10	30	7,1	22
0:08:20	30	7,3	22
0:08:30	30	7,5	22
0:08:40	30	7,5	22
0:08:50	30	7,7	21
0:09:00	30	7,9	21
0:09:10	30	8,1	20
0:09:20	30	8,1	20
0:09:30	30	8,4	19
0:09:40	30	8,4	19
0:09:50	30	8,6	19
0:10:00	30	8,7	18
0:10:10	30	8,7	18
0:10:20	30	9,0	19
0:10:30	30	9,0	18
0:10:40	30	9,4	18
0:10:50	30	9,4	16
0:11:00	30	9,4	17
0:11:10	30	9,7	17
0:11:20	30	9,7	17
0:11:30	30	9,9	17
0:11:40	30	9,9	9
0:11:50	30	10,4	16
0:12:00	30	10,4	16
0:12:10	30	10,4	15
0:12:20	30	10,8	15
0:12:30	30	10,8	16
0:12:40	30	10,8	15
0:12:50	30	11,4	15
0:13:00	30	11,4	15
0:13:10	30	11,4	15
0:13:20	30	11,4	15
0:13:30	30	11,7	15
0:13:40	30	11,6	15
0:13:50	30	11,8	14
0:14:00	30	11,8	14
0:14:10	30	12,1	14
0:14:20	30	12,1	14
0:14:30	30	12,2	15
0:14:40	30	12,5	14
0:14:50	30	12,7	14
0:15:00	30	12,7	14
0:15:10	30	13,0	14
0:15:20	30	13,0	14
0:15:30	30	13,2	14
0:15:40	30	13,2	14
0:15:50	30	13,7	14
0:16:00	30	13,7	14
0:16:10	30	13,7	14
0:16:20	30	14,2	14
0:16:30	30	14,1	14
0:16:40	30	14,1	14
0:16:50	30	14,1	14
0:17:00	30	14,3	14
0:17:10	30	14,6	14
0:17:20	30	14,6	14
0:17:30	30	14,7	14
0:17:40	30	14,9	14
0:17:50	30	14,9	14
0:18:00	30	15,3	14
0:18:10	30	15,3	13
0:18:20	30	15,5	14
0:18:30	30	15,5	14
0:18:40	30	15,6	13
0:18:50	30	15,8	14
0:19:00	30	16,4	14
0:19:10	30	16,3	14
0:19:20	30	16,3	14
0:19:30	30	16,3	13
0:19:40	30	16,7	14
0:19:50	30	16,7	14
0:20:00	30	16,8	14
0:20:10	30	16,8	14
0:20:20	30	17,1	14
0:20:30	30	17,1	14
0:20:40	30	17,5	14
0:20:50	30	17,4	14
0:21:00	30	17,6	14
0:21:10	30	17,9	14
0:21:20	30	17,9	14
0:21:30	30	18,4	14
0:21:40	30	18,4	14
0:21:50	30	18,3	14
0:22:00	30	18,3	14
0:22:10	30	18,9	14
0:22:20	30	18,8	13
0:22:30	30	18,8	13
0:22:40	30	19,3	14
0:22:50	30	19,3	14
0:23:00	30	19,3	14
0:23:10	30	19,3	14
0:23:20	30	19,7	14
0:23:30	30	19,7	14
0:23:40	30	19,7	14
0:23:50	30	20,2	15
0:24:00	30	20,2	15
0:24:10	30	20,2	15
0:24:20	30	20,2	15
0:24:30	30	20,5	15
0:24:40	30	20,5	15
0:24:50	30	20,7	16
0:25:00	30	20,7	16
0:25:10	30	20,8	17
0:25:20	30	21,0	17
0:25:30	30	21,3	18
0:25:40	30	21,2	19
0:25:50	30	21,7	22
0:26:00	30	21,6	28
0:26:10	30	21,7	27
0:26:20	30	21,9	27
0:26:30	30	22,1	32
0:26:40	30	22,1	26
0:26:50	30	22,6	32
0:27:00	30	22,6	35
0:27:10	30	22,6	31
0:27:20	30	23,0	28
0:27:30	30	23,0	27
0:27:40	30	23,0	28
0:27:50	30	23,2	28
0:28:00	30	23,2	28
0:28:10	30	23,4	28
0:28:20	30	23,9	28
0:28:30	30	23,9	24
0:28:40	30	23,9	25
0:28:50	30	23,9	28
0:29:00	30	24,0	26
0:29:10	30	24,2	25
0:29:20	30	24,4	30
0:29:30	30	24,4	27
0:29:40	30	24,7	30
0:29:50	30	24,7	33
0:30:00	30	25,2	34
0:30:10	30	25,2	33
0:30:20	30	25,2	33
0:30:30	30	25,2	36
0:30:40	30	25,1	35
0:30:50	30	25,1	34
0:31:00	30	25,1	34
0:31:10	30	25,1	35
0:31:20	30	25,1	34
0:31:30	30	25,1	34
0:31:40	30	25,1	33
0:31:50	30	25,1	20
0:32:00	30	25,1	31
0:32:10	30	25,1	34
0:32:20	30	25,0	31
0:32:30	30	25,0	31
0:32:40	30	25,0	31
0:32:50	30	25,0	30
0:33:00	30	25,0	21
0:33:10	30	25,0	20
0:33:20	30	25,0	20
0:33:30	30	25,0	20
0:33:40	30	25,0	21
0:33:50	30	25,0	21
0:34:00	30	25,0	21
0:34:10	30	25,0	21
0:34:20	30	25,0	20
0:34:30	30	25,0	21
0:34:40	30	25,0	20
0:34:50	30	25,0	20
0:35:00	30	25,0	20
0:35:10	30	25,0	21
0:35:20	30	25,0	21
0:35:30	30	25,0	22
0:35:40	30	24,9	22
0:35:50	30	24,9	22
0:36:00	30	24,9	21
0:36:10	30	24,9	21
0:36:20	30	24,9	22
0:36:30	30	24,9	21
0:36:40	30	24,9	22
0:36:50	30	24,9	21
0:37:00	30	24,9	21
0:37:10	30	24,9	21
0:37:20	30	24,9	21
0:37:30	30	24,9	22
0:37:40	30	24,9	21
0:37:50	30	24,9	21
0:38:00	30	24,9	21
0:38:10	30	24,9	21
0:38:20	30	24,9	21
0:38:30	30	24,9	21
0:38:40	30	24,9	21
0:38:50	30	24,9	21
0:39:00	30	24,9	21
0:39:10	30	24,9	21
0:39:20	30	24,9	21
0:39:30	30	24,9	21
0:39:40	30	25,2	21
0:39:50	30	25,2	21
0:40:00	30	25,2	21
0:40:10	30	25,2	21
0:40:20	30	25,2	22
0:40:30	30	25,1	22
0:40:40	30	25,1	22
0:40:50	30	25,1	22
0:41:00	30	25,1	22
0:41:10	30	25,1	22
0:41:20	30	25,1	22
0:41:30	30	25,1	22
0:41:40	30	25,1	22
0:41:50	30	25,1	22
0:42:00	30	25,1	22
0:42:10	30	25,1	22
0:42:20	30	25,1	22
0:42:30	30	25,1	22
0:42:40	30	25,1	22
0:42:50	30	25,1	22
0:43:00	30	25,1	22
0:43:10	30	25,1	22
0:43:20	30	25,1	22
0:43:30	30	25,1	22
0:43:40	30	25,1	21
0:43:50	30	25,1	21
0:44:00	30	25,1	22
0:44:10	30	25,1	22
0:44:20	30	25,1	22
0:44:30	30	25,1	22
0:44:40	30	25,1	22
0:44:50	30	25,1	22
0:45:00	30	25,1	22
0:45:10	30	25,1	22
0:45:20	30	25,1	21
0:45:30	30	25,1	22
0:45:40	30	25,1	22
0:45:50	30	25,1	22
0:46:00	30	25,1	22
0:46:10	30	25,1	22
0:46:20	30	25,1	22
0:46:30	30	25,1	22
0:46:40	30	25,1	22
0:46:50	30	25,0	22
0:47:00	30	25,0	22
0:47:10	30	25,0	22
0:47:20	30	25,0	22
0:47:30	30	25,0	22
0:47:40	30	25,0	22
0:47:50	30	25,0	22
0:48:00	30	25,0	22
0:48:10	30	25,0	22
0:48:20	30	25,0	22
0:48:30	30	25,0	22
0:48:40	30	25,0	22
0:48:50	30	25,0	22
0:49:00	30	25,0	22
0:49:10	30	25,0	22
0:49:20	30	25,0	22
0:49:30	30	25,0	22
0:49:40	30	25,0	22
0:49:50	30	25,0	22
0:50:00	30	25,0	22
0:50:10	30	25,0	22
