--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	18.07.2014
Test Start Time	9:45:59
Test Stop Date	18.07.2014
Test Stop Time	14:48:01
Test Length	5:02:02
Final Sample Time Offset	5:02:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	MPa:25(30)
Information	WellID	
Information	Customer	Trican
Information	EngName	Konstantin Shut
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	25%MKU-85+5%TA-1+1%CFL-2+0.3%TLA+3%CaCl2
Information	Density	1500
Information	BHCT	20
Information	BHST	12
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	27 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	24,9 MPa
Initial Consistency (Bc)	3 Bc
Final Consistency (Bc)	7 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	0,8	3
0:00:10	29	1,0	3
0:00:20	29	1,2	3
0:00:30	29	1,4	3
0:00:40	28	1,4	3
0:00:50	28	1,6	3
0:01:00	28	1,9	3
0:01:10	28	1,9	4
0:01:20	28	2,0	4
0:01:30	28	2,2	4
0:01:40	28	2,2	4
0:01:50	28	2,3	4
0:02:00	28	2,7	4
0:02:10	28	2,6	4
0:02:20	28	3,0	4
0:02:30	28	3,0	4
0:02:40	28	3,0	4
0:02:50	27	3,3	4
0:03:00	27	3,3	4
0:03:10	27	3,7	4
0:03:20	27	3,7	4
0:03:30	27	3,7	4
0:03:40	27	4,1	4
0:03:50	27	4,1	4
0:04:00	27	4,0	4
0:04:10	27	4,4	4
0:04:20	27	4,4	4
0:04:30	27	4,5	4
0:04:40	27	4,9	4
0:04:50	27	4,8	4
0:05:00	27	5,0	4
0:05:10	27	5,4	4
0:05:20	27	5,3	4
0:05:30	26	5,3	4
0:05:40	26	5,4	4
0:05:50	26	5,8	4
0:06:00	26	5,8	4
0:06:10	26	5,9	4
0:06:20	26	6,3	4
0:06:30	26	6,3	4
0:06:40	26	6,2	4
0:06:50	26	6,8	4
0:07:00	26	6,7	4
0:07:10	26	6,7	4
0:07:20	26	6,8	4
0:07:30	26	7,2	4
0:07:40	26	7,2	4
0:07:50	26	7,2	4
0:08:00	26	7,5	4
0:08:10	26	7,5	4
0:08:20	26	7,6	4
0:08:30	26	7,9	4
0:08:40	26	7,8	4
0:08:50	26	8,0	6
0:09:00	26	8,4	5
0:09:10	25	8,4	5
0:09:20	25	8,5	5
0:09:30	25	8,9	5
0:09:40	25	8,9	5
0:09:50	25	8,8	5
0:10:00	25	9,0	5
0:10:10	25	9,3	5
0:10:20	25	9,3	5
0:10:30	25	9,5	5
0:10:40	25	9,8	5
0:10:50	25	9,8	5
0:11:00	25	9,8	5
0:11:10	25	9,9	5
0:11:20	25	10,3	5
0:11:30	25	10,2	5
0:11:40	25	10,6	5
0:11:50	25	10,6	5
0:12:00	25	10,6	5
0:12:10	25	10,7	5
0:12:20	25	11,1	5
0:12:30	25	11,1	5
0:12:40	25	11,2	5
0:12:50	25	11,6	5
0:13:00	25	11,5	5
0:13:10	25	11,5	5
0:13:20	25	11,7	5
0:13:30	25	11,9	5
0:13:40	25	11,9	5
0:13:50	25	12,1	5
0:14:00	25	12,4	5
0:14:10	25	12,4	5
0:14:20	25	12,6	5
0:14:30	25	12,6	5
0:14:40	25	12,8	5
0:14:50	25	13,0	5
0:15:00	25	13,1	5
0:15:10	25	13,3	5
0:15:20	25	13,3	5
0:15:30	25	13,5	5
0:15:40	24	13,7	5
0:15:50	24	13,6	5
0:16:00	24	13,9	5
0:16:10	24	13,9	5
0:16:20	24	14,1	5
0:16:30	24	14,4	5
0:16:40	24	14,4	5
0:16:50	24	14,5	5
0:17:00	24	14,7	5
0:17:10	24	15,0	5
0:17:20	24	15,0	5
0:17:30	24	15,0	5
0:17:40	24	15,3	5
0:17:50	24	15,3	5
0:18:00	24	15,4	5
0:18:10	24	15,7	5
0:18:20	24	15,7	5
0:18:30	24	15,8	5
0:18:40	24	16,1	5
0:18:50	24	16,3	5
0:19:00	24	16,3	5
0:19:10	24	16,5	5
0:19:20	24	16,7	5
0:19:30	24	16,7	5
0:19:40	24	16,9	5
0:19:50	24	17,1	5
0:20:00	24	17,1	5
0:20:10	24	17,3	5
0:20:20	24	17,8	5
0:20:30	24	17,7	5
0:20:40	24	17,7	5
0:20:50	24	17,7	5
0:21:00	24	18,2	5
0:21:10	24	18,2	5
0:21:20	24	18,1	5
0:21:30	24	18,7	5
0:21:40	24	18,6	5
0:21:50	24	18,6	5
0:22:00	24	19,0	5
0:22:10	24	18,9	5
0:22:20	24	18,9	5
0:22:30	24	19,3	5
0:22:40	24	19,3	5
0:22:50	24	19,4	5
0:23:00	24	19,6	5
0:23:10	24	19,6	5
0:23:20	24	19,9	5
0:23:30	24	20,0	5
0:23:40	24	20,0	5
0:23:50	24	20,2	5
0:24:00	24	20,3	5
0:24:10	24	20,5	5
0:24:20	24	20,7	5
0:24:30	24	20,9	5
0:24:40	24	20,9	5
0:24:50	24	21,0	5
0:25:00	24	21,2	5
0:25:10	24	21,2	5
0:25:20	24	21,5	5
0:25:30	24	21,5	5
0:25:40	24	21,6	5
0:25:50	24	21,8	5
0:26:00	24	21,9	5
0:26:10	24	22,1	5
0:26:20	24	22,3	5
0:26:30	24	22,5	5
0:26:40	24	22,4	5
0:26:50	24	22,7	5
0:27:00	24	22,9	5
0:27:10	24	22,9	5
0:27:20	24	23,0	5
0:27:30	24	23,3	5
0:27:40	24	23,2	5
0:27:50	24	23,4	5
0:28:00	24	23,7	5
0:28:10	24	23,6	5
0:28:20	24	23,9	5
0:28:30	24	24,1	5
0:28:40	24	24,0	5
0:28:50	24	24,3	5
0:29:00	24	24,3	5
0:29:10	24	24,5	5
0:29:20	24	24,7	5
0:29:30	24	24,7	5
0:29:40	24	24,9	5
0:29:50	24	24,9	5
0:30:00	24	24,9	5
0:30:10	24	24,9	5
0:30:20	24	25,1	5
0:30:30	24	25,1	5
0:30:40	24	25,1	5
0:30:50	24	25,1	5
0:31:00	24	25,1	5
0:31:10	24	25,1	5
0:31:20	24	25,0	5
0:31:30	24	25,0	5
0:31:40	24	25,0	5
0:31:50	24	25,0	5
0:32:00	24	25,0	5
0:32:10	24	25,0	5
0:32:20	24	25,0	5
0:32:30	24	25,0	5
0:32:40	24	25,0	5
0:32:50	24	25,0	5
0:33:00	24	25,0	5
0:33:10	24	25,0	5
0:33:20	24	25,0	5
0:33:30	24	25,0	5
0:33:40	24	25,0	5
0:33:50	24	25,0	5
0:34:00	24	25,0	5
0:34:10	24	25,0	5
0:34:20	24	25,0	5
0:34:30	24	25,0	5
0:34:40	24	25,0	5
0:34:50	24	25,0	5
0:35:00	24	25,0	5
0:35:10	24	25,0	5
0:35:20	24	25,0	5
0:35:30	24	25,0	5
0:35:40	24	25,0	5
0:35:50	24	25,0	5
0:36:00	24	25,0	5
0:36:10	24	25,0	5
0:36:20	24	25,0	5
0:36:30	24	25,0	5
0:36:40	24	25,0	5
0:36:50	24	25,0	5
0:37:00	24	25,0	5
0:37:10	24	25,0	5
0:37:20	24	25,0	5
0:37:30	24	25,0	5
0:37:40	24	25,0	5
0:37:50	24	25,0	5
0:38:00	24	25,0	5
0:38:10	24	25,0	5
0:38:20	24	25,0	5
0:38:30	24	25,0	5
0:38:40	24	25,0	5
0:38:50	24	25,0	5
0:39:00	24	25,0	5
0:39:10	24	25,0	5
0:39:20	24	25,0	5
0:39:30	24	25,0	5
0:39:40	24	25,0	5
0:39:50	24	25,0	5
0:40:00	24	24,9	5
0:40:10	24	24,9	5
0:40:20	24	25,0	5
0:40:30	24	24,9	5
0:40:40	24	24,9	5
0:40:50	24	25,0	5
0:41:00	24	25,0	5
0:41:10	24	24,9	5
0:41:20	24	25,0	5
0:41:30	24	25,0	5
0:41:40	24	25,0	5
0:41:50	24	25,0	5
0:42:00	24	25,0	5
0:42:10	24	25,0	5
0:42:20	24	25,0	5
0:42:30	24	25,0	5
0:42:40	24	25,0	5
0:42:50	24	25,0	5
0:43:00	24	24,9	5
0:43:10	24	25,0	5
0:43:20	24	25,0	5
0:43:30	24	25,0	5
0:43:40	24	25,0	5
0:43:50	24	25,0	5
0:44:00	24	25,0	5
0:44:10	24	25,0	5
0:44:20	24	25,0	5
0:44:30	24	25,0	5
0:44:40	24	25,0	5
0:44:50	24	25,0	5
0:45:00	24	25,0	5
0:45:10	24	25,0	5
0:45:20	24	25,0	5
0:45:30	24	25,0	5
0:45:40	24	25,0	5
0:45:50	24	25,0	5
0:46:00	24	25,0	5
0:46:10	24	25,0	5
0:46:20	24	25,0	5
0:46:30	24	25,0	5
0:46:40	24	25,0	5
0:46:50	24	25,0	5
0:47:00	24	25,0	5
0:47:10	24	25,0	5
0:47:20	24	25,0	5
0:47:30	24	25,0	5
0:47:40	24	25,0	5
0:47:50	24	25,0	5
0:48:00	24	25,0	5
0:48:10	24	25,0	5
0:48:20	24	25,0	5
0:48:30	24	25,0	5
0:48:40	24	25,0	5
0:48:50	24	25,0	5
0:49:00	24	25,0	5
0:49:10	24	25,0	5
0:49:20	24	25,0	5
0:49:30	24	25,0	5
0:49:40	24	25,0	5
0:49:50	24	25,0	5
0:50:00	24	25,0	5
0:50:10	24	25,0	5
0:50:20	24	25,0	5
0:50:30	24	25,0	5
0:50:40	24	25,0	5
0:50:50	24	25,0	5
0:51:00	24	25,0	5
0:51:10	24	25,0	5
0:51:20	24	25,0	5
0:51:30	24	25,0	5
0:51:40	24	25,0	5
0:51:50	24	25,0	5
0:52:00	24	25,0	5
0:52:10	24	25,0	5
0:52:20	24	25,0	5
0:52:30	24	25,0	5
0:52:40	24	25,0	5
0:52:50	24	25,0	5
0:53:00	24	25,0	5
0:53:10	24	25,0	5
0:53:20	24	25,0	5
0:53:30	24	25,0	5
0:53:40	24	25,0	5
0:53:50	24	25,0	5
0:54:00	24	25,0	5
0:54:10	24	25,0	5
0:54:20	24	25,0	5
0:54:30	24	25,0	5
0:54:40	24	25,0	5
0:54:50	24	25,0	5
0:55:00	24	25,0	5
0:55:10	24	25,0	5
0:55:20	24	25,0	5
0:55:30	24	25,0	5
0:55:40	24	25,0	5
0:55:50	24	25,0	5
0:56:00	24	25,0	5
0:56:10	24	25,0	5
0:56:20	24	25,0	5
0:56:30	24	25,0	5
0:56:40	24	25,0	5
0:56:50	24	25,0	5
0:57:00	24	25,0	5
0:57:10	24	25,0	5
0:57:20	24	25,0	5
0:57:30	24	25,1	5
0:57:40	24	25,0	5
0:57:50	24	25,1	5
0:58:00	24	25,1	5
0:58:10	24	25,1	5
0:58:20	24	25,1	5
0:58:30	24	25,1	5
0:58:40	24	25,1	5
0:58:50	24	25,1	5
0:59:00	24	25,1	5
0:59:10	24	25,1	5
0:59:20	24	25,1	5
0:59:30	24	25,1	5
0:59:40	24	25,1	5
0:59:50	24	25,1	5
1:00:00	24	25,1	5
1:00:10	24	25,1	5
1:00:20	24	25,1	5
1:00:30	24	25,1	5
1:00:40	24	25,1	5
1:00:50	24	25,1	5
1:01:00	24	25,1	5
1:01:10	24	25,1	5
1:01:20	24	25,1	5
1:01:30	24	25,1	5
1:01:40	24	25,1	5
1:01:50	24	25,1	5
1:02:00	24	25,1	5
1:02:10	24	25,1	5
1:02:20	24	25,1	5
1:02:30	24	25,1	5
1:02:40	24	25,1	5
1:02:50	24	25,1	5
1:03:00	24	25,1	5
1:03:10	24	25,1	5
1:03:20	24	25,1	5
1:03:30	24	25,1	5
1:03:40	24	25,1	5
1:03:50	24	25,1	5
1:04:00	24	25,1	5
1:04:10	24	25,1	5
1:04:20	24	25,1	5
1:04:30	24	25,1	5
1:04:40	24	25,1	5
1:04:50	24	25,2	5
1:05:00	24	25,2	5
1:05:10	24	25,2	5
1:05:20	24	25,2	5
1:05:30	24	25,2	5
1:05:40	24	25,1	5
1:05:50	24	25,2	5
1:06:00	24	25,2	5
1:06:10	24	25,2	5
1:06:20	24	25,2	5
1:06:30	24	25,2	5
1:06:40	24	25,2	5
1:06:50	24	25,2	5
1:07:00	24	25,2	5
1:07:10	24	25,2	5
1:07:20	24	25,2	5
1:07:30	24	25,2	5
1:07:40	24	25,2	5
1:07:50	24	25,2	5
1:08:00	24	25,2	5
1:08:10	24	25,2	5
1:08:20	24	25,2	5
1:08:30	24	25,2	5
1:08:40	24	25,2	5
1:08:50	24	25,2	5
1:09:00	24	25,2	5
1:09:10	24	25,2	5
1:09:20	24	25,2	5
1:09:30	24	25,2	5
1:09:40	24	25,2	5
1:09:50	24	25,2	5
1:10:00	24	25,2	5
1:10:10	24	25,2	5
1:10:20	24	25,3	5
1:10:30	24	25,2	5
1:10:40	24	25,3	5
1:10:50	24	25,2	5
1:11:00	24	25,3	5
1:11:10	24	25,3	5
1:11:20	24	25,3	5
1:11:30	24	25,3	5
1:11:40	24	25,3	5
1:11:50	24	25,3	5
1:12:00	24	25,3	5
1:12:10	24	25,3	5
1:12:20	24	25,3	5
1:12:30	24	25,3	5
1:12:40	24	25,3	5
1:12:50	24	25,3	5
1:13:00	24	25,3	5
1:13:10	24	25,3	5
1:13:20	24	25,3	5
1:13:30	24	25,3	5
1:13:40	24	25,3	5
1:13:50	24	25,3	5
1:14:00	24	25,3	5
1:14:10	24	25,3	5
1:14:20	24	25,3	5
1:14:30	24	25,3	5
1:14:40	24	25,3	6
1:14:50	24	25,3	5
1:15:00	24	25,3	5
1:15:10	24	25,3	5
1:15:20	24	25,3	5
