--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	05.08.2014
Test Start Time	9:06:36
Test Stop Date	05.08.2014
Test Stop Time	13:32:47
Test Length	4:26:11
Final Sample Time Offset	4:26:10
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 25C; P: 25MPa (30min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	25%MKU-85+5%TA-1+1%CFL-2+0.3%TLA+0.1%TC-101+3%KCL (bwoc)
Information	Density	1500
Information	BHCT	25
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	3:10:20
Calculated Value	Time_70Bc	4:26:10
Initial Temperature (°C)	32 °C
Final Temperature (°C)	26 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	32	0,8	16
0:00:10	32	1,1	16
0:00:20	31	1,1	15
0:00:30	31	1,4	15
0:00:40	31	1,4	15
0:00:50	31	1,6	15
0:01:00	31	1,6	14
0:01:10	31	1,8	16
0:01:20	31	2,0	14
0:01:30	31	2,0	14
0:01:40	31	2,1	13
0:01:50	31	2,4	14
0:02:00	31	2,6	14
0:02:10	31	2,5	14
0:02:20	31	2,8	19
0:02:30	30	2,8	17
0:02:40	30	3,0	17
0:02:50	30	3,3	14
0:03:00	30	3,3	13
0:03:10	30	3,3	12
0:03:20	30	3,5	12
0:03:30	30	3,8	12
0:03:40	30	3,8	13
0:03:50	30	4,2	15
0:04:00	30	4,1	15
0:04:10	30	4,1	15
0:04:20	30	4,5	15
0:04:30	30	4,5	15
0:04:40	30	4,7	17
0:04:50	30	4,6	16
0:05:00	30	5,0	16
0:05:10	30	5,0	16
0:05:20	30	5,1	23
0:05:30	30	5,4	20
0:05:40	30	5,3	18
0:05:50	30	5,6	17
0:06:00	30	5,7	20
0:06:10	30	6,0	21
0:06:20	30	5,9	24
0:06:30	30	6,0	21
0:06:40	30	6,3	19
0:06:50	30	6,2	19
0:07:00	30	6,4	17
0:07:10	30	6,6	16
0:07:20	30	6,9	15
0:07:30	30	6,8	15
0:07:40	29	7,0	14
0:07:50	29	7,3	14
0:08:00	29	7,2	13
0:08:10	29	7,7	19
0:08:20	29	7,6	19
0:08:30	29	8,1	23
0:08:40	29	8,0	18
0:08:50	29	7,9	17
0:09:00	29	8,4	17
0:09:10	29	8,3	16
0:09:20	29	8,3	16
0:09:30	29	8,7	19
0:09:40	29	8,6	19
0:09:50	29	9,1	20
0:10:00	29	9,0	17
0:10:10	29	9,0	16
0:10:20	29	9,4	15
0:10:30	29	9,3	14
0:10:40	29	9,5	20
0:10:50	29	9,7	20
0:11:00	29	9,6	21
0:11:10	29	9,8	19
0:11:20	29	10,1	19
0:11:30	29	10,0	15
0:11:40	29	10,3	17
0:11:50	29	10,3	16
0:12:00	29	10,4	15
0:12:10	28	10,7	14
0:12:20	28	10,9	14
0:12:30	28	11,1	14
0:12:40	28	11,0	14
0:12:50	28	11,2	14
0:13:00	28	11,4	14
0:13:10	28	11,6	14
0:13:20	28	11,5	13
0:13:30	28	11,7	13
0:13:40	28	11,9	13
0:13:50	28	12,3	14
0:14:00	28	12,2	14
0:14:10	28	12,2	14
0:14:20	28	12,6	13
0:14:30	28	12,6	13
0:14:40	28	13,0	14
0:14:50	28	12,9	14
0:15:00	28	12,8	14
0:15:10	28	13,3	14
0:15:20	28	13,2	14
0:15:30	28	13,3	14
0:15:40	28	13,8	13
0:15:50	28	13,7	13
0:16:00	27	13,6	13
0:16:10	27	14,1	13
0:16:20	27	14,0	22
0:16:30	27	14,4	20
0:16:40	27	14,4	16
0:16:50	27	14,8	15
0:17:00	27	14,7	14
0:17:10	27	14,7	14
0:17:20	27	14,8	14
0:17:30	27	15,3	14
0:17:40	27	15,2	14
0:17:50	27	15,1	14
0:18:00	27	15,5	13
0:18:10	27	15,4	13
0:18:20	27	15,8	13
0:18:30	27	15,7	13
0:18:40	27	15,8	13
0:18:50	27	16,0	13
0:19:00	27	16,1	13
0:19:10	27	16,2	22
0:19:20	27	16,5	23
0:19:30	27	16,7	20
0:19:40	27	16,6	16
0:19:50	26	16,8	20
0:20:00	26	16,9	20
0:20:10	26	17,3	23
0:20:20	26	17,3	22
0:20:30	26	17,7	16
0:20:40	26	17,7	17
0:20:50	26	17,6	15
0:21:00	26	18,1	16
0:21:10	26	18,0	16
0:21:20	26	17,9	15
0:21:30	26	18,4	17
0:21:40	26	18,3	16
0:21:50	26	18,7	14
0:22:00	26	18,6	13
0:22:10	26	18,6	13
0:22:20	26	18,9	13
0:22:30	26	19,0	16
0:22:40	26	19,2	19
0:22:50	26	19,2	13
0:23:00	26	19,4	13
0:23:10	26	19,4	12
0:23:20	26	19,6	12
0:23:30	26	19,7	12
0:23:40	25	19,9	12
0:23:50	25	20,0	12
0:24:00	25	20,3	12
0:24:10	25	20,4	12
0:24:20	25	20,3	13
0:24:30	25	20,8	12
0:24:40	25	20,7	13
0:24:50	25	20,8	12
0:25:00	25	21,0	12
0:25:10	25	21,2	12
0:25:20	25	21,4	12
0:25:30	25	21,3	12
0:25:40	25	21,6	12
0:25:50	25	21,6	12
0:26:00	25	21,8	12
0:26:10	25	21,8	12
0:26:20	25	22,0	12
0:26:30	25	22,3	13
0:26:40	25	22,2	12
0:26:50	25	22,6	12
0:27:00	25	22,5	12
0:27:10	25	22,9	12
0:27:20	25	22,8	13
0:27:30	25	22,9	12
0:27:40	24	23,1	12
0:27:50	24	23,2	12
0:28:00	24	23,4	13
0:28:10	24	23,5	12
0:28:20	24	23,7	12
0:28:30	24	23,8	12
0:28:40	24	23,9	12
0:28:50	24	24,2	12
0:29:00	24	24,2	12
0:29:10	24	24,4	13
0:29:20	24	24,4	12
0:29:30	24	24,6	12
0:29:40	24	24,7	12
0:29:50	24	25,0	12
0:30:00	24	24,9	12
0:30:10	24	24,9	12
0:30:20	24	24,9	12
0:30:30	24	24,9	12
0:30:40	24	25,0	12
0:30:50	24	24,9	12
0:31:00	24	24,9	12
0:31:10	24	25,1	12
0:31:20	24	25,0	12
0:31:30	24	24,9	12
0:31:40	24	24,9	12
0:31:50	23	25,1	12
0:32:00	23	25,0	12
0:32:10	23	25,0	12
0:32:20	23	24,9	12
0:32:30	23	24,9	12
0:32:40	23	25,0	12
0:32:50	23	25,0	12
0:33:00	23	24,9	12
0:33:10	23	24,9	12
0:33:20	23	25,0	12
0:33:30	23	25,0	12
0:33:40	23	25,0	13
0:33:50	23	24,9	12
0:34:00	23	24,9	12
0:34:10	23	25,1	12
0:34:20	23	25,1	12
0:34:30	23	25,0	12
0:34:40	23	25,0	12
0:34:50	23	25,0	12
0:35:00	23	24,9	12
0:35:10	23	24,9	12
0:35:20	23	24,9	12
0:35:30	23	24,9	12
0:35:40	23	25,1	12
0:35:50	23	25,1	12
0:36:00	23	25,0	12
0:36:10	23	25,0	12
0:36:20	23	25,0	12
0:36:30	22	25,0	12
0:36:40	22	24,9	12
0:36:50	22	24,9	12
0:37:00	22	24,9	12
0:37:10	22	24,9	13
0:37:20	22	24,9	13
0:37:30	22	25,1	12
0:37:40	22	25,0	12
0:37:50	22	25,0	12
