--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	06.08.2014
Test Start Time	9:11:19
Test Stop Date	06.08.2014
Test Stop Time	15:27:00
Test Length	6:15:41
Final Sample Time Offset	6:15:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 95C (40min); P: 40MPa (40min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	25%MKU-85+2%TA-1+0,7%CFL-5+0.5%TC-101+0,7%WellFlex (bwoc)
Information	Density	1500
Information	BHCT	95
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	95 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	40,2 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	22 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	0,8	14
0:00:10	29	0,9	14
0:00:20	29	1,1	15
0:00:30	29	1,2	15
0:00:40	29	1,4	15
0:00:50	29	1,6	14
0:01:00	29	1,8	14
0:01:10	29	2,1	14
0:01:20	29	2,4	13
0:01:30	29	2,8	25
0:01:40	29	3,2	26
0:01:50	29	3,4	25
0:02:00	29	3,7	20
0:02:10	29	3,7	20
0:02:20	29	4,0	21
0:02:30	30	4,1	18
0:02:40	30	4,4	21
0:02:50	30	4,5	17
0:03:00	30	4,5	22
0:03:10	30	4,8	23
0:03:20	30	4,8	23
0:03:30	30	5,1	25
0:03:40	31	5,3	21
0:03:50	31	5,5	25
0:04:00	31	5,5	23
0:04:10	32	5,9	23
0:04:20	32	6,0	22
0:04:30	32	6,1	22
0:04:40	33	6,2	23
0:04:50	33	6,3	21
0:05:00	33	6,6	20
0:05:10	34	6,7	24
0:05:20	34	6,8	23
0:05:30	35	7,1	16
0:05:40	35	7,1	23
0:05:50	35	7,4	17
0:06:00	36	7,6	23
0:06:10	36	7,6	22
0:06:20	36	7,8	17
0:06:30	37	8,1	18
0:06:40	37	8,3	17
0:06:50	38	8,2	21
0:07:00	38	8,4	26
0:07:10	38	8,7	18
0:07:20	39	8,9	14
0:07:30	39	8,9	13
0:07:40	39	9,3	12
0:07:50	40	9,2	12
0:08:00	40	9,4	12
0:08:10	40	9,7	12
0:08:20	41	9,9	11
0:08:30	41	9,8	12
0:08:40	42	10,1	12
0:08:50	42	10,3	11
0:09:00	42	10,5	11
0:09:10	43	10,4	11
0:09:20	43	10,6	11
0:09:30	43	10,8	21
0:09:40	44	11,1	12
0:09:50	44	11,3	11
0:10:00	44	11,5	12
0:10:10	45	11,7	11
0:10:20	45	11,6	10
0:10:30	45	11,8	11
0:10:40	46	12,0	10
0:10:50	46	12,3	11
0:11:00	46	12,5	10
0:11:10	47	12,6	10
0:11:20	47	12,8	10
0:11:30	47	12,8	11
0:11:40	47	13,0	11
0:11:50	48	13,2	11
0:12:00	48	13,4	11
0:12:10	48	13,7	10
0:12:20	49	13,5	11
0:12:30	49	13,7	10
0:12:40	49	14,0	10
0:12:50	49	14,2	10
0:13:00	50	14,5	10
0:13:10	50	14,7	10
0:13:20	50	14,5	10
0:13:30	51	14,8	10
0:13:40	51	15,0	10
0:13:50	51	15,2	11
0:14:00	52	15,5	11
0:14:10	52	15,2	10
0:14:20	52	15,5	10
0:14:30	52	15,7	10
0:14:40	53	15,9	11
0:14:50	53	16,1	10
0:15:00	53	16,3	10
0:15:10	54	16,5	10
0:15:20	54	16,7	10
0:15:30	54	17,0	11
0:15:40	54	16,8	12
0:15:50	55	17,0	11
0:16:00	55	17,2	11
0:16:10	55	17,4	11
0:16:20	56	17,6	10
0:16:30	56	17,8	11
0:16:40	56	18,0	10
0:16:50	56	18,3	10
0:17:00	57	17,9	11
0:17:10	57	18,1	11
0:17:20	57	18,4	11
0:17:30	58	18,6	11
0:17:40	58	18,9	11
0:17:50	58	19,1	11
0:18:00	58	19,3	11
0:18:10	59	19,6	11
0:18:20	59	19,1	11
0:18:30	59	19,4	11
0:18:40	59	19,7	10
0:18:50	60	19,9	10
0:19:00	60	20,2	10
0:19:10	60	20,4	10
0:19:20	61	20,7	10
0:19:30	61	20,9	10
0:19:40	61	20,6	10
0:19:50	61	20,9	10
0:20:00	62	21,2	10
0:20:10	62	21,5	10
0:20:20	62	21,7	10
0:20:30	62	21,4	10
0:20:40	63	21,6	10
0:20:50	63	21,9	10
0:21:00	63	22,1	10
0:21:10	63	22,5	9
0:21:20	64	22,1	10
0:21:30	64	22,5	10
0:21:40	64	22,8	9
0:21:50	64	23,1	9
0:22:00	65	23,3	9
0:22:10	65	22,9	10
0:22:20	65	23,2	10
0:22:30	65	23,5	10
0:22:40	66	23,7	9
0:22:50	66	24,0	9
0:23:00	66	24,3	9
0:23:10	67	23,7	9
0:23:20	67	23,9	9
0:23:30	67	24,2	9
0:23:40	67	24,5	9
0:23:50	68	24,7	9
0:24:00	68	25,0	9
0:24:10	68	25,2	9
0:24:20	69	25,5	9
0:24:30	69	25,7	9
0:24:40	69	26,0	9
0:24:50	69	25,5	9
0:25:00	70	25,7	9
0:25:10	70	26,0	9
0:25:20	70	26,3	9
0:25:30	71	26,5	9
0:25:40	71	26,8	9
0:25:50	71	27,1	9
0:26:00	71	26,7	9
0:26:10	72	27,0	9
0:26:20	72	27,3	9
0:26:30	72	27,6	9
0:26:40	72	27,8	10
0:26:50	73	28,1	10
0:27:00	73	27,5	10
0:27:10	73	27,8	10
0:27:20	74	28,0	10
0:27:30	74	28,3	10
0:27:40	74	28,5	10
0:27:50	75	28,8	9
0:28:00	75	29,0	9
0:28:10	75	29,3	9
0:28:20	76	29,4	9
0:28:30	76	29,7	9
0:28:40	76	29,9	9
0:28:50	76	30,1	9
0:29:00	77	30,3	9
0:29:10	77	29,7	9
0:29:20	77	29,9	9
0:29:30	78	30,2	9
0:29:40	78	30,4	9
0:29:50	78	30,6	9
0:30:00	78	30,8	9
0:30:10	79	31,1	9
0:30:20	79	31,3	9
0:30:30	79	31,5	9
0:30:40	80	31,8	9
0:30:50	80	32,0	9
0:31:00	80	31,5	9
0:31:10	80	31,4	9
0:31:20	81	31,7	9
0:31:30	81	31,9	9
0:31:40	81	32,1	9
0:31:50	81	32,4	9
0:32:00	82	32,6	9
0:32:10	82	33,0	9
0:32:20	82	33,3	9
0:32:30	82	33,5	9
0:32:40	83	33,8	9
0:32:50	83	34,0	8
0:33:00	83	34,2	8
0:33:10	84	33,7	8
0:33:20	84	33,9	8
0:33:30	84	34,2	8
0:33:40	84	34,4	8
0:33:50	85	34,6	8
0:34:00	85	34,9	8
0:34:10	85	35,2	8
0:34:20	85	35,4	8
0:34:30	86	35,7	8
0:34:40	86	35,0	8
0:34:50	86	35,2	8
0:35:00	86	35,4	8
0:35:10	87	35,8	8
0:35:20	87	36,1	8
0:35:30	87	36,3	8
0:35:40	88	36,6	8
0:35:50	88	36,8	8
0:36:00	88	37,1	8
0:36:10	88	37,3	7
0:36:20	89	36,7	8
0:36:30	89	37,0	7
0:36:40	89	37,2	7
0:36:50	89	37,5	7
0:37:00	90	37,7	7
0:37:10	90	38,0	7
0:37:20	90	38,3	7
0:37:30	90	38,6	7
0:37:40	91	38,0	7
0:37:50	91	38,3	7
0:38:00	91	38,5	7
0:38:10	92	38,8	7
0:38:20	92	39,0	7
0:38:30	92	39,3	7
0:38:40	92	39,7	7
0:38:50	93	39,0	8
0:39:00	93	39,4	8
0:39:10	93	39,7	8
0:39:20	94	39,9	7
0:39:30	94	40,2	7
0:39:40	94	40,4	7
0:39:50	94	40,6	7
0:40:00	95	40,9	7
0:40:10	95	40,4	7
0:40:20	95	40,6	7
0:40:30	95	40,8	7
0:40:40	96	40,9	7
0:40:50	96	40,2	7
0:41:00	96	40,3	7
0:41:10	97	40,3	7
0:41:20	97	40,3	7
0:41:30	97	40,3	7
0:41:40	97	40,3	7
0:41:50	98	40,2	6
0:42:00	98	40,2	6
0:42:10	98	40,0	6
0:42:20	98	39,9	6
0:42:30	98	40,2	6
0:42:40	99	40,0	6
0:42:50	99	39,8	6
0:43:00	99	39,9	6
0:43:10	99	40,0	6
0:43:20	99	40,2	6
0:43:30	100	40,0	6
0:43:40	100	39,9	6
0:43:50	100	39,9	6
0:44:00	100	40,1	6
0:44:10	100	39,9	6
0:44:20	100	40,1	6
0:44:30	100	40,0	6
0:44:40	100	40,1	6
0:44:50	100	39,9	6
0:45:00	100	40,0	6
0:45:10	100	39,9	6
0:45:20	100	40,1	6
0:45:30	100	39,9	6
0:45:40	100	40,1	6
0:45:50	100	40,0	6
0:46:00	100	40,2	6
0:46:10	100	40,0	6
0:46:20	100	39,9	6
0:46:30	100	40,2	6
0:46:40	100	40,0	6
0:46:50	99	40,0	6
0:47:00	99	40,2	6
0:47:10	99	40,1	6
0:47:20	99	39,9	6
0:47:30	99	39,9	6
0:47:40	99	40,2	6
0:47:50	99	40,1	6
0:48:00	99	40,1	6
0:48:10	99	39,9	6
0:48:20	98	40,3	6
0:48:30	98	40,3	6
0:48:40	98	40,3	6
0:48:50	98	40,3	6
0:49:00	98	40,3	6
0:49:10	98	40,4	6
0:49:20	98	40,3	6
0:49:30	98	40,3	6
0:49:40	97	40,4	6
0:49:50	97	40,4	6
0:50:00	97	40,4	6
0:50:10	97	40,5	6
0:50:20	97	40,5	6
0:50:30	97	40,6	6
0:50:40	97	40,6	6
0:50:50	97	40,6	6
0:51:00	97	40,7	6
0:51:10	97	40,8	6
0:51:20	97	40,8	6
0:51:30	96	40,8	6
0:51:40	96	40,9	6
0:51:50	96	40,9	6
0:52:00	96	40,9	6
0:52:10	96	40,1	6
0:52:20	96	40,2	6
0:52:30	96	40,3	6
0:52:40	96	40,3	6
0:52:50	96	40,3	6
0:53:00	96	40,3	6
0:53:10	96	40,4	6
0:53:20	96	40,4	6
0:53:30	96	40,4	6
0:53:40	96	40,4	6
0:53:50	96	40,4	6
0:54:00	96	40,5	6
0:54:10	96	40,5	6
0:54:20	96	40,5	6
0:54:30	96	40,6	6
0:54:40	96	40,6	6
0:54:50	96	40,5	6
0:55:00	96	40,6	6
0:55:10	96	40,6	6
0:55:20	96	40,6	6
0:55:30	96	40,6	6
0:55:40	96	40,6	6
0:55:50	96	40,6	6
0:56:00	96	40,6	6
0:56:10	96	40,7	6
0:56:20	96	40,7	6
0:56:30	96	40,7	6
0:56:40	96	40,7	6
0:56:50	96	40,6	6
0:57:00	96	40,7	6
0:57:10	96	40,6	6
0:57:20	96	40,6	7
0:57:30	96	40,6	6
0:57:40	96	40,5	6
0:57:50	96	40,6	6
0:58:00	96	40,6	6
0:58:10	96	40,6	6
0:58:20	96	40,7	6
