--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	11.08.2014
Test Start Time	14:06:03
Test Stop Date	11.08.2014
Test Stop Time	17:30:23
Test Length	3:24:20
Final Sample Time Offset	3:24:19
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	Trican
Information	EngName	Konstantin Shut
Information	CementClass	75%G+25%SF-2 (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1.5%TA-1+1.4%CFL-5+0.5%CFR-10+1%TA-2+1%LTR (bwob)
Information	Density	1500
Information	BHCT	95
Information	BHST	
Information	FluidLoss	78cc/30 min
Information	JobType	
Calculated Value	Time_30Bc	2:48:41
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	31 °C
Final Temperature (°C)	93 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	55,1 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	38 Bc
Initial Wall Temperature (°C)	26 °C
Final Wall Temperature (°C)	111 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	31	0,6	16	26	150
0:00:01	31	0,6	16	26	150
0:00:02	31	0,6	16	26	150
0:00:03	31	0,6	16	26	150
0:00:04	31	0,6	16	26	150
0:00:05	31	0,6	16	27	150
0:00:06	31	0,6	16	27	150
0:00:07	31	0,7	16	27	150
0:00:08	31	0,8	16	27	150
0:00:09	31	0,8	16	27	150
0:00:10	31	0,8	16	27	150
0:00:11	31	0,8	16	27	150
0:00:12	31	0,8	16	27	150
0:00:13	31	0,8	16	27	150
0:00:14	31	0,8	16	27	150
0:00:15	31	0,8	16	27	150
0:00:16	31	0,8	16	27	150
0:00:17	31	0,8	16	27	150
0:00:18	31	0,9	16	27	150
0:00:19	31	0,9	16	27	150
0:00:20	31	0,9	16	27	150
0:00:21	31	1,0	16	27	150
0:00:22	31	1,0	16	27	150
0:00:23	31	1,0	16	27	150
0:00:24	31	1,0	16	27	150
0:00:25	31	1,0	16	27	150
0:00:26	31	1,0	16	27	150
0:00:27	31	1,0	16	27	150
0:00:28	31	1,1	16	27	150
0:00:29	31	1,2	16	27	150
0:00:30	31	1,2	16	27	150
0:00:31	31	1,2	16	27	150
0:00:32	31	1,2	16	27	150
0:00:33	31	1,2	16	27	150
0:00:34	31	1,2	16	27	150
0:00:35	31	1,2	16	27	150
0:00:36	31	1,2	16	27	150
0:00:37	31	1,2	16	27	150
0:00:38	31	1,2	16	27	150
0:00:39	31	1,2	16	27	150
0:00:40	31	1,4	16	27	150
0:00:41	31	1,4	16	27	150
0:00:42	31	1,4	16	27	150
0:00:43	31	1,4	16	27	150
0:00:44	31	1,4	16	27	150
0:00:45	31	1,4	16	27	150
0:00:46	31	1,4	16	27	150
0:00:47	31	1,4	16	27	150
0:00:48	31	1,4	16	27	150
0:00:49	31	1,4	16	27	150
0:00:50	31	1,4	16	27	150
0:00:51	31	1,5	16	27	150
0:00:52	31	1,5	15	27	150
0:00:53	31	1,6	15	27	150
0:00:54	31	1,7	15	27	150
0:00:55	31	1,7	15	27	150
0:00:56	31	1,7	15	27	150
0:00:57	31	1,8	15	27	150
0:00:58	31	1,7	15	27	150
0:00:59	31	1,7	15	27	150
0:01:00	31	1,7	15	27	150
0:01:01	31	1,7	15	27	150
0:01:02	31	1,7	15	27	150
0:01:03	31	1,7	15	27	150
0:01:04	31	1,7	15	27	150
0:01:05	31	1,7	15	27	150
0:01:06	31	1,7	15	27	150
0:01:07	31	1,7	15	27	150
0:01:08	31	1,9	15	27	150
0:01:09	31	2,0	15	27	150
0:01:10	31	2,0	15	27	150
0:01:11	31	2,0	15	27	150
0:01:12	31	2,0	15	27	150
0:01:13	31	2,0	15	27	150
0:01:14	31	2,0	15	27	150
0:01:15	31	2,0	15	27	150
0:01:16	31	2,0	15	27	150
0:01:17	31	2,0	15	27	150
0:01:18	31	2,0	15	27	150
0:01:19	31	2,0	15	27	150
0:01:20	31	2,0	15	27	150
0:01:21	31	2,0	15	27	150
0:01:22	31	2,0	15	27	150
0:01:23	31	2,0	15	27	150
0:01:24	31	2,0	15	27	150
0:01:25	31	2,1	15	27	150
0:01:26	31	2,3	15	27	150
0:01:27	31	2,3	15	27	150
0:01:28	31	2,3	15	27	150
0:01:29	31	2,3	15	27	150
0:01:30	31	2,3	15	27	150
0:01:31	31	2,3	15	27	150
0:01:32	31	2,3	15	27	150
0:01:33	31	2,3	15	27	150
0:01:34	31	2,3	15	27	150
0:01:35	31	2,3	15	27	150
0:01:36	31	2,3	15	27	150
0:01:37	31	2,3	15	27	150
0:01:38	31	2,3	15	27	150
0:01:39	31	2,3	15	27	150
0:01:40	31	2,4	15	27	150
0:01:41	31	2,5	15	27	150
0:01:42	31	2,5	15	27	150
0:01:43	31	2,6	15	27	150
0:01:44	31	2,6	15	27	150
0:01:45	31	2,6	15	27	150
0:01:46	31	2,6	15	27	150
0:01:47	31	2,6	15	27	150
0:01:48	31	2,6	15	27	150
0:01:49	31	2,6	15	27	150
0:01:50	31	2,6	15	27	150
0:01:51	31	2,6	15	27	150
0:01:52	31	2,6	15	27	150
0:01:53	31	2,6	15	27	150
0:01:54	31	2,7	15	27	150
0:01:55	31	2,7	15	27	150
0:01:56	31	2,7	15	27	150
0:01:57	31	2,7	15	27	150
0:01:58	31	2,7	15	27	150
0:01:59	31	2,7	15	27	150
0:02:00	31	3,0	15	27	150
0:02:01	31	3,1	15	27	150
0:02:02	31	3,1	15	27	150
0:02:03	31	3,1	15	27	150
0:02:04	31	3,1	15	27	150
0:02:05	31	3,1	15	27	150
0:02:06	31	3,1	15	27	150
0:02:07	31	3,1	15	27	150
0:02:08	31	3,1	15	27	150
0:02:09	31	3,1	15	27	150
0:02:10	31	3,1	15	27	150
0:02:11	31	3,1	15	27	150
0:02:12	31	3,1	15	27	150
0:02:13	31	3,1	15	27	150
0:02:14	31	3,1	15	27	150
0:02:15	31	3,1	15	27	150
0:02:16	31	3,1	15	27	150
0:02:17	31	3,1	15	27	150
0:02:18	31	3,1	15	27	150
