--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	12.08.2014
Test Start Time	12:55:56
Test Stop Date	12.08.2014
Test Stop Time	14:45:32
Test Length	1:49:36
Final Sample Time Offset	1:49:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	1:05:30
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	31 °C
Final Temperature (°C)	77 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	50,6 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	34 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	31	0,7	17
0:00:10	31	0,9	28
0:00:20	31	1,1	24
0:00:30	31	1,3	22
0:00:40	31	1,6	22
0:00:50	31	1,8	20
0:01:00			
0:04:20	31	0,7	17
0:04:30	31	1,0	18
0:04:40	31	1,2	20
0:04:50	31	1,5	25
0:05:00	31	1,6	25
0:05:10	31	1,8	27
0:05:20	31	2,0	26
0:05:30	31	2,2	26
0:05:40	31	2,6	27
0:05:50	31	2,9	27
0:06:00	31	3,4	27
0:06:10	31	3,8	35
0:06:20	31	4,1	21
0:06:30	31	4,4	27
0:06:40	31	4,5	28
0:06:50	32	4,8	29
0:07:00	32	5,1	26
0:07:10	32	5,1	29
0:07:20	32	5,4	25
0:07:30	32	5,7	29
0:07:40	32	5,6	27
0:07:50	33	5,9	24
0:08:00	33	6,1	31
0:08:10	33	6,4	27
0:08:20	34	6,6	26
0:08:30	34	6,9	25
0:08:40	34	7,1	25
0:08:50	35	7,2	24
0:09:00	35	7,4	24
0:09:10	36	7,6	29
0:09:20	36	7,7	28
0:09:30	37	7,9	25
0:09:40	37	8,3	29
0:09:50	38	8,4	20
0:10:00	38	8,4	21
0:10:10	39	8,9	16
0:10:20	39	8,9	19
0:10:30	40	9,3	14
0:10:40	40	9,3	14
0:10:50	41	9,7	14
0:11:00	41	10,0	14
0:11:10	42	9,9	14
0:11:20	42	10,3	14
0:11:30	43	10,6	14
0:11:40	43	10,5	17
0:11:50	44	10,8	14
0:12:00	44	11,1	14
0:12:10	45	11,4	14
0:12:20	45	11,3	14
0:12:30	46	11,6	15
0:12:40	46	11,8	14
0:12:50	47	12,0	14
0:13:00	47	12,3	14
0:13:10	48	12,6	14
0:13:20	48	12,5	17
0:13:30	49	12,8	16
0:13:40	49	13,1	15
0:13:50	50	13,3	15
0:14:00	50	13,6	15
0:14:10	51	13,8	14
0:14:20	51	14,1	14
0:14:30	52	14,0	14
0:14:40	52	14,3	15
0:14:50	52	14,5	14
