--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	12.08.2014
Test Start Time	15:22:23
Test Stop Date	12.08.2014
Test Stop Time	15:54:14
Test Length	0:31:51
Final Sample Time Offset	0:31:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 75C (20min), 95C (40min); P: 50MPa (40min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	70%G+30%SF-2 (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1.4%CFL-5+1%TA-2+0.2%MTR-150 (bwob)
Information	Density	1500
Information	BHCT	95
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:28:10
Calculated Value	Time_70Bc	0:31:50
Initial Temperature (°C)	30 °C
Final Temperature (°C)	81 °C
Initial Pressure (MPa)	0,2 MPa
Final Pressure (MPa)	39,8 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	73 Bc
Initial Wall Temperature (°C)	29 °C
Final Wall Temperature (°C)	83 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	30	0,2	5	29	150
0:00:10	30	0,3	5	29	150
0:00:20	30	0,5	5	29	150
0:00:30	30	0,7	5	30	150
0:00:40	30	1,0	5	31	150
0:00:50	30	1,2	5	31	150
0:01:00	30	1,4	5	32	150
0:01:10	30	1,7	5	33	150
0:01:20	30	2,0	5	35	150
0:01:30	30	2,4	5	36	150
0:01:40	30	2,8	5	37	150
0:01:50	30	3,2	5	39	150
0:02:00	30	3,7	5	40	150
0:02:10	30	3,9	4	42	150
0:02:20	31	4,1	4	44	150
0:02:30	31	4,3	4	45	150
0:02:40	31	4,5	4	46	150
0:02:50	31	4,7	4	47	150
0:03:00	31	4,9	4	49	150
0:03:10	31	5,1	4	50	150
0:03:20	32	5,4	4	51	150
0:03:30	32	5,5	4	52	150
0:03:40	32	5,7	4	53	150
0:03:50	33	6,0	4	54	150
0:04:00	33	6,1	4	55	150
0:04:10	33	6,3	4	55	150
0:04:20	34	6,5	4	56	150
0:04:30	34	6,7	4	57	150
0:04:40	34	7,0	4	57	150
0:04:50	35	7,1	4	58	150
0:05:00	35	7,3	4	59	150
0:05:10	36	7,5	4	59	150
0:05:20	36	7,7	4	60	150
0:05:30	36	7,9	4	60	150
0:05:40	37	8,2	4	61	150
0:05:50	37	8,5	4	61	150
0:06:00	38	8,6	4	62	150
0:06:10	38	8,8	4	62	150
0:06:20	38	9,0	4	63	150
0:06:30	39	9,2	4	64	150
0:06:40	40	9,3	4	64	150
0:06:50	40	9,6	4	64	150
0:07:00	41	9,6	4	63	150
0:07:10	42	9,4	4	62	150
0:07:20	43	9,3	4	61	150
0:07:30	44	9,5	4	59	150
0:07:40	45	9,5	4	57	150
0:07:50	46	9,9	4	56	150
0:08:00	47	10,0	4	54	150
0:08:10	48	10,2	4	53	150
0:08:20	48	10,6	4	52	150
0:08:30	49	10,7	4	51	150
0:08:40	49	10,8	4	50	150
0:08:50	49	11,1	4	50	150
0:09:00	50	11,5	4	50	150
0:09:10	50	11,5	4	50	150
0:09:20	50	12,0	4	50	150
0:09:30	50	12,1	4	51	150
0:09:40	50	12,3	4	51	150
0:09:50	50	12,7	4	52	150
0:10:00	50	13,2	4	54	150
0:10:10	50	13,9	4	56	150
0:10:20	50	14,1	4	58	150
0:10:30	50	14,1	4	60	150
0:10:40	50	14,3	4	62	150
0:10:50	50	14,6	4	65	150
0:11:00	50	15,0	4	66	150
0:11:10	50	15,0	4	68	150
0:11:20	50	15,3	5	69	150
0:11:30	51	15,3	5	71	150
0:11:40	51	15,7	5	71	150
0:11:50	52	15,7	9	72	150
0:12:00	53	16,0	9	72	150
0:12:10	53	16,1	9	71	150
0:12:20	54	15,9	9	69	150
0:12:30	55	15,5	9	68	150
0:12:40	56	15,9	9	66	150
0:12:50	57	16,0	10	65	150
0:13:00	57	16,3	11	64	150
0:13:10	57	16,5	11	64	150
0:13:20	58	16,9	11	63	150
0:13:30	58	17,0	11	64	150
0:13:40	58	17,3	11	64	150
0:13:50	58	17,6	11	65	150
0:14:00	58	18,1	11	66	150
0:14:10	59	18,6	16	68	150
0:14:20	59	18,7	16	69	150
0:14:30	59	19,3	16	70	150
0:14:40	59	19,4	16	72	150
0:14:50	59	19,4	16	73	150
0:15:00	59	19,5	16	74	150
0:15:10	60	20,1	16	75	150
0:15:20	60	20,1	16	76	150
0:15:30	60	20,1	16	77	150
0:15:40	61	20,4	16	77	150
0:15:50	61	20,8	16	78	150
0:16:00	62	21,0	16	78	150
0:16:10	62	21,2	16	78	150
0:16:20	63	21,4	20	78	150
0:16:30	63	21,6	20	78	150
0:16:40	64	21,7	20	78	150
0:16:50	64	21,9	20	78	150
0:17:00	65	22,0	20	78	150
0:17:10	65	22,2	20	78	150
0:17:20	66	22,4	20	78	150
0:17:30	66	22,6	20	78	150
0:17:40	66	22,8	20	78	150
0:17:50	67	23,1	20	79	150
0:18:00	67	23,4	20	79	150
0:18:10	67	23,7	20	80	150
0:18:20	68	24,0	20	80	150
0:18:30	68	24,0	20	81	150
0:18:40	68	24,4	20	81	150
0:18:50	69	24,3	20	82	150
0:19:00	69	24,7	20	83	150
0:19:10	69	24,9	20	84	150
0:19:20	70	25,0	20	84	150
0:19:30	70	25,3	20	84	150
0:19:40	71	25,7	20	85	150
0:19:50	71	25,5	20	85	150
0:20:00	71	25,8	20	86	150
0:20:10	72	26,1	20	86	150
0:20:20	72	26,3	20	86	150
0:20:30	73	26,5	20	86	150
0:20:40	73	26,6	20	86	150
0:20:50	73	26,7	20	86	150
