--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	22.08.2014
Test Start Time	9:14:20
Test Stop Date	22.08.2014
Test Stop Time	12:30:40
Test Length	3:16:20
Final Sample Time Offset	3:16:10
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 75C (20min), 95C (40min); P; 50MPa (50min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	70%G+30%SF-2 (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1.2%CFL-5+0.7%LTR+1%CFR-10 (bwob)
Information	Density	1500
Information	BHCT	95
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	1:46:10
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	28 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	-0,3 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	-0 Bc
Initial Wall Temperature (°C)	28 °C
Final Wall Temperature (°C)	72 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	0 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	27	0,4	7	28	150
0:00:10	27	0,5	7	28	150
0:00:20	27	0,6	7	28	150
0:00:30	27	0,8	7	29	150
0:00:40	27	1,1	7	29	150
0:00:50	27	1,3	7	30	150
0:01:00	27	1,4	7	31	150
0:01:10	27	1,7	7	31	150
0:01:20	27	1,9	7	32	150
0:01:30	27	2,2	7	33	150
0:01:40	27	2,6	6	35	150
0:01:50	27	3,0	6	36	150
0:02:00	27	3,3	6	37	150
0:02:10	28	3,5	6	38	150
0:02:20	28	3,6	6	40	150
0:02:30	28	3,8	6	41	150
0:02:40	28	4,0	6	42	150
0:02:50	28	4,1	6	43	150
0:03:00	29	4,4	6	44	150
0:03:10	29	4,5	6	45	150
0:03:20	29	4,6	6	46	150
0:03:30	30	4,8	6	47	150
0:03:40	30	4,9	6	48	150
0:03:50	30	5,1	6	48	150
0:04:00	31	5,3	6	48	150
0:04:10	31	5,5	6	49	150
0:04:20	31	5,6	6	50	150
0:04:30	32	5,8	6	51	150
0:04:40	32	5,9	6	51	150
0:04:50	33	6,1	6	51	150
0:05:00	33	6,2	6	51	150
0:05:10	34	6,4	6	52	150
0:05:20	34	6,6	6	53	150
0:05:30	35	6,8	6	53	150
0:05:40	35	7,0	6	53	150
0:05:50	36	7,1	6	53	150
0:06:00	36	7,2	6	53	150
0:06:10	36	7,4	6	54	150
0:06:20	37	7,6	6	55	150
0:06:30	37	7,7	6	55	150
0:06:40	38	7,9	6	55	150
0:06:50	38	8,1	6	55	150
0:07:00	39	8,2	6	56	150
0:07:10	39	8,3	6	56	150
0:07:20	40	8,6	6	57	150
0:07:30	40	8,7	6	57	150
0:07:40	41	8,8	6	58	150
0:07:50	41	9,1	6	58	150
0:08:00	41	9,2	6	59	150
0:08:10	42	9,3	6	59	150
0:08:20	42	9,6	6	59	150
0:08:30	43	9,8	6	60	150
0:08:40	43	9,8	6	61	150
0:08:50	44	10,0	6	61	150
0:09:00	44	10,2	6	61	150
0:09:10	44	10,4	6	62	150
0:09:20	45	10,4	6	62	150
0:09:30	45	10,8	6	63	150
0:09:40	46	10,8	6	63	150
0:09:50	46	11,1	6	64	150
0:10:00	46	11,2	6	64	150
0:10:10	47	11,3	6	64	150
0:10:20	47	11,6	6	65	150
0:10:30	48	11,6	6	65	150
0:10:40	48	11,8	6	65	150
0:10:50	49	12,1	6	66	150
0:11:00	49	12,1	6	66	150
0:11:10	49	12,4	6	67	150
0:11:20	50	12,5	6	67	150
0:11:30	50	12,6	6	68	150
0:11:40	51	12,9	6	68	150
0:11:50	51	13,0	6	68	150
0:12:00	52	13,3	6	69	150
0:12:10	52	13,4	6	69	150
0:12:20	52	13,4	6	70	150
0:12:30	53	13,7	6	70	150
0:12:40	53	13,7	6	70	150
0:12:50	54	14,0	6	71	150
0:13:00	54	14,1	6	71	150
0:13:10	54	14,4	6	72	150
0:13:20	55	14,4	6	72	150
0:13:30	55	14,6	6	73	150
0:13:40	56	14,9	6	74	150
0:13:50	56	14,9	6	74	150
0:14:00	57	15,2	6	75	150
0:14:10	57	15,3	6	75	150
0:14:20	57	15,6	6	75	150
0:14:30	58	15,6	6	76	150
0:14:40	58	15,9	6	76	150
0:14:50	59	15,9	6	76	150
0:15:00	59	16,2	6	76	150
0:15:10	59	16,2	6	77	150
0:15:20	60	16,5	6	77	150
0:15:30	60	16,6	6	77	150
0:15:40	61	16,8	6	78	150
0:15:50	61	16,9	6	78	150
0:16:00	62	17,1	6	78	150
0:16:10	62	17,4	6	79	150
0:16:20	62	17,4	6	79	150
0:16:30	63	17,7	6	80	150
0:16:40	63	17,8	6	80	150
0:16:50	63	17,8	6	81	150
0:17:00	64	18,2	6	81	150
0:17:10	64	18,2	6	82	150
0:17:20	65	18,6	6	83	150
0:17:30	65	18,6	6	83	150
0:17:40	65	18,7	6	83	150
0:17:50	66	19,0	6	83	150
0:18:00	66	18,9	6	84	150
0:18:10	67	19,3	6	85	150
0:18:20	67	19,3	6	85	150
0:18:30	67	19,6	6	86	150
0:18:40	68	19,5	6	86	150
0:18:50	68	19,9	6	87	150
0:19:00	69	20,0	6	87	150
0:19:10	69	20,3	6	87	150
0:19:20	69	20,3	6	88	150
0:19:30	70	20,6	6	88	150
0:19:40	70	20,9	6	88	150
0:19:50	71	20,9	6	89	150
0:20:00	71	20,9	6	89	150
0:20:10	72	21,2	6	90	150
0:20:20	72	21,5	6	90	150
0:20:30	72	21,4	6	90	150
0:20:40	73	21,6	6	90	150
0:20:50	73	21,7	6	90	150
0:21:00	74	21,8	6	90	150
0:21:10	74	21,9	6	90	150
0:21:20	74	21,9	6	89	150
0:21:30	75	21,9	6	89	150
0:21:40	75	21,9	6	88	150
0:21:50	76	22,3	6	88	150
0:22:00	76	22,2	6	88	150
0:22:10	76	22,5	6	87	150
0:22:20	76	22,4	5	86	150
0:22:30	77	22,8	5	86	150
