--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	02.09.2014
Test Start Time	11:23:59
Test Stop Date	04.09.2014
Test Stop Time	11:26:34
Test Length	48:02:35
Final Sample Time Offset	48:02:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 95C(50min); 40C(240min); P: 3000psi; tap water
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	75%G+25%SF-2 (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.3%LTR-7 (bwoc)
Information	Density	1500
Information	BHCT	95
Information	BHST	40
Information	FluidLoss	n/a
Information	JobType	Production
Calculated Value	CS_50	19:54:30
Calculated Value	CS_500	46:39:30
Calculated Value	CS_Time8h	0,02 MPa
Calculated Value	CS_Time12h	0,00 MPa
Calculated Value	CS_Time24h	0,98 MPa
Calculated Value	CS_Time48h	3,67 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	40 °C
Initial Transit Time (microsec/in)	17,07 microsec/in
Final Transit Time (microsec/in)	12,36 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	3,68 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	17,07	0,00
0:00:30	23	17,07	0,00
0:01:00	23	17,07	0,00
0:01:30	23	17,07	0,00
0:02:00	24	17,07	0,00
0:02:30	24	17,07	0,00
0:03:00	24	17,07	0,00
0:03:30	24	17,07	0,00
0:04:00	25	17,08	0,00
0:04:30	25	17,08	0,00
0:05:00	25	17,08	0,00
0:05:30	26	17,08	0,00
0:06:00	27	17,07	0,00
0:06:30	27	17,07	0,00
0:07:00	28	17,07	0,00
0:07:30	29	17,07	0,00
0:08:00	29	17,06	0,00
0:08:30	30	17,04	0,01
0:09:00	31	17,04	0,01
0:09:30	31	17,02	0,02
0:10:00	32	17,01	0,02
0:10:30	33	17,01	0,02
0:11:00	33	16,99	0,02
0:11:30	34	16,98	0,03
0:12:00	35	16,96	0,03
0:12:30	35	16,95	0,04
0:13:00	36	16,95	0,04
0:13:30	37	16,99	0,02
0:14:00	37	16,98	0,03
0:14:30	38	16,95	0,04
0:15:00	39	16,94	0,04
0:15:30	40	16,93	0,04
0:16:00	41	16,90	0,05
0:16:30	41	16,89	0,06
0:17:00	42	16,86	0,06
0:17:30	43	16,86	0,07
0:18:00	44	16,84	0,07
0:18:30	45	16,83	0,07
0:19:00	45	16,83	0,07
0:19:30	46	16,81	0,08
0:20:00	47	16,80	0,08
0:20:30	48	16,79	0,09
0:21:00	48	16,78	0,09
0:21:30	49	16,77	0,09
0:22:00	50	16,76	0,10
0:22:30	51	16,74	0,10
0:23:00	52	16,74	0,10
0:23:30	52	16,72	0,11
0:24:00	53	16,71	0,11
0:24:30	54	16,71	0,11
0:25:00	55	16,69	0,12
0:25:30	55	16,68	0,12
0:26:00	56	16,68	0,12
0:26:30	57	16,66	0,13
0:27:00	58	16,65	0,13
0:27:30	59	16,65	0,13
0:28:00	60	16,64	0,14
0:28:30	60	16,63	0,14
0:29:00	61	16,63	0,14
0:29:30	62	16,63	0,14
0:30:00	63	16,62	0,14
0:30:30	63	16,61	0,15
0:31:00	64	16,61	0,15
0:31:30	65	16,60	0,15
0:32:00	66	16,59	0,15
0:32:30	67	16,59	0,15
0:33:00	67	16,59	0,15
0:33:30	68	16,59	0,15
0:34:00	69	16,58	0,16
0:34:30	70	16,57	0,16
0:35:00	70	16,57	0,16
0:35:30	71	16,56	0,16
0:36:00	72	16,56	0,16
0:36:30	73	16,56	0,16
0:37:00	74	16,56	0,16
0:37:30	74	16,56	0,16
0:38:00	75	16,56	0,16
0:38:30	76	16,56	0,16
0:39:00	77	16,56	0,16
0:39:30	78	16,56	0,16
0:40:00	78	16,56	0,16
0:40:30	79	16,56	0,16
0:41:00	80	16,56	0,16
0:41:30	81	16,56	0,16
0:42:00	81	16,57	0,16
0:42:30	82	16,57	0,16
0:43:00	83	16,57	0,16
0:43:30	84	16,58	0,16
0:44:00	84	16,58	0,16
0:44:30	85	16,58	0,16
0:45:00	86	16,59	0,15
0:45:30	87	16,59	0,15
0:46:00	87	16,59	0,15
0:46:30	88	16,59	0,15
0:47:00	89	16,60	0,15
0:47:30	90	16,60	0,15
0:48:00	90	16,61	0,15
0:48:30	91	16,62	0,14
0:49:00	92	16,63	0,14
0:49:30	93	16,64	0,14
0:50:00	93	16,65	0,13
0:50:30	94	16,66	0,13
0:51:00	95	16,67	0,13
0:51:30	96	16,68	0,12
0:52:00	96	16,68	0,12
0:52:30	97	16,68	0,12
0:53:00	97	16,68	0,12
0:53:30	96	16,68	0,12
0:54:00	95	16,69	0,12
0:54:30	94	16,70	0,12
0:55:00	92	16,70	0,12
0:55:30	91	16,71	0,11
0:56:00	91	16,71	0,11
0:56:30	91	16,71	0,11
0:57:00	91	16,71	0,11
0:57:30	92	16,71	0,11
0:58:00	92	16,71	0,11
0:58:30	93	16,72	0,11
0:59:00	93	16,73	0,11
0:59:30	93	16,74	0,10
1:00:00	92	16,74	0,10
1:00:30	91	16,76	0,10
1:01:00	91	16,77	0,09
1:01:30	90	16,77	0,09
1:02:00	90	16,77	0,09
1:02:30	90	16,77	0,09
1:03:00	90	16,77	0,09
1:03:30	91	16,76	0,10
1:04:00	92	16,75	0,10
1:04:30	92	16,74	0,10
1:05:00	93	16,73	0,11
1:05:30	93	16,72	0,11
1:06:00	94	16,71	0,11
1:06:30	94	16,71	0,11
1:07:00	94	16,72	0,11
1:07:30	95	16,72	0,11
1:08:00	95	16,73	0,11
1:08:30	95	16,73	0,11
1:09:00	95	16,73	0,11
1:09:30	95	16,74	0,10
1:10:00	95	16,74	0,10
1:10:30	95	16,74	0,10
1:11:00	95	16,74	0,10
1:11:30	95	16,75	0,10
1:12:00	94	16,75	0,10
1:12:30	94	16,76	0,10
1:13:00	94	16,76	0,10
1:13:30	94	16,77	0,09
1:14:00	94	16,77	0,09
1:14:30	94	16,77	0,09
1:15:00	93	16,78	0,09
1:15:30	93	16,78	0,09
1:16:00	93	16,79	0,09
1:16:30	93	16,79	0,09
1:17:00	93	16,79	0,09
1:17:30	92	16,80	0,08
1:18:00	92	16,80	0,08
1:18:30	92	16,80	0,08
1:19:00	92	16,80	0,08
1:19:30	92	16,80	0,08
1:20:00	91	16,81	0,08
1:20:30	91	16,81	0,08
1:21:00	91	16,82	0,08
1:21:30	91	16,82	0,08
1:22:00	90	16,82	0,08
1:22:30	90	16,83	0,07
1:23:00	90	16,83	0,07
1:23:30	90	16,83	0,07
1:24:00	90	16,83	0,07
1:24:30	89	16,83	0,07
1:25:00	89	16,82	0,08
1:25:30	89	16,82	0,08
1:26:00	89	16,82	0,08
1:26:30	88	16,82	0,08
1:27:00	88	16,82	0,08
1:27:30	88	16,82	0,08
1:28:00	88	16,81	0,08
1:28:30	88	16,81	0,08
1:29:00	87	16,81	0,08
1:29:30	87	16,81	0,08
1:30:00	87	16,81	0,08
1:30:30	87	16,81	0,08
1:31:00	87	16,81	0,08
1:31:30	87	16,81	0,08
1:32:00	87	16,80	0,08
1:32:30	87	16,80	0,08
1:33:00	87	16,80	0,08
1:33:30	87	16,80	0,08
1:34:00	87	16,80	0,08
1:34:30	87	16,80	0,08
1:35:00	87	16,80	0,08
1:35:30	87	16,80	0,08
1:36:00	87	16,80	0,08
1:36:30	87	16,80	0,08
1:37:00	86	16,80	0,08
1:37:30	86	16,80	0,08
1:38:00	86	16,80	0,08
1:38:30	86	16,80	0,08
1:39:00	86	16,80	0,08
1:39:30	85	16,80	0,08
1:40:00	85	16,80	0,08
1:40:30	85	16,80	0,08
1:41:00	85	16,80	0,08
1:41:30	85	16,80	0,08
1:42:00	85	16,80	0,08
1:42:30	84	16,80	0,08
1:43:00	84	16,80	0,08
1:43:30	84	16,80	0,08
1:44:00	84	16,80	0,08
1:44:30	84	16,80	0,08
1:45:00	84	16,79	0,09
1:45:30	84	16,79	0,09
1:46:00	84	16,79	0,09
1:46:30	84	16,79	0,09
1:47:00	84	16,79	0,09
1:47:30	84	16,79	0,09
1:48:00	84	16,79	0,09
1:48:30	84	16,79	0,09
1:49:00	84	16,79	0,09
1:49:30	83	16,79	0,09
1:50:00	83	16,79	0,09
1:50:30	83	16,79	0,09
1:51:00	83	16,78	0,09
1:51:30	83	16,79	0,09
1:52:00	83	16,79	0,09
1:52:30	83	16,79	0,09
1:53:00	82	16,79	0,09
1:53:30	82	16,79	0,09
1:54:00	82	16,79	0,09
1:54:30	82	16,79	0,09
1:55:00	82	16,79	0,09
1:55:30	82	16,79	0,09
1:56:00	81	16,79	0,09
1:56:30	81	16,79	0,09
1:57:00	81	16,74	0,10
1:57:30	81	16,75	0,10
1:58:00	81	16,75	0,10
1:58:30	81	16,75	0,10
1:59:00	81	16,75	0,10
1:59:30	81	16,75	0,10
2:00:00	81	16,75	0,10
2:00:30	81	16,75	0,10
2:01:00	81	16,75	0,10
2:01:30	81	16,75	0,10
2:02:00	81	16,75	0,10
2:02:30	80	16,75	0,10
2:03:00	80	16,75	0,10
2:03:30	80	16,75	0,10
2:04:00	80	16,75	0,10
2:04:30	80	16,75	0,10
2:05:00	80	16,75	0,10
2:05:30	80	16,75	0,10
2:06:00	80	16,76	0,10
2:06:30	79	16,75	0,10
2:07:00	79	16,76	0,10
2:07:30	79	16,76	0,10
2:08:00	79	16,76	0,10
2:08:30	79	16,76	0,10
2:09:00	79	16,75	0,10
2:09:30	78	16,75	0,10
2:10:00	78	16,75	0,10
2:10:30	78	16,75	0,10
2:11:00	78	16,75	0,10
2:11:30	78	16,75	0,10
2:12:00	78	16,75	0,10
2:12:30	78	16,75	0,10
2:13:00	78	16,75	0,10
2:13:30	78	16,75	0,10
2:14:00	78	16,75	0,10
2:14:30	78	16,75	0,10
2:15:00	78	16,75	0,10
2:15:30	78	16,75	0,10
2:16:00	77	16,75	0,10
2:16:30	77	16,74	0,10
2:17:00	77	16,74	0,10
2:17:30	77	16,75	0,10
2:18:00	77	16,75	0,10
2:18:30	77	16,75	0,10
2:19:00	77	16,74	0,10
2:19:30	77	16,74	0,10
2:20:00	77	16,74	0,10
2:20:30	76	16,75	0,10
2:21:00	76	16,75	0,10
2:21:30	76	16,75	0,10
2:22:00	76	16,75	0,10
2:22:30	76	16,75	0,10
2:23:00	76	16,75	0,10
2:23:30	76	16,75	0,10
2:24:00	75	16,75	0,10
2:24:30	75	16,75	0,10
